Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.54414774427872,-0.186987802425983,-0.722224439828661,0,0,0
1,-9.5437939991064,-0.179669914501544,-0.726165808265385,0,0,0
2,-9.54890458112263,-0.182635835118608,-0.693060202203818,0,0,0
3,-9.56040034500979,-0.168955501294084,-0.69532561799315,0,0,0
4,-9.55417067416428,-0.174311446539471,-0.702877574174631,0,0,0
5,-9.55374651508436,-0.17149635545818,-0.702297296787387,0,0,0
6,-9.55301369644147,-0.168301354198458,-0.703587069293345,0,0,0
7,-9.55560976995034,-0.175561208176537,-0.719970516557286,0,0,0
8,-9.54000413141724,-0.182919097823763,-0.742946953770545,0,0,0
9,-9.54622620930572,-0.186724296563835,-0.758164426220518,0,0,0
10,-9.55575074963654,-0.203249103497305,-0.772664260073103,0,0,0
11,-9.54403901572089,-0.200601520925947,-0.787900482716789,0,0,0
12,-9.54170992585935,-0.214309038319237,-0.799374435450844,0,0,0
13,-9.54617314727974,-0.198120012229832,-0.794482545634835,0,0,0
14,-9.5555039795417,-0.189179745344215,-0.7811295887118,0,0,0
15,-9.55137355318917,-0.185132477367049,-0.781525834976091,0,0,0
16,-9.54480908747888,-0.183201443119366,-0.76365895578618,0,0,0
17,-9.54447256489875,-0.185085075584831,-0.751975604886613,0,0,0
18,-9.5530376992304,-0.193552165420504,-0.756088711124517,0,0,0
19,-9.54028018118694,-0.194727586799871,-0.745776346852057,0,0,0
20,-9.55342290789976,-0.180265648841221,-0.738229338792964,0,0,0
21,-9.54496300121307,-0.174217368986483,-0.75237599338028,0,0,0
22,-9.55341559466864,-0.180253737276244,-0.749521760218651,0,0,0
23,-9.54674265864769,-0.185072143178793,-0.72938928017783,0,0,0
24,-9.55789718629887,-0.182441166805365,-0.738224044371817,0,0,0
25,-9.56211374890588,-0.191184691432201,-0.728983454006786,0,0,0
26,-9.55088155139572,-0.198306547846015,-0.726919397020787,0,0,0
27,-9.54904469849904,-0.191975812761772,-0.725057965982578,0,0,0
28,-9.54617630959192,-0.191260514893327,-0.722023999415187,0,0,0
29,-9.53991026911748,-0.189692357705428,-0.718096485637929,0,0,0
30,-9.54228446369925,-0.182922841624179,-0.704551224385441,0,0,0
31,-9.5468859314561,-0.187552670872497,-0.688928356459163,0,0,0
32,-9.54866337579906,-0.177748513761064,-0.703968933869088,0,0,0
33,-9.55200613400727,-0.16757027530772,-0.732246557650242,0,0,0
34,-9.54461949106029,-0.166916114636697,-0.740507902535485,0,0,0
35,-9.54477860934814,-0.176287214430096,-0.743145404009393,0,0,0
36,-9.54268079382747,-0.185692506465259,-0.748042869067064,0,0,0
