Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.63752305229442,-0.0123978527486098,-0.068997595410379,0,0,0
1,-9.63095150950392,-0.0104555556078399,-0.0624226165054038,0,0,0
2,-9.62927584694701,-0.0043275982268289,-0.0494612968465861,0,0,0
3,-9.62911607218353,-0.0133027945408192,-0.0697779377512132,0,0,0
4,-9.63342806921739,-0.00610040213697534,-0.0716533392167422,0,0,0
5,-9.62662367530063,-0.00845746544252703,-0.0739138039034102,0,0,0
6,-9.62881285901839,-0.0221052324277993,-0.0740917353113407,0,0,0
7,-9.63176070074825,-0.018335097379854,-0.0680941439481007,0,0,0
8,-9.64075312085036,-0.020449115069022,-0.0567936006686553,0,0,0
9,-9.63382873027831,-0.0203627939221429,-0.0633797594056666,0,0,0
10,-9.63114890686405,-0.01758204876642,-0.0628027349479421,0,0,0
11,-9.6269160576362,-0.0202955289598767,-0.0518982161825815,0,0,0
12,-9.6271665258697,-0.0137161174022941,-0.0724251135609146,0,0,0
13,-9.63114744423548,-0.0175796664821828,-0.0650611919695568,0,0,0
14,-9.63171551501384,-0.0113958520444772,-0.0701661012842042,0,0,0
15,-9.62753718856843,-0.000406065108448529,-0.0771499093795242,0,0,0
16,-9.62700725172771,-0.00434291262474729,-0.0697888897781943,0,0,0
17,-9.63117995629933,-0.00614906843350082,-0.0603625254534085,0,0,0
18,-9.6356148198361,-0.00139480791961914,-0.0533953747845606,0,0,0
19,-9.63742064662119,-0.00998297687081207,-0.0462218581119483,0,0,0
20,-9.6382242675998,-0.0086788967689965,-0.0494507078149431,0,0,0
21,-9.6403289349023,-0.00845740701282422,-0.0447387265432754,0,0,0
22,-9.63509630936465,-0.0145253054218843,-0.0394432273700446,0,0,0
23,-9.63555004640735,-0.0150818115022994,-0.0513162927819411,0,0,0
24,-9.63780108457982,-0.0150379097698238,-0.0580901966964335,0,0,0
25,-9.64457883396789,-0.0241209408275922,-0.0514945662687354,0,0,0
26,-9.63787561506262,-0.019716189480093,-0.067312893606911,0,0,0
27,-9.62193248281059,-0.019781644421253,-0.0693879517018009,0,0,0
28,-9.63580906128635,-0.0176908480589492,-0.0697688095818995,0,0,0
29,-9.63771900256206,-0.0195219779344239,-0.0716361806148346,0,0,0
30,-9.63343806335934,-0.0152913591910724,-0.0673205609332343,0,0,0
31,-9.62679172297626,-0.0178450148221468,-0.0629992756747903,0,0,0
32,-9.63333688027956,-0.0220531631235707,-0.0537627003957094,0,0,0
33,-9.62931371442698,-0.0112550335918473,-0.0586816300853357,0,0,0
34,-9.63378354253225,-0.0134235250547015,-0.0654517192254122,0,0,0
35,-9.638626973198,-0.002286654486462,-0.072429673072792,0,0,0
36,-9.62666738906754,-0.0153944771319054,-0.0741003145797267,0,0,0
37,-9.62891429185477,-0.00616914734572655,-0.0761731707831227,0,0,0
38,-9.63056938488958,-0.0145726098967272,-0.0642890840381278,0,0,0
39,-9.63397656303105,-0.0205427043483362,-0.0726072411443985,0,0,0
40,-9.62651371591887,-0.0152050082276519,-0.0739066854612259,0,0,0
41,-9.63323895307228,-0.0173367776507502,-0.0806752948441178,0,0,0
42,-9.63125569489318,-0.0200039880880853,-0.0788031949906302,0,0,0
43,-9.64017793521502,-0.0174469404628798,-0.0515046063976708,0,0,0
44,-9.63802784006278,-0.0199032523059954,-0.0697649759284072,0,0,0
45,-9.63339848515181,-0.0175357646982899,-0.0718351021738515,0,0,0
46,-9.62655889284492,-0.0221443696432179,-0.0718347391502754,0,0,0
47,-9.6290638296182,0.00282281180372332,-0.0716657521905271,0,0,0
48,-9.62410608247381,-0.015054674575564,-0.0714560647342579,0,0,0
49,-9.62666471630951,-0.00621543136022706,-0.0671408119442096,0,0,0
50,-9.63783627507987,-0.0127863465594239,-0.0603510244349156,0,0,0
51,-9.63318173571708,-0.0218613446097748,-0.0558275450473677,0,0,0
52,-9.62911607218353,-0.0133027945408192,-0.0697779377512132,0,0,0
53,-9.62652102905492,-0.0152169196377768,-0.0626144108391227,0,0,0
54,-9.6405046508839,-0.00637392427843084,-0.0675192926942469,0,0,0
55,-9.6381377983834,-0.0131557746369696,-0.0697720943018961,0,0,0
56,-9.63137296636342,-0.0132684218513062,-0.0675180177700752,0,0,0
57,-9.63538490530157,-0.00569891103222773,-0.0577139211263058,0,0,0
58,-9.64031430861663,-0.00843358417045266,-0.0673232967594226,0,0,0
59,-9.63611643184604,-0.0180697544663554,-0.0701560612476328,0,0,0
60,-9.64285217073952,-0.0110440326220336,-0.0496390200366695,0,0,0
61,-9.64033455068554,-0.0176411609715178,-0.0471812966691532,0,0,0
62,-9.6308811281474,-0.0149587037295818,-0.0579009651999292,0,0,0
63,-9.63356386814587,-0.017744279040057,-0.0539610566125674,0,0,0
64,-9.64239671106665,-0.0196593556073901,-0.0515007727345092,0,0,0
65,-9.64193270871493,-0.01908624472176,-0.0554368508088844,0,0,0
66,-9.63118970249573,-0.0245142179663491,-0.0675061538142604,0,0,0
67,-9.63278668641892,-0.0167826863557054,-0.0665436989691272,0,0,0
68,-9.63593486956524,-0.0201437442995805,-0.0564092951581506,0,0,0
69,-9.63519456935305,-0.00775860675950322,-0.0575179349779798,0,0,0
70,-9.63117289195444,0.00303721279869614,-0.0601784006312411,0,0,0
71,-9.64036266259556,-0.00620347236865813,-0.049258013389117,0,0,0
72,-9.63110397322377,-0.0014683176028585,-0.05339829649854,0,0,0
73,-9.63141546965666,-0.011028791774095,-0.0584865540860031,0,0,0
74,-9.63053565647802,-0.0168265879339286,-0.0597698139240418,0,0,0
75,-9.63313362620186,-0.0149171843283365,-0.0624164099973928,0,0,0
76,-9.63339872922618,-0.00836149447547513,-0.0603586917805776,0,0,0
77,-9.63600256356352,-0.00646172794905163,-0.0539714597060529,0,0,0
78,-9.638067655586,-0.00848463280705706,-0.0537740154902837,0,0,0
79,-9.63566122709668,-0.0175109211882942,-0.0605413562052285,0,0,0
80,-9.6448016769274,-0.0106306849419159,-0.0469918890411791,0,0,0
81,-9.64192855699551,-0.00990470281591947,-0.0507358336707653,0,0,0
82,-9.63841753259965,-0.00662401050019236,-0.0451297648923096,0,0,0
83,-9.64002594491705,-0.00808554953824382,-0.037576164803463,0,0,0
84,-9.64331640492786,-0.00244316956990344,-0.034226467751599,0,0,0
85,-9.63334321998774,-0.0037141064596761,-0.0217761232348673,0,0,0
86,-9.65126370766502,-0.000971809518081042,-0.0306070320533663,0,0,0
87,-9.63379987371628,-0.00427552885294815,-0.0291322430526486,0,0,0
88,-9.62679222721778,0.000503524040598116,-0.040046471293346,0,0,0
89,-9.63131136185575,-0.017785798588918,-0.0494455992372791,0,0,0
90,-9.63551022740939,-0.0265004546383498,-0.0673072360596239,0,0,0
91,-9.62422309936473,-0.0174933263244524,-0.0716473185815134,0,0,0
92,-9.62689411816695,-0.020259794629954,-0.0857751344226239,0,0,0
93,-9.6336208432014,-0.0223939133607265,-0.0902853014825884,0,0,0
94,-9.61966243048439,-0.0197945764874038,-0.091973961804777,0,0,0
95,-9.62199529337622,-0.0244408444546639,-0.0966783153065239,0,0,0
96,-9.62195889754737,-0.0175157875187032,-0.0851995089868069,0,0,0
97,-9.62705096697266,-0.011279877169283,-0.069975397029459,0,0,0
98,-9.63419817974182,0.00212381667253181,-0.0588865604619177,0,0,0
99,-9.63802100334334,-0.00154282419957412,-0.058104433580802,0,0,0
100,-9.63209959080377,0.0110669356414606,-0.0430882692084864,0,0,0
101,-9.63590210810775,0.0142995066717191,-0.00598447519137665,0,0,0
102,-9.64507749382222,0.0142569144716779,-0.00617219744124824,0,0,0
103,-9.63380182617895,0.01407075775765,-0.00392104681067541,0,0,0
104,-9.64697347419246,-0.0173843213540785,-0.00633108338372831,0,0,0
105,-9.64207338427219,-0.012388664650149,-0.00801650398908081,0,0,0
106,-9.64004764742364,-0.0172955991702728,-0.0151757194596101,0,0,0
107,-9.64022775182252,-0.0152192109453225,-0.0311808660057506,0,0,0
108,-9.64453532890352,-0.00800965757519166,-0.0398316959167102,0,0,0
109,-9.64250959517497,-0.0129166099487891,-0.0469909770991164,0,0,0
110,-9.63799581231378,-0.0129853552426778,-0.0515108128634446,0,0,0
111,-9.64002278276109,-0.0172551003758482,-0.0535694531747612,0,0,0
112,-9.63757555408352,-0.0193492050466519,-0.0556333841507122,0,0,0
113,-9.62832541577913,-0.0238027964926747,-0.0576993209962563,0,0,0
114,-9.63149584353152,-0.0157165753117548,-0.0586754236617992,0,0,0
115,-9.63563066579791,-0.0105953610556743,-0.0400287637879607,0,0,0
116,-9.63815729001487,0.0051618375091012,-0.0174593633834145,0,0,0
117,-9.63853259705066,0.0276393531007009,-0.0039323619775048,0,0,0
118,-9.62977891214958,0.0340430218004317,0.00263648335825485,0,0,0
119,-9.64070146575835,0.020890448689577,0.0322114961141795,0,0,0
120,-9.63844433625372,0.0116816647785799,0.0184752539778774,0,0,0
121,-9.6331648359028,0.0033816199342968,0.00796375027886053,0,0,0
122,-9.63324325350689,-0.0196526624758245,-0.017436184146278,0,0,0
123,-9.63514539938036,-0.0398204194323989,-0.0535486467516861,0,0,0
124,-9.62363664932867,-0.0534802211784518,-0.0716093535565307,0,0,0
125,-9.6283246696347,-0.051325385137895,-0.0921285450503,0,0,0
126,-9.63760857062468,-0.0446177986081471,-0.0945819255325112,0,0,0
127,-9.6285011186704,-0.0217192111162479,-0.0804798358526529,0,0,0
128,-9.62877206722739,-0.0151730179053013,-0.069388314753615,0,0,0
129,-9.64967883869762,0.00276020337165573,-0.0584891039343465,0,0,0
130,-9.62928838956694,0.0254852289282195,-0.0534282312616575,0,0,0
131,-9.63601946880717,0.0233439193922076,-0.0511630230379512,0,0,0
132,-9.64264351338677,0.0144502699533957,-0.0443737906832597,0,0,0
133,-9.62919986532229,0.000353116349798242,-0.0424970650348566,0,0,0
134,-9.63776613373333,-0.00811515754042509,-0.0443529841421325,0,0,0
135,-9.64090288710082,-0.00228325149316952,-0.0408097258221466,0,0,0
136,-9.62672598144645,-0.013181041319771,-0.0402258320581182,0,0,0
137,-9.63551509830472,-0.00815905922148315,-0.0375790865174424,0,0,0
138,-9.62943391063601,-0.0045242645015017,-0.0428795199124571,0,0,0
139,-9.63818639020859,-0.00175141628540471,-0.040230391768432,0,0,0
140,-9.6453714863706,0.00472484954767995,-0.0383618625505423,0,0,0
141,-9.64697963969569,-0.00591084248489654,-0.0422846600466564,0,0,0
142,-9.64265474434799,-0.00391754736178486,-0.0492589253311798,0,0,0
143,-9.64031747040632,0.000735964769126492,-0.0513299807628319,0,0,0
144,-9.63144651835292,0.000404164986402678,-0.0560463463039954,0,0,0
145,-9.62605441823294,-0.00546451020059386,-0.0595909848304866,0,0,0
146,-9.64690025552788,-0.0195739343238414,-0.0627901361214839,0,0,0
147,-9.64483810063585,-0.0175557395873463,-0.0584706705385385,0,0,0
148,-9.62950964885648,-0.0183789993694168,-0.0613202085845968,0,0,0
149,-9.63394015017042,-0.01361776366009,-0.0611284143972632,0,0,0
150,-9.63573453299747,-0.0130125810369106,-0.0605461018104529,0,0,0
151,-9.6446098663782,-0.012687993310347,-0.0490543672365036,0,0,0
152,-9.63535385882977,-0.0171320035475878,-0.0601541234876658,0,0,0
153,-9.63807619387573,-0.0176731513745815,-0.0516996757691,0,0,0
154,-9.63352429011248,-0.0199886736901669,-0.058475602059022,0,0,0
155,-9.64021312553684,-0.0151953881029509,-0.0537654362218977,0,0,0
156,-9.63294621733849,-0.0169816789977731,-0.0577035177967163,0,0,0
157,-9.64253893498253,-0.0106555284519116,-0.0582856350098021,0,0,0
158,-9.63814511153302,-0.0131676860692163,-0.0584797987078522,0,0,0
159,-9.64273074280996,-0.00859823995772372,-0.0562231634467108,0,0,0
160,-9.63352429011248,-0.0199886736901669,-0.058475602059022,0,0,0
161,-9.63572892416199,-0.00382876001434966,-0.0581035216255102,0,0,0
162,-9.64239378580952,-0.0196545910389158,-0.0560176867777386,0,0,0
163,-9.63126179097237,-0.010839303107819,-0.0582929393125492,0,0,0
164,-9.63160872658413,-0.00897389477810162,-0.0541656195689347,0,0,0
165,-9.64013420477005,-0.0105099398727483,-0.0513181166925248,0,0,0
166,-9.63136882456642,-0.00408702831226936,-0.0628169717636152,0,0,0
167,-9.63610082084473,0.000304808011568794,-0.0720462510300119,0,0,0
168,-9.63576118940762,-0.00157243223989979,-0.0648812592128336,0,0,0
169,-9.63374274412378,-0.00649133606566602,-0.0607482979248085,0,0,0
170,-9.64023392576135,-0.00374572111344859,-0.0671344196056537,0,0,0
171,-9.63103359186725,-0.00597146572460038,-0.0488766451930655,0,0,0
172,-9.64251252043211,-0.0129213745172634,-0.0424740630558869,0,0,0
173,-9.63364009895279,-0.0132507251669384,-0.0494488839572757,0,0,0
174,-9.64694152394123,-0.00815764113124647,-0.0445407421570156,0,0,0
175,-9.63343538235343,-0.00611231354710022,-0.060361064594639,0,0,0
176,-9.63290396050807,-0.010046957273374,-0.0552585743501622,0,0,0
177,-9.64888077516997,-0.0077275848849364,-0.0577027831580869,0,0,0
178,-9.63825214459379,-0.00641544382729188,-0.0630038353189586,0,0,0
179,-9.63592072300659,-0.00177149522692613,-0.0560410517802844,0,0,0
180,-9.64203851796899,-0.00315706235664592,-0.0507429522159927,0,0,0
181,-9.63071625156172,0.00359874975086209,-0.0528222149596865,0,0,0
182,-9.6446409009383,-0.00125493539257884,-0.046614172874922,0,0,0
183,-9.64475209100559,-0.00368412275077231,-0.0558392232660113,0,0,0
184,-9.64227990559736,-0.00804641241681132,-0.0398331567736999,0,0,0
185,-9.63068812160187,-0.00783926308978426,-0.0507455107863243,0,0,0
186,-9.6490488748591,-0.0171152276763208,-0.046788244966421,0,0,0
187,-9.64721226628598,-0.0107858006610542,-0.0449255733368454,0,0,0
188,-9.64496538254455,-0.0200110179485764,-0.042852684405697,0,0,0
189,-9.63347934861673,-0.00387504402885013,-0.0490711627865971,0,0,0
190,-9.64491163577859,-0.00388317471484055,-0.0469990074490157,0,0,0
191,-9.64513424808401,0.000432769623823689,-0.0539727346302246,0,0,0
192,-9.64487914129916,-0.0153137272236857,-0.0516976659732751,0,0,0
193,-9.64496245728198,-0.0200062533712534,-0.0473696068377027,0,0,0
194,-9.63099376540865,-0.0173902085113256,-0.0648675712319428,0,0,0
195,-9.63351697696285,-0.0199767622579202,-0.0697678976530658,0,0,0
196,-9.64750920179367,-0.0203221736865055,-0.0725984759383853,0,0,0
197,-9.63581344917613,-0.0176979949182972,-0.0629934322254732,0,0,0
198,-9.6383762567898,-0.0180401462734523,-0.0633792104421531,0,0,0
199,-9.63565415528027,-0.00832473958907456,-0.060357230921808,0,0,0
200,-9.6335538727248,-0.00855337810094572,-0.058293851254612,0,0,0
201,-9.64798076168494,-0.0117332144524613,-0.045893589652543,0,0,0
