Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.64165747117922,-1.62815965545796,-1.87045513240623,0,0,0
1,-9.64304372365532,-1.62728637043745,-1.91657820665192,0,0,0
2,-9.64396542912191,-1.62356756118957,-1.91136894040303,0,0,0
3,-9.64385177690061,-1.6219547094481,-1.85780137970987,0,0,0
4,-9.64153012975263,-1.62195888804399,-1.83101542073286,0,0,0
5,-9.63774442073867,-1.62050712139595,-1.85927706576677,0,0,0
6,-9.63765755775644,-1.62350757801999,-1.90466018809185,0,0,0
7,-9.64223442165194,-1.62955378525971,-1.90839627356286,0,0,0
8,-9.64100330786454,-1.62061409782056,-1.89499439693984,0,0,0
9,-9.64160848490665,-1.62278464403138,-1.88904487650958,0,0,0
10,-9.64173596735921,-1.62287416019054,-1.90094999342324,0,0,0
11,-9.64171576349945,-1.62209885175929,-1.91508332126836,0,0,0
12,-9.64246074873873,-1.61902167777547,-1.90912826172556,0,0,0
13,-9.64782339025763,-1.61438198424737,-1.88978819671874,0,0,0
14,-9.64646001411819,-1.61146060488062,-1.88904000578726,0,0,0
15,-9.65244082258342,-1.60442405282066,-1.8949892149292,0,0,0
16,-9.65242560396942,-1.6089945978614,-1.8972275140528,0,0,0
17,-9.65230726711525,-1.61349453184205,-1.90318376331442,0,0,0
18,-9.64794311765455,-1.60530573758005,-1.90763117037858,0,0,0
19,-9.65034513380681,-1.6061140482002,-1.88903949371313,0,0,0
20,-9.64414963517353,-1.60613162077112,-1.8845644543087,0,0,0
21,-9.64100208470715,-1.60610644580367,-1.88530185107689,0,0,0
22,-9.6419230716995,-1.60620511950501,-1.88381784753362,0,0,0
23,-9.64114698496991,-1.60468061706608,-1.8927413811268,0,0,0
24,-9.63585692925545,-1.60402509399675,-1.90389149259134,0,0,0
25,-9.64052567886151,-1.59944435991844,-1.89199070764724,0,0,0
26,-9.64199185220985,-1.59403573150224,-1.87264197988076,0,0,0
27,-9.64185713658247,-1.60310525944572,-1.88009257633054,0,0,0
28,-9.6414060093162,-1.60409863608316,-1.91134302328885,0,0,0
29,-9.64274815907344,-1.60319042895302,-1.92919573607757,0,0,0
30,-9.64963393788854,-1.60616440198939,-1.92028446811143,0,0,0
31,-9.64796447686658,-1.60761115214427,-1.9098667147213,0,0,0
32,-9.64343773957702,-1.60847014689354,-1.90390978949693,0,0,0
