Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.80202348144949,-0.436304865710376,-1.60658545687964,0,0,0
1,-9.80244969913575,-0.443045112625131,-1.59915312770868,0,0,0
2,-9.80327525136606,-0.439260608475016,-1.60212548799331,0,0,0
3,-9.80143111573098,-0.436955950521596,-1.59765277870801,0,0,0
4,-9.80092475791212,-0.43474126234196,-1.6006269520771,0,0,0
5,-9.80094682813403,-0.433229090955101,-1.59913722401167,0,0,0
6,-9.79785833105864,-0.436298897774869,-1.59913616209252,0,0,0
7,-9.79928069591845,-0.437771251108021,-1.59765170568834,0,0,0
8,-9.8030571769258,-0.434676589261596,-1.59690922840728,0,0,0
9,-9.79764027600229,-0.431714773457256,-1.59391991166042,0,0,0
10,-9.8013836444458,-0.430888349848721,-1.59541202428335,0,0,0
11,-9.80238131290388,-0.438490798772563,-1.59914603929212,0,0,0
12,-9.79919140731681,-0.434729918098697,-1.59987828723756,0,0,0
13,-9.80018225638638,-0.433237736962108,-1.5961602638413,0,0,0
14,-9.79706653646337,-0.434035782162908,-1.60061931836507,0,0,0
15,-9.79598284934444,-0.437028531794585,-1.60582627476199,0,0,0
16,-9.79756418940036,-0.437008383566429,-1.59987789369728,0,0,0
17,-9.80175786205199,-0.430197915510714,-1.6006226151564,0,0,0
18,-9.80074080737669,-0.436978966517817,-1.59690843200062,0,0,0
19,-9.79769289518808,-0.441566270067292,-1.59319027672859,0,0,0
20,-9.79950754797348,-0.437052830419079,-1.599141020093,0,0,0
21,-9.79684600364227,-0.438539060007766,-1.59690356132567,0,0,0
22,-9.79995241804225,-0.439263145125524,-1.60211760805972,0,0,0
23,-9.79924243619006,-0.436255578752391,-1.60285668308093,0,0,0
24,-9.79779568036733,-0.436293591007601,-1.60434298199859,0,0,0
25,-9.80094152264779,-0.438534239627787,-1.60509600105426,0,0,0
26,-9.79677340004789,-0.443835364221311,-1.60509337368036,0,0,0
27,-9.79761986047061,-0.438537667361772,-1.60583205880924,0,0,0
28,-9.79749565556635,-0.441543173183819,-1.60285918596106,0,0,0
29,-9.79783393911023,-0.437809255825391,-1.59913800305271,0,0,0
30,-9.79783677130852,-0.441591338327001,-1.59467972505803,0,0,0
31,-9.79866464496048,-0.437808629022378,-1.59913997180747,0,0,0
32,-9.79907068409383,-0.437738125443385,-1.59913724378893,0,0,0
33,-9.79694225439825,-0.441585796079582,-1.59914063672284,0,0,0
34,-9.8000980454302,-0.438524896807101,-1.5969106507546,0,0,0
35,-9.80144788003347,-0.440748972655475,-1.60212182095396,0,0,0
36,-9.79919837248765,-0.434735358100942,-1.60434194300081,0,0,0
37,-9.80012359824186,-0.437015445424748,-1.59765275334703,0,0,0
38,-9.7971181512594,-0.434797185731355,-1.59615736096195,0,0,0
39,-9.79463932019926,-0.438589333984759,-1.59838867118618,0,0,0
40,-9.79901790702644,-0.43697581460536,-1.60285525054165,0,0,0
41,-9.79675431780216,-0.440040524841001,-1.59913644741497,0,0,0
42,-9.79697252929123,-0.435535396973014,-1.60136431884644,0,0,0
43,-9.80106565540867,-0.440073299328843,-1.6095630793774,0,0,0
44,-9.79813744516536,-0.432562550887048,-1.6028536305586,0,0,0
45,-9.79715590004526,-0.432532555323742,-1.59689854307428,0,0,0
46,-9.79871161812199,-0.438566379679681,-1.59170223337776,0,0,0
47,-9.80103140318452,-0.440811240537575,-1.59542905476134,0,0,0
48,-9.79788504473355,-0.434790353060685,-1.60062220823756,0,0,0
49,-9.79867103655627,-0.43704892035436,-1.59541933202642,0,0,0
50,-9.79833282891361,-0.436238197100562,-1.59764633219905,0,0,0
51,-9.79708620678979,-0.437066349479811,-1.59913589661273,0,0,0
52,-9.80336062234894,-0.433974407097706,-1.60211904469576,0,0,0
53,-9.79862174194303,-0.436289345099694,-1.60136917871027,0,0,0
54,-9.80189818656425,-0.43476487778015,-1.60137443281577,0,0,0
55,-9.7984726347316,-0.437024851172632,-1.6043443034834,0,0,0
56,-9.80015778919872,-0.439292620957051,-1.59765629695811,0,0,0
57,-9.79805549508073,-0.44086652197325,-1.59096142342494,0,0,0
58,-9.7954613088417,-0.439346606579387,-1.60062338983943,0,0,0
59,-9.80030058244489,-0.434772322837181,-1.59690761213284,0,0,0
