Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.63992166189738,-0.91148221089083,-2.37159846728006,0,0,0
1,-9.64356471433921,-0.918157115679314,-2.36637323077335,0,0,0
2,-9.64506077494513,-0.92427031834335,-2.37385702521726,0,0,0
3,-9.63121084663142,-0.928092092434845,-2.39159524733786,0,0,0
4,-9.6221742984525,-0.933739588690621,-2.42515983474125,0,0,0
5,-9.61450857486931,-0.943007011170479,-2.44599262870046,0,0,0
6,-9.61191826148838,-0.958085479825203,-2.43335696040741,0,0,0
7,-9.61179034395682,-0.977907889943526,-2.49513210617856,0,0,0
8,-9.62261568156761,-0.967171815936141,-2.50555065467122,0,0,0
9,-9.61063760936886,-0.953745881406652,-2.46534466943123,0,0,0
10,-9.62499468507683,-0.940323968243933,-2.42879623799271,0,0,0
11,-9.65144759034624,-0.9037475467852,-2.37532662550004,0,0,0
12,-9.65281459383933,-0.865974609349143,-2.34329726391323,0,0,0
13,-9.6549531615264,-0.868870562536516,-2.3142879134451,0,0,0
14,-9.64366756212858,-0.911352034376625,-2.36190144986822,0,0,0
15,-9.63040626863739,-0.936538912035828,-2.39985136896229,0,0,0
16,-9.61824620683422,-0.944435185487916,-2.4073178064197,0,0,0
17,-9.62294297494527,-0.935273128316766,-2.43111706675035,0,0,0
18,-9.63388083475146,-0.908468793830312,-2.43844149805263,0,0,0
19,-9.6323554001068,-0.962291041741732,-2.41405556460312,0,0,0
20,-9.6149344422774,-1.00175821446417,-2.40957893519627,0,0,0
21,-9.61761210549942,-0.985236600867593,-2.45274429653353,0,0,0
22,-9.61286730414133,-0.955942224390748,-2.50105572598691,0,0,0
23,-9.6039099350517,-0.937810977407675,-2.47122667050333,0,0,0
24,-9.61701258585109,-0.927063055125138,-2.45564379304104,0,0,0
25,-9.62929258425555,-0.919311586044113,-2.455653558185,0,0,0
26,-9.62328053557963,-0.914880750061034,-2.4362996156416,0,0,0
27,-9.61260457638333,-0.914258061834782,-2.40429370024857,0,0,0
28,-9.61117813216205,-0.910538153047357,-2.41023911406013,0,0,0
29,-9.60979494851254,-0.908413628115421,-2.40056835229164,0,0,0
30,-9.60051043963431,-0.907609938410141,-2.39012917120809,0,0,0
31,-9.6096397102347,-0.914396818238465,-2.39313443151001,0,0,0
32,-9.6134072496218,-0.911226923242163,-2.38569435113108,0,0,0
33,-9.62026087231859,-0.908825026211933,-2.3864451264707,0,0,0
34,-9.62792680573779,-0.905702506340785,-2.38347868743601,0,0,0
35,-9.62399788438701,-0.912547994260171,-2.37083446702081,0,0,0
36,-9.62326683512951,-0.912590623795832,-2.37455390955575,0,0,0
37,-9.63151533975393,-0.914613057764966,-2.39685018708514,0,0,0
38,-9.62144112325563,-0.933772713084024,-2.44226871204179,0,0,0
39,-9.60547442480829,-0.941705511522877,-2.45490571230295,0,0,0
40,-9.59643366710088,-0.933482694743645,-2.44818394547066,0,0,0
41,-9.6157677411942,-0.905116098955857,-2.40502844185992,0,0,0
42,-9.63876899787612,-0.892684402333282,-2.38124788558569,0,0,0
43,-9.64787938805502,-0.894849649114204,-2.35523091995828,0,0,0
44,-9.62905287340705,-0.926783671776012,-2.36490789127727,0,0,0
45,-9.62725886620315,-0.944954921290464,-2.37683027825985,0,0,0
46,-9.63325508505787,-0.955510248670044,-2.41851302347068,0,0,0
47,-9.6204738329735,-0.953522833978483,-2.49734414306348,0,0,0
48,-9.6007060434149,-0.910090450068442,-2.47940799649272,0,0,0
49,-9.61390961687237,-0.880260898061011,-2.37226714547845,0,0,0
50,-9.65351308374975,-0.92422403065317,-2.40437274726395,0,0,0
51,-9.65076178971401,-0.994384518549377,-2.41185812971913,0,0,0
52,-9.61734626412601,-0.944322681154881,-2.34705729703917,0,0,0
53,-9.6142623454203,-0.865251952567728,-2.41242235543419,0,0,0
54,-9.63025996335173,-0.855821004074222,-2.38862769616095,0,0,0
55,-9.64613706265857,-0.908447227139623,-2.39764524373138,0,0,0
56,-9.63636317543805,-0.949394458522463,-2.39991248978361,0,0,0
57,-9.63117187641715,-0.942717956099538,-2.36716670819762,0,0,0
58,-9.63472048198609,-0.956223524625078,-2.36198075092601,0,0,0
59,-9.63054298627135,-0.942840220667634,-2.43635090605715,0,0,0
60,-9.60975738869047,-0.912942978930415,-2.48240048752194,0,0,0
61,-9.5984215429105,-0.901700252502644,-2.4050015478352,0,0,0
62,-9.61821358991852,-0.898332776781488,-2.42585622973381,0,0,0
63,-9.63056095894238,-0.901383962866871,-2.5047394959144,0,0,0
64,-9.60221582251093,-0.906982235891645,-2.47122142453972,0,0,0
65,-9.60355802152848,-0.907540062574394,-2.41985848076641,0,0,0
66,-9.64091563231003,-0.900177150665697,-2.40431813463661,0,0,0
67,-9.66044654692163,-0.873544186304488,-2.41324859911332,0,0,0
68,-9.65216216230798,-0.855288326542044,-2.3818988305611,0,0,0
69,-9.63880784100798,-0.878790897124473,-2.41826286673856,0,0,0
70,-9.63189690193042,-0.897287889848148,-2.48606677134243,0,0,0
71,-9.62600395840169,-0.8930282749371,-2.44967019043954,0,0,0
72,-9.63612802885485,-0.912329885847034,-2.35299944728208,0,0,0
73,-9.64757243643493,-0.952895666106127,-2.30322676594052,0,0,0
74,-9.64902243849224,-0.9589368890693,-2.32109050585221,0,0,0
75,-9.64215862053198,-0.918345379568837,-2.32549549826442,0,0,0
76,-9.64353956355711,-0.883651212728338,-2.31950605473635,0,0,0
77,-9.64982910086832,-0.906006931406417,-2.30540277599414,0,0,0
78,-9.65059349625186,-0.902945924788899,-2.26225412663119,0,0,0
79,-9.64706896213655,-0.980019937877483,-2.30697463878035,0,0,0
80,-9.64402073779457,-0.790519944025507,-2.18250865355836,0,0,0
81,-9.60702194049693,-0.823594897137064,-2.18249132797079,0,0,0
82,-9.64897595323999,-1.17372547826229,-2.60924731168582,0,0,0
83,-9.62235244856265,-0.877896577186024,-2.40277801286195,0,0,0
84,-9.60351309901126,-0.959660507485332,-2.46824562913246,0,0,0
85,-9.61488768281833,-0.914223966298531,-2.40652900617327,0,0,0
86,-9.63437550191235,-0.938191494288074,-2.45494601268179,0,0,0
87,-9.63544315826479,-0.907793694386169,-2.38423331603299,0,0,0
88,-9.63891720790215,-0.916604684423441,-2.31872165935135,0,0,0
89,-9.64283008292004,-0.913634820628778,-2.29572938488224,0,0,0
90,-9.65128553982848,-0.905889028246357,-2.31950367991623,0,0,0
91,-9.64154372992528,-0.742750564532029,-2.15416851307693,0,0,0
92,-9.65375244837371,-1.04574100169239,-2.40080000418503,0,0,0
93,-9.65794716132062,-0.922514802281945,-2.3232900737083,0,0,0
94,-9.64843827280879,-0.94762624143968,-2.28685735755891,0,0,0
95,-9.64549250231155,-0.937007397997044,-2.29650659181138,0,0,0
96,-9.64625756262745,-0.939294289999654,-2.32329151988598,0,0,0
97,-9.64748522827434,-0.919771973709344,-2.39022331740713,0,0,0
98,-9.63925462795101,-0.913097076806543,-2.4467346179922,0,0,0
99,-9.6287390580581,-0.908783419638971,-2.46308152927706,0,0,0
100,-9.62492072446642,-0.908845693552842,-2.42141843003642,0,0,0
101,-9.64623108813373,-0.897818086335057,-2.33365656995938,0,0,0
102,-9.66804471292747,-0.901088635401736,-2.27492132041336,0,0,0
103,-9.68086323595293,-0.906939545187831,-2.24370817691291,0,0,0
104,-9.67310869995345,-0.909164835875613,-2.24660696378629,0,0,0
105,-9.65356038562722,-0.906665275713799,-2.25482430734906,0,0,0
106,-9.64744860012198,-0.912865916802244,-2.28160419691062,0,0,0
107,-9.64596503416891,-0.911380837516976,-2.30391647703701,0,0,0
108,-9.64538003471234,-0.903903000122396,-2.29349428690209,0,0,0
109,-9.6467894234568,-0.906063739790039,-2.29052071592594,0,0,0
110,-9.64517843431739,-0.912902297923465,-2.30242929947253,0,0,0
111,-9.64044467215336,-0.922769468150084,-2.32177394128668,0,0,0
112,-9.62980969585591,-0.924481682254661,-2.32473587082322,0,0,0
