Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.78441183423812,-0.0424821411028611,-0.124470924259378,0,0,0
1,-9.7775283898937,-0.0313608526280899,-0.121948083694186,0,0,0
2,-9.77949535319903,-0.037784344822949,-0.108200073259554,0,0,0
3,-9.78459354463624,-0.0381412363366273,-0.115626276873178,0,0,0
4,-9.78923546295183,-0.0291157588475784,-0.117733286160195,0,0,0
5,-9.78866508024268,-0.0376190575951372,-0.105955126889847,0,0,0
6,-9.79558302450233,-0.0352825260435486,-0.117182894698873,0,0,0
7,-9.7752756287604,-0.0291880043145716,-0.119702197663666,0,0,0
8,-9.78645245199014,-0.0332327523590334,-0.108200041418388,0,0,0
9,-9.77247554835271,-0.0400342996421745,-0.108062002632578,0,0,0
10,-9.7792856063332,-0.0263657326507323,-0.12785704292279,0,0,0
11,-9.78422381565702,-0.0355775297484495,-0.126302119621237,0,0,0
12,-9.77487196072757,-0.0400830936763622,-0.130655159821507,0,0,0
13,-9.77042943059964,-0.0380394672215767,-0.130792526177447,0,0,0
14,-9.7754422859234,-0.0315797551158639,-0.142433342851092,0,0,0
15,-9.77503750636056,-0.0424729095254021,-0.135422177399097,0,0,0
16,-9.7751922869065,-0.022374442085789,-0.155353984858242,0,0,0
17,-9.78635252364645,-0.0331493942577118,-0.150726926594804,0,0,0
18,-9.79540283058113,-0.0396260715716499,-0.150728180916754,0,0,0
19,-9.779127456064,-0.0352235869538014,-0.14806756631779,0,0,0
20,-9.79326920964519,-0.0308107639670757,-0.141745069109153,0,0,0
21,-9.79349050118961,-0.0242554474518915,-0.128409179345998,0,0,0
22,-9.78833546543362,-0.0328418062152092,-0.121121761249763,0,0,0
23,-9.78152053099566,-0.0352668341972952,-0.116768415842922,0,0,0
24,-9.77519495712347,-0.0336141400385436,-0.103984048651486,0,0,0
25,-9.78627524171367,-0.0488163588942416,-0.0948664287943827,0,0,0
26,-9.78651981674898,-0.0467771805155467,-0.0884053937028266,0,0,0
27,-9.7799444821945,-0.0359198409541684,-0.093032725336895,0,0,0
28,-9.7797560627777,-0.0290144411779473,-0.0881273992718127,0,0,0
29,-9.7867586331367,-0.0334934969645257,-0.0839129891026903,0,0,0
30,-9.79136757050016,-0.0379283091131724,-0.102015729206689,0,0,0
31,-9.77734460159256,-0.0356983042999264,-0.0971100026548747,0,0,0
32,-9.78426255294978,-0.0333617828335272,-0.108337773166211,0,0,0
33,-9.77941019488751,-0.0309677828972605,-0.114660178781296,0,0,0
34,-9.78156010313352,-0.0330524388555087,-0.11227716191513,0,0,0
35,-9.78399595231873,-0.0308866479300268,-0.12813354116389,0,0,0
36,-9.78433720096592,-0.0176902657049846,-0.121533505664112,0,0,0
37,-9.7909291909403,-0.0218177282411085,-0.112276585476722,0,0,0
38,-9.78429693410523,-0.0199034802517968,-0.114797193643564,0,0,0
39,-9.78018552177188,-0.0226399318657454,-0.124468580817611,0,0,0
40,-9.78002052459109,-0.0202508843861429,-0.12868362716598,0,0,0
41,-9.77363889721756,-0.0275430790097757,-0.129511160988652,0,0,0
42,-9.78430393158863,-0.0311504453010934,-0.133038206043399,0,0,0
43,-9.78438993665557,-0.0379683025079758,-0.140051199383402,0,0,0
44,-9.77090221267067,-0.0406917943888851,-0.129236634076537,0,0,0
45,-9.77741527596105,-0.0492482082669469,-0.131207733895119,0,0,0
46,-9.77921136199117,-0.0420380840187282,-0.121397862248089,0,0,0
47,-9.78392130479502,-0.0465581156586903,-0.114937815010146,0,0,0
48,-9.77716807838334,-0.0512829888059222,-0.0950039603555712,0,0,0
49,-9.78398388491684,-0.0488594793088053,-0.112830404459839,0,0,0
50,-9.78178712462358,-0.0377419206706391,-0.0969726443998369,0,0,0
51,-9.7911777239427,-0.031020619911877,-0.0746552496436384,0,0,0
52,-9.78257708752058,-0.0226806805285865,-0.068468678954702,0,0,0
53,-9.78464184112877,-0.0179486746965323,-0.0725458011756857,0,0,0
54,-9.80081474938354,-0.0222634505895629,-0.0750684992667315,0,0,0
55,-9.78925021326873,-0.02238265146742,-0.0816664710723289,0,0,0
56,-9.77813579024543,-0.0206392716447611,-0.0888156871524942,0,0,0
57,-9.78151969688718,-0.0352654417620597,-0.103295340596604,0,0,0
58,-9.77719701615218,-0.0265805084194044,-0.107923039900738,0,0,0
59,-9.78170279556689,-0.0309267512684535,-0.116905833810166,0,0,0
60,-9.7844457922755,-0.0290234129556065,-0.124193795940408,0,0,0
61,-9.77482527156498,-0.0310503103000647,-0.114659894885983,0,0,0
62,-9.7978990694536,-0.0397579594920755,-0.128548943694501,0,0,0
63,-9.77978101200876,-0.0335334688687897,-0.12194845448285,0,0,0
64,-9.7823184634301,-0.0314538745689196,-0.12222412179717,0,0,0
65,-9.79343270675643,-0.0331971916491988,-0.112829370362031,0,0,0
66,-9.77974102373591,-0.0357471169128216,-0.1197031680814,0,0,0
67,-9.7751962082877,-0.033616228693909,-0.124193685828191,0,0,0
68,-9.78182753031868,-0.0355289484126726,-0.105954472203458,0,0,0
69,-9.79331315844098,-0.0398388626476644,-0.112830056886418,0,0,0
70,-9.78603108385162,-0.0508562709954643,-0.10806399853729,0,0,0
71,-9.77923283512645,-0.0465513124105983,-0.0990810605212246,0,0,0
72,-9.774774715781,-0.0512393532625308,-0.121812124315655,0,0,0
73,-9.77765381320875,-0.0359641218657834,-0.122224295576643,0,0,0
74,-9.78424585091127,-0.0400916531757662,-0.11296736393316,0,0,0
75,-9.79098674633144,-0.053338815180124,-0.113107037719878,0,0,0
76,-9.77746512303551,-0.0290582578107987,-0.112827919042356,0,0,0
77,-9.79374621426588,-0.0447049758014914,-0.111274372017499,0,0,0
78,-9.77988820711544,-0.0448639203199428,-0.102153578313449,0,0,0
79,-9.77736242419123,-0.0289702384892584,-0.110444530103058,0,0,0
80,-9.78905194104314,-0.0334536254819333,-0.0973862257431984,0,0,0
81,-9.79091714106305,-0.0397907660643274,-0.0969734410341829,0,0,0
82,-9.78442083855799,-0.0245043649201394,-0.0903727401867977,0,0,0
