Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.79985594349302,-0.751993646895893,-1.22639010216365,0,0,0
1,-9.80893574895715,-0.759459969625906,-1.23386949372672,0,0,0
2,-9.80866149991657,-0.766119301186401,-1.21822188095335,0,0,0
3,-9.80319293836023,-0.754615471131766,-1.18540011499164,0,0,0
4,-9.80392886152588,-0.742981835168126,-1.17286680884825,0,0,0
5,-9.81216989998815,-0.752689110090714,-1.19818717508367,0,0,0
6,-9.81871299811753,-0.74698219101828,-1.22264587671437,0,0,0
7,-9.79888354678957,-0.726466271458866,-1.22192487421284,0,0,0
8,-9.79265759140717,-0.723388257774031,-1.18691232978136,0,0,0
9,-9.80076890415787,-0.732989267922869,-1.21889618580251,0,0,0
10,-9.80692971233856,-0.749011198238938,-1.30006732701474,0,0,0
11,-9.80415389835617,-0.765467213333919,-1.28887576061516,0,0,0
12,-9.82746201071806,-0.790119806325451,-1.20568174620431,0,0,0
13,-9.85973327499637,-0.796142229046329,-1.19377277339866,0,0,0
14,-9.85014895983596,-0.775892918909756,-1.26214630641853,0,0,0
15,-9.80940714048406,-0.769150493690784,-1.28516876464837,0,0,0
16,-9.79794126096813,-0.780751762349846,-1.2703175232481,0,0,0
17,-9.78210314455668,-0.768876570362219,-1.22340714022487,0,0,0
18,-9.78329464357294,-0.750864057862218,-1.22267457151764,0,0,0
19,-9.81453537656078,-0.749659594487075,-1.2666171523819,0,0,0
20,-9.84501714698968,-0.749234908119473,-1.2741205775507,0,0,0
21,-9.85167130193178,-0.743619693498468,-1.280011958462,0,0,0
22,-9.84669654121209,-0.728692545480786,-1.30008890004472,0,0,0
23,-9.82799590497305,-0.716243425640375,-1.3141954244187,0,0,0
24,-9.80523043997156,-0.70669795212823,-1.32453122180182,0,0,0
25,-9.78695695743588,-0.703142337470794,-1.30885838926392,0,0,0
26,-9.76484752626351,-0.70114848632947,-1.28574168591077,0,0,0
27,-9.74965606834478,-0.704460418792334,-1.27755404675456,0,0,0
28,-9.74584638434772,-0.713690792347453,-1.27535956513782,0,0,0
29,-9.7516719683368,-0.718738385853802,-1.25674365403717,0,0,0
30,-9.76519794590768,-0.729099502026927,-1.22257097115936,0,0,0
31,-9.78860253618948,-0.730887862279972,-1.19134720200943,0,0,0
32,-9.80486329395758,-0.726287189459212,-1.2025747160752,0,0,0
33,-9.82516387855477,-0.723481315570306,-1.21816297058927,0,0,0
34,-9.84778761373782,-0.726027442982302,-1.22635369764851,0,0,0
35,-9.8547039767289,-0.732095903453944,-1.24797944017237,0,0,0
36,-9.85964998483802,-0.731572082757417,-1.26294606785025,0,0,0
37,-9.85870493919905,-0.739079860863262,-1.2674017956536,0,0,0
38,-9.84800166474468,-0.7430235564505,-1.26590182919149,0,0,0
39,-9.83280313800102,-0.751681872170823,-1.26294464235551,0,0,0
40,-9.81318855980017,-0.769074617204209,-1.27327102069878,0,0,0
41,-9.8048535206801,-0.786052118862408,-1.2815266939008,0,0,0
42,-9.80388312113885,-0.789716783389735,-1.27554591296816,0,0,0
43,-9.80380360209274,-0.79347596963018,-1.26364682851501,0,0,0
44,-9.80548379952371,-0.784405437756623,-1.27256592446522,0,0,0
45,-9.80643490696233,-0.769254883090913,-1.28369223832359,0,0,0
46,-9.80100246023374,-0.771543397096306,-1.27995062023061,0,0,0
47,-9.80037754889805,-0.76860649169957,-1.29037764937827,0,0,0
48,-9.80497483045452,-0.7807971076796,-1.30458366156506,0,0,0
49,-9.80542648835707,-0.787415430299676,-1.3119843691857,0,0,0
50,-9.81173168589533,-0.770679357865063,-1.2844463606677,0,0,0
51,-9.82721871776629,-0.759198945674436,-1.26142524052985,0,0,0
52,-9.81521164568736,-0.743460441808267,-1.28516196677767,0,0,0
53,-9.79714230923268,-0.737774197138551,-1.33199687848021,0,0,0
54,-9.78255448111742,-0.742474986515613,-1.32898774682136,0,0,0
55,-9.79454091327709,-0.752078517843993,-1.31934694795385,0,0,0
56,-9.80448343289151,-0.75273452018117,-1.32235539876935,0,0,0
57,-9.81888931557612,-0.749415170281449,-1.31417428482824,0,0,0
58,-9.84048964388309,-0.750862435568626,-1.3105703790794,0,0,0
59,-9.85225961054877,-0.751877785969372,-1.30083851812815,0,0,0
60,-9.85288169352345,-0.751752946992636,-1.3022952933008,0,0,0
61,-9.85241029413335,-0.75047180408796,-1.29194128411144,0,0,0
62,-9.85347394435649,-0.760016667384756,-1.28073120716893,0,0,0
63,-9.84847319989215,-0.763420863362145,-1.29196717353392,0,0,0
64,-9.83102381905037,-0.765257968530707,-1.28228616305483,0,0,0
65,-9.8150006670957,-0.763935524685565,-1.27108353039785,0,0,0
66,-9.80609352473586,-0.755080446365136,-1.26884248774493,0,0,0
67,-9.79635629294867,-0.747709014062002,-1.28220952523944,0,0,0
68,-9.79700268965847,-0.751426802926738,-1.29335884276374,0,0,0
69,-9.7981783852911,-0.759532875119674,-1.2933227902984,0,0,0
70,-9.78954108040879,-0.752426818296432,-1.30007609540442,0,0,0
71,-9.77948894297381,-0.739447067694173,-1.28136462553502,0,0,0
72,-9.76919474809745,-0.733020884504937,-1.25313317367278,0,0,0
73,-9.78786459754518,-0.733974430057061,-1.23673245401504,0,0,0
74,-9.79769698700856,-0.736834761646999,-1.23749553237755,0,0,0
75,-9.80472720398461,-0.729997042484938,-1.24420990535327,0,0,0
76,-9.80494846826867,-0.729413300613941,-1.2435134879899,0,0,0
77,-9.80462969259839,-0.736034981919761,-1.24421726493675,0,0,0
78,-9.80325449180795,-0.73464918429609,-1.23159770545319,0,0,0
79,-9.80015122175808,-0.736941630369358,-1.21448416788934,0,0,0
80,-9.80380890072611,-0.73446870586305,-1.23452634250482,0,0,0
81,-9.80475244073752,-0.739192942161783,-1.26434074227316,0,0,0
82,-9.80752894872844,-0.738163702903901,-1.26725580630993,0,0,0
83,-9.81294630287947,-0.737392087152035,-1.27695109484467,0,0,0
84,-9.81387433518561,-0.735987581113089,-1.27921473114985,0,0,0
85,-9.81548473821718,-0.735271914406591,-1.2844402229631,0,0,0
86,-9.81829952271686,-0.732743982536609,-1.29628116565102,0,0,0
87,-9.81332808027873,-0.721643281205104,-1.3126589883053,0,0,0
88,-9.81032609327256,-0.727841309297295,-1.30971806041456,0,0,0
89,-9.8061837912931,-0.743682188034303,-1.29929953690338,0,0,0
90,-9.80449778925947,-0.75274818634333,-1.28666053964995,0,0,0
91,-9.80356485137011,-0.747265655797266,-1.3007238010941,0,0,0
92,-9.80655507682904,-0.747939489029732,-1.3215446850131,0,0,0
93,-9.81189116159321,-0.751689993371909,-1.32603765452121,0,0,0
94,-9.81636133754931,-0.770660117647929,-1.3290922742232,0,0,0
95,-9.81690497703457,-0.779647697334104,-1.32908830366021,0,0,0
96,-9.82150881291192,-0.785726981513506,-1.32987915192949,0,0,0
97,-9.82443053900149,-0.789404546822406,-1.33805607912717,0,0,0
98,-9.81772622666409,-0.785801951396533,-1.34103292548009,0,0,0
99,-9.8078623352952,-0.770681835543762,-1.32979081468731,0,0,0
100,-9.79532048889664,-0.755905309399092,-1.32606474547155,0,0,0
101,-9.79157447095022,-0.752187526117923,-1.32159033566451,0,0,0
102,-9.80322285553275,-0.752971496886774,-1.30902613891028,0,0,0
103,-9.80684381111852,-0.755058145607135,-1.30751449221719,0,0,0
104,-9.8063906636887,-0.763099026326143,-1.32753110952038,0,0,0
105,-9.80365492778467,-0.776394768237379,-1.34104703381204,0,0,0
106,-9.80455113333219,-0.791920923210105,-1.32982802542422,0,0,0
107,-9.79918339193177,-0.79579311983455,-1.29338550124176,0,0,0
108,-9.78544521845085,-0.76218991506027,-1.25691504912366,0,0,0
109,-9.80522238039238,-0.751943998546914,-1.25615761509199,0,0,0
110,-9.82238936279562,-0.76134539292658,-1.29185936441784,0,0,0
111,-9.80826921495291,-0.742721636812704,-1.30148556154124,0,0,0
112,-9.79560272965273,-0.727845457763682,-1.26277624262427,0,0,0
113,-9.79456618801583,-0.7360435827417,-1.26126488043735,0,0,0
114,-9.79403656284447,-0.745417061712273,-1.32308976798188,0,0,0
115,-9.79885163753874,-0.765562188661233,-1.39001624697211,0,0,0
116,-9.81068075145783,-0.784978519101574,-1.3811313947378,0,0,0
117,-9.83035684627596,-0.792241131982142,-1.31573365852383,0,0,0
118,-9.85462599218881,-0.808628955603606,-1.32030430614988,0,0,0
119,-9.8425747570111,-0.797442063183055,-1.36264600267692,0,0,0
120,-9.80499080642237,-0.780040700273468,-1.39680392226015,0,0,0
121,-9.77010799990582,-0.773787260290457,-1.37590963616821,0,0,0
122,-9.75394986895143,-0.773885496357286,-1.33865331565246,0,0,0
123,-9.76919923040861,-0.782092517722685,-1.32162420332775,0,0,0
124,-9.78538498546618,-0.775269990925301,-1.3207532236284,0,0,0
125,-9.80109533245433,-0.770087400854755,-1.32384357930407,0,0,0
126,-9.80364187491864,-0.767973098315788,-1.33654062908318,0,0,0
127,-9.80425214786609,-0.762484478630437,-1.36548577290693,0,0,0
128,-9.80346181670726,-0.769353862848026,-1.37146091475826,0,0,0
129,-9.80034273014349,-0.777750445254679,-1.36181076416198,0,0,0
130,-9.78589709973417,-0.772627037112236,-1.34837394600502,0,0,0
131,-9.7807266892872,-0.767482316387581,-1.34465550814841,0,0,0
132,-9.77031770738768,-0.754077853378698,-1.35206214361516,0,0,0
133,-9.74858941166889,-0.734042148114716,-1.3408432096832,0,0,0
134,-9.73279463491671,-0.728317460759818,-1.33933918325743,0,0,0
135,-9.72204036570292,-0.719985177278226,-1.31471253908848,0,0,0
136,-9.74325876122688,-0.733358074528442,-1.2813317675366,0,0,0
137,-9.7711879809305,-0.740394984844376,-1.28211265511905,0,0,0
138,-9.7885114194694,-0.748394817335393,-1.31263704283891,0,0,0
139,-9.80064934692568,-0.752766808351323,-1.34539664399524,0,0,0
140,-9.80824310095737,-0.751108209130182,-1.37068575924414,0,0,0
141,-9.81989589116802,-0.762599975541502,-1.38048638550202,0,0,0
142,-9.83664197881317,-0.774720399291947,-1.35735243269599,0,0,0
143,-9.83631958120461,-0.768972020479297,-1.35072910090231,0,0,0
144,-9.83139687105984,-0.769514880777282,-1.35064187924859,0,0,0
145,-9.83003552525106,-0.773491706822158,-1.35664456152089,0,0,0
146,-9.8173764509887,-0.769323295620624,-1.38715449697017,0,0,0
147,-9.81124319117973,-0.768613268213397,-1.39010378933745,0,0,0
148,-9.8041723313845,-0.778476460194335,-1.38860089274242,0,0,0
149,-9.80534451756499,-0.788108837730524,-1.40195818485661,0,0,0
150,-9.79680275376618,-0.787330725744126,-1.41231123320334,0,0,0
151,-9.78431500301213,-0.784067074752871,-1.42575925609674,0,0,0
152,-9.7859783667937,-0.775747573390757,-1.4317033459093,0,0,0
153,-9.78527666489932,-0.782688412863033,-1.44959844272906,0,0,0
154,-9.78580308004274,-0.789367458780338,-1.45999113151394,0,0,0
155,-9.78568741356733,-0.801507603053758,-1.46597394050554,0,0,0
156,-9.79002236114028,-0.809662894239858,-1.45258329021251,0,0,0
157,-9.79478418659386,-0.799813657043464,-1.43548315542103,0,0,0
158,-9.78234877105144,-0.788181757352723,-1.44146508278827,0,0,0
159,-9.76349263231376,-0.768723359274441,-1.46517015319507,0,0,0
160,-9.74247748785314,-0.762400460701692,-1.47483292012114,0,0,0
161,-9.74710095493843,-0.753202876093793,-1.4666289545047,0,0,0
162,-9.77596182566748,-0.7550142756717,-1.47783649362255,0,0,0
163,-9.78486450669171,-0.760042171483845,-1.48303251012732,0,0,0
164,-9.79704349510118,-0.76292008698559,-1.48158346648473,0,0,0
165,-9.80122262828541,-0.750169844062776,-1.45707115699171,0,0,0
166,-9.80668847370969,-0.736438841543155,-1.45481470878078,0,0,0
167,-9.80792481727606,-0.732358729196593,-1.45845113580844,0,0,0
168,-9.80414425446785,-0.740083007815834,-1.45923088478317,0,0,0
169,-9.80460924725506,-0.762006341361088,-1.45183519683368,0,0,0
170,-9.81312525575219,-0.776525738824842,-1.47575437510753,0,0,0
171,-9.81086651016386,-0.80423922297571,-1.51587969072701,0,0,0
172,-9.80877908156613,-0.813608294956659,-1.50852872017975,0,0,0
173,-9.80510008085334,-0.798474933126556,-1.51963156858142,0,0,0
174,-9.79425040187918,-0.794655028420628,-1.48087456563253,0,0,0
175,-9.7616692903355,-0.796028836103882,-1.46225748016635,0,0,0
176,-9.75635141922019,-0.799939930984777,-1.45780614129253,0,0,0
177,-9.75626240482304,-0.798337391686162,-1.47488335604559,0,0,0
178,-9.77080259970867,-0.785949730939474,-1.50387387774232,0,0,0
179,-9.77101369945388,-0.777710074996755,-1.5083439083515,0,0,0
180,-9.76332297493745,-0.789228136354545,-1.52249774785658,0,0,0
181,-9.76573362027863,-0.794649955578937,-1.52627648146572,0,0,0
182,-9.76373798248468,-0.80193426764759,-1.5239699807198,0,0,0
183,-9.78421717466093,-0.808451568077783,-1.52328258053732,0,0,0
184,-9.79151988482407,-0.814204231263701,-1.52994878596195,0,0,0
185,-9.79092430528523,-0.797528741992188,-1.50833568992792,0,0,0
186,-9.80559599005675,-0.795190439438221,-1.49873253666014,0,0,0
187,-9.80337040682541,-0.79909329765537,-1.52776507457525,0,0,0
188,-9.77803245160139,-0.806170775630498,-1.52249379983935,0,0,0
189,-9.76187901418153,-0.821564890929008,-1.50985590813312,0,0,0
190,-9.76437225476839,-0.817113370622138,-1.50988648806703,0,0,0
191,-9.76106985913184,-0.821536628934306,-1.52323008499358,0,0,0
192,-9.78104558331149,-0.812981266453087,-1.5307068791383,0,0,0
193,-9.77917824006575,-0.827251306959669,-1.54631299350148,0,0,0
194,-9.77413395695118,-0.80997435069986,-1.5433076146677,0,0,0
195,-9.7635481860642,-0.816307015456374,-1.55077073800875,0,0,0
196,-9.76957455001452,-0.812341257816745,-1.56711059685202,0,0,0
197,-9.77233645054307,-0.815889818637679,-1.5626071872043,0,0,0
198,-9.7846743601288,-0.82883567834341,-1.58504266490781,0,0,0
199,-9.7814036775545,-0.834814573109564,-1.58947655272134,0,0,0
200,-9.79920192598526,-0.860924458472829,-1.57986548551242,0,0,0
201,-9.81360327515899,-0.856835881967115,-1.60589007723784,0,0,0
202,-9.80699011123144,-0.847954144471115,-1.61258048458936,0,0,0
203,-9.79567953252804,-0.840565328243716,-1.59172208120478,0,0,0
204,-9.7874873035185,-0.829367249845277,-1.58202350768644,0,0,0
205,-9.77792872808459,-0.815258793574084,-1.59465455884219,0,0,0
206,-9.75772049459346,-0.807433331422684,-1.57382988586091,0,0,0
207,-9.75532554622945,-0.801259559725037,-1.57228211753358,0,0,0
208,-9.74985097511739,-0.815748050451181,-1.5767714686716,0,0,0
209,-9.7532717206038,-0.81843671283141,-1.58934721460598,0,0,0
210,-9.76482302251391,-0.829079239890472,-1.6162263556163,0,0,0
211,-9.78419018538708,-0.851379454435697,-1.64379570151777,0,0,0
212,-9.79572247180365,-0.861241945635617,-1.65058657829587,0,0,0
213,-9.79724276750116,-0.853571124383522,-1.66245076767724,0,0,0
214,-9.78589227814891,-0.844620681421468,-1.64529407871792,0,0,0
215,-9.79661598649969,-0.836105230584054,-1.65793188088562,0,0,0
216,-9.79553084001488,-0.842597712557593,-1.68483451492398,0,0,0
217,-9.7922523041053,-0.836338341632964,-1.64904600098259,0,0,0
218,-9.79932285988201,-0.831064324883949,-1.6074362918967,0,0,0
219,-9.79169599528813,-0.836517895457248,-1.60000736990143,0,0,0
220,-9.76993935745604,-0.816458352581832,-1.61555542598818,0,0,0
221,-9.74927207438471,-0.809787638510145,-1.63032945732858,0,0,0
222,-9.76504927293504,-0.837671165784667,-1.6676363931425,0,0,0
223,-9.79318564525362,-0.871009788693033,-1.67734558910786,0,0,0
224,-9.80502785478439,-0.897318005169833,-1.65734197685956,0,0,0
225,-9.78096625049275,-0.892568102443271,-1.63353917911601,0,0,0
226,-9.74847535753202,-0.868781971455566,-1.63936161742502,0,0,0
227,-9.72362940608853,-0.873964907624891,-1.611882290132,0,0,0
228,-9.72338952196655,-0.881416207129631,-1.62599450670536,0,0,0
229,-9.72230587956999,-0.883460999821995,-1.62146692712743,0,0,0
230,-9.74422803419218,-0.888362867860131,-1.6006763241573,0,0,0
231,-9.7814964455382,-0.885490876004765,-1.59552382212075,0,0,0
