Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.73125843694983,1.15687898001427,-3.80447778942886,0,0,0
1,-8.73130237673209,1.16829742241502,-3.78396605264768,0,0,0
2,-8.7293928608564,1.1701119881546,-3.77758851287072,0,0,0
3,-8.72932541373028,1.16560461788617,-3.76854974676385,0,0,0
4,-8.72936352527276,1.16785115601503,-3.76629361404605,0,0,0
5,-8.7386464552111,1.17455206807241,-3.76875045041439,0,0,0
6,-8.74748075907431,1.17264304463213,-3.76628667191272,0,0,0
7,-8.74740591604012,1.18651051591045,-3.75009729091927,0,0,0
8,-8.74561227227035,1.18588067843603,-3.74391434944675,0,0,0
9,-8.74038726820983,1.17983202828862,-3.73408802395624,0,0,0
10,-8.75425737529558,1.19109960921834,-3.73202964484833,0,0,0
11,-8.74761406694193,1.18853316354457,-3.72093616192541,0,0,0
12,-8.74081244604277,1.17699011797966,-3.72790121032541,0,0,0
13,-8.76768918791874,1.17537752589057,-3.72768428800333,0,0,0
14,-8.76119114316154,1.16344652838783,-3.73730190392263,0,0,0
15,-8.75226286574254,1.19761669464138,-3.73449374928822,0,0,0
16,-8.73900268721787,1.17638662714011,-3.74656182271675,0,0,0
17,-8.74710465539157,1.24824902407576,-3.73102080146269,0,0,0
18,-8.73832685548693,1.15429520520944,-3.75291954618401,0,0,0
19,-8.78798458139277,1.13899037259928,-3.771332977218,0,0,0
20,-8.75911290082041,1.21369827761534,-3.76592796461461,0,0,0
21,-8.72093233554373,1.19449820652668,-3.76878349039099,0,0,0
22,-8.73392288677712,1.16097318670614,-3.75744660028257,0,0,0
23,-8.76098004783966,1.1614285528012,-3.77098011356901,0,0,0
24,-8.74094009745301,1.16765402122092,-3.77571445777573,0,0,0
25,-8.7379163589568,1.16860291857826,-3.78376459922515,0,0,0
26,-8.72310869531098,1.18086527706467,-3.78703292737171,0,0,0
27,-8.73595555872368,1.17737384982764,-3.79074812428861,0,0,0
28,-8.73617548043472,1.18168597166446,-3.7999839593677,0,0,0
29,-8.73655662394013,1.19496991048226,-3.78664424912665,0,0,0
30,-8.73832827843687,1.19332710784968,-3.77023970374208,0,0,0
31,-8.73852035705329,1.18619438455219,-3.77514370881073,0,0,0
32,-8.73408413931761,1.19061635301989,-3.77289287255171,0,0,0
33,-8.73225525752465,1.18773517414791,-3.76444910678601,0,0,0
34,-8.73439349612556,1.18103714562048,-3.77573307558915,0,0,0
35,-8.73634109123265,1.19065072660334,-3.77063290849212,0,0,0
36,-8.73217023527789,1.19243784161966,-3.77329082805537,0,0,0
37,-8.73198699174883,1.18119329356318,-3.77327896541622,0,0,0
38,-8.75011448580829,1.18596848447185,-3.75746247176585,0,0,0
39,-8.75402134307951,1.18681371628639,-3.74763737009321,0,0,0
40,-8.74572664676928,1.18343885421857,-3.74636752071125,0,0,0
41,-8.75080652482083,1.18967070322931,-3.74470431207831,0,0,0
42,-8.75000303187617,1.1884055674953,-3.75049228198665,0,0,0
43,-8.74794984040142,1.19040095964057,-3.73036658947351,0,0,0
44,-8.73399172063987,1.19302251320484,-3.73656216761722,0,0,0
45,-8.75049856946033,1.19924751061164,-3.73960567816142,0,0,0
46,-8.75719469022865,1.19485521656745,-3.73507953151059,0,0,0
47,-8.76170714789196,1.19492634632931,-3.73281810024903,0,0,0
48,-8.75677676957262,1.19768544180829,-3.72997382116904,0,0,0
49,-8.76373239225493,1.19984926456599,-3.73016883196042,0,0,0
50,-8.75758614917428,1.19894083319792,-3.71515170654206,0,0,0
51,-8.75422360467023,1.19802751112628,-3.7182887464099,0,0,0
52,-8.74351068564696,1.19482764918864,-3.73263276368998,0,0,0
53,-8.74572660637128,1.19262026025793,-3.73714594496742,0,0,0
54,-8.74556534563246,1.19282989650097,-3.75049994886818,0,0,0
55,-8.74577646296965,1.20633771329554,-3.76406521564632,0,0,0
56,-8.74797775417383,1.20415413681412,-3.79116344529049,0,0,0
57,-8.74967168278831,1.19802070467014,-3.78152963923608,0,0,0
58,-8.74086234125122,1.1815260762695,-3.76404203951722,0,0,0
59,-8.73926364799891,1.18294037986256,-3.74902449104434,0,0,0
60,-8.73642021368192,1.1744676653199,-3.72358176423221,0,0,0
61,-8.74139303560755,1.17394827497432,-3.71739434911984,0,0,0
62,-8.77058115335836,1.17689883013514,-3.74428285847253,0,0,0
63,-8.7551136593979,1.20607724834705,-3.74864391170634,0,0,0
64,-8.73049668848168,1.20771926875767,-3.74208385831578,0,0,0
65,-8.73514986930503,1.22597700336006,-3.73964437469332,0,0,0
66,-8.73182859510767,1.21812458734706,-3.74522966165182,0,0,0
67,-8.75718004128568,1.21555052764881,-3.7956864748951,0,0,0
68,-8.74138285329933,1.20612597005771,-3.81846936669473,0,0,0
69,-8.73268046143059,1.19638293236039,-3.80550594987741,0,0,0
70,-8.72138531292213,1.19391930413426,-3.77615020453085,0,0,0
71,-8.73862297045576,1.17228171742515,-3.74842151169811,0,0,0
72,-8.74746312476912,1.17036315381162,-3.73692373103142,0,0,0
73,-8.73856283699461,1.16776245716659,-3.728090200454,0,0,0
