Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.77758503105677,0.149353760311776,-1.71306113342896,0,0,0
1,-9.77072697101657,0.14858259979232,-1.73834557609004,0,0,0
2,-9.77236591002489,0.151525856348735,-1.76884890746528,0,0,0
3,-9.77076189641552,0.149364148559908,-1.76735962432474,0,0,0
4,-9.77161226965368,0.150744516901618,-1.78075256708119,0,0,0
5,-9.77001376414199,0.153297300403422,-1.77925522183396,0,0,0
6,-9.76868075565028,0.159824297681062,-1.77106400479343,0,0,0
7,-9.77009057866209,0.149237840446997,-1.80976699670112,0,0,0
8,-9.76867218299619,0.153763134871924,-1.84249401822356,0,0,0
9,-9.76725647170972,0.160489025573503,-1.82462835767381,0,0,0
10,-9.76713701097476,0.158334886791085,-1.78594252593635,0,0,0
11,-9.77175849292557,0.161327362294705,-1.76511578807708,0,0,0
12,-9.76556646481925,0.156057524474273,-1.77701497579349,0,0,0
13,-9.76165927704042,0.15315774982873,-1.78296214375565,0,0,0
14,-9.76176432399723,0.156896173764296,-1.81122931069823,0,0,0
15,-9.7586400824928,0.150035945273703,-1.82760070828424,0,0,0
16,-9.75938095713637,0.149299083985606,-1.82313885114228,0,0,0
17,-9.76606460579893,0.142699729707166,-1.80753307709071,0,0,0
18,-9.76772635082179,0.143918182883489,-1.81051387150617,0,0,0
19,-9.76240063908807,0.149319377927039,-1.79561667513522,0,0,0
20,-9.76317816184792,0.154711398270664,-1.7665948121582,0,0,0
21,-9.770054291427,0.153984968478376,-1.78297511742257,0,0,0
22,-9.76469475400072,0.150154087450604,-1.81124233285592,0,0,0
23,-9.76697910008859,0.142367770925883,-1.83432236699478,0,0,0
24,-9.7616162544816,0.144741587612904,-1.82686876142072,0,0,0
25,-9.76246253808124,0.148417442454013,-1.8142191665825,0,0,0
26,-9.76245673336547,0.148421976106889,-1.81049919278865,0,0,0
27,-9.76237541091182,0.151765652461707,-1.79933132783003,0,0,0
28,-9.76172899518688,0.148294983307517,-1.80231577261151,0,0,0
29,-9.76176903582602,0.150555935406797,-1.80454499957131,0,0,0
30,-9.76785642938862,0.153794383644204,-1.80678108368665,0,0,0
31,-9.7624635094051,0.157000759825869,-1.78667785259213,0,0,0
32,-9.76407135688068,0.158305737682417,-1.76956989677939,0,0,0
33,-9.76702742176226,0.155408929980898,-1.76139354059782,0,0,0
34,-9.76559953245907,0.159852110163167,-1.75915450292573,0,0,0
35,-9.76785302384075,0.159190420000613,-1.76436610583422,0,0,0
36,-9.76704821806354,0.154583824169802,-1.76809125038321,0,0,0
37,-9.76479076759852,0.155293405539651,-1.77478272513263,0,0,0
38,-9.765568210082,0.155292078876353,-1.78594383263017,0,0,0
39,-9.76780989180967,0.153021879927479,-1.77032710115181,0,0,0
40,-9.76859438441281,0.156880227828694,-1.76139491059193,0,0,0
41,-9.76712597816678,0.159107586233607,-1.77106171102951,0,0,0
42,-9.76483999358017,0.156738334514877,-1.77626971858716,0,0,0
43,-9.76330727678751,0.156004380437927,-1.79040332310329,0,0,0
44,-9.76104160203994,0.154383357475013,-1.80081838440215,0,0,0
45,-9.76403461662667,0.149840014382753,-1.80306148689601,0,0,0
46,-9.7648095432806,0.146694876060107,-1.81497199667501,0,0,0
47,-9.76086693871514,0.143058593392571,-1.80604014577712,0,0,0
48,-9.76157367583908,0.142393131236072,-1.79413747983143,0,0,0
49,-9.76092254379124,0.145262665805719,-1.80380625613481,0,0,0
50,-9.76328070159048,0.15224949217144,-1.82686280059257,0,0,0
51,-9.76027018334497,0.154469541003193,-1.82239133022258,0,0,0
52,-9.76095950658499,0.153817729111882,-1.7993287551732,0,0,0
53,-9.7632284591702,0.152290295030408,-1.79338305032916,0,0,0
54,-9.76331124036371,0.154428340968765,-1.79412598714786,0,0,0
55,-9.76262965232719,0.1605122412841,-1.79634857666865,0,0,0
56,-9.76102159840023,0.1575896835368,-1.80006815061262,0,0,0
57,-9.75816128244056,0.165760313413136,-1.8149340313348,0,0,0
58,-9.75580017671396,0.162820079411388,-1.82311636516647,0,0,0
59,-9.75803362414504,0.156690983358152,-1.82684897937124,0,0,0
60,-9.75951353183805,0.153645765436937,-1.81792795779206,0,0,0
61,-9.76027645868409,0.154419858407887,-1.81197626610646,0,0,0
62,-9.76093329884775,0.149208902873903,-1.81495900998648,0,0,0
63,-9.76157272286782,0.144011497087186,-1.80678183933187,0,0,0
64,-9.76402987856352,0.147506746618312,-1.80901706598517,0,0,0
65,-9.76174371168299,0.150665235729434,-1.81719120030717,0,0,0
66,-9.76181925481239,0.155999599715557,-1.82536784078197,0,0,0
67,-9.76339307515154,0.156656661854826,-1.82313903558933,0,0,0
68,-9.7625779131285,0.154395211851824,-1.81123668757741,0,0,0
69,-9.76106560091396,0.158274606008089,-1.80602003975124,0,0,0
70,-9.75665983855993,0.160912630152617,-1.80154954693473,0,0,0
71,-9.75656183852268,0.161258070222357,-1.82535223604755,0,0,0
72,-9.75514149178649,0.164931259294181,-1.83576205121883,0,0,0
73,-9.75133787029091,0.164872608056789,-1.83352413729258,0,0,0
74,-9.75659016819517,0.161191125782256,-1.82907307207615,0,0,0
75,-9.75797801448705,0.156015120834623,-1.81345714018995,0,0,0
76,-9.75869488741664,0.151387024529483,-1.80379363045383,0,0,0
77,-9.75642303784878,0.152152624554048,-1.81569220880246,0,0,0
78,-9.76106598185628,0.154364316125039,-1.81644228081418,0,0,0
79,-9.75509623015508,0.161910264979652,-1.83799771351361,0,0,0
80,-9.75142075212093,0.166291200325687,-1.85658700253704,0,0,0
81,-9.75426241345053,0.152741809398339,-1.87000020782524,0,0,0
82,-9.75640296505868,0.14843738030553,-1.87075063176932,0,0,0
83,-9.7526564777689,0.146671674853784,-1.8774451410326,0,0,0
84,-9.75198665166152,0.147218777523836,-1.88414165218611,0,0,0
85,-9.75885508217984,0.154318237718332,-1.87521344836977,0,0,0
86,-9.75523588283238,0.164003784643068,-1.87519644574009,0,0,0
87,-9.75224999235961,0.1614856330608,-1.89007703362822,0,0,0
88,-9.75214682159169,0.154734392688852,-1.90868431258476,0,0,0
89,-9.74743889566713,0.147989014561825,-1.91314764726578,0,0,0
90,-9.7519492608022,0.148910400823453,-1.88785712234496,0,0,0
91,-9.75648181962893,0.147343200446382,-1.84248501058498,0,0,0
92,-9.76040955793319,0.164338637255299,-1.82461049351444,0,0,0
93,-9.76433019333184,0.168800733792947,-1.82610062220533,0,0,0
94,-9.75122157105592,0.16051337889227,-1.84915091825127,0,0,0
95,-9.74884867955071,0.145043375388154,-1.87372195984381,0,0,0
96,-9.75569638142953,0.143575144144605,-1.87968732107688,0,0,0
97,-9.74691060534342,0.170043766121912,-1.86401435491256,0,0,0
98,-9.7441274420231,0.185030764686669,-1.8580401376079,0,0,0
99,-9.75366951475237,0.161767991924865,-1.88337989058952,0,0,0
100,-9.74365243728688,0.147827432904699,-1.89305563337119,0,0,0
101,-9.75202784498257,0.151006960618396,-1.87148912696537,0,0,0
102,-9.75588390810014,0.158754985842642,-1.85809218339921,0,0,0
103,-9.75818605284571,0.158774580869761,-1.87223164802761,0,0,0
104,-9.7535262919852,0.154283813826271,-1.88413219456166,0,0,0
105,-9.75347732538126,0.149648014928654,-1.87074757791485,0,0,0
106,-9.75574812464867,0.149692091691454,-1.86479917572779,0,0,0
107,-9.75431674885311,0.152609818344691,-1.87595393529324,0,0,0
108,-9.75499062977034,0.152823707050882,-1.86404855610571,0,0,0
109,-9.7535231552651,0.15496077169836,-1.84544530754004,0,0,0
110,-9.7618747704278,0.154338507730154,-1.84769125975519,0,0,0
111,-9.76105632850541,0.155225503057382,-1.83131953000525,0,0,0
112,-9.76174554630229,0.153764909488986,-1.80156277758035,0,0,0
113,-9.76106258900115,0.158232158775563,-1.7896530108021,0,0,0
114,-9.76505093771221,0.161787690147392,-1.81346561042125,0,0,0
