Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.56719729217279,-0.301154252275045,-1.36354238150197,0,0,0
1,-9.57219124527974,-0.26059584969238,-1.32052552421062,0,0,0
2,-9.57288241899873,-0.2314143726428,-1.30489379272624,0,0,0
3,-9.572346067487,-0.238047966670593,-1.33169494913177,0,0,0
4,-9.56021287753902,-0.289944704217334,-1.35197352411128,0,0,0
5,-9.5611941036032,-0.368648513896659,-1.33833844360871,0,0,0
6,-9.55791023503534,-0.420408662007153,-1.30877933362795,0,0,0
7,-9.56528148674313,-0.433973971044056,-1.29805427770449,0,0,0
8,-9.57068817969759,-0.377634874148058,-1.32972875457111,0,0,0
9,-9.5665435712437,-0.316833452223465,-1.34516538306687,0,0,0
10,-9.55583530199517,-0.30581756679835,-1.38161239466021,0,0,0
11,-9.53494479504515,-0.315001018085759,-1.43778374182543,0,0,0
12,-9.53264668612507,-0.339786444408729,-1.51258045655866,0,0,0
13,-9.52766448524396,-0.317163673811672,-1.54363855033301,0,0,0
14,-9.51100677580311,-0.295172454936769,-1.54892408902438,0,0,0
15,-9.53344432205057,-0.290287544089002,-1.52618325237044,0,0,0
16,-9.53387354999552,-0.290406115585819,-1.49485841709829,0,0,0
17,-9.53733803142439,-0.305952682208885,-1.45134233880679,0,0,0
18,-9.53550363831616,-0.319658040233534,-1.40885901250584,0,0,0
19,-9.54184487824377,-0.321745501178272,-1.37694118936006,0,0,0
20,-9.55752997710188,-0.328248065494178,-1.36563169585336,0,0,0
21,-9.55137669883111,-0.290103363023171,-1.38148542684693,0,0,0
22,-9.53436991537585,-0.249942998961682,-1.43151837365678,0,0,0
23,-9.53697985954893,-0.252212534773553,-1.45890889105626,0,0,0
24,-9.53427081209994,-0.267963357065006,-1.44745498922617,0,0,0
25,-9.56090681403985,-0.283277021425234,-1.39758874034962,0,0,0
26,-9.55645436659484,-0.30595469606079,-1.37301814413876,0,0,0
27,-9.55363069854569,-0.353263613404011,-1.37763314753519,0,0,0
28,-9.54119011134322,-0.373495662078695,-1.40187585819284,0,0,0
29,-9.53281247968947,-0.371510507594128,-1.41135738681683,0,0,0
30,-9.5442713101368,-0.360078013939832,-1.41362038526932,0,0,0
31,-9.55728640863764,-0.366523192147059,-1.41105300654899,0,0,0
32,-9.55066416036974,-0.332814070263794,-1.40628306810835,0,0,0
33,-9.54226188412477,-0.308280246696031,-1.38839408232121,0,0,0
34,-9.55380779902587,-0.303626125318064,-1.40208863442051,0,0,0
35,-9.54262815525991,-0.310605042346003,-1.39771846733735,0,0,0
36,-9.54229150187345,-0.34440086365536,-1.38427876054415,0,0,0
37,-9.55194831207992,-0.37997543808847,-1.40156839664187,0,0,0
38,-9.55254681687624,-0.38238699014885,-1.36812907263393,0,0,0
39,-9.54829316569949,-0.380279589864887,-1.34343805918668,0,0,0
40,-9.56252855958592,-0.373541846680197,-1.32809572004706,0,0,0
41,-9.55279104591646,-0.355367515058033,-1.3544604685559,0,0,0
42,-9.56876062945535,-0.343861350504218,-1.35672053923686,0,0,0
43,-9.56663656080379,-0.323621483820743,-1.34756316034189,0,0,0
44,-9.55521151180028,-0.332800117952705,-1.34981940248123,0,0,0
45,-9.568813373263,-0.341638255030929,-1.33188016176872,0,0,0
46,-9.55490794155078,-0.353086798996483,-1.3091463102725,0,0,0
47,-9.54426115616594,-0.339861829271673,-1.30720228492337,0,0,0
48,-9.5327088623701,-0.330942172837218,-1.32725208622587,0,0,0
49,-9.53346452932447,-0.297247465947171,-1.32517569842998,0,0,0
50,-9.52951494865299,-0.288418544657154,-1.31644726377663,0,0,0
51,-9.5489021054894,-0.294691440603291,-1.29099853551939,0,0,0
52,-9.61459269223993,-0.302743676424389,-1.25736303374051,0,0,0
53,-9.64051602445588,-0.335950718166614,-1.22299437223952,0,0,0
54,-9.61794661030254,-0.374673982323849,-1.23244142757389,0,0,0
55,-9.59507818186069,-0.404255400424678,-1.29806613484306,0,0,0
56,-9.56290957591051,-0.449692770868744,-1.39755673804936,0,0,0
57,-9.53750207428185,-0.483757634573888,-1.4720656032023,0,0,0
58,-9.53013010133407,-0.4814459111354,-1.5168011981583,0,0,0
59,-9.51919013129091,-0.483905174382152,-1.57130179834581,0,0,0
60,-9.50172903318528,-0.448203431827866,-1.57812675378788,0,0,0
61,-9.51786312526391,-0.402911959543771,-1.5439941735807,0,0,0
62,-9.53735884781918,-0.342059388369238,-1.46077780328638,0,0,0
63,-9.54915064794722,-0.287878894934233,-1.39278140942625,0,0,0
64,-9.56137153722147,-0.256326046381106,-1.35922383830011,0,0,0
65,-9.56113250431419,-0.272099659686392,-1.33210602037047,0,0,0
66,-9.56090290573079,-0.299143228116212,-1.32319025554162,0,0,0
67,-9.56959900639574,-0.319246864391781,-1.31638774776766,0,0,0
68,-9.56470928814928,-0.330538646023328,-1.30268176116389,0,0,0
69,-9.57201106654725,-0.335046989639471,-1.30988723659649,0,0,0
70,-9.57135654647955,-0.361979135660606,-1.32552139450143,0,0,0
71,-9.55295417070868,-0.382468936347846,-1.37068048804415,0,0,0
72,-9.54824343678998,-0.380198592952965,-1.4202248848756,0,0,0
73,-9.5392385627079,-0.391626977907939,-1.42714071516041,0,0,0
74,-9.54597397084302,-0.39377551113063,-1.41810020713369,0,0,0
75,-9.55301374769813,-0.364384898292785,-1.41572170151048,0,0,0
76,-9.55282632814284,-0.350806975742287,-1.41318444267334,0,0,0
77,-9.53534439738128,-0.342198059445105,-1.40446493717516,0,0,0
78,-9.53348313141552,-0.342295710210759,-1.42734384499238,0,0,0
79,-9.53602792573277,-0.344823386523582,-1.42996889216692,0,0,0
80,-9.54250622130745,-0.342151074185562,-1.42507956136308,0,0,0
81,-9.54369066427236,-0.332877164014015,-1.41065778284891,0,0,0
82,-9.5444803546739,-0.33531035249039,-1.39769090440645,0,0,0
83,-9.55795261670695,-0.339609823154241,-1.37735146906867,0,0,0
84,-9.57137652310114,-0.346139514323693,-1.37507714921118,0,0,0
85,-9.56389711954166,-0.377704639045479,-1.36812651428618,0,0,0
86,-9.55511659034065,-0.375644564326453,-1.36828121903905,0,0,0
87,-9.57042076844556,-0.379799107490501,-1.37023170248934,0,0,0
88,-9.54995591976433,-0.377840791818398,-1.36784230319174,0,0,0
89,-9.54667681841063,-0.364613014808981,-1.38440098633528,0,0,0
90,-9.54885981521131,-0.355513116176827,-1.40684689495096,0,0,0
91,-9.53351739795798,-0.360607169799578,-1.42769529847919,0,0,0
92,-9.53746350747731,-0.348866260051227,-1.44510820647523,0,0,0
93,-9.53307115769148,-0.367023242480251,-1.44086838462049,0,0,0
94,-9.53290489191969,-0.364734117172676,-1.43846576329621,0,0,0
95,-9.53519841314877,-0.36245047715901,-1.43620823721047,0,0,0
96,-9.53732182521437,-0.371434616273494,-1.41361290327463,0,0,0
97,-9.53989743439564,-0.364701838128926,-1.40473133107077,0,0,0
98,-9.53548137364055,-0.369393883791258,-1.4139388049574,0,0,0
99,-9.53493241978268,-0.366925830500173,-1.41798945138506,0,0,0
100,-9.53773239534986,-0.369349982367287,-1.42071267113308,0,0,0
101,-9.54661676216214,-0.366824155441503,-1.42053365734607,0,0,0
102,-9.54168043047989,-0.355531643681262,-1.41333353103103,0,0,0
103,-9.55309144498103,-0.359893487874084,-1.40895113919567,0,0,0
104,-9.55257851830764,-0.366566371443663,-1.39961724096161,0,0,0
105,-9.55295067656508,-0.36890013133264,-1.39990790332856,0,0,0
106,-9.55093194657136,-0.366722700397876,-1.40683356957816,0,0,0
107,-9.54597861132255,-0.368965782834836,-1.40202420201537,0,0,0
108,-9.55070495000615,-0.355389390446703,-1.40881081976219,0,0,0
109,-9.55033133790201,-0.353053106197995,-1.41077857106146,0,0,0
110,-9.55054012769241,-0.353102559474752,-1.40414980315139,0,0,0
111,-9.55683881049181,-0.357430149626808,-1.38126335565154,0,0,0
112,-9.55019788040203,-0.362071791139598,-1.39044321143283,0,0,0
113,-9.55098468989325,-0.364499637555638,-1.38199312286826,0,0,0
114,-9.55046006664436,-0.371153474712376,-1.39072673764247,0,0,0
