Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.58930292098123,0.736932252742203,-0.956970959498497,0,0,0
1,-9.59355586648921,0.721265323448974,-0.959209924308749,0,0,0
2,-9.59141326283127,0.727970727245807,-0.954701513448698,0,0,0
3,-9.59125970246992,0.728163765720924,-0.954507067869038,0,0,0
4,-9.5917566852243,0.720656708181505,-0.966570239985197,0,0,0
5,-9.58462050028244,0.727903341867109,-0.995358802006399,0,0,0
6,-9.5851159893649,0.72039870632868,-1.00968064026917,0,0,0
7,-9.58241008563073,0.720924275434314,-0.993289131973496,0,0,0
8,-9.58753673718307,0.720223406956901,-0.991805635071912,0,0,0
9,-9.58928940274815,0.727776669751967,-0.988774873309023,0,0,0
10,-9.58929671602001,0.727764758120624,-0.977482388967513,0,0,0
11,-9.58982957918602,0.740862814164721,-0.968851555005418,0,0,0
12,-9.58926445439303,0.725508647267107,-0.970704525777531,0,0,0
13,-9.59388501777122,0.723152093627887,-0.982186187235877,0,0,0
14,-9.5786206915963,0.736007134467176,-0.987116599224551,0,0,0
15,-9.58492614296469,0.72751965266411,-0.99800626872619,0,0,0
16,-9.58560634234832,0.731257262950459,-1.0100814987918,0,0,0
17,-9.57810585725641,0.734365988054961,-1.01363276108741,0,0,0
18,-9.57836934957187,0.740919779615244,-1.01383437961487,0,0,0
19,-9.57601561881726,0.734117106094515,-0.995760731066163,0,0,0
20,-9.58320899758738,0.731394497354509,-0.991820419571284,0,0,0
21,-9.58944149845333,0.727586017332266,-0.991227850037409,0,0,0
22,-9.58756496252827,0.731663442498014,-0.99388152000392,0,0,0
23,-9.58524202578641,0.727119294616708,-0.984844223162632,0,0,0
24,-9.59179591249126,0.713724062801297,-0.973533089359719,0,0,0
25,-9.59844107033496,0.716283385441714,-0.9801121185432,0,0,0
26,-9.58451091139145,0.730333454407606,-0.983874227910312,0,0,0
27,-9.587497515043,0.72715605053307,-0.984842762262926,0,0,0
28,-9.58953053466658,0.722880806132734,-0.977866578758751,0,0,0
29,-9.58039461524305,0.725170982375194,-0.973163329324401,0,0,0
30,-9.58688475446538,0.727925803660008,-0.981806372487165,0,0,0
31,-9.58489570276474,0.73443813818072,-0.977492428511477,0,0,0
32,-9.58479417186903,0.71850001729119,-0.975411788776721,0,0,0
33,-9.58757227582051,0.731651530833488,-0.9825890042045,0,0,0
34,-9.58737803769321,0.738779732644723,-0.977690180008718,0,0,0
35,-9.58742018244638,0.731842201269226,-0.980136030968081,0,0,0
36,-9.58707788459733,0.729976966213316,-0.977486222446957,0,0,0
37,-9.58695951665231,0.732421370790741,-0.979552622909109,0,0,0
38,-9.58314155046126,0.726887127086083,-0.982781653464412,0,0,0
39,-9.58684956735144,0.725674446608557,-0.979545505119531,0,0,0
40,-9.5943006318723,0.729515249598816,-0.984840752114536,0,0,0
41,-9.59174937193885,0.720668619834969,-0.977862745298646,0,0,0
42,-9.58949242277311,0.720634246294082,-0.980122707259263,0,0,0
43,-9.59427275876346,0.727252024284723,-0.971287360604503,0,0,0
44,-9.58884592596448,0.71915012628291,-0.972566979719254,0,0,0
45,-9.58498291241288,0.720558352220228,-0.977867127992426,0,0,0
46,-9.58933447552506,0.720834393609221,-0.986703734385535,0,0,0
47,-9.58922013931814,0.714094681528579,-0.99347211356114,0,0,0
48,-9.59148586166898,0.714114761056013,-0.977661159906522,0,0,0
49,-9.58922634214856,0.723262065718664,-0.972960650060756,0,0,0
50,-9.58470111308143,0.732389379701616,-0.984071073343912,0,0,0
51,-9.58245441073466,0.732338330020039,-0.970521565609852,0,0,0
52,-9.58503609120442,0.734266511730194,-0.998013386447073,0,0,0
53,-9.57988269726787,0.72352489789168,-0.995162495237569,0,0,0
54,-9.59183954313612,0.745802754205407,-0.986533896226968,0,0,0
55,-9.57793212251474,0.74146096826509,-0.977114995600868,0,0,0
56,-9.58745390636858,0.734095908099956,-0.984655405655639,0,0,0
57,-9.5869580539993,0.732423753114797,-0.981811117680217,0,0,0
58,-9.58468392254893,0.741595058560903,-0.999695539667584,0,0,0
59,-9.58923994346,0.734726159847824,-0.99762149278191,0,0,0
60,-9.58274249537473,0.731983185209847,-1.00027097373509,0,0,0
61,-9.58500382975837,0.732010411722723,-0.991235516976958,0,0,0
62,-9.57870240155774,0.731313838426872,-0.985047825603022,0,0,0
63,-9.58955583466026,0.734325729412908,-0.984459470861804,0,0,0
