Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.74536916599207,-0.683315764223726,-0.873871722211649,0,0,0
1,-9.74557721686326,-0.690557095698778,-0.860117892919367,0,0,0
2,-9.7638140437266,-0.681529930210993,-0.857831297867658,0,0,0
3,-9.75683187832668,-0.690402531546278,-0.848658842349822,0,0,0
4,-9.73853095644403,-0.697015329406019,-0.873869643747208,0,0,0
5,-9.73180644141317,-0.717779738557381,-0.885330314314829,0,0,0
6,-9.7292460519226,-0.710394869747512,-0.901375534305284,0,0,0
7,-9.72951062305292,-0.706267508670398,-0.901376497908539,0,0,0
8,-9.73152454183447,-0.708125818443409,-0.887621578905875,0,0,0
9,-9.7429943752053,-0.715211202725439,-0.887625670380826,0,0,0
10,-9.73870633303993,-0.699603355468161,-0.885332567520559,0,0,0
11,-9.7386658606572,-0.694951348104743,-0.883039912051647,0,0,0
12,-9.74570453126124,-0.704512143852356,-0.887627918569393,0,0,0
13,-9.74807877243087,-0.695527110252974,-0.885336464539864,0,0,0
14,-9.73409336277225,-0.692599613995668,-0.887623233711596,0,0,0
15,-9.74779613926344,-0.685872936003894,-0.885335281551866,0,0,0
16,-9.73911222250409,-0.700303131078086,-0.885334109416614,0,0,0
17,-9.75011968450474,-0.68825532775524,-0.889921118374105,0,0,0
18,-9.740961828229,-0.699571799476397,-0.899087910185,0,0,0
19,-9.73467067966517,-0.695888103122623,-0.885333008298017,0,0,0
20,-9.74356853866388,-0.688698254363171,-0.892212424525766,0,0,0
21,-9.74868192957059,-0.689686029722103,-0.896800950799589,0,0,0
22,-9.74094057425044,-0.685790840036145,-0.887625423745,0,0,0
23,-9.74370788933425,-0.693525564759586,-0.885335659170888,0,0,0
24,-9.74603014254241,-0.695908040558619,-0.885336595206227,0,0,0
25,-9.74356136839224,-0.688699265045988,-0.86699544941708,0,0,0
26,-9.75460289166382,-0.704214123228074,-0.864705570461762,0,0,0
27,-9.75254722281214,-0.697704182024857,-0.871582936030678,0,0,0
28,-9.74334245642207,-0.697477647953639,-0.887626774630326,0,0,0
29,-9.74391084682771,-0.693875509270357,-0.885336430120487,0,0,0
30,-9.73687398239267,-0.691206268552019,-0.855531550636211,0,0,0
31,-9.74851358100446,-0.693988744422053,-0.878460725182945,0,0,0
32,-9.73455826690116,-0.688822824820191,-0.878455149691255,0,0,0
33,-9.7457153891112,-0.688492707747731,-0.88075041980889,0,0,0
34,-9.72959788504641,-0.699552517553266,-0.883037171464288,0,0,0
35,-9.74139529536346,-0.698033515465901,-0.887627293598492,0,0,0
36,-9.73655752153228,-0.699809123103819,-0.889917215390017,0,0,0
37,-9.73404903766487,-0.710858185288679,-0.885330838309822,0,0,0
38,-9.7394172942689,-0.700827851715701,-0.88762772283701,0,0,0
39,-9.74196367376287,-0.694431417414884,-0.885336946255225,0,0,0
40,-9.73474835982532,-0.705192285963951,-0.878456052174707,0,0,0
41,-9.72778230501731,-0.698044867693808,-0.880745705791183,0,0,0
42,-9.74364623973776,-0.698002602469171,-0.885335479716618,0,0,0
43,-9.73718490900558,-0.69173030355006,-0.878457230820233,0,0,0
44,-9.73987127301491,-0.690161035863371,-0.871582111934589,0,0,0
45,-9.74813846680931,-0.691050325571751,-0.878459284318667,0,0,0
46,-9.74371493848787,-0.700416336215449,-0.878458410132094,0,0,0
47,-9.72789144269041,-0.70511047762348,-0.87616129355652,0,0,0
48,-9.7411569563535,-0.699922793415907,-0.871579265057371,0,0,0
