Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.48349345726694,-0.113147734512785,-4.30760994725441,0,0,0
1,-8.4791701630354,-0.101983301884,-4.30084927308997,0,0,0
2,-8.48411302418994,-0.104745198178092,-4.28336871106547,0,0,0
3,-8.49320252363864,-0.0909150886099136,-4.283179561715,0,0,0
4,-8.4934719414724,-0.0935447904278684,-4.28131377757932,0,0,0
5,-8.50440073664102,-0.0952197739585272,-4.29220147433789,0,0,0
6,-8.51353550337958,-0.0883305267088049,-4.28768576748662,0,0,0
7,-8.51166236665906,-0.0842548456203885,-4.28131158082472,0,0,0
8,-8.52026100053448,-0.0812864347288244,-4.28523246899773,0,0,0
9,-8.53133483205988,-0.0739628345873476,-4.29838810313002,0,0,0
10,-8.524789689844,-0.0697571721575215,-4.3053702451378,0,0,0
11,-8.52957158770539,-0.0723159682279554,-4.30124309305971,0,0,0
12,-8.53163795926981,-0.0835146654655553,-4.31026373138044,0,0,0
13,-8.52479103908682,-0.0789353284285521,-4.31233378160841,0,0,0
14,-8.51095796209209,-0.0787845452499812,-4.30517195863108,0,0,0
15,-8.50668129156806,-0.0837392994096999,-4.30104828104702,0,0,0
16,-8.49965130204606,-0.0812292633724353,-4.29388446897005,0,0,0
17,-8.49580642653295,-0.0981951211241527,-4.28150511158768,0,0,0
18,-8.5001271030779,-0.0910035241378054,-4.27433874978201,0,0,0
19,-8.49986205799502,-0.0883809332331509,-4.26942907973365,0,0,0
20,-8.50437007273923,-0.088302657392521,-4.27394313491821,0,0,0
21,-8.50926028932637,-0.0932875002672039,-4.28130355133121,0,0,0
22,-8.5109926802464,-0.106368783097095,-4.27863428511337,0,0,0
23,-8.52257618561977,-0.106565578856256,-4.27676356085431,0,0,0
24,-8.5291405621591,-0.0993182193388771,-4.2876636781663,0,0,0
25,-8.52907164986865,-0.103823359163295,-4.2808834611973,0,0,0
26,-8.52894278939831,-0.101363801664301,-4.30101469112755,0,0,0
27,-8.52903061179708,-0.106065208637159,-4.28765656030803,0,0,0
28,-8.52868487956352,-0.107928880965493,-4.29403455653572,0,0,0
29,-8.52914630933737,-0.108503290845422,-4.2878517333812,0,0,0
30,-8.52467200824735,-0.106327816650258,-4.28785702777079,0,0,0
31,-8.50869470675554,-0.108645005899004,-4.28766733568985,0,0,0
32,-8.51354695929528,-0.106700690184926,-4.2880618782802,0,0,0
33,-8.51106318220732,-0.0926904051547238,-4.27393400699472,0,0,0
34,-8.51114220602969,-0.0973775620053163,-4.27412679443763,0,0,0
35,-8.51580121470065,-0.0883104472985531,-4.27187487256055,0,0,0
36,-8.51843038212328,-0.0749713441812956,-4.26982668556356,0,0,0
37,-8.51361477990651,-0.0746663559031166,-4.26943455019541,0,0,0
38,-8.51341861956687,-0.0675383794775285,-4.27130509673919,0,0,0
39,-8.51150578193583,-0.0748828330384443,-4.27866750178531,0,0,0
40,-8.51586732462967,-0.0746248356653818,-4.27395006626722,0,0,0
41,-8.50901604540801,-0.0700382842163974,-4.28279560751276,0,0,0
42,-8.49994874995567,-0.0724200306957352,-4.29634999670629,0,0,0
43,-8.50514516696814,-0.068610378120059,-4.29262504553371,0,0,0
44,-8.4959768008756,-0.0685776504345664,-4.28339936833903,0,0,0
45,-8.50205761533122,-0.0813793476901297,-4.29633904525153,0,0,0
46,-8.50939518717009,-0.0842725427651752,-4.29938099988617,0,0,0
47,-8.49318658438824,-0.0817132080590462,-4.29880093052185,0,0,0
48,-8.51796302962013,-0.083562668347484,-4.2942655111722,0,0,0
49,-8.5154876578139,-0.097093467663043,-4.29425273627421,0,0,0
50,-8.52523188601514,-0.0817853364695673,-4.28130518806573,0,0,0
51,-8.52970326747186,-0.0839560350743734,-4.28581688322624,0,0,0
52,-8.53165540915769,-0.0927188714487331,-4.29238386609405,0,0,0
53,-8.52653069779955,-0.0920285775404969,-4.29837204366722,0,0,0
54,-8.52235378022706,-0.0902195027760869,-4.31006489086177,0,0,0
