Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.78176221063267,0.342813873385301,-3.71548711587908,0,0,0
1,-8.77195504558867,0.320590063066182,-3.74011379711299,0,0,0
2,-8.77364553310587,0.323444075548779,-3.73755587837062,0,0,0
3,-8.77168190088191,0.32999313863175,-3.7670263522818,0,0,0
4,-8.76085581212281,0.333963378080619,-3.80337629981289,0,0,0
5,-8.74733208933218,0.347438051670279,-3.81685078512058,0,0,0
6,-8.74524818402766,0.344950451423468,-3.8056569925923,0,0,0
7,-8.74615467346185,0.362349162538037,-3.79016609666869,0,0,0
8,-8.73460659165344,0.357852069361884,-3.7832927039503,0,0,0
9,-8.72988380189352,0.3693898029166,-3.77181422255173,0,0,0
10,-8.73016568747509,0.362280073512599,-3.78781759009845,0,0,0
11,-8.7184487011297,0.37394112146872,-3.81689824194139,0,0,0
12,-8.71585704016977,0.378794467882911,-3.82799714972573,0,0,0
13,-8.71671489677852,0.407675785563611,-3.85984875562279,0,0,0
14,-8.7130441105922,0.422799419373898,-3.88953077638152,0,0,0
15,-8.72453624692634,0.436483007136656,-3.89857214369715,0,0,0
16,-8.74860462700025,0.417052734283825,-3.91640312547356,0,0,0
17,-8.75516774633035,0.403646404550268,-3.89153984542818,0,0,0
18,-8.76448213574211,0.408070825581505,-3.86453566637886,0,0,0
19,-8.75980230861581,0.396731541423039,-3.84194064826905,0,0,0
20,-8.74924717154218,0.414107891048887,-3.79925363950582,0,0,0
21,-8.7464938851383,0.419088075052044,-3.74927012019313,0,0,0
22,-8.74837843095397,0.408052217018236,-3.72882927996931,0,0,0
23,-8.73918318615105,0.382934317359443,-3.68373697956903,0,0,0
24,-8.75925803576994,0.367476312341436,-3.63627650238849,0,0,0
25,-8.77532786454864,0.358318356415707,-3.59806037654563,0,0,0
26,-8.77462724376259,0.313298386013346,-3.54832351464009,0,0,0
27,-8.76944850075463,0.295573136173117,-3.50519415028418,0,0,0
28,-8.7629193386172,0.29752097162015,-3.50530076432945,0,0,0
29,-8.74722254510398,0.290325860398378,-3.50314512452204,0,0,0
30,-8.74915403558655,0.283829150140809,-3.52336416254874,0,0,0
31,-8.75413929751954,0.290329267039223,-3.58229202644216,0,0,0
32,-8.75834811352991,0.297545135493414,-3.59790661510991,0,0,0
33,-8.75449961210317,0.326534067453813,-3.6206264190923,0,0,0
34,-8.74951158089683,0.324654955115144,-3.67915079105701,0,0,0
35,-8.73130666288913,0.329100546981916,-3.72875648682448,0,0,0
36,-8.74510447563511,0.333644127832389,-3.74466277273911,0,0,0
37,-8.7586015786739,0.331616276960958,-3.74465163482788,0,0,0
38,-8.72906601143641,0.319944072672934,-3.7898308861571,0,0,0
39,-8.72259425297058,0.315011043183264,-3.84197880456945,0,0,0
40,-8.71957877615074,0.306568451802118,-3.85748048977485,0,0,0
41,-8.72216416244145,0.326840903358782,-3.8575003768002,0,0,0
42,-8.72469363163517,0.356299954988009,-3.85968816793193,0,0,0
43,-8.73622374805628,0.369921858925335,-3.81000585707472,0,0,0
44,-8.73509733856884,0.400769182877746,-3.79001347865078,0,0,0
45,-8.72326217356345,0.382891430302233,-3.88702173949282,0,0,0
46,-8.69371382038102,0.346124833593154,-3.95044429058662,0,0,0
47,-8.65864939981605,0.294217505275909,-3.92762504613069,0,0,0
48,-8.65589558218864,0.267295250395133,-4.01794228013672,0,0,0
49,-8.6789663940136,0.303753963688153,-4.12863731230024,0,0,0
50,-8.71303675719888,0.320077486272065,-4.16025248433796,0,0,0
51,-8.78222301592029,0.390532503859744,-4.19210366182303,0,0,0
52,-8.7922422000851,0.453681764809957,-4.23733643526764,0,0,0
53,-8.80480859939487,0.532549250071661,-4.22837770868676,0,0,0
54,-8.77681955314816,0.585563346509052,-4.14734457192147,0,0,0
55,-8.76284373482842,0.592579601152152,-4.068007812337,0,0,0
56,-8.73036618523161,0.544923568737203,-3.95720638437275,0,0,0
57,-8.69638265645203,0.469033865353324,-3.88426954119797,0,0,0
58,-8.69205693994624,0.416253176195344,-3.848581295338,0,0,0
59,-8.69117859419943,0.385097307468857,-3.79188274250233,0,0,0
60,-8.69182985592505,0.386754493758748,-3.77411664116948,0,0,0
61,-8.69628668700802,0.396012378346254,-3.77402309912567,0,0,0
62,-8.72435729121673,0.42061809270443,-3.77884920374004,0,0,0
63,-8.7285875180515,0.46662899044585,-3.79194475966337,0,0,0
64,-8.72975606563475,0.513468155828154,-3.79671202764632,0,0,0
65,-8.73747748992457,0.546916829683914,-3.79242626525775,0,0,0
66,-8.72433190457998,0.582857403405837,-3.78785564697923,0,0,0
67,-8.72861265617531,0.594575428001451,-3.80573315979701,0,0,0
68,-8.72204240247253,0.594280574601677,-3.81261349040524,0,0,0
69,-8.71302708184692,0.607834856102968,-3.83060223776427,0,0,0
70,-8.70565021761695,0.596906458393054,-3.86879060076239,0,0,0
71,-8.69232500335431,0.585076999992934,-3.88479810796047,0,0,0
72,-8.68755874402703,0.569262152830065,-3.88252582411088,0,0,0
73,-8.68039926818759,0.532997616751243,-3.89388548181343,0,0,0
74,-8.68246164184099,0.510404213414561,-3.93687403195077,0,0,0
75,-8.69121010200799,0.494841038406388,-3.9639548551438,0,0,0
76,-8.70286969665659,0.494675693876308,-3.9957686597608,0,0,0
77,-8.70698230320455,0.470009906811493,-3.9889638157945,0,0,0
78,-8.71582471907936,0.445198043962016,-3.95515300452914,0,0,0
79,-8.7087675575504,0.424788140338548,-3.89415351013028,0,0,0
80,-8.72134629986999,0.414477855785279,-3.84404272287962,0,0,0
81,-8.70531948318264,0.398450704901117,-3.81467449603985,0,0,0
82,-8.70354366604841,0.388809979285273,-3.7788291451189,0,0,0
83,-8.71484711079587,0.363837507301931,-3.73834091694076,0,0,0
84,-8.70739199500818,0.371225354960792,-3.72891769188517,0,0,0
85,-8.71138945115944,0.390053793147389,-3.73305067755895,0,0,0
86,-8.7195487069629,0.38885273060497,-3.7563329088306,0,0,0
87,-8.69639222054819,0.40276475682713,-3.78080602660476,0,0,0
88,-8.70345659675436,0.420855166810345,-3.77404480818307,0,0,0
89,-8.71464801511224,0.427967964668372,-3.76716870640422,0,0,0
90,-8.725463791257,0.437727881290738,-3.77590496839455,0,0,0
91,-8.69915203334887,0.434293554957675,-3.79438939658713,0,0,0
92,-8.70356051310234,0.441322350743914,-3.8123622779568,0,0,0
93,-8.71231017464004,0.437161126877135,-3.80999294726808,0,0,0
94,-8.71513928401857,0.448077060332147,-3.82827245907613,0,0,0
95,-8.70819914094085,0.464133121779355,-3.87100652355189,0,0,0
96,-8.69505422133213,0.463551818749137,-3.89154311905612,0,0,0
97,-8.69251996358579,0.459216463164356,-3.8982154246387,0,0,0
98,-8.69504405474598,0.465876467187877,-3.96382081346364,0,0,0
99,-8.68646033562683,0.456191198476616,-3.99122134302468,0,0,0
100,-8.68567731135408,0.431805187876036,-3.95711554363839,0,0,0
101,-8.69414691109358,0.423347572006038,-3.96367546156563,0,0,0
102,-8.68712503335678,0.407495966822105,-3.9614046386994,0,0,0
103,-8.69101908471769,0.383048999887513,-3.98160273946636,0,0,0
104,-8.68415568808269,0.364767794473085,-3.98846425217913,0,0,0
105,-8.68142778709804,0.360610631743226,-3.98374316006612,0,0,0
106,-8.68173428471913,0.367172473068396,-3.99062637774747,0,0,0
107,-8.68459245160477,0.391753614233463,-3.99300991978652,0,0,0
108,-8.69331302293137,0.373927571014569,-4.00653671012019,0,0,0
109,-8.68437574237649,0.366854173957337,-4.01567017733248,0,0,0
110,-8.684117448705,0.376233931068269,-4.01999620006269,0,0,0
111,-8.69239935161672,0.393160905101095,-3.9957680793298,0,0,0
112,-8.69131660027309,0.401029309329397,-3.97484591676644,0,0,0
113,-8.6917595721711,0.402888983139887,-3.96827306606654,0,0,0
114,-8.69154119147256,0.389396138373585,-3.96600023023434,0,0,0
115,-8.69439389113215,0.388870219262708,-3.97533406924076,0,0,0
116,-8.68837323232733,0.383374605646766,-3.96333483613883,0,0,0
117,-8.69824793831695,0.384988149843574,-3.9456636688498,0,0,0
