Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.70684926146169,0.359232128250007,0.335006005242477,0,0,0
1,-9.70735557023817,0.379361798097489,0.294182369937328,0,0,0
2,-9.614631467682,0.364394829905325,0.269290457930911,0,0,0
3,-9.62803371814704,0.366950474525637,0.321392903029681,0,0,0
4,-9.62608038211981,0.371223934081214,0.361899339632294,0,0,0
5,-9.61322809370258,0.363722549374837,0.33195466110094,0,0,0
6,-9.64607358243924,0.378603753208028,0.341866267893793,0,0,0
7,-9.59666905409413,0.352615448964734,0.368530770753614,0,0,0
8,-9.59911379131762,0.341184569469791,0.316303146485623,0,0,0
9,-9.67153502962723,0.39217381561994,0.375459712080311,0,0,0
10,-9.66250230054672,0.405698026544731,0.334926987444098,0,0,0
11,-9.60305710851974,0.352967146881554,0.409482169138909,0,0,0
12,-9.61959860474245,0.386799629648532,0.407053328462039,0,0,0
13,-9.61943680511952,0.391489705109097,0.357500918106518,0,0,0
14,-9.60826179940269,0.398058447128673,0.348451513170235,0,0,0
15,-9.61970496559991,0.409511588374198,0.319083258940866,0,0,0
16,-9.60803846039229,0.398234172866434,0.316973900303346,0,0,0
17,-9.64256120311474,0.416503588386056,0.296358435748498,0,0,0
18,-9.58311898525529,0.36838264460579,0.262489014402507,0,0,0
19,-9.59971167115097,0.402131499287497,0.339116307295341,0,0,0
20,-9.65875110439192,0.427835274140637,0.316540706663577,0,0,0
21,-9.60875399956818,0.404554785916883,0.312014772989147,0,0,0
22,-9.64507705884352,0.443616751138683,0.332616241375838,0,0,0
23,-9.62943137999954,0.42734784815826,0.32555671475222,0,0,0
24,-9.62968996569278,0.431729213047585,0.298302110189391,0,0,0
25,-9.62716833198775,0.452327647409867,0.319042589029637,0,0,0
26,-9.64583900233257,0.493137021743286,0.264801681446404,0,0,0
27,-9.66412279134228,0.481883387064,0.287122961915595,0,0,0
28,-9.63905463848985,0.47709071948925,0.321137724678522,0,0,0
29,-9.62726141005757,0.470446977892889,0.323685942659924,0,0,0
30,-9.62996910030477,0.461081669410484,0.307451141726166,0,0,0
31,-9.61764709337605,0.448001449300028,0.289967507375777,0,0,0
32,-9.60904638285869,0.436193037983356,0.285021435570786,0,0,0
33,-9.6000978593507,0.440538933874174,0.287269597248237,0,0,0
34,-9.61113877201779,0.413610741044881,0.284901741754606,0,0,0
35,-9.61290097114898,0.409460869779307,0.262610214762488,0,0,0
36,-9.60647121444386,0.41821787105694,0.244381470583588,0,0,0
37,-9.61297493408155,0.40260643661367,0.233108709727674,0,0,0
38,-9.60849116401475,0.404794871405325,0.219550925111073,0,0,0
39,-9.61979221803302,0.407250164653992,0.196968374123767,0,0,0
40,-9.61174449262645,0.415495370133681,0.223478331004802,0,0,0
41,-9.61131611941706,0.427165740469482,0.219383746321588,0,0,0
42,-9.62493375466078,0.420517560358681,0.203443429416694,0,0,0
43,-9.60693409232837,0.422454432070649,0.219240638418183,0,0,0
44,-9.59065415044365,0.415696203272009,0.260184853760227,0,0,0
45,-9.62198874155316,0.416424791714385,0.19258780605308,0,0,0
46,-9.64715425883177,0.414325197731955,0.165211336184796,0,0,0
47,-9.6086524301147,0.438766331718627,0.246910143636919,0,0,0
48,-9.61126773095454,0.422629934972372,0.257787249410335,0,0,0
49,-9.61360194684252,0.438502308888889,0.296315729233461,0,0,0
50,-9.61791140991081,0.427368497129191,0.266966776594551,0,0,0
51,-9.62616851639888,0.407621445682286,0.219850097702573,0,0,0
52,-9.64704583707949,0.407579863037875,0.167477200412737,0,0,0
53,-9.60188112063721,0.400001617981997,0.262322618226175,0,0,0
54,-9.62654270524255,0.391424918763174,0.25331317271695,0,0,0
55,-9.62185530908122,0.382408445440821,0.208144722720712,0,0,0
56,-9.65718520540833,0.370019134263935,-0.00384996036556024,0,0,0
57,-9.66241343072628,0.394682467799137,-0.146464682021647,0,0,0
58,-9.61672869623869,0.380652978442389,-0.0580980308151859,0,0,0
59,-9.62120881774173,0.389819011739603,-0.0195607543769379,0,0,0
60,-9.63527018130136,0.380517169798535,0.0794070747381907,0,0,0
61,-9.62622261437059,0.36213951153409,0.180919014163459,0,0,0
62,-9.60567925822211,0.357398368209453,0.235265585694909,0,0,0
63,-9.6015595360159,0.370718549436896,0.187669715361701,0,0,0
64,-9.6149376817863,0.361965235692262,0.171876697702003,0,0,0
65,-9.62173224358785,0.352990465606686,0.126570496588058,0,0,0
66,-9.60559002628054,0.357543706439932,0.0974817973391581,0,0,0
67,-9.58499923257628,0.364228304426928,0.109045348401964,0,0,0
68,-9.60936555737177,0.349022039588187,0.127293004232359,0,0,0
69,-9.59449257912668,0.366293320982959,0.151675022082418,0,0,0
70,-9.61457220596305,0.353143032775144,0.147184898010738,0,0,0
71,-9.59847970893808,0.334918794334874,0.133641136067687,0,0,0
