Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.47989508605556,-1.22041030085344,-0.706077734067868,0,0,0
1,-9.46616504250479,-1.2341599490973,-0.669934874574374,0,0,0
2,-9.47708393208629,-1.25647304475962,-0.658610913554042,0,0,0
3,-9.46078190260307,-1.27681514931107,-0.629140962748543,0,0,0
4,-9.46331578383752,-1.27246880779143,-0.624724269015434,0,0,0
5,-9.46036621462157,-1.26503640975595,-0.61756833979434,0,0,0
6,-9.46483928558604,-1.26720905290652,-0.619821624387091,0,0,0
7,-9.48065898714022,-1.27839615275556,-0.601828079108515,0,0,0
8,-9.482804650523,-1.28510498448446,-0.601819501761631,0,0,0
9,-9.48142069678477,-1.26765630991945,-0.645044608862564,0,0,0
10,-9.47900703377559,-1.26296571431857,-0.690125301283039,0,0,0
11,-9.47032159686854,-1.25428240740245,-0.708306583607722,0,0,0
12,-9.463112547607,-1.25627330681504,-0.710372636573531,0,0,0
13,-9.4585632552018,-1.25859295854885,-0.712631769245813,0,0,0
14,-9.46591301091239,-1.24759851908268,-0.719609557066034,0,0,0
15,-9.47286009293487,-1.23624099507043,-0.724134208712423,0,0,0
16,-9.47473975024951,-1.20847846363116,-0.73506496773681,0,0,0
17,-9.48879166570301,-1.21328003372752,-0.757929192212719,0,0,0
18,-9.49538121270005,-1.21302731111536,-0.719431584641293,0,0,0
19,-9.4956739671181,-1.22244437769465,-0.665410568321169,0,0,0
20,-9.49268429906969,-1.24466007197063,-0.60872927617977,0,0,0
21,-9.49069544073457,-1.22897387410454,-0.59293726198391,0,0,0
22,-9.49302159017795,-1.21073264772022,-0.624477745654571,0,0,0
23,-9.50248793916776,-1.19500512428662,-0.647171527360273,0,0,0
24,-9.50293631056998,-1.17943192842592,-0.663095440042133,0,0,0
25,-9.49358280502245,-1.1884185100995,-0.635891573310321,0,0,0
26,-9.49830768784651,-1.19994170726485,-0.647364131896695,0,0,0
27,-9.4894987760264,-1.22538755762958,-0.631825371396683,0,0,0
28,-9.47648072800907,-1.2445350942384,-0.62435519827149,0,0,0
29,-9.47236033558699,-1.25865520859675,-0.617859709984348,0,0,0
30,-9.46784599745155,-1.27242626385433,-0.595359715454231,0,0,0
31,-9.46807572824283,-1.28404826505217,-0.581990639520581,0,0,0
32,-9.46592419760555,-1.27733006663416,-0.591033581672763,0,0,0
33,-9.48138564671397,-1.25851294278384,-0.61333669620696,0,0,0
34,-9.47713081306094,-1.25424122450003,-0.642803176313277,0,0,0
35,-9.4883590025306,-1.25628449137885,-0.66312078279483,0,0,0
36,-9.47969976363445,-1.25903833091588,-0.670094485856093,0,0,0
37,-9.48062116433405,-1.26463173721083,-0.68757112954528,0,0,0
38,-9.4716836544928,-1.27169514991193,-0.698960011862839,0,0,0
39,-9.45897177974101,-1.2589655727805,-0.70605055722906,0,0,0
40,-9.45911819160641,-1.26136581831417,-0.7355071125747,0,0,0
41,-9.46620014650609,-1.24099534361113,-0.758109969836856,0,0,0
42,-9.4844076929253,-1.22942549587838,-0.789730390489728,0,0,0
43,-9.48154155733157,-1.21751193275903,-0.766768521733095,0,0,0
44,-9.49278248035221,-1.24698178771575,-0.712718989702299,0,0,0
45,-9.49101912625481,-1.23151664678997,-0.660886827796639,0,0,0
46,-9.48865811270414,-1.22691164483125,-0.624658447510783,0,0,0
47,-9.48222987915326,-1.20679963977662,-0.611132669653313,0,0,0
48,-9.49781274778635,-1.19264945270184,-0.644821027544885,0,0,0
49,-9.50276498806862,-1.17699076638237,-0.672034915671379,0,0,0
50,-9.51193246942673,-1.16784727783445,-0.674297143117905,0,0,0
51,-9.51172577978362,-1.18135983307537,-0.653955664744632,0,0,0
52,-9.49418307489752,-1.20266069232751,-0.618197423189069,0,0,0
53,-9.49473351295503,-1.23303883192351,-0.585959534053231,0,0,0
