Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.54920100376036,0.200959368311354,-1.12620305828438,0,0,0
1,-9.54728999127614,0.221139366398,-1.10364088268821,0,0,0
2,-9.55367162523051,0.217140019903074,-1.11001806484737,0,0,0
3,-9.55323044881557,0.192463238327201,-1.16871283033438,0,0,0
4,-9.58034830506163,0.176778348556894,-1.16680948880735,0,0,0
5,-9.53163617087649,0.136345219322876,-1.04160736609619,0,0,0
6,-9.52320302555143,0.121686847094329,-0.979333655307798,0,0,0
7,-9.54390490769037,0.130716529858174,-1.0587665540915,0,0,0
8,-9.55114720300209,0.183030705575218,-1.15102610541967,0,0,0
9,-9.54937624024019,0.193867323538153,-1.16046270590728,0,0,0
10,-9.54291612887267,0.211727065326217,-1.14015954057327,0,0,0
11,-9.53841181159472,0.232301431069922,-1.16463806120933,0,0,0
12,-9.5198328268676,0.198249265840297,-1.14202917011913,0,0,0
13,-9.51544518643917,0.175067457512635,-1.09742213289048,0,0,0
14,-9.53530226216007,0.15759003465334,-1.09041991253745,0,0,0
15,-9.5470514924737,0.180151351950103,-1.16516158306058,0,0,0
16,-9.55005992519726,0.250409983011731,-1.28228643673543,0,0,0
17,-9.54170791450678,0.254026433295599,-1.31017815527184,0,0,0
18,-9.52641318879205,0.189428044101564,-1.20299476920457,0,0,0
19,-9.5484959719943,0.160552066097753,-1.19617381988946,0,0,0
20,-9.54694790949176,0.187186213986726,-1.25757268502981,0,0,0
21,-9.54276274166766,0.216534612557809,-1.25289471718156,0,0,0
22,-9.5108326489204,0.227900988210768,-1.13244801864355,0,0,0
23,-9.53651936162328,0.240967357689041,-1.06772811091873,0,0,0
24,-9.5390347685999,0.268225121210352,-1.10821354824997,0,0,0
25,-9.55152422494751,0.296742917162755,-1.15889725621467,0,0,0
26,-9.53530885858343,0.299312186339627,-1.16284294524937,0,0,0
27,-9.54839841564775,0.29321068555605,-1.20309075952611,0,0,0
28,-9.53620704900112,0.257458546921372,-1.23428967113646,0,0,0
29,-9.50925289107069,0.233927165225002,-1.20776558989409,0,0,0
30,-9.54091434031422,0.229746082931586,-1.20115956719568,0,0,0
