Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.92164967104529,1.35244654747938,-3.73811831574833,0,0,0
1,-8.92147092143561,1.35504069881866,-3.73495001559847,0,0,0
2,-8.92619060634999,1.35945472539846,-3.73967154297536,0,0,0
3,-8.92136685761118,1.34609030180838,-3.7464092327176,0,0,0
4,-8.91435545909984,1.34163355625451,-3.75516076017659,0,0,0
5,-8.9167983233477,1.34369616762815,-3.77583175820276,0,0,0
6,-8.90510737412325,1.33703839203304,-3.78435257984788,0,0,0
7,-8.88883664790802,1.33924521206125,-3.79508233548235,0,0,0
8,-8.90482377688186,1.34184021159526,-3.81066305447025,0,0,0
9,-8.92334774104344,1.33524941510485,-3.78862584944174,0,0,0
10,-8.93484592130754,1.33083875514112,-3.78907682460836,0,0,0
11,-8.90951204587024,1.31460650652825,-3.77854112970233,0,0,0
12,-8.9021944725706,1.306105781231,-3.75045349339119,0,0,0
13,-8.90697418524468,1.31042595318351,-3.74865757547676,0,0,0
14,-8.90266909063549,1.32583629527948,-3.76661995879705,0,0,0
15,-8.88714534061587,1.34518102476609,-3.79650078876785,0,0,0
16,-8.88718318601567,1.35652993434085,-3.83398177007997,0,0,0
17,-8.8895099394955,1.35194605424512,-3.91079186461024,0,0,0
18,-8.90746719536851,1.34380154275646,-3.91661929458261,0,0,0
19,-8.92612485838168,1.34587255891982,-3.89306121677814,0,0,0
20,-8.90118090384166,1.37005315335964,-3.88787405554878,0,0,0
21,-8.88762998394203,1.37173214275738,-3.90203819885842,0,0,0
22,-8.88476781479694,1.34300552870777,-3.94896658560233,0,0,0
23,-8.9298349132233,1.30638670925633,-3.98893154860244,0,0,0
24,-8.97457024795231,1.24523333089439,-3.98669526058855,0,0,0
25,-8.97785258524362,1.16083733501248,-3.86636808579488,0,0,0
26,-8.98545915713702,1.06556533017298,-3.63128906340424,0,0,0
27,-8.95704179188698,1.01870629790306,-3.38629803913561,0,0,0
28,-8.9012604209716,1.09718967130369,-3.21384093365086,0,0,0
29,-8.83975858672641,1.24886416810477,-3.14397900411771,0,0,0
30,-8.76271520346757,1.43133041707315,-3.12103869845671,0,0,0
31,-8.72756069829527,1.52161168455812,-3.14975803153234,0,0,0
32,-8.71931982966529,1.57918628388315,-3.18521907473414,0,0,0
33,-8.7216039787914,1.57239077850501,-3.22385500575757,0,0,0
34,-8.73395788771176,1.48832754710212,-3.2849550547662,0,0,0
35,-8.69704884201849,1.35969421993755,-3.40979400539508,0,0,0
36,-8.65816092647555,1.24188421774534,-3.62491392411344,0,0,0
37,-8.62157176058641,1.11497280276096,-3.8811462752316,0,0,0
38,-8.4618616906925,1.02346433558928,-4.13512166019591,0,0,0
39,-8.31208547579587,0.981013553016677,-4.31452851035391,0,0,0
40,-8.22877890043712,1.05446292939706,-4.33990868602546,0,0,0
41,-8.10356137601899,1.11002864203723,-4.31899278958859,0,0,0
42,-8.02731820049755,1.20382354217543,-4.16403630567556,0,0,0
43,-7.98303280096589,1.30291387495728,-3.94337219676309,0,0,0
44,-7.9317410108307,1.37032009211368,-3.7530801623994,0,0,0
45,-7.90606063330783,1.36814001261468,-3.6197264598804,0,0,0
46,-7.92656950958424,1.34158161225373,-3.51258017664269,0,0,0
47,-7.95770704733354,1.28903754399358,-3.48115019238094,0,0,0
48,-8.10256198957318,1.17850076313123,-3.52003675457884,0,0,0
49,-8.36283670464605,1.13257409123146,-3.5440673175453,0,0,0
50,-8.59594453326823,1.09240142579932,-3.70824091402613,0,0,0
51,-8.85948654037131,1.08134815651461,-3.92676763980092,0,0,0
52,-9.0313759537076,1.07768855876219,-4.1223712646482,0,0,0
53,-9.12338850681756,1.11530627165108,-4.24225916318606,0,0,0
54,-9.31513795332732,1.09027672576669,-4.22838426725,0,0,0
55,-9.80204181145492,1.24211888634117,-4.17606537906528,0,0,0
56,-10.3726735657771,1.35832311022107,-4.10717017996962,0,0,0
57,-11.0151539875846,1.27704933434969,-4.08902466444112,0,0,0
58,-11.5635910039094,1.45546311274983,-4.21611363016766,0,0,0
59,-11.5615940817572,1.34707395553013,-4.42248318369375,0,0,0
60,-11.4330942857279,1.31760316794432,-4.70904595768607,0,0,0
61,-10.9707999804616,1.23199250968775,-5.03192084656025,0,0,0
62,-10.6020675989016,1.23841005453778,-5.33101491236159,0,0,0
63,-10.1226428450693,1.10188133475461,-5.65095495041461,0,0,0
64,-9.67859524255894,1.02123527007175,-5.73319878121674,0,0,0
65,-9.31485004129035,1.05222787411596,-5.57836980500501,0,0,0
66,-9.04748492362026,1.08928526891526,-5.42834876606738,0,0,0
67,-8.86826745046632,1.08877794465292,-5.12656826266642,0,0,0
68,-8.77088950791774,1.13766820000996,-4.81709065483891,0,0,0
69,-8.74475661609918,1.21467545994912,-4.54537150740402,0,0,0
70,-8.72031570335742,1.2585255606427,-4.22649975095449,0,0,0
