Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-7.97263819676893,-0.717796999645798,-5.73960407316693,0,0,0
1,-7.96728246338678,-0.715604159779753,-5.73735868424647,0,0,0
2,-7.96718408268353,-0.717100432829783,-5.73438225870327,0,0,0
3,-7.96849821917802,-0.717046280594046,-5.73586502967903,0,0,0
4,-7.9768597269621,-0.715383652657465,-5.72174134182724,0,0,0
5,-7.97140330674369,-0.714685230063959,-5.71503167076866,0,0,0
6,-7.97595181199104,-0.71536770974319,-5.71578364808385,0,0,0
7,-7.98041910717088,-0.712250433990375,-5.71429422657522,0,0,0
8,-7.97668072162879,-0.712315946530878,-5.70908319787764,0,0,0
9,-7.9719677311914,-0.709341732221841,-5.71278464631332,0,0,0
10,-7.977614777945,-0.710058144571462,-5.70834264956294,0,0,0
11,-7.9783038453859,-0.714578914841091,-5.70983724137289,0,0,0
12,-7.97979406951981,-0.716825424386264,-5.71430602317445,0,0,0
13,-7.97900219970587,-0.719106938435017,-5.71728336432945,0,0,0
14,-7.9765114604145,-0.719874837124189,-5.72322478768974,0,0,0
15,-7.97525682499637,-0.720696419807228,-5.72323329687245,0,0,0
16,-7.96829484032256,-0.715489020974535,-5.72320870924606,0,0,0
17,-7.97171100286948,-0.704896743855721,-5.72172015304736,0,0,0
18,-7.96789255467793,-0.702692839237565,-5.73063626885312,0,0,0
19,-7.96240442601096,-0.709573240865735,-5.73732922827274,0,0,0
20,-7.95692001566314,-0.720236603154036,-5.74105351925696,0,0,0
21,-7.95831047345142,-0.720198392361759,-5.74700241985145,0,0,0
22,-7.95705170992939,-0.721781523913714,-5.75221948084786,0,0,0
23,-7.95913530638681,-0.725502565696362,-5.75445446025466,0,0,0
24,-7.96009919378755,-0.724753701693729,-5.74404704670905,0,0,0
25,-7.96661933457927,-0.726098325350193,-5.73289045472582,0,0,0
26,-7.96599485544054,-0.729908825961011,-5.72546193661282,0,0,0
27,-7.95930014073564,-0.72172022607021,-5.73213661276208,0,0,0
28,-7.96241184198854,-0.718668464003121,-5.74701650858635,0,0,0
29,-7.96564052539215,-0.711076051157616,-5.74552666336822,0,0,0
30,-7.96573728752653,-0.700489104121244,-5.74253551002078,0,0,0
31,-7.96957640936795,-0.697399682787308,-5.73658622414899,0,0,0
32,-7.95975859969886,-0.697563450094695,-5.73136570848405,0,0,0
33,-7.95669682774923,-0.699124749001517,-5.73285068968915,0,0,0
34,-7.95855463308425,-0.708874320366745,-5.74178352660102,0,0,0
35,-7.95327531834106,-0.720331577904118,-5.75146776836054,0,0,0
36,-7.9506367559094,-0.734705507807134,-5.75891610748193,0,0,0
37,-7.94950211902622,-0.73706247756224,-5.76265124072076,0,0,0
38,-7.95556969632405,-0.733175248561743,-5.76042179166579,0,0,0
39,-7.96215932124983,-0.726205963918587,-5.75222830132571,0,0,0
40,-7.9653737338633,-0.721617511770369,-5.72842639188704,0,0,0
41,-7.95834673443103,-0.7194182796429,-5.71799030904634,0,0,0
42,-7.96073800544607,-0.713350643244475,-5.72691379205172,0,0,0
