Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.55989837423228,-1.08044999985504,-2.62029589715888,0,0,0
1,-9.55843249023338,-1.0846190277097,-2.62261308967925,0,0,0
2,-9.55755452116862,-1.08426481414419,-2.61806535917624,0,0,0
3,-9.55675679472032,-1.07937904137305,-2.6179752864072,0,0,0
4,-9.5590029694359,-1.08719265637588,-2.61805474582983,0,0,0
5,-9.561374612167,-1.0858610645912,-2.6188503375886,0,0,0
6,-9.56503304412493,-1.08382969304418,-2.59867012366948,0,0,0
7,-9.56203408739958,-1.08161301460353,-2.60089420122488,0,0,0
8,-9.55826099580194,-1.08732846734418,-2.60097804587915,0,0,0
9,-9.55812886854571,-1.08695116348465,-2.5875052118565,0,0,0
10,-9.56199712643975,-1.08874948180696,-2.57643832720393,0,0,0
11,-9.5657468355282,-1.08854012786081,-2.57343549657765,0,0,0
12,-9.5620847329244,-1.08340331863984,-2.59203634534428,0,0,0
13,-9.55995145263002,-1.07824927282985,-2.61659048783258,0,0,0
14,-9.55985610332082,-1.07718964739788,-2.60462108895624,0,0,0
15,-9.559799616235,-1.08343559620784,-2.58831347299231,0,0,0
16,-9.56048595623105,-1.09348420805975,-2.60027844088871,0,0,0
17,-9.56128161090873,-1.09038247678528,-2.60621018527974,0,0,0
18,-9.55747994642894,-1.08721447692623,-2.61582078620305,0,0,0
19,-9.55528858047485,-1.08354638641627,-2.6188047434176,0,0,0
20,-9.55833346816468,-1.08350183870885,-2.62252880148398,0,0,0
21,-9.55905116391687,-1.08646461161952,-2.6411135688998,0,0,0
22,-9.55911033776079,-1.08744097310757,-2.64413998813154,0,0,0
23,-9.55371536007538,-1.08653690398221,-2.62994732790634,0,0,0
24,-9.55822136382275,-1.0863125347724,-2.62471405472255,0,0,0
25,-9.55823154388735,-1.08872719560429,-2.62623789350579,0,0,0
26,-9.55827664200624,-1.08810636605058,-2.6188316879371,0,0,0
27,-9.55816917967054,-1.09092074250683,-2.62399239645473,0,0,0
28,-9.55823255959089,-1.08714179506472,-2.6254755129734,0,0,0
29,-9.55984229963108,-1.08587563263016,-2.61066546591042,0,0,0
30,-9.55894947996873,-1.09021362376189,-2.61508298154342,0,0,0
31,-9.55822182373778,-1.08396097502503,-2.61576827385461,0,0,0
32,-9.55676437960122,-1.08419852711252,-2.61284046290976,0,0,0
33,-9.55971333683618,-1.08943885922833,-2.60987620646226,0,0,0
34,-9.56199688281009,-1.09022584591662,-2.60617803805204,0,0,0
35,-9.56177003490111,-1.09267306955139,-2.60604839352628,0,0,0
36,-9.56368510600952,-1.08519258162831,-2.60252130257201,0,0,0
37,-9.56208398090215,-1.08258220797898,-2.59796966491509,0,0,0
38,-9.56136911760331,-1.08191871103764,-2.60467898802528,0,0,0
39,-9.56138106731502,-1.08356908180158,-2.59950711751818,0,0,0
40,-9.56202741785165,-1.08478025819122,-2.59944349166918,0,0,0
41,-9.56431328483972,-1.08556908468496,-2.59723304596893,0,0,0
42,-9.56516468800941,-1.08901996930134,-2.60180108260406,0,0,0
43,-9.56515898765874,-1.08502272535214,-2.601746480372,0,0,0
44,-9.56444472909048,-1.08359402677579,-2.60101625207472,0,0,0
45,-9.56206228786039,-1.0832761130826,-2.60613641016008,0,0,0
46,-9.55972859282472,-1.08392646257008,-2.60758816538936,0,0,0
47,-9.56057094696187,-1.08496371917232,-2.6113762563153,0,0,0
48,-9.56357879289446,-1.08800778302063,-2.60842590104146,0,0,0
49,-9.56441006869119,-1.08422296692408,-2.6151172486455,0,0,0
50,-9.5614844014303,-1.08304862880535,-2.61517734344542,0,0,0
51,-9.55602542345902,-1.08668858788684,-2.60694114068366,0,0,0
52,-9.56053970648209,-1.08805686361722,-2.60842115818006,0,0,0
53,-9.56431646295346,-1.08950960804482,-2.60991665676256,0,0,0
54,-9.56120760307723,-1.08698788023545,-2.59868454516778,0,0,0
55,-9.55897496624514,-1.08558458421786,-2.59869580806046,0,0,0
56,-9.55822859322273,-1.0904206785712,-2.59727907851029,0,0,0
57,-9.5634758596416,-1.08770813228983,-2.59943288608958,0,0,0
58,-9.56273324237478,-1.09014048770776,-2.60541869457813,0,0,0
59,-9.55821241561425,-1.08794656980699,-2.60615267804557,0,0,0
60,-9.56512376927636,-1.0848855654856,-2.607664055393,0,0,0
61,-9.5606349304803,-1.08041959831468,-2.60541982203829,0,0,0
62,-9.56529608664095,-1.08146595971293,-2.6077427829307,0,0,0
63,-9.56292952901181,-1.08044957730311,-2.60097686529731,0,0,0
64,-9.56290510599152,-1.08196185933559,-2.60097870860263,0,0,0
65,-9.56134196382629,-1.08424938326008,-2.59651592202859,0,0,0
66,-9.56286367992045,-1.0826403432045,-2.59649978765202,0,0,0
67,-9.56278808902581,-1.08717539836166,-2.59501759151153,0,0,0
68,-9.56199759944888,-1.08546783133763,-2.60240319811966,0,0,0
69,-9.56223474101862,-1.08144281840412,-2.60772137286945,0,0,0
70,-9.56127067325783,-1.08714678029012,-2.61061967563744,0,0,0
71,-9.55968100419803,-1.09006968020141,-2.62546489661556,0,0,0
72,-9.5559513117214,-1.09346698700612,-2.64412593626717,0,0,0
73,-9.55681225761997,-1.0874083084383,-2.64635133881191,0,0,0
74,-9.55993296283817,-1.088462718173,-2.63528244578708,0,0,0
75,-9.55906446489148,-1.08817081987066,-2.62256886367764,0,0,0
76,-9.55902487792142,-1.08562356669756,-2.63068189232721,0,0,0
77,-9.55673207165064,-1.09040839510184,-2.62627071496659,0,0,0
78,-9.5583246182341,-1.0882534672443,-2.62109662331209,0,0,0
79,-9.55597781669048,-1.08725261573066,-2.62697635577531,0,0,0
80,-9.55980283946182,-1.09202500669862,-2.6337492904065,0,0,0
81,-9.5605356727849,-1.09346825103243,-2.64638132372538,0,0,0
82,-9.55898930777186,-1.09095561399025,-2.66267442825729,0,0,0
83,-9.55215170861438,-1.09270727951042,-2.65005330819948,0,0,0
84,-9.55218792749828,-1.0912590081327,-2.64337337938223,0,0,0
85,-9.55608346038817,-1.0867339164268,-2.64413432361823,0,0,0
86,-9.55836277700543,-1.08669710595017,-2.6441378807671,0,0,0
87,-9.55834345572733,-1.08586151383286,-2.63816937008486,0,0,0
88,-9.55831879029033,-1.08266984914786,-2.61953575561285,0,0,0
89,-9.55907725479802,-1.08107033575341,-2.61728683868353,0,0,0
90,-9.56222949412502,-1.08220438774978,-2.61218548016238,0,0,0
91,-9.56137143907855,-1.08192052417773,-2.60616671410878,0,0,0
92,-9.56061604809037,-1.08434292870153,-2.60397003540219,0,0,0
93,-9.55839341292633,-1.07818888115434,-2.60615736296531,0,0,0
94,-9.56289214181704,-1.08189689046896,-2.60691294857935,0,0,0
95,-9.56589459110907,-1.08411624405993,-2.60692045640849,0,0,0
96,-9.56045291766943,-1.09176267562787,-2.60617750993756,0,0,0
97,-9.55967498473121,-1.09094027722463,-2.60095169698627,0,0,0
98,-9.55969839381317,-1.09101336163079,-2.60171222431549,0,0,0
99,-9.56346934346267,-1.09246158065599,-2.59948840707662,0,0,0
100,-9.56509737373276,-1.08803730233846,-2.59356766671899,0,0,0
101,-9.56437131033645,-1.08654455043118,-2.59951554697593,0,0,0
102,-9.56507830244431,-1.08479522672108,-2.59277013362104,0,0,0
103,-9.56676900595459,-1.08135015933148,-2.59210733739018,0,0,0
104,-9.56435505999629,-1.08653185843999,-2.58910145575425,0,0,0
