Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.95227118481382,-0.132841999124201,-4.3071792425936,0,0,0
1,-8.949133688892,-0.137355263877017,-4.3056901261555,0,0,0
2,-8.95068885968893,-0.132686106244246,-4.30940319612192,0,0,0
3,-8.95373292951957,-0.133448038749455,-4.3056907547831,0,0,0
4,-8.95305852346581,-0.13608281307851,-4.29975165682708,0,0,0
5,-8.9507409593234,-0.135238535501621,-4.29602340092751,0,0,0
6,-8.95455290226961,-0.133614379534654,-4.30197760894439,0,0,0
7,-8.9515559923055,-0.134549131899538,-4.30941756996486,0,0,0
8,-8.95077809963826,-0.133739520553167,-4.3042055684528,0,0,0
9,-8.94924003038356,-0.134514030356762,-4.30048411273225,0,0,0
10,-8.95310886353397,-0.133874051086104,-4.29454277449019,0,0,0
11,-8.95081786248269,-0.134622449914289,-4.30941827522279,0,0,0
12,-8.95148489271889,-0.135169753667998,-4.29974270277947,0,0,0
13,-8.95004969481783,-0.134628377244719,-4.30420908043045,0,0,0
14,-8.95150244404715,-0.133611495727496,-4.30941097612471,0,0,0
15,-8.95302979090513,-0.135972527871461,-4.30941989012977,0,0,0
16,-8.95295230840277,-0.137352202568224,-4.30346594664051,0,0,0
17,-8.95307824925332,-0.134570211861138,-4.29677381260695,0,0,0
18,-8.95225349778623,-0.135972108023661,-4.2990026953199,0,0,0
19,-8.95294230977612,-0.139680354752886,-4.30644659574824,0,0,0
20,-8.95137437006948,-0.144339377949902,-4.29454950673763,0,0,0
21,-8.95151553597673,-0.139997297413667,-4.29603764817323,0,0,0
22,-8.95370408537334,-0.138905421414642,-4.29975085942972,0,0,0
23,-8.95002068140422,-0.136133724554331,-4.30123491475734,0,0,0
24,-8.94712673503944,-0.127128976972261,-4.30121913457322,0,0,0
25,-8.94707364371391,-0.128527591872167,-4.31088920584039,0,0,0
26,-8.95013151597793,-0.13087226287845,-4.31759650450646,0,0,0
27,-8.95154801259888,-0.134498968621234,-4.31834368600701,0,0,0
28,-8.95142787141871,-0.135757457430182,-4.31312994924249,0,0,0
29,-8.95150841381816,-0.137568001964477,-4.31016524945811,0,0,0
30,-8.95153175926668,-0.13448627429318,-4.30792767733103,0,0,0
31,-8.95301818138213,-0.135963460494279,-4.30197988393263,0,0,0
32,-8.95145182063573,-0.13743596857495,-4.30197746266405,0,0,0
33,-8.95063577499613,-0.138080686923526,-4.30197341960542,0,0,0
34,-8.95759492783805,-0.131230752770072,-4.29379370615812,0,0,0
35,-8.95686943174069,-0.131357892886303,-4.28784428495284,0,0,0
36,-8.94855613721171,-0.127665708597586,-4.29303275894367,0,0,0
37,-8.95167274893939,-0.124664244315613,-4.29675571264025,0,0,0
38,-8.95010233198117,-0.126897542273008,-4.30196221529418,0,0,0
39,-8.94637090399305,-0.12633656091872,-4.31014315189537,0,0,0
40,-8.94718055221401,-0.120926975574119,-4.3153421191625,0,0,0
41,-8.94774242963013,-0.129840196882946,-4.31014255546614,0,0,0
42,-8.9561086935928,-0.135233602743702,-4.31240161012779,0,0,0
43,-8.95432135762629,-0.14395421712474,-4.31909490979835,0,0,0
44,-8.9558330386758,-0.147066968076811,-4.31687275232051,0,0,0
45,-8.95274356100434,-0.149369608673259,-4.30868677013688,0,0,0
46,-8.95277604808854,-0.146338891834704,-4.29826709577944,0,0,0
47,-8.95354813671668,-0.147143919533497,-4.29975908827099,0,0,0
48,-8.95293360765204,-0.140437573196554,-4.30867951633225,0,0,0
49,-8.94919665853312,-0.136728267865638,-4.31015698803861,0,0,0
50,-8.9492820925481,-0.12987490271486,-4.30865881945196,0,0,0
51,-8.95305805167781,-0.129750648779193,-4.30717485960635,0,0,0
52,-8.95458829625641,-0.131349978102387,-4.30123084968229,0,0,0
53,-8.95315729862555,-0.128475961932556,-4.2989965721098,0,0,0
54,-8.9530644222527,-0.127463556733127,-4.28782810857661,0,0,0
55,-8.95318241167919,-0.130155444469478,-4.28858804675199,0,0,0
56,-8.95312118368811,-0.131547729641805,-4.29305012787666,0,0,0
57,-8.95459614357464,-0.13297201077619,-4.29379645572975,0,0,0
58,-8.9529942189205,-0.132756883729809,-4.29750654221766,0,0,0
59,-8.95002386461305,-0.133756328722013,-4.30792438541749,0,0,0
60,-8.94860171038881,-0.130081258988255,-4.317591317788,0,0,0
61,-8.94930082647802,-0.133841438656824,-4.31759710212915,0,0,0
62,-8.95072862175495,-0.133569067656127,-4.3146158964527,0,0,0
63,-8.94919389984446,-0.135918172063448,-4.31461817671249,0,0,0
64,-8.94610878219546,-0.141368086866359,-4.31239165492411,0,0,0
65,-8.94840703012137,-0.139009477455138,-4.31462256272398,0,0,0
66,-8.94926194999237,-0.136103097675769,-4.31611185919658,0,0,0
67,-8.94706987958345,-0.131668594101316,-4.31164066970692,0,0,0
68,-8.95010526192436,-0.133187707207901,-4.31016114275877,0,0,0
69,-8.95146141066304,-0.139823313816764,-4.30347200002825,0,0,0
70,-8.9476612087162,-0.1398846862667,-4.30346606935413,0,0,0
71,-8.94838497203682,-0.138992249445636,-4.30048655681037,0,0,0
72,-8.9476768505616,-0.132081045362906,-4.29154532208653,0,0,0
73,-8.95153117371117,-0.133721805646604,-4.2997427508684,0,0,0
74,-8.95310204358622,-0.133824792114093,-4.30421290533674,0,0,0
75,-8.94919999276731,-0.136774793738637,-4.29825486981043,0,0,0
76,-8.95303964376159,-0.133688189308914,-4.29230511693903,0,0,0
77,-8.94930327688708,-0.130743371173816,-4.3019675157428,0,0,0
78,-8.95094128580153,-0.122362812099346,-4.30567788508162,0,0,0
79,-8.9463746704768,-0.123195490840829,-4.30939168949047,0,0,0
80,-8.94771689848118,-0.131348301409501,-4.30940039509044,0,0,0
81,-8.94923857172221,-0.132132968087884,-4.30419757839972,0,0,0
82,-8.94994362821776,-0.134325873636262,-4.30643163334364,0,0,0
83,-8.94779684903443,-0.133922501212244,-4.31387661846292,0,0,0
84,-8.94697500340333,-0.134562641387862,-4.31015256238688,0,0,0
85,-8.94621250081265,-0.136144941730966,-4.31015510723182,0,0,0
86,-8.949995712875,-0.132882449454433,-4.31015168420868,0,0,0
87,-8.95528942521781,-0.132731847952315,-4.30718209663675,0,0,0
88,-8.95386743862201,-0.13148074403132,-4.2982574358815,0,0,0
89,-8.94915123250136,-0.134268940839217,-4.29973256257956,0,0,0
90,-8.95232892920953,-0.131446954309038,-4.30048517868467,0,0,0
