Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.42714104860874,-0.326284896046062,-1.76114293298498,0,0,0
1,-9.42079707381379,-0.324492709157246,-1.78844967366692,0,0,0
2,-9.42780845244341,-0.322330894964162,-1.77951142449379,0,0,0
3,-9.42366877607801,-0.325034290081826,-1.77293260421202,0,0,0
4,-9.41824127848172,-0.331106240931395,-1.7702767680127,0,0,0
5,-9.41867593102971,-0.329222802222962,-1.77951015288699,0,0,0
6,-9.4247725625323,-0.333061860255789,-1.76565451946115,0,0,0
7,-9.41192067878418,-0.329352137605656,-1.76144552074648,0,0,0
8,-9.41496057005706,-0.332333854554911,-1.74150694980127,0,0,0
9,-9.42075597642912,-0.329041727025973,-1.73875518435651,0,0,0
10,-9.42270889157592,-0.321871295588588,-1.75211611639188,0,0,0
11,-9.42537280189639,-0.32221615703192,-1.74553525240207,0,0,0
12,-9.42736819721428,-0.312806866931578,-1.74986406142866,0,0,0
13,-9.42837498312565,-0.313738486013681,-1.75487249274732,0,0,0
14,-9.42277924441791,-0.317369883542208,-1.75663810141653,0,0,0
15,-9.42286980087469,-0.324299698147485,-1.75898784820502,0,0,0
16,-9.42292433830541,-0.308374206819807,-1.75890620965757,0,0,0
17,-9.42357117291143,-0.30669496458364,-1.75242742689779,0,0,0
18,-9.42753788771804,-0.315249607567855,-1.74318405489558,0,0,0
19,-9.43225112694936,-0.315363358369059,-1.74327936025614,0,0,0
20,-9.41850799048328,-0.31538472914835,-1.75448301239994,0,0,0
21,-9.42527785362158,-0.31527921865973,-1.74996138399657,0,0,0
22,-9.41593757394963,-0.321974423490503,-1.75889636119827,0,0,0
23,-9.43680319578888,-0.324446446519318,-1.76595144723369,0,0,0
24,-9.43231709086682,-0.310854842340928,-1.75457722801518,0,0,0
25,-9.42553432647209,-0.299541029663689,-1.74997798728343,0,0,0
26,-9.44154603221656,-0.310902243059716,-1.74789374132093,0,0,0
27,-9.43247654888265,-0.313280891057843,-1.76370760172492,0,0,0
28,-9.4231907752673,-0.304050588970009,-1.7725609314878,0,0,0
29,-9.42360461477304,-0.315839655799744,-1.78639561039193,0,0,0
30,-9.42357821550454,-0.318104613214865,-1.77058283558747,0,0,0
31,-9.43869596107535,-0.321794076151654,-1.75897999309503,0,0,0
32,-9.42553078981956,-0.324639769165187,-1.75692424467995,0,0,0
33,-9.42078091333312,-0.326774365475244,-1.7568265546203,0,0,0
34,-9.42090957117532,-0.331458159307118,-1.75692005106371,0,0,0
35,-9.41854254117723,-0.33823740842719,-1.75917302333709,0,0,0
36,-9.41399459978284,-0.340559216552414,-1.7591735734713,0,0,0
37,-9.41145232919514,-0.333488653641727,-1.7476925521186,0,0,0
38,-9.42958806328124,-0.340124289970484,-1.75003060489709,0,0,0
39,-9.42305704029103,-0.326770961418551,-1.72520434645741,0,0,0
40,-9.42783770721503,-0.322378544232636,-1.73433888660712,0,0,0
41,-9.4298606250032,-0.324412384016552,-1.72520233533527,0,0,0
42,-9.43702562879533,-0.324667021512757,-1.73442889009272,0,0,0
43,-9.42332055349125,-0.322442531495811,-1.74337631619389,0,0,0
44,-9.42287857728988,-0.324313992901482,-1.74543611200535,0,0,0
45,-9.43190116084531,-0.324166959025989,-1.74543026800072,0,0,0
46,-9.43230505766665,-0.324541405807001,-1.74562672719413,0,0,0
47,-9.42534347678072,-0.324476371199014,-1.7342397565297,0,0,0
48,-9.42505216880626,-0.328759565106053,-1.75898164340762,0,0,0
49,-9.42107109827296,-0.308783185664526,-1.76136277930796,0,0,0
50,-9.42389299392918,-0.311551821667447,-1.76617094205981,0,0,0
