Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.61024070342331,-0.690853916672459,-2.49638368207332,0,0,0
1,-9.60183440515712,-0.681778327425752,-2.47701331099755,0,0,0
2,-9.59601472236726,-0.668316667027676,-2.46806097467911,0,0,0
3,-9.60760797073307,-0.662931585460451,-2.46807463247183,0,0,0
4,-9.62108625884883,-0.664848300873692,-2.46735132273935,0,0,0
5,-9.62233614570626,-0.680669225606069,-2.458445584481,0,0,0
6,-9.61427887077545,-0.712546632362648,-2.4584735297319,0,0,0
7,-9.60930042317274,-0.730644351696365,-2.44732690827886,0,0,0
8,-9.60622696229026,-0.732196326200056,-2.44137238256211,0,0,0
9,-9.61037810741644,-0.717116600751758,-2.44061823962823,0,0,0
10,-9.60818168060371,-0.69887014104735,-2.44579568484789,0,0,0
11,-9.6137063915905,-0.656731687139461,-2.45245257422723,0,0,0
12,-9.61230262131051,-0.650730284619146,-2.46434609930971,0,0,0
13,-9.61322677133637,-0.673179246242666,-2.49115259231321,0,0,0
14,-9.61074331498622,-0.699816393999752,-2.49490567183428,0,0,0
15,-9.60670438807578,-0.698163751564735,-2.50009973417574,0,0,0
16,-9.60468793239881,-0.686172291251492,-2.50901004503502,0,0,0
17,-9.60425657628801,-0.683381210061721,-2.51421871369967,0,0,0
18,-9.6024490777813,-0.687005381460337,-2.50826462689659,0,0,0
19,-9.60421061858086,-0.67875842504895,-2.50751526532731,0,0,0
20,-9.60079047896689,-0.664588416246737,-2.49782396082367,0,0,0
21,-9.59900158126485,-0.66669753140535,-2.4881482935201,0,0,0
22,-9.60818465637293,-0.673480531319187,-2.49486988231168,0,0,0
23,-9.60726327919091,-0.684070854734321,-2.50083321081582,0,0,0
24,-9.60854210456501,-0.691504560471451,-2.49414687097266,0,0,0
25,-9.6077087631298,-0.697575823719801,-2.4748114244275,0,0,0
26,-9.60919973705208,-0.704409093668585,-2.45696949780995,0,0,0
27,-9.61115793118278,-0.705652391278335,-2.44060219013244,0,0,0
28,-9.61605762949048,-0.690552042874146,-2.46737434369124,0,0,0
29,-9.60889341234209,-0.669605881648069,-2.49263227487375,0,0,0
30,-9.59993498193019,-0.665290867846173,-2.47922368439226,0,0,0
31,-9.59743416766965,-0.67356575858742,-2.45839839450164,0,0,0
32,-9.59979101379068,-0.707390444756565,-2.44207529009749,0,0,0
33,-9.59490591373025,-0.730147134052882,-2.43316949106625,0,0,0
34,-9.59658383035323,-0.727951171031077,-2.44135487357514,0,0,0
35,-9.59830089862795,-0.720434313529334,-2.45474035866401,0,0,0
36,-9.60765521390774,-0.709001418076457,-2.45325402628616,0,0,0
37,-9.61147982830122,-0.699785411140533,-2.44506312380636,0,0,0
38,-9.60660009413753,-0.67574802948725,-2.44205070061298,0,0,0
39,-9.61625286021503,-0.647727836360663,-2.4598869292536,0,0,0
40,-9.59951265825548,-0.640335771968636,-2.4724953867572,0,0,0
41,-9.61338210847632,-0.6855321455783,-2.50679734032221,0,0,0
42,-9.43088549840862,-0.664691248225157,-2.36810315259579,0,0,0
43,-9.75022942895382,-0.811534180683292,-2.62024454243802,0,0,0
44,-9.65251586255011,-0.752801878582581,-2.54711417077177,0,0,0
45,-9.61533816975258,-0.703592718867434,-2.52170088982942,0,0,0
46,-9.60660881943333,-0.665816515180347,-2.52014802702402,0,0,0
47,-9.60776396491766,-0.643939501670292,-2.51194021886095,0,0,0
48,-9.59925964645913,-0.648549021439709,-2.50077223416315,0,0,0
49,-9.59805457830968,-0.671916367791605,-2.49261493626078,0,0,0
50,-9.59623647079574,-0.687000319083138,-2.49262980619354,0,0,0
51,-9.59244668951878,-0.693185556836041,-2.49188961689599,0,0,0
52,-9.58958891536964,-0.678849769137982,-2.49484203016617,0,0,0
53,-9.58911931167354,-0.660738418503232,-2.49333085130863,0,0,0
54,-9.5948094648168,-0.644885076625981,-2.49704192127316,0,0,0
55,-9.5962701230084,-0.649401818993818,-2.5059772489991,0,0,0
56,-9.599024788887,-0.668244841315277,-2.5186521992862,0,0,0
57,-9.59772788233878,-0.692305754319217,-2.52909226285767,0,0,0
58,-9.60039926344147,-0.717964957488127,-2.52392181376049,0,0,0
59,-9.59969051345116,-0.7203100157128,-2.51053459417956,0,0,0
60,-9.60837080151911,-0.702839592164716,-2.50160020722918,0,0,0
61,-9.61206022089311,-0.672713533302414,-2.5008276904585,0,0,0
62,-9.60886859905678,-0.660412068316456,-2.48741006943191,0,0,0
63,-9.6097038918269,-0.664280957987634,-2.47030842502431,0,0,0
64,-9.60790005043582,-0.681669263416685,-2.4680953615273,0,0,0
65,-9.60820290219329,-0.704238486985228,-2.47928113539538,0,0,0
66,-9.60939403314655,-0.716956277495344,-2.47111336370321,0,0,0
67,-9.60592872475492,-0.714218050243605,-2.48003697380054,0,0,0
68,-9.608629643857,-0.696159301873979,-2.4926679821738,0,0,0
69,-9.60793130148345,-0.674812936092553,-2.48742753326607,0,0,0
70,-9.60658412004251,-0.660445260458277,-2.48443070271404,0,0,0
71,-9.6052402520941,-0.657548504790324,-2.49633021816146,0,0,0
72,-9.59991920739881,-0.662220647757958,-2.50748790190663,0,0,0
73,-9.59689890330788,-0.665343085743985,-2.51641545186552,0,0,0
74,-9.59583130292934,-0.668174601038401,-2.52459554214723,0,0,0
75,-9.59967432442839,-0.668911414044859,-2.52534752316924,0,0,0
76,-9.59709246412585,-0.680181930842621,-2.51865984879075,0,0,0
77,-9.59637712893648,-0.694754732632625,-2.52165784177211,0,0,0
78,-9.59625112954549,-0.701537618052127,-2.51125078122174,0,0,0
79,-9.59636270186052,-0.700859369210788,-2.50530057662384,0,0,0
80,-9.59598935074652,-0.69904135405729,-2.49413126997304,0,0,0
81,-9.59864430204071,-0.698530179011736,-2.4829827616381,0,0,0
82,-9.59998202286344,-0.700658300081141,-2.49414370346634,0,0,0
83,-9.60686543324516,-0.700581718231872,-2.48745996504115,0,0,0
84,-9.60820696023288,-0.705006252218488,-2.48969739072052,0,0,0
85,-9.60199051721736,-0.702704984557075,-2.48298608606905,0,0,0
86,-9.60077591020087,-0.693026980598927,-2.47255989779965,0,0,0
87,-9.60854608729753,-0.682333246811864,-2.47255887278088,0,0,0
88,-9.60953724209574,-0.674090447471238,-2.4651127176416,0,0,0
89,-9.60866745430307,-0.674017484353153,-2.46436527145745,0,0,0
90,-9.60960551333541,-0.674143491639855,-2.47404131257452,0,0,0
91,-9.60550049982437,-0.682377805264243,-2.46883436634088,0,0,0
92,-9.60755934518601,-0.692108495452146,-2.46364106823253,0,0,0
93,-9.6061251480641,-0.690670414612168,-2.46810172367219,0,0,0
94,-9.60682968624056,-0.697495837450298,-2.468112347744,0,0,0
95,-9.6015228312741,-0.697591721725878,-2.47628752670148,0,0,0
96,-9.59844081657748,-0.691492161656278,-2.4911509825367,0,0,0
97,-9.596387270323,-0.68788169513346,-2.49263422205072,0,0,0
98,-9.59635881392205,-0.690153245968492,-2.49784465273233,0,0,0
99,-9.60235559195138,-0.692284536790704,-2.50306340185386,0,0,0
100,-9.59863283872524,-0.691641069977246,-2.50975329629414,0,0,0
101,-9.5994168454267,-0.68629577486552,-2.50528315260554,0,0,0
102,-9.60717134565039,-0.67635439276751,-2.50305119044127,0,0,0
103,-9.60722999510271,-0.672577220778036,-2.50155868369816,0,0,0
104,-9.6079127173868,-0.676327612940441,-2.49114913645606,0,0,0
105,-9.60533150666936,-0.695243945020114,-2.49340044472219,0,0,0
106,-9.60422713317072,-0.708750824557557,-2.48299816796591,0,0,0
107,-9.60125771017603,-0.710383170699262,-2.47407015681753,0,0,0
108,-9.60512722558009,-0.711139990890633,-2.45696840010335,0,0,0
109,-9.60988515848465,-0.695165221254685,-2.45472318014061,0,0,0
110,-9.61071374711564,-0.68373865656659,-2.48595309154853,0,0,0
111,-9.60559886287899,-0.675573548794232,-2.4963511588411,0,0,0
112,-9.60471614544732,-0.686958589104756,-2.50008470737706,0,0,0
113,-9.60932469356751,-0.690745383282122,-2.50084271465834,0,0,0
114,-9.60545088482372,-0.690749251501988,-2.48818841844667,0,0,0
115,-9.6075758386851,-0.68906332875833,-2.47777131942109,0,0,0
116,-9.60707670900455,-0.680103457705784,-2.4814811697379,0,0,0
117,-9.6076957940607,-0.685333670226047,-2.48074368541359,0,0,0
118,-9.60925574993243,-0.683046618079035,-2.48297515289397,0,0,0
119,-9.61634098296391,-0.675481509449321,-2.4926503322245,0,0,0
120,-9.61320818711781,-0.674693930488605,-2.49487419396986,0,0,0
121,-9.60701274004646,-0.677760294947672,-2.48668375063681,0,0,0
122,-9.60002201568617,-0.689985945626748,-2.47999339548452,0,0,0
123,-9.6022043069756,-0.69446053907494,-2.46437947958026,0,0,0
124,-9.60213951221469,-0.695939511421463,-2.47330758946113,0,0,0
125,-9.60670465062797,-0.692047493903189,-2.47256499487524,0,0,0
126,-9.6014655034521,-0.691431283068259,-2.48148435202051,0,0,0
127,-9.60300380979114,-0.701359742823542,-2.49042960372983,0,0,0
128,-9.60080187493273,-0.702221177799204,-2.47852603965078,0,0,0
129,-9.60234267558045,-0.700683790523603,-2.47629471068813,0,0,0
130,-9.60155535571281,-0.694558756108417,-2.46586850602786,0,0,0
131,-9.60231854064659,-0.697606991740415,-2.46438662117408,0,0,0
132,-9.6054454238241,-0.693038394014679,-2.47331328047106,0,0,0
133,-9.60330519162963,-0.680951145806687,-2.47254988705832,0,0,0
134,-9.60239443291644,-0.680081943093007,-2.47254431005483,0,0,0
135,-9.60796382616791,-0.671779955680494,-2.47700851689299,0,0,0
136,-9.60663473032562,-0.663542742750674,-2.47848508553422,0,0,0
137,-9.60727413862056,-0.668024123443664,-2.48295434914546,0,0,0
138,-9.60856407586365,-0.683111892193976,-2.4919025580853,0,0,0
139,-9.60991034080464,-0.694420675596673,-2.49787035528548,0,0,0
140,-9.6076115846388,-0.692149295993423,-2.49711891677364,0,0,0
141,-9.61008106018353,-0.683849671428943,-2.49785747039511,0,0,0
142,-9.61079446413665,-0.678449475969935,-2.48297084151488,0,0,0
143,-9.60935853338198,-0.67624549917078,-2.47850315657076,0,0,0
144,-9.60870959011718,-0.676343893641687,-2.47999219497365,0,0,0
145,-9.60227481106037,-0.687634547711615,-2.47404141740081,0,0,0
146,-9.59913574175357,-0.692958313225036,-2.46511569339204,0,0,0
147,-9.60061299724129,-0.698252302002245,-2.45768613966871,0,0,0
148,-9.59832503559684,-0.698282774107981,-2.45247491638143,0,0,0
149,-9.60757338032732,-0.697470870966375,-2.45769819443769,0,0,0
150,-9.6082743414175,-0.697412921039488,-2.45472241980856,0,0,0
151,-9.60849137202441,-0.693758327150256,-2.45025754575695,0,0,0
152,-9.6085807886981,-0.689240656914817,-2.46066737167385,0,0,0
153,-9.61081256949431,-0.683050592973259,-2.4718193985934,0,0,0
154,-9.61376665393363,-0.684464090965699,-2.46736111353308,0,0,0
155,-9.60982954750864,-0.689770708917294,-2.46884837515928,0,0,0
156,-9.60907400648351,-0.692844465046146,-2.4681080736976,0,0,0
157,-9.60928939053305,-0.696833736257623,-2.47109426513397,0,0,0
158,-9.61344262665367,-0.705619803080612,-2.47854616628712,0,0,0
159,-9.60733055056142,-0.707221790799815,-2.47333085377639,0,0,0
