Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.21913639903326,0.687820585716146,-2.45761928268819,0,0,0
1,-9.22344837399716,0.676678474247726,-2.48244923528055,0,0,0
2,-9.21666845094233,0.65147368981725,-2.50295288957297,0,0,0
3,-9.20104902038692,0.662479549905652,-2.52330252388132,0,0,0
4,-9.22522714475752,0.63839163383766,-2.5683337024169,0,0,0
5,-9.21649055300037,0.631127728818261,-2.5798234981947,0,0,0
6,-9.21658061582046,0.649308730378179,-2.58200209193321,0,0,0
7,-9.22089484125557,0.624451477410474,-2.57529622342532,0,0,0
8,-9.22532760310843,0.631440412113789,-2.55487387558981,0,0,0
9,-9.2410121294208,0.636348171838139,-2.51863158866899,0,0,0
10,-9.25257838118071,0.640815331906162,-2.49840042116079,0,0,0
11,-9.23912068857793,0.642778800956954,-2.43742891604237,0,0,0
12,-9.2483580319507,0.642712481494651,-2.41719437143331,0,0,0
13,-9.27983493896569,0.647872815308243,-2.37642471895677,0,0,0
14,-9.26347271713387,0.648138900869182,-2.32644909665449,0,0,0
15,-9.2594189315661,0.649901277238241,-2.2995485441968,0,0,0
16,-9.27845678599057,0.660664374668477,-2.29542642245016,0,0,0
17,-9.26673771931345,0.670021360305343,-2.26804361665495,0,0,0
18,-9.26074422457719,0.678292482234271,-2.23447427274588,0,0,0
19,-9.28068419842027,0.681246275290604,-2.22523166715193,0,0,0
20,-9.26778226245292,0.694117122046937,-2.21190026602981,0,0,0
21,-9.27017917535415,0.714559506899509,-2.19149391050124,0,0,0
22,-9.26141307687896,0.730150738167963,-2.19151635786575,0,0,0
23,-9.26403657430941,0.7526683497993,-2.18927999535934,0,0,0
24,-9.27032400993017,0.748671582223837,-2.19359083181962,0,0,0
25,-9.24987445274418,0.753063246659352,-2.22513068631871,0,0,0
26,-9.24292209930065,0.755427139613389,-2.25665934438289,0,0,0
27,-9.2473352174789,0.751044423764008,-2.29504808612521,0,0,0
28,-9.23389171377149,0.746196669916333,-2.35387481318186,0,0,0
29,-9.23800947414736,0.737542988453809,-2.42378059455861,0,0,0
30,-9.22281979976598,0.725312710183262,-2.46031230276344,0,0,0
31,-9.20618901826088,0.700765406385344,-2.51430545910823,0,0,0
32,-9.21083012545792,0.698455573980045,-2.56860594629034,0,0,0
33,-9.22847374968269,0.67632347573347,-2.62277738323271,0,0,0
34,-9.21188921087678,0.642604535607224,-2.69041148572886,0,0,0
35,-9.19313331248087,0.627039114454326,-2.76925979633663,0,0,0
36,-9.19764903660256,0.629413411776044,-2.81894871501493,0,0,0
37,-9.21179330102111,0.654164499136449,-2.81003080328366,0,0,0
38,-9.22119602548658,0.688176591984866,-2.76027185836858,0,0,0
39,-9.19671156976958,0.691991063115165,-2.67908172324076,0,0,0
40,-9.17673979151228,0.695876625777972,-2.59562989889,0,0,0
41,-9.19052709726909,0.709532451011427,-2.54368718711756,0,0,0
42,-9.22418577805778,0.698830187408719,-2.53236033047611,0,0,0
43,-9.21637213763736,0.683723733700349,-2.50710760823675,0,0,0
44,-9.21676353364991,0.681050638779462,-2.46890668888422,0,0,0
45,-9.23744689488498,0.678722714327826,-2.4442441771828,0,0,0
46,-9.24175734863305,0.665275187485552,-2.41486501028762,0,0,0
47,-9.22084590968973,0.663222023897425,-2.36714844134338,0,0,0
48,-9.22109014352092,0.640153003176244,-2.35838665778374,0,0,0
49,-9.238485175141,0.613672993044071,-2.37179939999784,0,0,0
50,-9.26154595924912,0.620416333215604,-2.3855412271597,0,0,0
51,-9.2699547735325,0.621153072389942,-2.39879060364181,0,0,0
52,-9.2729379162813,0.615935502677517,-2.40821420234543,0,0,0
53,-9.2540607036514,0.602738551903216,-2.41920821385452,0,0,0
54,-9.25912595692806,0.636530262999055,-2.41246502809173,0,0,0
55,-9.25688202387439,0.636474445108101,-2.39439757459642,0,0,0
56,-9.25036633160534,0.663515013823487,-2.37400408537043,0,0,0
57,-9.24400347662254,0.649307729446889,-2.34492861701374,0,0,0
58,-9.23485172365684,0.665254488523372,-2.31765013322801,0,0,0
59,-9.23569772915126,0.666729961573044,-2.3135302787661,0,0,0
60,-9.25741099808891,0.665617306520565,-2.31311829466529,0,0,0
61,-9.25995764179217,0.669932527373017,-2.28837554731768,0,0,0
62,-9.23949125822207,0.658331386575043,-2.26127343971734,0,0,0
63,-9.23505033648681,0.662759325354247,-2.26579833839064,0,0,0
64,-9.24008061211141,0.669184267305074,-2.2569654627815,0,0,0
65,-9.2492547867178,0.692028126530904,-2.27721220635123,0,0,0
66,-9.2544844522502,0.711975988844433,-2.30001429251961,0,0,0
67,-9.23644727361994,0.725380783493437,-2.31575181819109,0,0,0
68,-9.22101914975752,0.736210848219243,-2.35201062051508,0,0,0
69,-9.21596991281564,0.729817558694454,-2.39020536925043,0,0,0
70,-9.21310305336026,0.718964192670126,-2.42839377106976,0,0,0
71,-9.21539113917094,0.698448087283118,-2.4918099951062,0,0,0
72,-9.20132523069405,0.69189780818412,-2.52097579947085,0,0,0
73,-9.20529857242305,0.685651002681036,-2.55916424787129,0,0,0
74,-9.20820745691699,0.664532753209838,-2.59803288396909,0,0,0
75,-9.20298745981238,0.660588615489815,-2.64516491837623,0,0,0
76,-9.19587169534645,0.665390074143952,-2.67433786008767,0,0,0
77,-9.19423463402558,0.678466550528849,-2.68132756688245,0,0,0
78,-9.20095904810914,0.676337999074247,-2.69035526920109,0,0,0
