Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.29648605747952,0.298051355591919,-3.54725706206606,0,0,0
1,-9.29226353245023,0.304716531795966,-3.55766154823113,0,0,0
2,-9.28608485714484,0.312225378464938,-3.55094264205247,0,0,0
3,-9.28635442723535,0.31064333522714,-3.55913416779373,0,0,0
4,-9.28781210700381,0.306892447656332,-3.55839720646071,0,0,0
5,-9.28841050589441,0.305422164686317,-3.56062884061698,0,0,0
6,-9.29062924489944,0.306996676678218,-3.55095779860301,0,0,0
7,-9.29062692319893,0.306998489994254,-3.54946992815519,0,0,0
8,-9.28613716129207,0.306145155922762,-3.55690468455143,0,0,0
9,-9.28383476104104,0.303831633069073,-3.56583111492577,0,0,0
10,-9.28166889872119,0.302255407867846,-3.56434473168679,0,0,0
11,-9.28233530473207,0.296987152156963,-3.55914480869718,0,0,0
12,-9.28908099863294,0.302445069259302,-3.5345959653085,0,0,0
13,-9.29521612064103,0.29799003790826,-3.5271747946223,0,0,0
14,-9.29605964965597,0.300996181877687,-3.54949038268594,0,0,0
15,-9.28750710716102,0.300893569061807,-3.56063157759079,0,0,0
16,-9.2921496704033,0.302471492505962,-3.55319909735974,0,0,0
17,-9.29523982908712,0.310089613560849,-3.55244910225032,0,0,0
18,-9.28637010719874,0.311395883074131,-3.56136505565337,0,0,0
19,-9.28433027186239,0.316604249883339,-3.57028549706476,0,0,0
20,-9.28335949009888,0.312853702302029,-3.56433421532474,0,0,0
21,-9.2818716387424,0.306000133162979,-3.56508726999373,0,0,0
22,-9.2831898703036,0.300749470609965,-3.58071554002317,0,0,0
23,-9.28308416507537,0.29471367462856,-3.57551535168459,0,0,0
24,-9.28270306556488,0.294048481235615,-3.56434921917807,0,0,0
25,-9.28574037895963,0.302262683865221,-3.55840557120089,0,0,0
26,-9.28253861204231,0.305280654936226,-3.55839234584604,0,0,0
27,-9.29003023306925,0.311487098017656,-3.56211171877378,0,0,0
28,-9.28773074354013,0.309936103655478,-3.56508574429171,0,0,0
29,-9.29084711892024,0.30694516407729,-3.55542620561266,0,0,0
30,-9.29138629241574,0.30399153032951,-3.53534161745247,0,0,0
31,-9.29083902257342,0.303167086107844,-3.54427336022022,0,0,0
32,-9.28863827909701,0.302343349829502,-3.5576631786804,0,0,0
33,-9.28699004527984,0.303104742747243,-3.55765668731574,0,0,0
34,-9.28901360052969,0.296379294346184,-3.55394565392923,0,0,0
35,-9.28684018395739,0.299358230611006,-3.54575671737281,0,0,0
36,-9.28830947073442,0.295598257932829,-3.55245911477743,0,0,0
37,-9.28536044094361,0.296282787435201,-3.55766260073612,0,0,0
38,-9.28858891785138,0.300087541814886,-3.54948263598944,0,0,0
39,-9.28702024435492,0.30461074510037,-3.56137452688568,0,0,0
40,-9.28103444152839,0.309793093688597,-3.56656614831411,0,0,0
41,-9.28304232225871,0.307629231433591,-3.55094501865624,0,0,0
42,-9.28896128110679,0.307773547255958,-3.53830442439915,0,0,0
43,-9.28412465988739,0.309842224551788,-3.55392557547284,0,0,0
44,-9.28172000529808,0.310588703199605,-3.55614970869747,0,0,0
45,-9.28303997891551,0.311415566266146,-3.55540242841727,0,0,0
46,-9.28789343434635,0.312947283479802,-3.54797473566352,0,0,0
47,-9.28983332919896,0.305482912992856,-3.54351910163315,0,0,0
48,-9.28772210936504,0.297824800796644,-3.54948261575853,0,0,0
49,-9.29301193285787,0.293384685965414,-3.53238749121436,0,0,0
50,-9.29817852006811,0.292745906307614,-3.53239353553514,0,0,0
51,-9.29436264887695,0.294952045804562,-3.54354229277103,0,0,0
52,-9.29228159596584,0.297898435531602,-3.54948973138805,0,0,0
53,-9.29356902190011,0.297220897347828,-3.54353675149113,0,0,0
54,-9.29236697740561,0.303185284402843,-3.54948328730128,0,0,0
55,-9.29088606228865,0.305424718545535,-3.55096602658889,0,0,0
56,-9.28625800882071,0.304600285972568,-3.55988546864973,0,0,0
57,-9.28548239007882,0.307619912696134,-3.56359867915922,0,0,0
58,-9.29020049279859,0.309943124176965,-3.55170325360548,0,0,0
59,-9.28759832916466,0.309235183576046,-3.53309584768562,0,0,0
60,-9.2841386144715,0.306046923818533,-3.55690752338241,0,0,0
61,-9.28025184876219,0.305974562368544,-3.5911194582461,0,0,0
62,-9.28079218262704,0.301490424596055,-3.58740326341515,0,0,0
63,-9.28638176771353,0.303817959941718,-3.55691384293793,0,0,0
64,-9.28399859069848,0.305312389844694,-3.56508854329471,0,0,0
65,-9.28245898908327,0.30755812972791,-3.57400903718566,0,0,0
66,-9.28388471200297,0.306851827308114,-3.56657136806873,0,0,0
67,-9.28173976146754,0.306788828132707,-3.56285133585814,0,0,0
68,-9.28242763476939,0.300739011482163,-3.57922648178722,0,0,0
69,-9.2814736948525,0.2977399207768,-3.57625001935163,0,0,0
70,-9.28289361218782,0.297038099990706,-3.56509267633662,0,0,0
71,-9.28615227762578,0.302348911096819,-3.56063056588209,0,0,0
72,-9.28258797346191,0.307536474054873,-3.56657288513029,0,0,0
73,-9.28180890268365,0.301460410676912,-3.57178822436599,0,0,0
74,-9.28412931097854,0.304524616390865,-3.56658054250246,0,0,0
75,-9.28943942941013,0.304617776928963,-3.56063734994671,0,0,0
76,-9.28481776651598,0.304553141584022,-3.56583618882255,0,0,0
77,-9.28477243474967,0.305313782381035,-3.5740169630239,0,0,0
78,-9.28633527367855,0.304579499814719,-3.56435068778347,0,0,0
79,-9.28697667780832,0.307664404061796,-3.54723446253323,0,0,0
80,-9.28100424245331,0.30828709133547,-3.56284830874416,0,0,0
81,-9.28471842974931,0.30306157879494,-3.56286068254906,0,0,0
82,-9.28557365228444,0.301548972801644,-3.54947605107404,0,0,0
83,-9.28399339958457,0.302296836583333,-3.54798328964874,0,0,0
84,-9.28314403232806,0.29623610451515,-3.55319702358563,0,0,0
85,-9.28368315828408,0.294007615202042,-3.57030669588565,0,0,0
86,-9.28368836703804,0.298552770334087,-3.57178743808258,0,0,0
87,-9.28144870628298,0.30077906988232,-3.57401292414525,0,0,0
88,-9.28234802863111,0.304546043589082,-3.57921866204041,0,0,0
89,-9.28384345882649,0.30306003799362,-3.57922287510598,0,0,0
90,-9.28255662043099,0.300717422717973,-3.5717903308845,0,0,0
91,-9.28246598317524,0.298454264711357,-3.58220659774984,0,0,0
92,-9.27709254105944,0.298370981021595,-3.59261179267884,0,0,0
93,-9.28069808106219,0.300759544201279,-3.57996322000204,0,0,0
94,-9.28279486511961,0.296310820437997,-3.5546769056293,0,0,0
95,-9.28356174163842,0.296317652899306,-3.55914170105549,0,0,0
96,-9.28111526927567,0.294037418521774,-3.56583311374062,0,0,0
97,-9.28228996890417,0.303061786233793,-3.55764637279607,0,0,0
98,-9.2837325087007,0.30689160963936,-3.55912881256626,0,0,0
99,-9.28325376196899,0.310602368167086,-3.56507931066043,0,0,0
