Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.17657358754264,0.029013657857166,-2.60187226872433,0,0,0
1,-9.18217201786763,0.00736736263577435,-2.59222135207744,0,0,0
2,-9.18660279032032,-0.0221815678709971,-2.60151543076647,0,0,0
3,-9.18595031241373,-0.0375681453883645,-2.58991271756177,0,0,0
4,-9.18576695304293,-0.048819801952328,-2.58990084742337,0,0,0
5,-9.1840073689657,-0.0424544302033124,-2.61730318311077,0,0,0
6,-9.17759518498653,-0.0451709796899418,-2.63792432281498,0,0,0
7,-9.15511414469488,-0.0410331429605387,-2.64246015957224,0,0,0
8,-9.15992718802766,-0.0343832519055253,-2.65616132354019,0,0,0
9,-9.15690705972907,-0.0314217540446595,-2.64880038644928,0,0,0
10,-9.15853280342325,-0.0307781516021434,-2.68674628008964,0,0,0
11,-9.1525675757947,-0.0316340135562497,-2.69637379113433,0,0,0
12,-9.15262093171914,-0.0408216068374056,-2.69877008858743,0,0,0
13,-9.15971897074775,-0.0455941421562968,-2.69453958652098,0,0,0
14,-9.15711063376971,-0.0430246076400894,-2.67392416519545,0,0,0
15,-9.16106973968009,-0.0515725532198806,-2.67587491558797,0,0,0
16,-9.17296234386517,-0.0633853846045156,-2.6854788582522,0,0,0
17,-9.1561325666319,-0.078671337557721,-2.65552523626557,0,0,0
18,-9.15860384427888,-0.078846962079476,-2.63308892415823,0,0,0
19,-9.16588671460525,-0.0723700963903157,-2.62661193336537,0,0,0
20,-9.15947628906883,-0.0499584118748995,-2.64470598330088,0,0,0
21,-9.19768072794607,-0.0286058224298456,-2.73699521435812,0,0,0
22,-9.18878034846252,-0.0425297012888488,-2.83438636133527,0,0,0
23,-9.1565861181079,-0.0447593153728338,-2.80460433796597,0,0,0
24,-9.15502824375303,-0.0569237922474286,-2.69001415181117,0,0,0
25,-9.15220173395642,-0.0838896789407582,-2.58144400730676,0,0,0
26,-9.1596893947299,-0.0524759865271436,-2.57032909367953,0,0,0
27,-9.16361829749253,-0.0746952475132466,-2.59047916389068,0,0,0
28,-9.16333162429429,-0.0812980665740272,-2.5519345239571,0,0,0
29,-9.15867808043304,-0.104098716681768,-2.51818751114059,0,0,0
30,-9.1589190443603,-0.063190076905824,-2.54277606954216,0,0,0
31,-9.15324607648895,-0.0209102023596713,-2.55441158667197,0,0,0
32,-9.1577759850463,-0.0322792999150405,-2.55228597522987,0,0,0
33,-9.16237486102047,-0.0391406083219763,-2.55693984350548,0,0,0
34,-9.17204417471044,0.0266612846410176,-2.57477392396937,0,0,0
35,-9.18813297457734,0.033494602180282,-2.58846772127055,0,0,0
36,-9.18087784990441,0.0269735255714149,-2.55203825090896,0,0,0
37,-9.20385141340763,0.0269319438776051,-2.52296132447942,0,0,0
38,-9.16941377868354,0.0269573980481833,-2.53157400295758,0,0,0
39,-9.17338613485285,0.0206985294786927,-2.56965911270543,0,0,0
40,-9.1707300322519,0.00962530631721228,-2.59434180297358,0,0,0
41,-9.16606918993808,-0.0131643085845377,-2.57188611692239,0,0,0
42,-9.18661614628846,0.000618407550626963,-2.52446432999867,0,0,0
43,-9.18100802285157,0.00855984178870478,-2.52069869639816,0,0,0
44,-9.20794889211803,0.0136784826935321,-2.50924731993431,0,0,0
45,-9.20469444189799,-0.0105590954138949,-2.49523111759076,0,0,0
46,-9.18864622747296,-0.00142768556428835,-2.50398902644508,0,0,0
47,-9.20539412911594,0.0321922292286936,-2.49075975446106,0,0,0
48,-9.20099305487803,0.0274599909970015,-2.52026236944509,0,0,0
49,-9.17816092983686,0.0227904400210737,-2.52915777668251,0,0,0
50,-9.18452922861472,0.0255791456820315,-2.57628381304029,0,0,0
51,-9.16690886115023,0.0271883197106336,-2.60594980852191,0,0,0
52,-9.17042874405526,0.0694729046603326,-2.66289188971682,0,0,0
53,-9.17954808523219,0.10383169234563,-2.73714842670322,0,0,0
54,-9.17103714132485,0.123783679910071,-2.77119681060245,0,0,0
55,-9.18923228327052,0.133066966849929,-2.75990342660506,0,0,0
56,-9.202783616194,0.133254119735347,-2.72827931776434,0,0,0
57,-9.20501828438842,0.133324218767701,-2.75989320187696,0,0,0
58,-9.22337429087731,0.167617223422733,-2.81170896097337,0,0,0
59,-9.19633443556828,0.164830628986738,-2.72139464240301,0,0,0
60,-9.15168233950091,0.136195383482369,-2.59100745446622,0,0,0
61,-9.17089428086885,0.144390869355508,-2.5675343729462,0,0,0
62,-9.22157425584319,0.073249341032847,-2.59000713486654,0,0,0
63,-9.19413411016606,0.0480142001085549,-2.55160859403185,0,0,0
64,-9.18119034214891,0.0472547990141491,-2.57915848381014,0,0,0
65,-9.18586726973521,0.0700181732327547,-2.57677362065756,0,0,0
66,-9.18848818234477,0.0788382656982387,-2.54983023181584,0,0,0
67,-9.21506025448762,0.075178690449511,-2.56983723324848,0,0,0
68,-9.23346279433644,0.0842632010667276,-2.54965834874444,0,0,0
69,-9.22680627942334,0.0520524950560408,-2.52297283136416,0,0,0
70,-9.2012129746292,0.0386519877351755,-2.46381831906304,0,0,0
71,-9.21418272997458,0.0142366201961022,-2.39588906144381,0,0,0
72,-9.21879773244657,0.00734875503832417,-2.37570216177347,0,0,0
73,-9.21153907603034,0.0145540519138172,-2.37301366760566,0,0,0
74,-9.21876196095734,0.0188179076343706,-2.40266559228963,0,0,0
75,-9.20721999339423,-0.00851331974888468,-2.44569818841172,0,0,0
76,-9.22042022351159,-0.0148239234909906,-2.47489203238371,0,0,0
77,-9.20672157766566,-0.0126004700201868,-2.47927228736464,0,0,0
78,-9.19784837351746,-0.0151580766385999,-2.50652192516918,0,0,0
79,-9.20060348291905,-0.00872670463464495,-2.52714649288888,0,0,0
80,-9.18444229791185,-0.00634156515840288,-2.54041370605107,0,0,0
81,-9.18392189104812,-0.0127028736295981,-2.55140291860386,0,0,0
82,-9.18032840945759,-0.0181927080124234,-2.57923708364406,0,0,0
83,-9.17748486153713,-0.0153792540099275,-2.61041386829219,0,0,0
84,-9.17747754911414,-0.0153673437611969,-2.62170504188741,0,0,0
85,-9.1939767189397,-0.00892341336404089,-2.62440263572079,0,0,0
86,-9.19619373104907,-0.01113456889097,-2.62665704207231,0,0,0
87,-9.19562720188924,-0.00831999885587812,-2.62395871328007,0,0,0
88,-9.18474289494806,-0.00886247178972131,-2.64232690220206,0,0,0
89,-9.18018716264689,-0.0111719787673762,-2.65587688304021,0,0,0
90,-9.19326151718867,-0.00138589663385689,-2.65317683340616,0,0,0
91,-9.19134812914901,0.0188112786613813,-2.63513379935058,0,0,0
92,-9.18521606665444,0.0318081688937149,-2.6196397620848,0,0,0
93,-9.18445098193783,0.034807729052544,-2.61227752211817,0,0,0
94,-9.17561967589063,0.0459029657706499,-2.60326232132739,0,0,0
95,-9.19429260732176,0.0593063514805956,-2.59001041874171,0,0,0
96,-9.20373234671403,0.0590487167693228,-2.56545888116315,0,0,0
97,-9.19253730084017,0.0633536745784518,-2.55417974845984,0,0,0
98,-9.2034480242515,0.066163851169395,-2.55162174357287,0,0,0
99,-9.18648064929295,0.069436081962238,-2.56366649129047,0,0,0
100,-9.19282253325779,0.0699582123106105,-2.59498259276028,0,0,0
101,-9.1883425484983,0.0858666420128831,-2.63324469842333,0,0,0
102,-9.17905392684955,0.0951187167913233,-2.65103090866529,0,0,0
103,-9.19471313497849,0.100063662972407,-2.64861969044727,0,0,0
104,-9.19747751159314,0.0927574255960328,-2.62647126729431,0,0,0
105,-9.19914462360121,0.0796137771947075,-2.57196300267582,0,0,0
106,-9.19488280679837,0.0815846078717132,-2.55630809302986,0,0,0
107,-9.20201757795851,0.0790611493962131,-2.55207970667661,0,0,0
108,-9.20870820183455,0.0746731847627992,-2.55432881557705,0,0,0
109,-9.21516643402801,0.0682146499292937,-2.54739517928404,0,0,0
110,-9.2108606432572,0.0679471285016847,-2.54302903835444,0,0,0
111,-9.19745360416608,0.063043941959998,-2.54995518911315,0,0,0
112,-9.19453217715593,0.0590552007234106,-2.53144377095806,0,0,0
