Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.63288583537337,-0.961925516090211,-2.17260689319556,0,0,0
1,-9.63684148804097,-0.958927038082809,-2.17112315227537,0,0,0
2,-9.63744174470534,-0.961848237046448,-2.16963790066312,0,0,0
3,-9.63307686126893,-0.96054197245061,-2.17484023153639,0,0,0
4,-9.63226771669779,-0.956701109260065,-2.1740883583254,0,0,0
5,-9.63375716832823,-0.958943599244769,-2.17781362733112,0,0,0
6,-9.63274574210538,-0.964874462716104,-2.18376891172278,0,0,0
7,-9.63224149705465,-0.962024605270135,-2.17707193653633,0,0,0
8,-9.6321574008378,-0.967304668684654,-2.17782239932073,0,0,0
9,-9.63232824834734,-0.963616105862708,-2.17856389720286,0,0,0
10,-9.63351277790141,-0.963340225794211,-2.1726078568158,0,0,0
11,-9.6345559941398,-0.959723469984064,-2.17558468130867,0,0,0
12,-9.63297560788873,-0.959702789349832,-2.17186113824226,0,0,0
13,-9.63271846935287,-0.965616854744975,-2.17409748206874,0,0,0
14,-9.63360822743365,-0.964174851896857,-2.17186680971485,0,0,0
15,-9.63388657923489,-0.963619537895192,-2.16815089667193,0,0,0
16,-9.63359488671826,-0.964928117761125,-2.1711237015116,0,0,0
17,-9.63428910164316,-0.961813243029704,-2.16739901662665,0,0,0
18,-9.63364115512198,-0.964962442389778,-2.16591653708014,0,0,0
19,-9.63596179490482,-0.969535555270924,-2.16890378023251,0,0,0
20,-9.63229227942192,-0.965115353813082,-2.17112544876809,0,0,0
21,-9.63210022271865,-0.963445229916184,-2.17186351803002,0,0,0
22,-9.63278272180652,-0.964901534131412,-2.17260953966826,0,0,0
23,-9.62982794164177,-0.966541224650963,-2.17335272214612,0,0,0
24,-9.63119828732729,-0.965641405360065,-2.17409510964109,0,0,0
25,-9.63429769121862,-0.965636600451811,-2.17707699424492,0,0,0
26,-9.63660219940957,-0.96714425466844,-2.17336328650469,0,0,0
27,-9.63051927071591,-0.964187810828783,-2.17558117035883,0,0,0
28,-9.63343866707154,-0.964811539527151,-2.1755847709229,0,0,0
29,-9.62897704991045,-0.965722527672755,-2.17706869074155,0,0,0
30,-9.63138884938542,-0.960440814704419,-2.17185865480064,0,0,0
31,-9.62857719482217,-0.956844816913875,-2.17482851802577,0,0,0
