Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.18699451147977,-0.15096808482563,-2.74315656553923,0,0,0
1,-9.19367460699352,-0.143886351521203,-2.73844536364315,0,0,0
2,-9.20288519492225,-0.157698779044846,-2.73204061732905,0,0,0
3,-9.19570512720323,-0.157320359548528,-2.74746540503973,0,0,0
4,-9.19999555706901,-0.16158527619049,-2.72471107629763,0,0,0
5,-9.19521542751568,-0.179673139273678,-2.68629324587267,0,0,0
6,-9.19566447179153,-0.187054242717383,-2.69587122571994,0,0,0
7,-9.17265056784022,-0.180033640996598,-2.69308464515368,0,0,0
8,-9.17841746215516,-0.163101929417315,-2.70081891413086,0,0,0
9,-9.18020144442156,-0.153344148922795,-2.725087114452,0,0,0
10,-9.18256129083692,-0.135116666281023,-2.70683711699288,0,0,0
11,-9.18463720164031,-0.146318253644195,-2.70230594267971,0,0,0
12,-9.18666039788382,-0.143762739368301,-2.70205022280953,0,0,0
13,-9.19112122491453,-0.164195994148668,-2.6887290112458,0,0,0
14,-9.19317028176801,-0.166215238256849,-2.69986250183456,0,0,0
15,-9.18874363265342,-0.170953849034691,-2.70679480976312,0,0,0
16,-9.18879732555234,-0.157289941472832,-2.71116954971412,0,0,0
17,-9.18228547639247,-0.141673138939664,-2.71119052508292,0,0,0
18,-9.19156449390953,-0.125796598576321,-2.71346020051487,0,0,0
19,-9.18920153321825,-0.132578313813086,-2.70893669331573,0,0,0
20,-9.19887998441708,-0.140056290119919,-2.71192812283803,0,0,0
21,-9.19385198714235,-0.146390587153493,-2.71830865822145,0,0,0
22,-9.18520011202204,-0.149268386062593,-2.7074095351658,0,0,0
23,-9.18883540164393,-0.155045596032835,-2.70891299105038,0,0,0
24,-9.18418517888453,-0.150441858669469,-2.70646312892762,0,0,0
25,-9.18736079949843,-0.142248327694877,-2.71399595608399,0,0,0
26,-9.19778783133442,-0.138877687845731,-2.7221793730563,0,0,0
27,-9.18691962390749,-0.144018091733909,-2.7181193685443,0,0,0
28,-9.18213514280987,-0.143814824274621,-2.72238348646576,0,0,0
29,-9.18166800866421,-0.152520135487365,-2.72433498843699,0,0,0
30,-9.18180956512976,-0.150364080302968,-2.72669559573903,0,0,0
31,-9.1843492283315,-0.139177132924571,-2.73584100122135,0,0,0
32,-9.18688008505588,-0.146260043534821,-2.72263486030416,0,0,0
33,-9.18243682254001,-0.141832990547001,-2.72941931622234,0,0,0
34,-9.18462257228513,-0.146294425802297,-2.72489525255443,0,0,0
35,-9.17838362181818,-0.151606304105251,-2.72548304702191,0,0,0
36,-9.16654341236476,-0.148844794721677,-2.71586884849184,0,0,0
37,-9.1824340506329,-0.155575535420574,-2.7047528852218,0,0,0
38,-9.193381677038,-0.145882504098288,-2.71785595634542,0,0,0
39,-9.18677955989,-0.127892321705223,-2.74940493938639,0,0,0
40,-9.19817789479423,-0.127820764898223,-2.73142555648932,0,0,0
41,-9.2027105098186,-0.143758353588056,-2.72036807069218,0,0,0
42,-9.19165469733772,-0.155657354184587,-2.71171987721629,0,0,0
43,-9.20753370341443,-0.162368929115826,-2.71867538779527,0,0,0
44,-9.19992086781998,-0.166076349852463,-2.72696526473484,0,0,0
45,-9.20520277200119,-0.153149560266854,-2.75011537790195,0,0,0
46,-9.19145517013886,-0.141676399203577,-2.73844919512103,0,0,0
47,-9.17157704905602,-0.128772672053086,-2.72963689791964,0,0,0
48,-9.18741809471148,-0.151475922897,-2.70966464099598,0,0,0
49,-9.18040957037083,-0.153592101438187,-2.71398848892213,0,0,0
50,-9.18638897409867,-0.166304088239707,-2.72019724563012,0,0,0
51,-9.19107389352131,-0.154980237642219,-2.7360186764727,0,0,0
52,-9.1825056596946,-0.137332407455848,-2.73620084961492,0,0,0
53,-9.18435851347729,-0.132353229190231,-2.72671309657041,0,0,0
54,-9.17565062135286,-0.132775076034622,-2.73153474978461,0,0,0
55,-9.17084614351623,-0.14398435240655,-2.73594435352046,0,0,0
56,-9.18505350215812,-0.144507960613889,-2.73658439897676,0,0,0
57,-9.17756983535247,-0.152946951115623,-2.74280660093617,0,0,0
58,-9.17804352675453,-0.146621732178202,-2.74316715100482,0,0,0
59,-9.17840706781184,-0.149338174176573,-2.74581585271413,0,0,0
60,-9.18256294660525,-0.146560115917317,-2.73186956305233,0,0,0
61,-9.18769929079475,-0.133483382080453,-2.72775510067431,0,0,0
62,-9.18346121261485,-0.129299696060891,-2.72795881664533,0,0,0
63,-9.18063070907022,-0.140114310243249,-2.71174377489339,0,0,0
64,-9.1825598279014,-0.135114283496833,-2.70909604798035,0,0,0
65,-9.18252467785634,-0.137363383650315,-2.70683474677779,0,0,0
66,-9.18708968114035,-0.146510413588442,-2.70927730967652,0,0,0
67,-9.18424765967768,-0.152769781170679,-2.71785469066842,0,0,0
68,-9.18225325203752,-0.143927015507571,-2.70441136818555,0,0,0
69,-9.18515891205301,-0.140066990635548,-2.68689256536021,0,0,0
70,-9.18004895013766,-0.150880452917731,-2.70682198675008,0,0,0
71,-9.17997426124099,-0.155371504872124,-2.70907617730738,0,0,0
72,-9.18929173000251,-0.162438971894819,-2.70719635754237,0,0,0
73,-9.18851030600458,-0.154756838346754,-2.71765078105545,0,0,0
74,-9.18276961182957,-0.146805718150727,-2.72302987895977,0,0,0
75,-9.18539068886543,-0.149487762043208,-2.72341814509932,0,0,0
76,-9.18705876115219,-0.135019308335793,-2.729423504342,0,0,0
77,-9.18473241122685,-0.139554273694422,-2.72490236319968,0,0,0
78,-9.19393273591333,-0.153350065493293,-2.73431013796072,0,0,0
79,-9.18864990835354,-0.159436468470445,-2.717844657436,0,0,0
80,-9.18012071316329,-0.146384635394958,-2.70908565816772,0,0,0
81,-9.17349919759511,-0.14894911724691,-2.73639090407634,0,0,0
82,-9.17550029673371,-0.134916717844413,-2.74272769233317,0,0,0
83,-9.18922256686453,-0.139445001828244,-2.75878340548616,0,0,0
84,-9.18424034501366,-0.152757867271853,-2.72914932463384,0,0,0
85,-9.19579444545508,-0.152853135436031,-2.72262190460771,0,0,0
86,-9.20491111029901,-0.159684617984507,-2.72054606376141,0,0,0
87,-9.20299082656473,-0.164698675462391,-2.70964019103459,0,0,0
88,-9.20097660748392,-0.162731894316379,-2.70306324080793,0,0,0
89,-9.18710451111042,-0.157975197342354,-2.71397936473868,0,0,0
90,-9.18304803953463,-0.14255556565157,-2.71645385609237,0,0,0
91,-9.17229806000418,-0.122755414304355,-2.71667853662154,0,0,0
92,-9.17170151683594,-0.12205638036728,-2.70705467768389,0,0,0
93,-9.18047806535592,-0.123903164996903,-2.7226629462434,0,0,0
94,-9.17810925070793,-0.130675316588064,-2.72717515883589,0,0,0
95,-9.1961971882414,-0.128139244373823,-2.72264797697365,0,0,0
96,-9.20598667155237,-0.131181100504591,-2.72568289440062,0,0,0
97,-9.19818033080506,-0.134663685315655,-2.72248205138678,0,0,0
98,-9.2101881096247,-0.137611482633675,-2.72547681035241,0,0,0
99,-9.19175868346535,-0.148907736038354,-2.72076272852029,0,0,0
100,-9.18499490628675,-0.14902517982788,-2.71399030677378,0,0,0
101,-9.19172792259143,-0.151163962856736,-2.71172461760066,0,0,0
102,-9.19595866263689,-0.155335882550676,-2.72281558231166,0,0,0
103,-9.18958922437377,-0.155913465006865,-2.7277299375988,0,0,0
104,-9.19151832014112,-0.150913616923952,-2.72508217833275,0,0,0
105,-9.20526279163981,-0.150940989220754,-2.71397478518438,0,0,0
106,-9.20057621740375,-0.148515084448751,-2.72959656964741,0,0,0
107,-9.21004165982469,-0.146598221878643,-2.72546732962946,0,0,0
108,-9.20320318656677,-0.151206652640807,-2.72094909851429,0,0,0
109,-9.1842637519385,-0.152795991748099,-2.6930064959445,0,0,0
110,-9.18423541200945,-0.161895052442193,-2.67502486953865,0,0,0
111,-9.17624779234304,-0.158666791868333,-2.68049466135312,0,0,0
112,-9.17305770137445,-0.155326778900807,-2.68633393097473,0,0,0
113,-9.17795416945965,-0.153395210737654,-2.71153497720859,0,0,0
114,-9.18240020955943,-0.144079707916292,-2.72941694600725,0,0,0
115,-9.18280622445643,-0.144559022486802,-2.72303224915195,0,0,0
116,-9.18274177683212,-0.149066710546337,-2.70947389767642,0,0,0
117,-9.1845136879273,-0.143897398846619,-2.6976331202537,0,0,0
118,-9.18994527455632,-0.147177088795224,-2.71438183522378,0,0,0
119,-9.20116680318774,-0.137763308959363,-2.72096478086685,0,0,0
120,-9.18928404974893,-0.137238791790178,-2.72038394891423,0,0,0
121,-9.20744228737251,-0.130204519268974,-2.7203793694571,0,0,0
122,-9.21010002712904,-0.130640049597129,-2.72076999992692,0,0,0
123,-9.20104358199248,-0.133040954191808,-2.71399666925459,0,0,0
124,-9.20987134673121,-0.132664906310723,-2.70701798516789,0,0,0
125,-9.2050485632281,-0.139242450502945,-2.70681776393473,0,0,0
126,-9.19410113049429,-0.144399024666803,-2.70043559100157,0,0,0
