Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.19917724692266,-0.780917496467664,-3.67414312568723,0,0,0
1,-9.19928118055147,-0.772567339846163,-3.68380089996059,0,0,0
2,-9.20316849289127,-0.774148499881142,-3.68307269032028,0,0,0
3,-9.20181707335249,-0.773466870088278,-3.6830742681393,0,0,0
4,-9.20243297915958,-0.770346640910589,-3.67413815162314,0,0,0
5,-9.19863171924681,-0.771171503856153,-3.68082851252832,0,0,0
6,-9.19382712731727,-0.780196838418306,-3.67561858931685,0,0,0
7,-9.20321143751266,-0.765741897627499,-3.6681792066156,0,0,0
8,-9.20315276558053,-0.769520457047576,-3.66967166877928,0,0,0
9,-9.20964318751026,-0.785156219185284,-3.68308445715281,0,0,0
10,-9.21435030893548,-0.783720850024187,-3.67491604232289,0,0,0
11,-9.20939284035229,-0.76954654022775,-3.67415270869985,0,0,0
12,-9.21153847616891,-0.771727544292898,-3.66671650706777,0,0,0
13,-9.21148207576653,-0.772430689622992,-3.66745819169267,0,0,0
14,-9.213786747212,-0.771648500537942,-3.67564405514811,0,0,0
15,-9.21635161604223,-0.763410670313665,-3.68829070387281,0,0,0
16,-9.21094815376943,-0.7642236080485,-3.69720725623161,0,0,0
17,-9.20087942575369,-0.774160337919312,-3.70612777312758,0,0,0
18,-9.19772480499975,-0.78407173299569,-3.71952733710001,0,0,0
19,-9.19067250853371,-0.797018461003978,-3.71581266546899,0,0,0
20,-9.18533865919295,-0.79708428148942,-3.7210102686963,0,0,0
21,-9.19052264276713,-0.806079842933912,-3.71359192367164,0,0,0
22,-9.20367801067489,-0.791532577418747,-3.70243723924003,0,0,0
23,-9.19767891675017,-0.784027105391727,-3.70464713899399,0,0,0
24,-9.18988415562919,-0.79316667054572,-3.68753435422197,0,0,0
25,-9.23034312248223,-0.788097108866776,-3.71512187862685,0,0,0
26,-9.18313969880779,-0.797128490181256,-3.64364599214934,0,0,0
27,-9.18777993341592,-0.782649869789987,-3.66148354036968,0,0,0
28,-9.23366784392446,-0.763768416078445,-3.69128661215725,0,0,0
29,-9.20772445708464,-0.77484586282663,-3.67415514897668,0,0,0
30,-9.20609828388742,-0.780123763046125,-3.6897785796146,0,0,0
31,-9.19756680125932,-0.788520012741891,-3.69423605352956,0,0,0
32,-9.19214235211187,-0.79540768798218,-3.69721175575304,0,0,0
33,-9.19446099918369,-0.796183624890515,-3.70093907478483,0,0,0
34,-9.20210466133531,-0.787647143071019,-3.70167834745553,0,0,0
35,-9.20292443280441,-0.786934288481263,-3.70316966592639,0,0,0
36,-9.20292212106574,-0.789235871575707,-3.71061332256969,0,0,0
37,-9.20517459206649,-0.795322948353377,-3.71211690973161,0,0,0
38,-9.19655481359928,-0.808239530528976,-3.70690880323608,0,0,0
39,-9.19204652240608,-0.807596894975513,-3.7173173903704,0,0,0
40,-9.17301005373412,-0.810941445597855,-3.70910979207836,0,0,0
41,-9.1744020508847,-0.816918692307766,-3.71878741874188,0,0,0
42,-9.17214964694701,-0.813908697817289,-3.71952250378179,0,0,0
43,-9.16612675706047,-0.815606568888278,-3.7277029077332,0,0,0
44,-9.17225535729779,-0.810949112737047,-3.72696133290989,0,0,0
45,-9.17832181950292,-0.811614500734856,-3.71209473657795,0,0,0
46,-9.19736521438106,-0.805198539685355,-3.7225272302336,0,0,0
47,-9.19395777435753,-0.791742827852588,-3.70391457875458,0,0,0
48,-9.20197404752404,-0.804416003085227,-3.71732912462706,0,0,0
49,-9.17723542305682,-0.831241044288773,-3.73517611486593,0,0,0
50,-9.17262546822899,-0.82894626402634,-3.73739158011937,0,0,0
51,-9.1842087041691,-0.824351557296397,-3.75080103160371,0,0,0
52,-9.19329792042,-0.827249221055305,-3.74858877184569,0,0,0
53,-9.19472828212313,-0.831744012147539,-3.73818164369142,0,0,0
54,-9.19838017797115,-0.836895844248544,-3.74190882859583,0,0,0
55,-9.18467763012011,-0.840947662683912,-3.72181080848261,0,0,0
56,-9.16575657579606,-0.842815349693988,-3.73145736065546,0,0,0
57,-9.16045992246585,-0.845933207852413,-3.73219833711616,0,0,0
58,-9.14598920583363,-0.843891573019861,-3.73291530917669,0,0,0
59,-9.15731125111757,-0.842129547441621,-3.75226694216383,0,0,0
60,-9.15344032853521,-0.843656353168052,-3.73663871947486,0,0,0
61,-9.15970945874883,-0.834536555525755,-3.75002950407179,0,0,0
