Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.59281657802575,1.47616148940282,-1.45195395166127,0,0,0
1,-9.58808095493246,1.47405674854929,-1.45373927731799,0,0,0
2,-9.58806534217477,1.47636569617374,-1.4512634071162,0,0,0
3,-9.58840594795035,1.48262291960052,-1.4499375122639,0,0,0
4,-9.5881047611277,1.47857953697116,-1.44452651595155,0,0,0
5,-9.59506306662262,1.48312846678563,-1.45575425496715,0,0,0
6,-9.59473158829955,1.48370145843287,-1.46111038287069,0,0,0
7,-9.58786944306237,1.48126838148247,-1.4658313774373,0,0,0
8,-9.5880671494433,1.47636267917485,-1.48045561085068,0,0,0
9,-9.5879735330173,1.4742425535826,-1.50492683546543,0,0,0
10,-9.58337388950787,1.47646690075686,-1.52266064769939,0,0,0
11,-9.57696341383949,1.48009906248974,-1.53549827759407,0,0,0
12,-9.58375542387225,1.48493544593916,-1.5392990351246,0,0,0
13,-9.58153326325336,1.48249029908309,-1.53526822555931,0,0,0
14,-9.57000816907837,1.49151898512607,-1.53434617302956,0,0,0
15,-9.57703096554627,1.50280258933461,-1.54983422358541,0,0,0
16,-9.57473304266768,1.51189909508968,-1.56935280366984,0,0,0
17,-9.57964438413936,1.52054561342378,-1.58351583931981,0,0,0
18,-9.59080600195957,1.51670987103551,-1.57136877641423,0,0,0
19,-9.57732611087258,1.51598435942793,-1.56353628623315,0,0,0
20,-9.56588574156578,1.52030265309181,-1.53860391570102,0,0,0
21,-9.56622873801973,1.52655490739498,-1.57769810885777,0,0,0
22,-9.57487606698157,1.50708726506298,-1.59497481719948,0,0,0
23,-9.58825669604805,1.48972744268246,-1.57453739549851,0,0,0
24,-9.59255895942496,1.47432485546169,-1.50717267297655,0,0,0
25,-9.58774595895234,1.45866170002274,-1.44003746656409,0,0,0
26,-9.58962434887044,1.43888077049163,-1.4330729226869,0,0,0
27,-9.59207744952406,1.44777279998679,-1.45103657833019,0,0,0
28,-9.5876531751796,1.45654010024102,-1.47798202246975,0,0,0
29,-9.58981257048713,1.46822133379983,-1.46761826271766,0,0,0
30,-9.59234887024692,1.47240558463078,-1.43687049077845,0,0,0
31,-9.58769128670261,1.47472994038652,-1.41170875244493,0,0,0
32,-9.58795249905243,1.47656057430821,-1.41487438506811,0,0,0
33,-9.58762259170737,1.47713084006272,-1.44493161734852,0,0,0
34,-9.58792447364993,1.48117323981742,-1.46157036348768,0,0,0
35,-9.58794856084905,1.48569570108222,-1.45684871416752,0,0,0
36,-9.59035854437801,1.47640603488801,-1.46024576560896,0,0,0
37,-9.58364050615836,1.48513388378339,-1.46922664120791,0,0,0
38,-9.5882521083675,1.48973510121626,-1.50043412692089,0,0,0
39,-9.58815793689227,1.48761595584975,-1.5159231286252,0,0,0
40,-9.58800873482804,1.48559195215071,-1.5356731210522,0,0,0
41,-9.58395293385919,1.49600385153733,-1.51235122874837,0,0,0
42,-9.56987195674429,1.48719041814922,-1.51390654157447,0,0,0
43,-9.58156625847185,1.49384326589733,-1.53008565147224,0,0,0
44,-9.57933015961473,1.49370424787625,-1.55052561222551,0,0,0
45,-9.58839098132673,1.49405924886705,-1.56353928367229,0,0,0
46,-9.57915033189255,1.49629751411325,-1.57430602510476,0,0,0
47,-9.5701086281954,1.50960221558207,-1.58058050838538,0,0,0
48,-9.57935104303235,1.50736078626347,-1.59900596485643,0,0,0
49,-9.57927025810231,1.5029363128796,-1.5810419979646,0,0,0
50,-9.56310073086287,1.49601050218733,-1.55634060696851,0,0,0
51,-9.57000914222296,1.4915173605882,-1.55006505196351,0,0,0
52,-9.57652674918224,1.47172587754987,-1.52087533298564,0,0,0
53,-9.56947387279776,1.46505840616695,-1.51839993641531,0,0,0
54,-9.58294430883421,1.45895304990045,-1.5177111665762,0,0,0
