Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.95598368436024,0.260610046817822,-3.58970413071964,0,0,0
1,-8.94731087103237,0.255552980853375,-3.55828424412252,0,0,0
2,-8.94303602307579,0.25754003789398,-3.56064808302416,0,0,0
3,-8.94338744415373,0.266388761615791,-3.58562188877922,0,0,0
4,-8.93643287184121,0.255044448967538,-3.59239032487109,0,0,0
5,-8.93362988953347,0.260049997078566,-3.58756004844647,0,0,0
6,-8.92971421617163,0.257163349569581,-3.57432798068749,0,0,0
7,-8.92810972195072,0.247220733001355,-3.56230414383721,0,0,0
8,-8.93343053828435,0.246527026710769,-3.55592498209041,0,0,0
9,-8.93571259424708,0.248828731936689,-3.57173631055551,0,0,0
10,-8.93831218453794,0.243965122471775,-3.54934359765572,0,0,0
11,-8.94283374849897,0.244021962640985,-3.53353022865028,0,0,0
12,-8.94031814308205,0.239654863751649,-3.51084072736233,0,0,0
13,-8.9465280941064,0.2425667037159,-3.49472873162362,0,0,0
14,-8.94019743918736,0.24432947165557,-3.49945244999522,0,0,0
15,-8.9514889580008,0.24679965368411,-3.5355856142257,0,0,0
16,-8.96525501023349,0.249087980224322,-3.54471364140393,0,0,0
17,-8.96116891813125,0.248649288425312,-3.54041847852038,0,0,0
18,-8.94444100846051,0.25379522483347,-3.5173283209478,0,0,0
19,-8.94273261121056,0.237262925014488,-3.51997130146334,0,0,0
20,-8.93726517847778,0.22896327791997,-3.52634112091182,0,0,0
21,-8.92645690268695,0.232905692738223,-3.5355874542028,0,0,0
22,-8.92171206652374,0.230766699173701,-3.5287122288168,0,0,0
23,-8.92880392620404,0.226007726756599,-3.53567876641243,0,0,0
24,-8.94226851170937,0.235435097255667,-3.55816590988439,0,0,0
25,-8.9425533243134,0.23972497702527,-3.54246013095509,0,0,0
26,-8.95367865204546,0.242327961386891,-3.52428625406916,0,0,0
27,-8.95166539871342,0.246650141728135,-3.57408226704031,0,0,0
28,-8.95592852769964,0.244682080905469,-3.58978746648613,0,0,0
29,-8.96338685639476,0.262405481283607,-3.59677784210623,0,0,0
30,-8.92097862243952,0.259123562185954,-3.5744846095886,0,0,0
31,-8.91806833948344,0.245849186819556,-3.51773822462815,0,0,0
32,-8.94241799027682,0.24442340953192,-3.55365813511626,0,0,0
33,-8.9333573314807,0.244338319103983,-3.61238838745613,0,0,0
34,-8.92274355366001,0.245845244140658,-3.6059414279627,0,0,0
35,-8.93091794524434,0.244462976161484,-3.58518634076164,0,0,0
36,-8.92458431848714,0.246230479645347,-3.59442749783424,0,0,0
37,-8.90138880727779,0.244182269482776,-3.59188128004955,0,0,0
38,-8.9084488704314,0.26227887322491,-3.59189587203719,0,0,0
39,-8.9242692177951,0.264794003996002,-3.60092252445672,0,0,0
40,-8.89904914321234,0.251068513883363,-3.58049679213734,0,0,0
41,-8.90590545683575,0.255649186073071,-3.55565228013334,0,0,0
42,-8.92007686287424,0.257552586273422,-3.56046286957915,0,0,0
43,-8.9359090200136,0.262356467240182,-3.60788863908901,0,0,0
44,-8.93347409061086,0.264781905478452,-3.63037880635967,0,0,0
45,-8.99158360697455,0.259413434513533,-3.66853037376532,0,0,0
46,-8.91538096475446,0.248547935929529,-3.61918071249316,0,0,0
47,-8.93061791459568,0.249291946911673,-3.53981871986102,0,0,0
48,-8.92900812728365,0.264634531837308,-3.56036422963531,0,0,0
49,-8.8990652333218,0.251042306810036,-3.5556519193688,0,0,0
50,-8.93901523721458,0.238641756344842,-3.60058398851903,0,0,0
51,-8.92367129788759,0.228840407569733,-3.6189535896078,0,0,0
52,-8.92146544977502,0.231030497848838,-3.59862978043874,0,0,0
53,-8.97363408224705,0.247561567555994,-3.54892298878146,0,0,0
54,-8.93709760104066,0.231406277719494,-3.53076086257026,0,0,0
55,-8.90581601875151,0.248870926033,-3.52402441731337,0,0,0
56,-8.90519179139032,0.249474385581118,-3.55534544453966,0,0,0
57,-8.86148003989448,0.247420905057157,-3.56736717972574,0,0,0
58,-8.85565019759447,0.24174498739122,-3.56902210087666,0,0,0
59,-8.87496957622749,0.256807883442097,-3.55145756538982,0,0,0
60,-8.88634753625503,0.263753161865978,-3.56726779352646,0,0,0
61,-8.91258259510471,0.264999957067991,-3.60976442272915,0,0,0
62,-8.92958662992535,0.277815352386063,-3.62833727937513,0,0,0
63,-8.92676524942994,0.280595006710573,-3.62578256241624,0,0,0
64,-8.91767668033408,0.275939478143008,-3.61449052821299,0,0,0
65,-8.90843716852275,0.262297932932299,-3.60996488719185,0,0,0
