Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.46949000312364,-0.259824878615246,-4.42361257033417,0,0,0
1,-8.50102963186405,-0.24335905263996,-4.49573698035572,0,0,0
2,-8.47656276796226,-0.218941795119759,-4.5838673062824,0,0,0
3,-8.4859896572285,-0.239416937634202,-4.60913363436412,0,0,0
4,-8.50723214188744,-0.212389583018151,-4.60718902155238,0,0,0
5,-8.50445716573107,-0.182653873040874,-4.59984778641265,0,0,0
6,-8.46575017124437,-0.192191720567677,-4.54324699427301,0,0,0
7,-8.44357051022287,-0.217754191050785,-4.49625124892027,0,0,0
8,-8.46946944856146,-0.225712385596804,-4.53176583600176,0,0,0
9,-8.48061174523182,-0.232229925052598,-4.57240745494932,0,0,0
10,-8.47878119233451,-0.237037689637411,-4.57496153557646,0,0,0
11,-8.4675707881826,-0.250910299084793,-4.51637840518587,0,0,0
12,-8.4718336776382,-0.253008224642286,-4.45749831964936,0,0,0
13,-8.47212024937235,-0.250898725279901,-4.45764992971985,0,0,0
14,-8.4815257890686,-0.257760934600439,-4.46922884508461,0,0,0
15,-8.49999152723739,-0.246343885854128,-4.4897063971305,0,0,0
16,-8.49546168792308,-0.230502194750473,-4.52797420028605,0,0,0
17,-8.49776051623083,-0.212342543535409,-4.52784240816059,0,0,0
18,-8.50735221870531,-0.207969806011061,-4.53491595922335,0,0,0
19,-8.50005433071751,-0.210060135874791,-4.52558464148661,0,0,0
20,-8.47979747129655,-0.192270277287252,-4.52320878725618,0,0,0
21,-8.47739603085198,-0.217186118937524,-4.51204007379768,0,0,0
22,-8.49117590406797,-0.217097126033656,-4.51895663462169,0,0,0
23,-8.49126762390119,-0.226208812258016,-4.53716589538133,0,0,0
24,-8.48225497199435,-0.226372528795552,-4.52136096963566,0,0,0
25,-8.47334198275014,-0.219775541170733,-4.52137392857227,0,0,0
26,-8.48638226581225,-0.219287110948775,-4.5120318580075,0,0,0
27,-8.48809202681082,-0.237091214409389,-4.51637948544633,0,0,0
28,-8.49618434654943,-0.2172962621201,-4.52376967122196,0,0,0
29,-8.48523153447208,-0.227717438419127,-4.51820122404402,0,0,0
30,-8.47965321095831,-0.217151741820864,-4.50977993552326,0,0,0
31,-8.48341415684042,-0.232546688950558,-4.5004271466595,0,0,0
32,-8.48627382544239,-0.226033585097163,-4.50976606597918,0,0,0
33,-8.49035422664937,-0.221179471488454,-4.5162453328728,0,0,0
34,-8.47976750241288,-0.21041479773854,-4.50301101864361,0,0,0
35,-8.48044114077325,-0.215322260168895,-4.50797148552746,0,0,0
36,-8.49082252787187,-0.207827534150365,-4.51866753048507,0,0,0
37,-8.49379148710978,-0.210455050832665,-4.51911158400211,0,0,0
38,-8.48811085696604,-0.205350624349451,-4.50707941907677,0,0,0
39,-8.48870769262663,-0.230633916452899,-4.50765046951602,0,0,0
40,-8.48868658315217,-0.246484799090893,-4.53036996797029,0,0,0
41,-8.49988523195693,-0.234900889589824,-4.55055332825148,0,0,0
42,-8.5017309879003,-0.214232456925677,-4.53431452678427,0,0,0
43,-8.48121052575637,-0.246246074075822,-4.4666835292802,0,0,0
44,-8.47807745395532,-0.254890374513588,-4.43686506923437,0,0,0
45,-8.48376745342862,-0.244123682060961,-4.44424691464034,0,0,0
46,-8.4879902664706,-0.259733961238957,-4.49391829033617,0,0,0
47,-8.50107218357672,-0.238812893728478,-4.54317381326889,0,0,0
48,-8.49263633384349,-0.218877982110875,-4.53205695468048,0,0,0
49,-8.48095901421074,-0.212025849552396,-4.5453247737069,0,0,0
50,-8.49060501375333,-0.237204983583628,-4.50523393142812,0,0,0
51,-8.48371829393455,-0.230465877168032,-4.47347469490718,0,0,0
52,-8.49043646956338,-0.248468961468574,-4.482635301156,0,0,0
53,-8.49292313361983,-0.24853978958972,-4.51214593335402,0,0,0
54,-8.4822573246234,-0.239953915167547,-4.56441102521197,0,0,0
55,-8.48138797808654,-0.230381128526933,-4.58866858757247,0,0,0
56,-8.47237682189621,-0.230547226994946,-4.57060503071671,0,0,0
57,-8.47511479633656,-0.233066756430995,-4.54153705408509,0,0,0
58,-8.46910328465846,-0.233602467827877,-4.532954645889,0,0,0
59,-8.47314857319972,-0.230998907717105,-4.5371728406342,0,0,0
60,-8.49132856299103,-0.237577938296782,-4.54633808441838,0,0,0
61,-8.4812985531924,-0.237158607917107,-4.55704002091964,0,0,0
62,-8.47540137048296,-0.230957382952486,-4.54168874242596,0,0,0
63,-8.47305914995435,-0.237776289526043,-4.50554418600226,0,0,0
64,-8.47786302442259,-0.235602914425346,-4.49665818489252,0,0,0
65,-8.48176239077208,-0.226107104363516,-4.50976898807405,0,0,0
66,-8.49096111815855,-0.214708000528444,-4.52106838802148,0,0,0
67,-8.49560822473704,-0.221510115985377,-4.52798368664202,0,0,0
68,-8.48494381527966,-0.215234445494941,-4.52152066453335,0,0,0
69,-8.49973401977933,-0.214422237472399,-4.52091324659657,0,0,0
70,-8.50039749175739,-0.21931298180941,-4.54168452875274,0,0,0
71,-8.49574159659817,-0.212496594551727,-4.54832128691566,0,0,0
72,-8.4980905071608,-0.221573925161335,-4.56427043243998,0,0,0
73,-8.49131220147418,-0.208088369637463,-4.53477687624696,0,0,0
74,-8.47852852777211,-0.224611684669245,-4.52407284617783,0,0,0
75,-8.47743640607385,-0.230829627436327,-4.49636437814117,0,0,0
76,-8.47052628956136,-0.224052402051506,-4.50074395600371,0,0,0
77,-8.4819463834675,-0.230753725561684,-4.49862013536693,0,0,0
78,-8.48152414630319,-0.225987493848716,-4.49155030021499,0,0,0
79,-8.48427829750264,-0.226225691538635,-4.49410605884733,0,0,0
80,-8.47924203654749,-0.228288972433879,-4.47573866374018,0,0,0
81,-8.48865490303515,-0.235163311097641,-4.47602421579945,0,0,0
82,-8.49123238796917,-0.230766775479647,-4.47843543527039,0,0,0
83,-8.50622417755138,-0.232322497537678,-4.4960444641367,0,0,0
84,-8.49945703378971,-0.232432776302865,-4.49604884727367,0,0,0
85,-8.50857455813154,-0.241402202573098,-4.50973485430174,0,0,0
86,-8.49261808368346,-0.237041520375636,-4.49378981205705,0,0,0
87,-8.50654242470564,-0.243842252289252,-4.49407247564324,0,0,0
88,-8.50185659015723,-0.255170165213906,-4.48051146385159,0,0,0
89,-8.4855607890038,-0.255140895342554,-4.48925787203929,0,0,0
90,-8.48427034715179,-0.242098038673294,-4.49649741190669,0,0,0
91,-8.48666090389819,-0.233050183428669,-4.5145748885369,0,0,0
92,-8.49368096067358,-0.233083302927888,-4.51020243020063,0,0,0
93,-8.48860071556124,-0.237382740564177,-4.50312599610068,0,0,0
94,-8.47267275858176,-0.214875265104666,-4.50963740349544,0,0,0
95,-8.48155200424147,-0.223725157366253,-4.50510472260566,0,0,0
96,-8.47503187314696,-0.223969352719089,-4.5097757428168,0,0,0
97,-8.48396830878629,-0.228296932625653,-4.53009325046909,0,0,0
98,-8.48625334664591,-0.226000229865939,-4.54138754715705,0,0,0
99,-8.4743327332223,-0.234906041692966,-4.5343107147007,0,0,0
100,-8.49512759177408,-0.250727224415754,-4.53472889395766,0,0,0
101,-8.48968812168851,-0.245748028058306,-4.53639799076877,0,0,0
102,-8.48349334290493,-0.225752499448663,-4.54786639521418,0,0,0
