Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.64490416682222,-1.08346914145595,-1.43088461149457,0,0,0
1,-9.66086787379639,-1.08332740635036,-1.43079786140561,0,0,0
2,-9.64523651318719,-1.07910103702158,-1.43995943756463,0,0,0
3,-9.65395112469485,-1.08786381296646,-1.43542593638987,0,0,0
4,-9.6451478640852,-1.08582224948204,-1.45371285789465,0,0,0
5,-9.63584353616661,-1.08807363866916,-1.44922010175028,0,0,0
6,-9.63409693477062,-1.08385138181126,-1.45371158261387,0,0,0
7,-9.64295732517124,-1.07685285153198,-1.44913125528096,0,0,0
8,-9.63625266514231,-1.06570550154701,-1.44000627296146,0,0,0
9,-9.64304727833007,-1.07013142140575,-1.43996240197712,0,0,0
10,-9.63598390860362,-1.07011143206033,-1.43780503886546,0,0,0
11,-9.64938557660947,-1.06988794158181,-1.43326993836678,0,0,0
12,-9.64943295144498,-1.07440607260562,-1.45385464498363,0,0,0
13,-9.64314429875969,-1.06792845167122,-1.45600521787267,0,0,0
14,-9.6543023935051,-1.07449587216037,-1.43996217770173,0,0,0
15,-9.64983060122341,-1.06779792240191,-1.43767213148893,0,0,0
16,-9.65667102880098,-1.07002228722913,-1.43308675594294,0,0,0
17,-9.64747048057067,-1.0677920448835,-1.41708658637806,0,0,0
18,-9.65212964914403,-1.07684493296019,-1.41703982503871,0,0,0
19,-9.65423355995421,-1.08349692784714,-1.42850101181604,0,0,0
20,-9.64535604564015,-1.07465815133058,-1.43996022338188,0,0,0
21,-9.65432742294448,-1.07677501431805,-1.433085846384,0,0,0
22,-9.6475500109524,-1.07006933508528,-1.44225596291773,0,0,0
23,-9.64786734152452,-1.07705884193988,-1.44684066654669,0,0,0
24,-9.65683170788127,-1.08821407411974,-1.44225941777453,0,0,0
25,-9.64569398106684,-1.08844522325055,-1.44913430454586,0,0,0
26,-9.6412187747341,-1.08626729501779,-1.43537936774449,0,0,0
27,-9.6433259230134,-1.08388128245305,-1.43079370829619,0,0,0
28,-9.6412824628018,-1.0863046972376,-1.45601060003949,0,0,0
29,-9.6434422556283,-1.08847631280544,-1.44684137335282,0,0,0
30,-9.63222099813837,-1.08639036700422,-1.45829971774525,0,0,0
31,-9.63877703235176,-1.07938471923395,-1.45600655254133,0,0,0
32,-9.64143541709113,-1.07510256332795,-1.4514264650688,0,0,0
33,-9.65045195033132,-1.05690181721139,-1.43996585929133,0,0,0
34,-9.6483409495697,-1.06380752812407,-1.44455195851612,0,0,0
35,-9.64117974626175,-1.06815143241015,-1.44683849635006,0,0,0
36,-9.64608404117826,-1.0683580475246,-1.43767486802657,0,0,0
37,-9.64362283520784,-1.07955276828968,-1.44455004960315,0,0,0
38,-9.64601846306097,-1.07735812973606,-1.43767511406339,0,0,0
39,-9.6436504601591,-1.08183139114462,-1.44684286082287,0,0,0
40,-9.65245298085635,-1.07931407951458,-1.44225849672809,0,0,0
41,-9.64829652537067,-1.0796058343542,-1.43767626965633,0,0,0
42,-9.63888421937113,-1.08398115187621,-1.43996218712902,0,0,0
43,-9.65457612462429,-1.09276435432318,-1.43996691506062,0,0,0
44,-9.63881797848164,-1.09298142967343,-1.43767014398947,0,0,0
45,-9.65448487255332,-1.09948562900761,-1.44455122586736,0,0,0
46,-9.63242202023494,-1.08426507183254,-1.44684017934345,0,0,0
47,-9.6392671703439,-1.07745084753198,-1.44455007529345,0,0,0
48,-9.63920935183802,-1.07741257409666,-1.44454946721213,0,0,0
49,-9.63675655994637,-1.07505015967315,-1.43996190621869,0,0,0
50,-9.65270940248044,-1.08626466812757,-1.44913875466073,0,0,0
51,-9.63909241161655,-1.07733620960041,-1.43996366893923,0,0,0
52,-9.64148156597864,-1.08417968712199,-1.43767416962509,0,0,0
53,-9.63912326334902,-1.07509573476268,-1.43996375874477,0,0,0
54,-9.64359263542835,-1.08179313994731,-1.44684225179612,0,0,0
55,-9.64582901955907,-1.06592547985528,-1.44913337269987,0,0,0
56,-9.63921454020843,-1.07289318939301,-1.44913362273714,0,0,0
57,-9.64376350281256,-1.08190825966183,-1.43767489957008,0,0,0
58,-9.64604026212072,-1.08415611365144,-1.43309146362552,0,0,0
59,-9.6436400645088,-1.08635144246116,-1.42392035140373,0,0,0
60,-9.63929864711346,-1.0706916767904,-1.43308827192148,0,0,0
61,-9.63923306008931,-1.07969174782046,-1.43308851607048,0,0,0
62,-9.64148153560149,-1.07966111751021,-1.42391998067586,0,0,0
63,-9.63674422019838,-1.08408927491123,-1.42391672199834,0,0,0
64,-9.65484275733978,-1.07712023644448,-1.41475294829676,0,0,0
65,-9.64381741713638,-1.08194706073002,-1.42392173020883,0,0,0
66,-9.65039974700087,-1.0772203222023,-1.41933684784567,0,0,0
67,-9.63446099123033,-1.08636093117763,-1.41933140994456,0,0,0
68,-9.64575760526667,-1.07944533614353,-1.44225718346104,0,0,0
69,-9.64107876921128,-1.08391172876727,-1.44454679752087,0,0,0
70,-9.63903720068261,-1.07729756729678,-1.44913222319319,0,0,0
71,-9.64356501076116,-1.07951450532835,-1.44454944151976,0,0,0
72,-9.64808961308749,-1.0862504838142,-1.44225937561088,0,0,0
73,-9.64558350555519,-1.08384936615993,-1.453717230698,0,0,0
74,-9.64581800544947,-1.07496454760308,-1.43767278284831,0,0,0
75,-9.63909888008511,-1.06829785347196,-1.43537823743512,0,0,0
76,-9.64579425658216,-1.06816653985387,-1.43537955353303,0,0,0
77,-9.63916809856931,-1.08417308902789,-1.42162686704334,0,0,0
78,-9.64148674998419,-1.07966038251895,-1.44225833174592,0,0,0
79,-9.63690048009838,-1.08192392506813,-1.45830240510876,0,0,0
80,-9.63661142487806,-1.0862513606923,-1.47205350555956,0,0,0
81,-9.63894594861164,-1.08401884198121,-1.45371653399993,0,0,0
82,-9.63650841769091,-1.0884556601297,-1.42162245537001,0,0,0
83,-9.64574916656147,-1.08396519231305,-1.42621157360486,0,0,0
84,-9.63885269066527,-1.08170304443021,-1.42391565315261,0,0,0
85,-9.64817438477693,-1.08404882218264,-1.42850630925623,0,0,0
86,-9.63888291577813,-1.08398133562365,-1.43537760879001,0,0,0
87,-9.63438597627941,-1.07952388767056,-1.4399604802756,0,0,0
88,-9.63884752677627,-1.09074112727696,-1.43308565357075,0,0,0
89,-9.64362413880244,-1.07955258454202,-1.44913463359926,0,0,0
90,-9.65267090055281,-1.06363032174174,-1.44913599288171,0,0,0
91,-9.64833190009315,-1.07284615821839,-1.43996822769591,0,0,0
92,-9.63400825396178,-1.08153486764645,-1.43995675330254,0,0,0
93,-9.63629080534554,-1.0792632018722,-1.44224976581181,0,0,0
94,-9.63850322232156,-1.09051150834367,-1.4422511711751,0,0,0
95,-9.64060916186336,-1.08360628948891,-1.43308438093404,0,0,0
96,-9.6453592745503,-1.07013877729372,-1.43766751517821,0,0,0
97,-9.65171897745343,-1.07889490639668,-1.43088671149741,0,0,0
98,-9.65393915806978,-1.08110453107542,-1.43088726181265,0,0,0
99,-9.64735570446386,-1.0925524098905,-1.42391416704817,0,0,0
100,-9.64757623896194,-1.0768677306179,-1.43996077370236,0,0,0
101,-9.64726167509742,-1.08347530786662,-1.44230103485227,0,0,0
102,-9.64312678321891,-1.08148757325824,-1.43537595730781,0,0,0
103,-9.63619629056065,-1.08598520727474,-1.4353726486743,0,0,0
104,-9.6496691089813,-1.08804016752218,-1.42620726936706,0,0,0
105,-9.64956855354803,-1.07896391651905,-1.42167133693271,0,0,0
106,-9.64534763468858,-1.08369703797632,-1.43766879208617,0,0,0
107,-9.6384151802932,-1.08819497030897,-1.43078863385567,0,0,0
108,-9.6497038360013,-1.08128018163211,-1.42620693825282,0,0,0
109,-9.65183546587117,-1.08569162695761,-1.43996433381698,0,0,0
110,-9.63845255137308,-1.08595347498037,-1.45371154936083,0,0,0
111,-9.63428922145113,-1.07040704731319,-1.47892725047393,0,0,0
112,-9.63697517365746,-1.06840383794991,-1.47664004490686,0,0,0
113,-9.64145230769574,-1.06606276083102,-1.48351766404546,0,0,0
114,-9.6437644918394,-1.07058834169654,-1.50873458476909,0,0,0
115,-9.63940295956443,-1.06848733825197,-1.48810401830156,0,0,0
116,-9.64368972128513,-1.07055242222987,-1.44913438285233,0,0,0
117,-9.65027577373828,-1.09521938585412,-1.44455255756206,0,0,0
118,-9.6546762601794,-1.1018799992339,-1.41246145405773,0,0,0
119,-9.64996130695286,-1.10858773038109,-1.39641267059392,0,0,0
120,-9.64071729419415,-1.1175975252191,-1.39411628412577,0,0,0
121,-9.64981608773229,-1.11075180060789,-1.40099598442869,0,0,0
122,-9.64534606605053,-1.10405456548276,-1.39182522671973,0,0,0
123,-9.65713873915592,-1.08616655811277,-1.39641666564107,0,0,0
124,-9.65762594116216,-1.05935780907119,-1.40100351139971,0,0,0
125,-9.65535559393845,-1.04807145642255,-1.40100154977192,0,0,0
126,-9.6416724527459,-1.05718023318373,-1.41704280353862,0,0,0
127,-9.64820197705316,-1.08180884063324,-1.41704492964162,0,0,0
128,-9.6438489892035,-1.08874355172478,-1.45372252951576,0,0,0
129,-9.62330991545952,-1.084311480497,-1.47434390471953,0,0,0
130,-9.6388670550537,-1.08621971997836,-1.48810016988221,0,0,0
131,-9.63467964254871,-1.08875170241088,-1.48351796612601,0,0,0
132,-9.63915487367602,-1.09092958508494,-1.49727292556446,0,0,0
133,-9.63679336935322,-1.0908834371222,-1.51560936941293,0,0,0
134,-9.63232465086507,-1.08418601962493,-1.5110231372432,0,0,0
135,-9.63005704804609,-1.0819368319319,-1.54769860837156,0,0,0
136,-9.63258645481727,-1.0662601982751,-1.56374657163919,0,0,0
137,-9.62598945217026,-1.06418803330181,-1.59813046348785,0,0,0
138,-9.60815007403092,-1.04419414919044,-1.62334002011395,0,0,0
139,-9.63533505122021,-1.02586232251011,-1.5637481711721,0,0,0
140,-9.64876349467852,-1.03015958294384,-1.50644455600783,0,0,0
141,-9.67079499844867,-1.0792976014844,-1.39412906936343,0,0,0
142,-9.66044763576616,-1.16672610602022,-1.30930699290881,0,0,0
143,-9.66843419533488,-1.22246537731799,-1.25658244747456,0,0,0
144,-9.66901002984664,-1.184415571388,-1.2336616038617,0,0,0
145,-9.66985845428774,-1.13523936689116,-1.21991138603644,0,0,0
146,-9.67706415843846,-1.08570277504931,-1.23825153271992,0,0,0
147,-9.66205158538738,-1.05702400354548,-1.22678988449323,0,0,0
148,-9.66215212615923,-1.02994353741984,-1.29555707296081,0,0,0
149,-9.65533760185451,-1.03223465668342,-1.39183066107038,0,0,0
150,-9.61953169266539,-1.02832189421276,-1.511020906132,0,0,0
151,-9.60175986397941,-1.02192152366695,-1.61187821464185,0,0,0
152,-9.59491258778033,-1.0264533035646,-1.70127482565644,0,0,0
153,-9.58148542948792,-1.02215588224435,-1.76316304838202,0,0,0
154,-9.5883535924167,-1.01310222931025,-1.73336553204368,0,0,0
155,-9.60125372210054,-1.04645027937826,-1.63479809724945,0,0,0
156,-9.63948261551044,-1.08436069665684,-1.51102950563738,0,0,0
157,-9.67245150508689,-1.10147969588945,-1.40558732524707,0,0,0
158,-9.66153276610634,-1.09734659163284,-1.35515677831624,0,0,0
159,-9.66394249003281,-1.07255699188268,-1.32994148036374,0,0,0
160,-9.67549031473142,-1.06355581408875,-1.31390065934075,0,0,0
161,-9.67280152204515,-1.07459671024812,-1.33452740943591,0,0,0
162,-9.66187224412574,-1.08173898038384,-1.38266611012959,0,0,0
163,-9.65242834465254,-1.09287348793817,-1.3964139393682,0,0,0
164,-9.64820328064883,-1.08180865688542,-1.42162951740914,0,0,0
165,-9.64356765002727,-1.08403277661429,-1.46747278997355,0,0,0
166,-9.60739338943913,-1.08441171891929,-1.5247679244952,0,0,0
167,-9.59163772431526,-1.10270280544395,-1.58665719876696,0,0,0
168,-9.58927366770912,-1.11169414212713,-1.62333288646341,0,0,0
169,-9.5938008445251,-1.10487402898354,-1.58894937457369,0,0,0
170,-9.60065855492126,-1.10034038338674,-1.53622940442981,0,0,0
171,-9.61196262022636,-1.0957063275923,-1.49038692591866,0,0,0
172,-9.63236059298833,-1.10006530135782,-1.38036477313596,0,0,0
173,-9.6681693534199,-1.10397828626444,-1.27034352074436,0,0,0
174,-9.69278552787,-1.10356526306835,-1.16490401411497,0,0,0
175,-9.70663899374167,-1.08553431713206,-1.1098944837131,0,0,0
176,-9.71159570431578,-1.06090438779022,-1.10760539602354,0,0,0
177,-9.71395930325508,-1.04511193683032,-1.15115932748288,0,0,0
178,-9.70619450613686,-1.08070708623087,-1.16261301509726,0,0,0
179,-9.69433084249936,-1.13470849243609,-1.219915848996,0,0,0
