Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.58686678955609,-0.0268779093604011,-1.03133991091584,0,0,0
1,-9.58947968074963,-0.0294504315470195,-1.04734116450982,0,0,0
2,-9.6001526494854,-0.0287030324870721,-1.04478256985273,0,0,0
3,-9.58892025268637,-0.0266524741758894,-1.0312408881284,0,0,0
4,-9.60118799357339,-0.0410874014828402,-1.03632186878588,0,0,0
5,-9.59310158102866,-0.0468167045729385,-1.03121661605848,0,0,0
6,-9.58939887577976,-0.0476445289583803,-1.03160978680783,0,0,0
7,-9.59196356443486,-0.0410458275653807,-1.03623014561207,0,0,0
8,-9.59660500995334,-0.0456604450332429,-1.03406147398967,0,0,0
9,-9.59150820310853,-0.0314926866932094,-1.02917124261864,0,0,0
10,-9.58727976789831,-0.0272695542611583,-1.01798363868599,0,0,0
11,-9.59440820943341,-0.0297756796768111,-1.0272062644968,0,0,0
12,-9.58972866797224,-0.0274071750070342,-1.03163113657006,0,0,0
13,-9.58538443796952,-0.0299203266705178,-1.02947067859354,0,0,0
14,-9.59701393622191,-0.0209356696975892,-1.02505327842247,0,0,0
15,-9.59306953464931,-0.0238190525924195,-1.02986365586431,0,0,0
16,-9.59031609474327,-0.0165416483060289,-1.03183812274547,0,0,0
17,-9.58562756956334,-0.0278675586085023,-1.02279489432868,0,0,0
18,-9.59037455316319,-0.0257293834757065,-1.02740904804139,0,0,0
19,-9.59444631553541,-0.0275294780497062,-1.02495006641106,0,0,0
20,-9.60578121611631,-0.0365310347737867,-1.02277225701108,0,0,0
21,-9.58531407657317,-0.0344222595395069,-1.02494879368464,0,0,0
22,-9.5920089840464,-0.03881153795675,-1.02268109617586,0,0,0
23,-9.60328101919124,-0.0386182215952187,-1.03170807247292,0,0,0
24,-9.59625663472786,-0.0293568365625471,-1.03152681912057,0,0,0
25,-9.60577829070978,-0.0365262699619727,-1.02728940174566,0,0,0
26,-9.61032755651313,-0.0342065644015006,-1.02503027963439,0,0,0
27,-9.59702405856005,-0.032352886094674,-1.03869042099877,0,0,0
28,-9.59940701072522,-0.0369994922170949,-1.04104036171721,0,0,0
29,-9.58809097797822,-0.0394294486979791,-1.04330387093889,0,0,0
30,-9.5849903441227,-0.0409603469096572,-1.0429126661695,0,0,0
31,-9.59516081040352,-0.0464562755310924,-1.02993603497879,0,0,0
32,-9.5860171441855,-0.0282210664075901,-1.0455757692126,0,0,0
33,-9.59419439707711,-0.0295679608724821,-1.04517725150189,0,0,0
34,-9.59181000265105,-0.0249188452141692,-1.04508588189551,0,0,0
35,-9.58992492224105,-0.0275863159225431,-1.04076298021504,0,0,0
36,-9.58774994536027,-0.0231378172287683,-1.02947633418994,0,0,0
37,-9.59906740011666,-0.0207102112586064,-1.02495426105079,0,0,0
38,-9.59024427100008,-0.021041177068169,-1.02957480603237,0,0,0
39,-9.59043906302817,-0.0212179643761246,-1.0409652391512,0,0,0
40,-9.58807647661196,-0.0280051736075753,-1.03644243469809,0,0,0
41,-9.59382243293818,-0.02693487232992,-1.05176016588984,0,0,0
42,-9.5894855315464,-0.0294599611441014,-1.03830690020699,0,0,0
43,-9.59423104065405,-0.0273193659889993,-1.04517962369769,0,0,0
44,-9.59339619799876,-0.0288299806118473,-1.02897703420715,0,0,0
45,-9.59227999159915,-0.0344958587427369,-1.0295591120365,0,0,0
46,-9.59620663078604,-0.045292809365637,-1.02483207162029,0,0,0
47,-9.58751379186297,-0.0503117681837221,-1.02728685637577,0,0,0
48,-9.59402288079681,-0.040829994501758,-1.02709684513968,0,0,0
49,-9.58759146641923,-0.0458217690452102,-1.02051588361971,0,0,0
50,-9.5848014082825,-0.0407931811394024,-1.022487998547,0,0,0
51,-9.59770667385773,-0.0285701798956878,-1.02661799506134,0,0,0
52,-9.5923869958623,-0.0277453743965732,-1.03408337328979,0,0,0
53,-9.58313032348094,-0.0299594664235631,-1.02721356928011,0,0,0
54,-9.58986041165234,-0.0320977784063116,-1.02720681422577,0,0,0
55,-9.59218342483536,-0.0275543233805824,-1.03624437871819,0,0,0
56,-9.58928488999899,-0.0292736801281928,-1.0359507677242,0,0,0
57,-9.59926951616034,-0.0208989123034579,-1.02505181746403,0,0,0
58,-9.59212496592036,-0.0183665085626025,-1.04067343708998,0,0,0
59,-9.59020323966705,-0.0232826030285645,-1.03634815096133,0,0,0
60,-9.59257886575693,-0.0279173642810356,-1.04999095956454,0,0,0
61,-9.59460446987423,-0.0299548077746514,-1.03633811252573,0,0,0
62,-9.59005812947741,-0.0322792781469376,-1.03408008990242,0,0,0
63,-9.59237217182035,-0.0414301799067085,-1.02964955641547,0,0,0
64,-9.57863073148581,-0.0414525930182461,-1.03859505073759,0,0,0
65,-9.59159891632341,-0.0384247740267886,-1.03152025219776,0,0,0
66,-9.59442417916463,-0.0412024384770481,-1.03180910692663,0,0,0
67,-9.58745241005387,-0.0411193422640814,-1.03623306752539,0,0,0
68,-9.59294039928044,-0.0442421209222078,-1.03219844882753,0,0,0
69,-9.58784504357528,-0.0300769919865804,-1.02504963356462,0,0,0
70,-9.59248356366408,-0.0346868753385277,-1.02739809843535,0,0,0
71,-9.59035972776638,-0.0394141329072685,-1.0229752209218,0,0,0
72,-9.59260226903095,-0.0279554828109429,-1.01385376813283,0,0,0
73,-9.59195783774172,-0.0296356893963263,-1.01581732620907,0,0,0
74,-9.60117640370681,-0.0296677900324548,-1.02494331135672,0,0,0
75,-9.59448295893549,-0.0252808940189065,-1.02495243859541,0,0,0
76,-9.58542108136961,-0.0276717426397181,-1.02947305077789,0,0,0
77,-9.58771183925828,-0.0253840188558731,-1.03173253227568,0,0,0
78,-9.58508870751612,-0.0227948056529918,-1.03154124050784,0,0,0
79,-9.59217757402772,-0.027544793765803,-1.04527865979856,0,0,0
80,-9.5899322357506,-0.0275982279410173,-1.02947012886457,0,0,0
81,-9.58174471209409,-0.0262347039670515,-1.04567863915675,0,0,0
82,-9.58743059915053,-0.0296829975891559,-1.04066449802073,0,0,0
83,-9.58561733064047,-0.0278508817671531,-1.03860490089969,0,0,0
84,-9.58743352455163,-0.0296877623921213,-1.03614736167493,0,0,0
85,-9.58564060410299,-0.0392895074898926,-1.03191488592207,0,0,0
86,-9.59493833355007,-0.0348339853530565,-1.03201134954452,0,0,0
87,-9.58587788623737,-0.0372271843502476,-1.03427339780419,0,0,0
88,-9.59873760951589,-0.0409474675358037,-1.02493291139161,0,0,0
89,-9.59849299800334,-0.0429979275716539,-1.03386725555281,0,0,0
90,-9.59654654291411,-0.0364727624013856,-1.03849053833754,0,0,0
91,-9.59235474074887,-0.0300010947924109,-1.02730528401502,0,0,0
92,-9.59279121401832,-0.0281227060081677,-1.03427850351821,0,0,0
93,-9.58989998045624,-0.0298539591829016,-1.02269204586993,0,0,0
94,-9.59710319547129,-0.0278652910762841,-1.02966086746376,0,0,0
95,-9.58305264857504,-0.0344494872740779,-1.03398453572168,0,0,0
96,-9.59452972072451,-0.0344495717249775,-1.03859194054721,0,0,0
97,-9.58541815596579,-0.0276669778323284,-1.03399019131808,0,0,0
98,-9.58518380091128,-0.0297340493026214,-1.02711454993822,0,0,0
99,-9.58521898178767,-0.0274830720176559,-1.02937549030692,0,0,0
100,-9.58497731355553,-0.0295382404622195,-1.03379268996179,0,0,0
101,-9.58603177124534,-0.028244890510904,-1.02299000359584,0,0,0
102,-9.5857886389931,-0.0302976405962784,-1.02966580010341,0,0,0
103,-9.58952656339778,-0.0272185026057468,-1.03153357418713,0,0,0
104,-9.5870337091458,-0.0293175845343754,-1.02917653673998,0,0,0
105,-9.59419732247821,-0.0295727256754475,-1.04066011515609,0,0,0
106,-9.59674865743971,-0.0366613875089627,-1.03858810741586,0,0,0
107,-9.58941370673799,-0.0339595550157041,-1.03604358971678,0,0,0
108,-9.59445789698132,-0.0389491004871175,-1.03632862383411,0,0,0
109,-9.60379519473302,-0.032249761002295,-1.03191031472466,0,0,0
110,-9.58723288525016,-0.029501483202431,-1.03379122900868,0,0,0
111,-9.59501161928909,-0.0303368824075562,-1.03201609384453,0,0,0
112,-9.58508836536503,-0.0479042341095258,-1.0339688416589,0,0,0
113,-9.58789472408474,-0.0392503676428612,-1.03417199942633,0,0,0
114,-9.59235181534233,-0.0299963299805968,-1.0318224287496,0,0,0
115,-9.59444631553541,-0.0275294780497062,-1.02495006641106,0,0,0
116,-9.59215263224292,-0.0298124370261615,-1.02720772545346,0,0,0
117,-9.60166581817861,-0.0118583325732324,-1.03409413466635,0,0,0
118,-9.58505498916071,-0.0250481761876988,-1.02702173614917,0,0,0
119,-9.58784650627855,-0.0300793743924875,-1.02279106119733,0,0,0
120,-9.58932738472099,-0.0270345931275768,-1.02691888402885,0,0,0
121,-9.58276277371228,-0.0273335391836535,-1.02702082489502,0,0,0
122,-9.5991200178609,-0.02988844020411,-1.02955947350698,0,0,0
123,-9.60205085656357,-0.0259134158609597,-1.03663117584724,0,0,0
124,-9.58376302145718,-0.0282602063016146,-1.04331865361292,0,0,0
125,-9.61018701085352,-0.0295017014054945,-1.04300602969082,0,0,0
126,-9.58291798756485,-0.0297541297968122,-1.0429259881034,0,0,0
127,-9.59615255426324,-0.0361121833681274,-1.02248543819599,0,0,0
128,-9.59215263224292,-0.0298124370261615,-1.02720772545346,0,0,0
129,-9.58315819066956,-0.0276965879705943,-1.04076736308502,0,0,0
130,-9.59009769810717,-0.0300354697806351,-1.02956531734075,0,0,0
131,-9.58767812126201,-0.0276373676940626,-1.02721301955114,0,0,0
132,-9.59686443792246,-0.0299251975982412,-1.02956093446543,0,0,0
133,-9.59669604191827,-0.0274831910855765,-1.03398288653477,0,0,0
134,-9.58729572644717,-0.0386964363349489,-1.02258646385433,0,0,0
135,-9.60552061447127,-0.0271546386780132,-1.02710377354008,0,0,0
136,-9.60346862429739,-0.0273824486523047,-1.02494422258441,0,0,0
137,-9.58634087550261,-0.0216831669703181,-1.02761183223534,0,0,0
138,-9.59044491384668,-0.0212274940086015,-1.03193094129327,0,0,0
139,-9.58999674633931,-0.0230867654572488,-1.04302629485384,0,0,0
140,-9.59163430106146,-0.0224648667789959,-1.06080062719261,0,0,0
141,-9.59012410240753,-0.0277702197611694,-1.04537769608467,0,0,0
142,-9.59218196213345,-0.0275519409768876,-1.03850294898828,0,0,0
143,-9.59009477270064,-0.0300307049688211,-1.03408246207533,0,0,0
144,-9.58478824398976,-0.040771739545968,-1.04281509322835,0,0,0
145,-9.58507666374975,-0.047885174879967,-1.05203740381965,0,0,0
146,-9.58774376378538,-0.0482374697202369,-1.04093823417396,0,0,0
147,-9.58778040683175,-0.0459889073948035,-1.04094060633541,0,0,0
148,-9.59170445948723,-0.0316718096204789,-1.03830306704664,0,0,0
149,-9.59463818769092,-0.0277014697847209,-1.04085762943321,0,0,0
150,-9.58763855245811,-0.0298811869174726,-1.03172778790697,0,0,0
151,-9.58968909899419,-0.0296510050875518,-1.03614590072005,0,0,0
152,-9.58756526565794,-0.034378354979072,-1.03172304353826,0,0,0
153,-9.58965538081835,-0.031904364774,-1.03162639217845,0,0,0
154,-9.59255099893832,-0.0301802210551842,-1.03643714061619,0,0,0
155,-9.59238992126883,-0.0277501392083873,-1.02956622855521,0,0,0
156,-9.59437595413906,-0.0320314109186954,-1.02042818150216,0,0,0
157,-9.59239869748844,-0.0277644336438295,-1.01601479435149,0,0,0
158,-9.60343783170495,-0.0296405622978838,-1.01590756931968,0,0,0
159,-9.59683949632538,-0.032192830023614,-1.01148998335422,0,0,0
160,-9.59874638572735,-0.0409617619579728,-1.01138148977105,0,0,0
161,-9.58774242742194,-0.0368346235504652,-1.01374965520947,0,0,0
162,-9.60037378151646,-0.0289226705444959,-1.01551883981921,0,0,0
163,-9.59204416474458,-0.0365605715222555,-1.0249420386303,0,0,0
164,-9.59464257580073,-0.0277086170024419,-1.03408191233135,0,0,0
165,-9.59022359286384,-0.0347164855530823,-1.03417528278902,0,0,0
