Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.02812381225465,0.851946609345597,-3.03916188699321,0,0,0
1,-9.03052170540522,0.847288610700145,-3.034837141254,0,0,0
2,-9.01225819256956,0.854041444595698,-3.04585147946668,0,0,0
3,-9.01695823307806,0.858496804288882,-3.03239970681799,0,0,0
4,-9.01474264366334,0.867546299864897,-3.03231105848603,0,0,0
5,-9.01724513709281,0.862792487421681,-3.03034476201319,0,0,0
6,-9.01480315060819,0.851525328623214,-3.0348521108265,0,0,0
7,-9.01688728675256,0.860844252231513,-3.03456134941307,0,0,0
8,-9.01513125069707,0.871751000217187,-3.03713231591936,0,0,0
9,-9.03511353747481,0.858690531598486,-3.03022874111561,0,0,0
10,-9.02827906346778,0.860920528261806,-3.02561817342652,0,0,0
11,-9.01244922956636,0.858418511530741,-3.02788489728432,0,0,0
12,-9.01656878666049,0.847447897988697,-3.02315322318673,0,0,0
13,-9.01438606514085,0.851905285430474,-3.02315942557661,0,0,0
14,-9.01896161834585,0.849643309861022,-3.03228917142266,0,0,0
15,-9.01651461315524,0.845229415015113,-3.05025719395463,0,0,0
16,-8.99406987436709,0.844749546172066,-3.03681823127853,0,0,0
17,-9.01650159578321,0.856634566865267,-3.02522239707565,0,0,0
18,-9.01633902733304,0.847672387786852,-3.0500603480549,0,0,0
19,-9.01423456945142,0.849770465264655,-3.0366106299202,0,0,0
20,-9.02121630107284,0.863372804851023,-3.045655908671,0,0,0
21,-9.03904504059065,0.857028411483009,-3.0500552185131,0,0,0
22,-9.03235107001454,0.854565894345544,-3.04338026055928,0,0,0
23,-9.03486320757521,0.856641849157223,-3.03228605472615,0,0,0
24,-9.0370314021405,0.863592026211221,-3.00950392532904,0,0,0
25,-9.04132586334387,0.857024668952365,-3.01165317835604,0,0,0
26,-9.0415191994127,0.868243476071037,-2.99585302833533,0,0,0
27,-9.01678865062497,0.872314210515657,-2.97780298208704,0,0,0
28,-9.01940392147158,0.874296687805913,-2.97132592313266,0,0,0
29,-9.01681985470215,0.854033959577453,-2.96904718522809,0,0,0
30,-9.03224132488664,0.859208420023822,-2.9980086885899,0,0,0
31,-9.04382698392899,0.852273329901025,-3.0119456938445,0,0,0
32,-9.04823940906967,0.859279288426782,-3.00723301842603,0,0,0
33,-9.03696174847247,0.852246711346371,-2.99829733395524,0,0,0
34,-9.03288390218352,0.858610878969409,-2.98957057703531,0,0,0
35,-9.02615554406778,0.86074286535883,-2.98505959507878,0,0,0
36,-9.0372179358634,0.85428591534282,-2.98720449532024,0,0,0
37,-9.03507328949703,0.860987930371161,-2.98495420226344,0,0,0
38,-9.03055778324555,0.867765521781237,-2.99615900800894,0,0,0
39,-9.01466141443806,0.86760383873989,-2.9938108165861,0,0,0
40,-9.02150042892644,0.879057137904126,-3.00275416892691,0,0,0
41,-9.03978086220218,0.881428322174467,-3.02779148095601,0,0,0
42,-9.02835100562883,0.879107451946208,-3.03899113792763,0,0,0
43,-9.02386821219824,0.867602458635974,-3.03918140339853,0,0,0
44,-9.02132908383272,0.870109298514632,-3.04114530111833,0,0,0
45,-9.04605009192503,0.859208856212288,-3.06832331609982,0,0,0
46,-9.05295556135189,0.854631421464677,-3.07077230792176,0,0,0
47,-9.04147956489147,0.854617350936944,-3.04573287952145,0,0,0
48,-9.00992330628126,0.860903777501317,-3.00951908915207,0,0,0
49,-9.01047446334728,0.874070618319169,-2.98950223091627,0,0,0
50,-9.01039182334132,0.876437204114157,-3.00973482445094,0,0,0
51,-9.01244254574915,0.851584148384559,-3.03249510960559,0,0,0
52,-9.02128789174311,0.854178968216807,-3.03681017913426,0,0,0
53,-9.03013384594424,0.84992746849585,-3.0344411354556,0,0,0
54,-9.03020480921248,0.847580063299254,-3.03227949481199,0,0,0
55,-9.04141510460191,0.850108903654143,-3.03217496765522,0,0,0
56,-9.00075597722339,0.854070266609734,-3.06147159485422,0,0,0
57,-9.00088107747457,0.853941310339684,-3.03220601051417,0,0,0
58,-9.0710237590538,0.854892172753771,-3.0391364946184,0,0,0
59,-9.02776608959676,0.863688676890269,-3.05448773945401,0,0,0
60,-9.02858289973831,0.8720339055586,-3.00314093123539,0,0,0
61,-9.04197436069903,0.856417668893003,-2.99417965434734,0,0,0
62,-9.04172547648168,0.854366590816573,-2.99397817082837,0,0,0
63,-9.03460339886978,0.859147179471984,-2.99810678705928,0,0,0
64,-9.03955525245524,0.865648832606992,-2.98033874546328,0,0,0
65,-9.03518819102521,0.86087562388484,-2.97150054181127,0,0,0
66,-9.03253769670642,0.856643508102374,-2.97571637974851,0,0,0
67,-9.03231375181763,0.85685855336092,-2.99358816247262,0,0,0
68,-9.03034034627979,0.861124722656029,-2.99831119993907,0,0,0
69,-9.03266808017624,0.865658019956787,-3.00057334170089,0,0,0
70,-9.03731462521215,0.861048521190741,-3.00754140080038,0,0,0
71,-9.0486691482782,0.86572406439736,-3.00527996992784,0,0,0
72,-9.04422021565209,0.87016132368467,-3.0210996953043,0,0,0
73,-9.04375972658446,0.861459995855998,-3.01401489048358,0,0,0
74,-9.0395362348585,0.865679807881192,-3.00970397586768,0,0,0
75,-9.0308081004283,0.869814095445754,-2.99410162718082,0,0,0
76,-9.0372657449963,0.877050717284584,-2.98692955212646,0,0,0
77,-9.03048015728934,0.86327854061113,-3.00293085847781,0,0,0
78,-9.03014847485122,0.849903641383972,-3.01185251765492,0,0,0
79,-9.01675982978922,0.851825018336699,-3.00518663668282,0,0,0
80,-9.03265768495439,0.851984395938331,-3.00527597496112,0,0,0
81,-9.04830375198369,0.850097409769825,-3.00968153697409,0,0,0
82,-9.03462896976011,0.854566917240025,-3.00949590411389,0,0,0
83,-9.01866461142177,0.856747879434268,-3.00479165162044,0,0,0
84,-9.00989023863175,0.851805548459616,-2.99831486840399,0,0,0
85,-9.0075807302715,0.842704001521776,-3.01873618244392,0,0,0
86,-9.02995530205928,0.852375249585448,-3.0387620341551,0,0,0
87,-9.03870602981131,0.843665200426918,-3.07027108623447,0,0,0
88,-9.03642011695577,0.848215838262459,-3.06565995525219,0,0,0
89,-9.02759323306588,0.852436457628978,-3.03866389789832,0,0,0
90,-9.02115101681964,0.852020341574538,-3.02767276552456,0,0,0
91,-9.01871590681732,0.86127783613431,-3.03867922520224,0,0,0
92,-9.01638818009945,0.856744473858432,-3.03641708965796,0,0,0
93,-9.01667279154833,0.854198655356958,-3.03219578208573,0,0,0
94,-9.01890841478704,0.865652571082124,-3.01845384558135,0,0,0
95,-9.0147880396557,0.869779068239651,-3.01876024580392,0,0,0
96,-9.0168317999152,0.870011944366645,-3.01855962669416,0,0,0
97,-9.01449821685426,0.865488156243417,-3.02533292573634,0,0,0
98,-9.02555325225601,0.859043014256388,-3.03877206840353,0,0,0
99,-9.01914553782158,0.867722637400251,-3.03672626799926,0,0,0
100,-9.01470309923921,0.865304000636543,-3.03682641565909,0,0,0
101,-9.01696281630194,0.872180024842028,-3.03673247038915,0,0,0
102,-9.02129164052435,0.861018174450637,-3.03671769501647,0,0,0
103,-9.01899906255408,0.858734335368904,-3.03671678562762,0,0,0
104,-9.03239061478696,0.856808215288113,-3.03886491179789,0,0,0
105,-9.03704527289053,0.859030826671262,-3.03896395777519,0,0,0
106,-9.03249966154826,0.856705458593257,-3.03444678603027,0,0,0
107,-9.03232696478051,0.859143773882338,-3.0297322544593,0,0,0
108,-9.0348303212261,0.861233990471639,-3.03219120423196,0,0,0
109,-9.02337849227984,0.856642099499847,-3.02079987914403,0,0,0
110,-9.02589207042254,0.858715649490268,-3.00744676748109,0,0,0
111,-9.03702767165273,0.856752775917983,-3.0095963840414,0,0,0
112,-9.03495253666787,0.861109768620131,-3.00744329323919,0,0,0
113,-9.03240443400462,0.849940404957868,-3.01185105645086,0,0,0
114,-9.02529412127838,0.854701896974132,-2.99790877141428,0,0,0
115,-9.01672842794428,0.856414755619354,-3.00283294953776,0,0,0
116,-9.03491657539049,0.852016394170565,-3.00075678180459,0,0,0
117,-9.02801326090024,0.849745092781131,-2.98936491293131,0,0,0
118,-9.03723992539241,0.856556796301412,-3.00979552563481,0,0,0
119,-9.03034327206119,0.861119957233654,-2.99379347637893,0,0,0
120,-9.02110200866339,0.854332039811479,-2.99595151323034,0,0,0
121,-9.01623663487798,0.852302959071793,-2.99339453878076,0,0,0
122,-9.01419518049654,0.858911929802842,-2.9957615226912,0,0,0
123,-9.02102228042615,0.856693797593355,-3.01166632916057,0,0,0
124,-9.02817311681525,0.874708996405067,-3.03662793935445,0,0,0
125,-9.01658088684206,0.874809888792575,-3.02730104603721,0,0,0
126,-9.02149018870106,0.879073816866956,-3.01856618670703,0,0,0
127,-9.01665412589067,0.879304126629715,-3.02730578731462,0,0,0
128,-9.02366412978301,0.874630703928885,-3.03211314239327,0,0,0
129,-9.03261618030672,0.870281202615331,-3.02984369669255,0,0,0
130,-9.03043346188873,0.874738611807255,-3.02984989910355,0,0,0
131,-9.02574658832484,0.87026182137506,-3.02297191838281,0,0,0
132,-9.03520089806696,0.883697597416443,-3.02543832482086,0,0,0
133,-9.03079135735917,0.876686668542557,-3.02563330620898,0,0,0
134,-9.02083727376449,0.865997743968653,-3.03170675713042,0,0,0
135,-9.00114010232396,0.85597572583292,-3.01659550288014,0,0,0
136,-9.05022233540004,0.861842885667661,-2.99338210338144,0,0,0
137,-9.04783019673068,0.855107654159283,-3.03403581370551,0,0,0
138,-9.03926097977761,0.861365024416987,-2.99368807574228,0,0,0
139,-9.03460259099175,0.852303151916676,-2.99368151572941,0,0,0
140,-9.03483385705687,0.852076238444916,-2.96451539724537,0,0,0
141,-9.0322911102137,0.861434083748747,-2.97768135982079,0,0,0
142,-9.0235586147096,0.865575642635487,-2.96885558885537,0,0,0
143,-9.02168525835415,0.856062967915459,-2.97160410355954,0,0,0
144,-9.02104651212657,0.863499757321417,-2.97994989193015,0,0,0
145,-9.04587865441682,0.84564777369607,-2.99376665380012,0,0,0
146,-9.04126659141162,0.859353091077485,-2.99574398830652,0,0,0
147,-9.0528333372041,0.863832691952199,-2.99368167913294,0,0,0
148,-9.04384400274746,0.872781582102068,-3.00263288112348,0,0,0
149,-9.03105776527556,0.878708936539018,-2.99872840621207,0,0,0
150,-9.02812263971001,0.87702319755166,-3.00716556592998,0,0,0
151,-9.0306624382275,0.867669860745329,-2.99851743223546,0,0,0
152,-9.02103124719888,0.870370116126269,-3.00922255523557,0,0,0
153,-9.04845845313438,0.879608314244164,-3.0139313584983,0,0,0
154,-9.03917179393992,0.870587608535632,-3.02964013496882,0,0,0
155,-9.01913949790758,0.854041843063011,-3.0346523704448,0,0,0
156,-9.00809485412381,0.874160523980526,-3.01651050670711,0,0,0
157,-9.01213992814553,0.872388789917773,-3.02514232900378,0,0,0
158,-9.04202432188842,0.874640112066662,-3.04143569142205,0,0,0
159,-9.03919883171293,0.866004886802004,-3.03877041304794,0,0,0
160,-9.01932634185398,0.872116339125958,-3.03457174111453,0,0,0
161,-9.03283866065044,0.870068411762268,-3.01423082840266,0,0,0
162,-9.03703513394035,0.870431342556152,-3.00941146686622,0,0,0
163,-9.03679852217404,0.850130952428881,-3.02981943884875,0,0,0
164,-9.03688134281808,0.861454867237156,-3.02069627233139,0,0,0
165,-9.03237512964123,0.847681415894092,-3.00055437695761,0,0,0
166,-9.03007897506612,0.85224868653025,-3.01175531559697,0,0,0
167,-9.03513321404474,0.851813313439735,-2.99417929688666,0,0,0
168,-9.04123874938392,0.857091686784291,-2.98218848474835,0,0,0
169,-9.04840332132074,0.854548650238933,-2.9690267283463,0,0,0
170,-9.04357525342152,0.861610752832861,-2.97089748736172,0,0,0
171,-9.03029506783944,0.870275780674643,-2.96649755633981,0,0,0
172,-9.03252171676628,0.868053533411957,-2.9551994365951,0,0,0
173,-9.02835453179686,0.869949612970314,-2.97131533714637,0,0,0
174,-9.02813335706469,0.856469607752792,-2.97355997753486,0,0,0
175,-9.03511949171673,0.870064669253145,-2.97582868128336,0,0,0
176,-9.03280935647071,0.867809433540114,-3.00293413843489,0,0,0
177,-9.02617916797445,0.876701697585097,-3.01650118764183,0,0,0
178,-9.02835685719163,0.879097921101457,-3.02995569080736,0,0,0
179,-9.03956341532485,0.874787587955264,-3.02994364360123,0,0,0
180,-9.037232755647,0.870259056076882,-3.03219922539954,0,0,0
181,-9.03734407498833,0.876997899889205,-3.0299474753982,0,0,0
182,-9.02781944612941,0.859063098793379,-3.02295860410327,0,0,0
183,-9.02591552303404,0.860984158566022,-3.02777891295791,0,0,0
184,-9.02606264306851,0.863126052969594,-3.02110427325524,0,0,0
185,-9.02366394980889,0.860940246807145,-3.02100378253197,0,0,0
186,-9.02338352317244,0.849788585239908,-3.00733917770698,0,0,0
187,-9.03218910977546,0.836450803777284,-3.0050602475532,0,0,0
188,-9.03042728861753,0.847367493126125,-3.0166666023117,0,0,0
189,-9.03040464609196,0.851942866843648,-3.00075970421984,0,0,0
190,-9.01652583298765,0.863440526669617,-2.99350594725851,0,0,0
191,-9.02385938870997,0.865310133236873,-2.99626057931386,0,0,0
192,-9.0394380820749,0.858919552208531,-2.99162595310521,0,0,0
193,-9.04162679316427,0.868143047027662,-2.99369372635308,0,0,0
194,-9.03481206472877,0.865802349042625,-3.00950775713568,0,0,0
195,-9.03240898044958,0.863623672068164,-3.01618385017684,0,0,0
196,-9.03744486565519,0.856372734027402,-3.02128901879584,0,0,0
197,-9.0439727916345,0.868107975023607,-3.01863930051403,0,0,0
198,-9.04202937570638,0.867786611804527,-3.02797497165,0,0,0
199,-9.03306341383599,0.876697222334281,-3.00078431928234,0,0,0
200,-9.01952158778378,0.86279589309419,-2.99871911843819,0,0,0
201,-9.02576999453255,0.870223698066845,-2.98683019701194,0,0,0
202,-9.03511137085361,0.863232601458019,-2.982697706859,0,0,0
203,-9.03475345563471,0.861284349231829,-2.98691441909823,0,0,0
204,-9.03030600347522,0.865719291148492,-3.00047524080875,0,0,0
205,-9.03496146648239,0.874785929066754,-3.00499952018737,0,0,0
206,-9.03491526198544,0.86570907979781,-3.01412505117724,0,0,0
207,-9.03919576426539,0.852319215588084,-3.0321787994522,0,0,0
208,-9.02609926153167,0.865373106772064,-3.02110664382525,0,0,0
209,-9.03953118518007,0.872533364313864,-3.02316468766811,0,0,0
210,-9.0395670019303,0.867936403389946,-3.01874180195819,0,0,0
211,-9.04199488695103,0.858690910910509,-3.01902959675174,0,0,0
212,-9.03057457236703,0.86319958029651,-3.02110135084,0,0,0
213,-9.0259609190264,0.863216926940776,-3.0142281002758,0,0,0
214,-9.03927777924333,0.856799070336631,-3.01863036995761,0,0,0
215,-9.03736577785177,0.85188820071334,-3.03031975837699,0,0,0
216,-9.03949070228217,0.84975682547322,-3.01214539188935,0,0,0
217,-9.04157168816196,0.845390289184752,-3.0052630184206,0,0,0
218,-9.0281486814427,0.85190610318019,-3.00076116542746,0,0,0
219,-9.03245064001013,0.859017178305023,-3.00272552747627,0,0,0
220,-9.04143997374378,0.850068397563951,-2.99377431739407,0,0,0
221,-9.03918042734344,0.856882765240825,-3.00497763294793,0,0,0
222,-9.03227713264704,0.854611456147716,-2.99358579185681,0,0,0
223,-9.0305503095294,0.854087177515068,-2.99634390134254,0,0,0
224,-9.03466624472081,0.849967637687013,-3.00281414812653,0,0,0
225,-9.03495838823609,0.861100237766531,-2.99840783773014,0,0,0
226,-9.02385710680519,0.858468589572101,-2.99409415801622,0,0,0
227,-9.0351714417392,0.86774815350347,-3.00303224176913,0,0,0
228,-9.03911676907281,0.85921832373389,-2.9958450070726,0,0,0
229,-9.02772503440758,0.859142041258369,-3.00478817745281,0,0,0
230,-9.03269218609037,0.861080153141653,-3.01422134607681,0,0,0
231,-9.02574787588576,0.856568958048502,-3.00960369006171,0,0,0
232,-9.02810637703629,0.863358861701848,-3.02090364953672,0,0,0
233,-9.02187653096114,0.876436762076053,-3.02122100055392,0,0,0
234,-9.02149000253993,0.865383316218375,-3.00745680163716,0,0,0
235,-9.03534707111689,0.865305036902506,-3.00322900084472,0,0,0
236,-9.0304795070938,0.870124938243315,-3.00961499121105,0,0,0
237,-9.03499515969744,0.877037780845225,-3.00951961015748,0,0,0
238,-9.03506758881574,0.874687850984406,-3.00509908642861,0,0,0
239,-9.02811954305258,0.863337417301158,-3.00057389351611,0,0,0
240,-9.03981880396413,0.869982594739129,-3.01442559498806,0,0,0
241,-9.03021797524099,0.847558618878654,-3.01194971991663,0,0,0
242,-9.0281334034033,0.858776240242945,-3.03003394504787,0,0,0
243,-9.03715644821219,0.852079367705756,-3.02560284631598,0,0,0
244,-9.03015367594292,0.856740476542315,-3.00950119712281,0,0,0
245,-9.02819131779563,0.867833951028019,-3.002837496482,0,0,0
246,-9.0325663485487,0.865748906550681,-2.99369720055785,0,0,0
247,-9.0326672705868,0.8588140267793,-2.99614806447726,0,0,0
248,-9.02787134076911,0.85443994768985,-2.99368826994062,0,0,0
249,-9.01676943543325,0.858654682993627,-2.99605873479047,0,0,0
250,-9.03721727592153,0.861132235958408,-2.99388864876977,0,0,0
251,-9.03488515095606,0.856606108456224,-2.99840309656722,0,0,0
252,-9.03251721623664,0.856676866059003,-3.00734044466946,0,0,0
253,-9.04346757082568,0.85032728891738,-3.01842117806516,0,0,0
254,-9.03219072831402,0.850138706082181,-3.01391076889631,0,0,0
255,-9.02796803174625,0.861202651152191,-3.01402511889956,0,0,0
256,-9.03456385392323,0.856904847672308,-3.00262213161483,0,0,0
257,-9.03498688652998,0.85651526720673,-3.00527925489353,0,0,0
258,-9.03001467889138,0.861430678172911,-3.00930679785831,0,0,0
259,-9.04783739012231,0.841405278912946,-3.01163220044388,0,0,0
260,-9.03244332556343,0.859029091849901,-3.01401982589063,0,0,0
261,-9.01454863220604,0.860867377638755,-2.99832142836751,0,0,0
262,-9.0165222766461,0.870291823932045,-3.00470777084688,0,0,0
263,-9.02614401222649,0.874452250216544,-3.01423995318311,0,0,0
264,-9.03759506616892,0.872200022134151,-3.02120603097098,0,0,0
265,-9.03108186976798,0.874131095177728,-3.01237645957152,0,0,0
266,-9.03729504954334,0.879309717189983,-2.99822622114519,0,0,0
267,-9.03709959495364,0.874939833223139,-3.02296935361192,0,0,0
268,-9.04392367382054,0.859035968287085,-3.03228258048424,0,0,0
269,-9.03257208992592,0.854355638169992,-3.03002628147327,0,0,0
270,-9.03715710962805,0.84523312401888,-3.01891871619658,0,0,0
271,-9.03010665642888,0.840819807626593,-3.01420147204951,0,0,0
272,-9.01660896655298,0.842843907856284,-3.01195374598876,0,0,0
273,-9.03051076545355,0.85184490000093,-3.00085926692727,0,0,0
274,-9.03040838290136,0.858782028587423,-3.00066725343762,0,0,0
275,-9.0257543732148,0.849713094589254,-2.99388410189168,0,0,0
276,-9.03942770597298,0.845246060548875,-2.99632857427068,0,0,0
277,-9.03238179069069,0.854515857457056,-2.99594420721893,0,0,0
278,-9.02826503831976,0.85179145726792,-2.98504865163513,0,0,0
279,-9.03445626778891,0.857005223511143,-3.00478142322938,0,0,0
280,-9.02621041041576,0.858421651039187,-3.0077454743858,0,0,0
281,-9.01923486725301,0.872190578592859,-3.01188352960434,0,0,0
282,-9.02363418557371,0.879218212157065,-3.02750057721791,0,0,0
283,-9.02627942806064,0.876613141215641,-3.02563622862422,0,0,0
284,-9.03293681343404,0.876828667434929,-3.03230885116514,0,0,0
285,-9.02130353068702,0.874689636953088,-3.02975615477248,0,0,0
286,-9.02599332417594,0.87916164017904,-3.03211642239971,0,0,0
287,-9.01940250491813,0.876605703009466,-3.03005875452293,0,0,0
288,-9.02795697598739,0.854375325092876,-3.02541189072521,0,0,0
289,-9.03229034560992,0.856896676669134,-3.02972988384349,0,0,0
290,-9.02982865638089,0.850199903252582,-3.01381265569899,0,0,0
