Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.60297960132609,-0.252666189377683,-1.87095929031027,0,0,0
1,-9.60963870073885,-0.254771699632338,-1.8503294467105,0,0,0
2,-9.61834487905529,-0.263481301213981,-1.84345236864565,0,0,0
3,-9.61830940609571,-0.27024417721124,-1.84116055188996,0,0,0
4,-9.638567242061,-0.274487594209812,-1.84575154537366,0,0,0
5,-9.62304590108716,-0.270351088083108,-1.85262653186261,0,0,0
6,-9.62054228963524,-0.258885207554114,-1.84345164447172,0,0,0
7,-9.61618625946677,-0.256791859232764,-1.84345199786009,0,0,0
8,-9.61213526856506,-0.241342143882188,-1.85950068908155,0,0,0
9,-9.5961363350799,-0.250434931244898,-1.85261733080603,0,0,0
10,-9.59405422050635,-0.255115863914499,-1.85261961394332,0,0,0
11,-9.61191152073138,-0.257023958500743,-1.83199219451628,0,0,0
12,-9.61166952448179,-0.261378009522285,-1.8067742004562,0,0,0
13,-9.61175743051958,-0.259180365200041,-1.80448272683639,0,0,0
14,-9.62076470687029,-0.259056001817997,-1.81365456862849,0,0,0
15,-9.62065121668319,-0.258970927163145,-1.82053000441452,0,0,0
16,-9.62983367703322,-0.254451389748611,-1.82282659000356,0,0,0
17,-9.61385377811539,-0.254497405455117,-1.85491148613608,0,0,0
18,-9.612029699924,-0.236733577375358,-1.88012940707046,0,0,0
19,-9.61221333007513,-0.232337457121007,-1.90305437299375,0,0,0
20,-9.61223548561651,-0.243664994597777,-1.91451793371897,0,0,0
21,-9.61199269676566,-0.25706306038328,-1.91451659379537,0,0,0
22,-9.61402090943863,-0.252339164836808,-1.92826731800317,0,0,0
23,-9.62070540822448,-0.265771689225765,-1.9305626337159,0,0,0
24,-9.63876398605879,-0.270089272741341,-1.91452293586049,0,0,0
25,-9.63637570219277,-0.283604533559526,-1.88013771146945,0,0,0
26,-9.63667956689555,-0.265726265279779,-1.87784689278956,0,0,0
27,-9.64324075809515,-0.263222585801261,-1.90535360203273,0,0,0
28,-9.65011106964897,-0.267736160386797,-1.92369632013278,0,0,0
29,-9.64107294173665,-0.265578621475549,-1.90076982259223,0,0,0
30,-9.63234920646596,-0.256871641426075,-1.84575420775075,0,0,0
31,-9.62996881898113,-0.261341768831678,-1.81136775427118,0,0,0
32,-9.62982580746405,-0.258974588347955,-1.80907324654078,0,0,0
33,-9.62794063466581,-0.254735255996283,-1.86409239763352,0,0,0
34,-9.63228669398238,-0.259065637444699,-1.93744630725195,0,0,0
35,-9.63247172795641,-0.25014721173185,-1.95120142701803,0,0,0
36,-9.63206299078136,-0.270225346075284,-1.89618323166097,0,0,0
37,-9.62757589060117,-0.263527454068129,-1.82741176196923,0,0,0
38,-9.61178429467836,-0.261462877232499,-1.80448339297438,0,0,0
39,-9.61195735880386,-0.266112007784112,-1.81824018710128,0,0,0
40,-9.61389629086832,-0.268108301729765,-1.84345245265552,0,0,0
41,-9.60042469671783,-0.266053528084607,-1.85949494344523,0,0,0
42,-9.59410129124837,-0.264203671167471,-1.84345227442008,0,0,0
43,-9.59173949108424,-0.255105269319209,-1.83198729004597,0,0,0
44,-9.60717037690071,-0.265961633672558,-1.83198902053581,0,0,0
45,-9.61436016460114,-0.254881037044346,-1.80907197622487,0,0,0
46,-9.61221745279548,-0.230101110958734,-1.80906929250171,0,0,0
47,-9.63039936333525,-0.229980844921061,-1.80678436321671,0,0,0
48,-9.65277590293141,-0.222779842981694,-1.81824960816185,0,0,0
49,-9.65764716439791,-0.238839865544481,-1.8365957592993,0,0,0
50,-9.66822887028272,-0.254007869800744,-1.85722383232319,0,0,0
51,-9.66144645456489,-0.260862731137045,-1.877853328096,0,0,0
52,-9.65235051348266,-0.267706815042887,-1.88243514428171,0,0,0
53,-9.64094890355184,-0.274539120275197,-1.89847714126064,0,0,0
54,-9.6231093870726,-0.279436406000679,-1.90076734466851,0,0,0
55,-9.60949619948776,-0.265970611069333,-1.89159077983082,0,0,0
56,-9.60066452327406,-0.270743648045591,-1.90534515659614,0,0,0
57,-9.58487148960645,-0.27320126135854,-1.89158663563874,0,0,0
58,-9.58926520989991,-0.264009672891194,-1.88700046568117,0,0,0
59,-9.59815311141488,-0.268323181399374,-1.89617133802634,0,0,0
60,-9.59830530050163,-0.261644920680197,-1.90304936471839,0,0,0
61,-9.60713744028357,-0.265915776808585,-1.91909638824019,0,0,0
62,-9.60970538608848,-0.263856889552626,-1.90993183733406,0,0,0
63,-9.62276775348353,-0.265615797906711,-1.87554523158597,0,0,0
64,-9.64530366501451,-0.263066569935184,-1.85262854844748,0,0,0
65,-9.64544410555644,-0.269956139199953,-1.85950834572399,0,0,0
66,-9.66772792275618,-0.273998406725101,-1.88472773442553,0,0,0
67,-9.66122922935971,-0.272021588936122,-1.85951351566927,0,0,0
68,-9.66578870655537,-0.267480030491636,-1.84346872039792,0,0,0
69,-9.64561609837799,-0.265561375655409,-1.84117149755263,0,0,0
