Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.81489078535937,-0.167017325574914,-1.23576575529491,0,0,0
1,-9.82307558547539,-0.145002757598168,-1.20302039692578,0,0,0
2,-9.8641035871402,-0.148923559066363,-1.24549414551638,0,0,0
3,-9.86974929096935,-0.149462834983552,-1.20235333494111,0,0,0
4,-9.89241257633201,-0.123464574091897,-1.2016143530355,0,0,0
5,-9.91541595378993,-0.114802094992988,-1.20238435663224,0,0,0
6,-9.8976489964788,-0.114984862727687,-1.15325571824273,0,0,0
7,-9.92061227283862,-0.11309042638532,-1.10791135681485,0,0,0
8,-9.90242041768276,-0.108066976583411,-1.08258273639316,0,0,0
9,-9.90541217422471,-0.074849706585853,-1.10412099591864,0,0,0
10,-9.92605276182449,-0.00952822386546834,-1.08844890739184,0,0,0
11,-9.9300990258419,0.0532160062615998,-1.08465757436977,0,0,0
12,-9.92138840089718,0.0688938225971484,-1.09132055580014,0,0,0
13,-9.92429459067545,0.0175616934773661,-1.14123143233123,0,0,0
14,-9.90790627135802,-0.0544553746822709,-1.1665882821262,0,0,0
15,-9.87502870521839,-0.0693575901188878,-1.18589702315318,0,0,0
16,-9.85526715784377,-0.0115113772711182,-1.20439055915274,0,0,0
17,-9.84144570930604,0.0184091706648564,-1.24152841397864,0,0,0
18,-9.82923196102741,0.00831296640068903,-1.30773134059657,0,0,0
19,-9.82456955443242,-0.060591974201647,-1.37550837191421,0,0,0
20,-9.82152485880949,-0.161106899295461,-1.3927395908268,0,0,0
21,-9.81443198255077,-0.225424435651912,-1.40768701275904,0,0,0
22,-9.81431081139443,-0.224692706505515,-1.45827134219551,0,0,0
23,-9.81524056542007,-0.177148831785749,-1.47086164489374,0,0,0
24,-9.82939727306562,-0.129243042250599,-1.42097938426526,0,0,0
25,-9.83337111244336,-0.114020815061521,-1.376331009426,0,0,0
26,-9.84317736142522,-0.11308183697473,-1.36741763865996,0,0,0
27,-9.85256270187156,-0.10311559106634,-1.3458472558785,0,0,0
28,-9.85852044236115,-0.0955440549530947,-1.3138626161603,0,0,0
29,-9.86670893413197,-0.089325132081983,-1.32353675911557,0,0,0
30,-9.87242191913877,-0.094462608838568,-1.32503787147959,0,0,0
31,-9.86906817735532,-0.104251392271898,-1.27073742378379,0,0,0
32,-9.86661194473014,-0.0930315738437167,-1.25510016274897,0,0,0
33,-9.860700817446,-0.0666594141199809,-1.27067845798453,0,0,0
34,-9.86282734050338,-0.0462910447917029,-1.26693890215205,0,0,0
35,-9.86049366725633,-0.0455626242363126,-1.26990950837307,0,0,0
36,-9.85438630280725,-0.082635546856699,-1.28407908267569,0,0,0
37,-9.85537388795622,-0.124942297356368,-1.29008578128217,0,0,0
38,-9.85123378128974,-0.158305870970847,-1.32508654125825,0,0,0
39,-9.83918278972097,-0.172043714038936,-1.36525291284787,0,0,0
40,-9.82625627581657,-0.150502105185838,-1.43885693012234,0,0,0
41,-9.81073138218295,-0.13422952918178,-1.49907104308495,0,0,0
42,-9.80559100808849,-0.122259917687005,-1.53401209308259,0,0,0
43,-9.80939006334745,-0.118416035279105,-1.53996411874151,0,0,0
44,-9.80829231488765,-0.130486147884926,-1.53923221111099,0,0,0
45,-9.80633694756373,-0.125296093892794,-1.55633493500861,0,0,0
46,-9.81964337806373,-0.100915659817042,-1.55483777029724,0,0,0
47,-9.82549634277058,-0.0759231295332658,-1.5481218265591,0,0,0
48,-9.82689865898313,-0.0645015115133807,-1.5369483551549,0,0,0
49,-9.82505529704762,-0.058593310555913,-1.57264925719452,0,0,0
50,-9.83427394311582,-0.0704820479793406,-1.63293159714368,0,0,0
51,-9.8080789956977,-0.102667817534895,-1.64557836436366,0,0,0
52,-9.81458938648365,-0.120657109247484,-1.62254926588834,0,0,0
53,-9.80388027231611,-0.129103095920075,-1.57270094660492,0,0,0
54,-9.80667568086111,-0.101892600288546,-1.57639179562892,0,0,0
55,-9.80380367542585,-0.0965928930502897,-1.49306243089889,0,0,0
56,-9.79777373111216,-0.125313644542343,-1.47076892674207,0,0,0
57,-9.80041384339101,-0.144880619141441,-1.46335755747171,0,0,0
58,-9.79911418884903,-0.183436153729906,-1.4708433743334,0,0,0
59,-9.80495488717394,-0.191649754811375,-1.49466733514025,0,0,0
60,-9.79610790067859,-0.195621497308903,-1.48127061742146,0,0,0
61,-9.81326326842419,-0.167394347280412,-1.47233544762303,0,0,0
62,-9.81053433888992,-0.148523107710394,-1.4306481512737,0,0,0
63,-9.82533389361319,-0.125627272552394,-1.42766733156178,0,0,0
64,-9.820929209221,-0.13239434789585,-1.42766469174359,0,0,0
65,-9.81551471744982,-0.157434881972561,-1.39793302951436,0,0,0
66,-9.82324035282487,-0.151250100308181,-1.37115663459615,0,0,0
67,-9.83307509496354,-0.149568706663985,-1.37265738574627,0,0,0
68,-9.82319618782759,-0.208652024208129,-1.35932622935,0,0,0
69,-9.8300477727031,-0.222052959136905,-1.38389891164017,0,0,0
70,-9.83010056720894,-0.197969875744378,-1.38238456911725,0,0,0
71,-9.82376300822902,-0.204834784293268,-1.37791838381765,0,0,0
72,-9.81724186584666,-0.226853363597275,-1.41215507434115,0,0,0
73,-9.81772415571231,-0.217116853080652,-1.43818358995265,0,0,0
74,-9.81713552668692,-0.236713318133256,-1.4456439751932,0,0,0
75,-9.8095780614968,-0.245961318074458,-1.47540190248677,0,0,0
76,-9.81435618914826,-0.246695253173959,-1.48731507089006,0,0,0
77,-9.81452540315128,-0.227791906585241,-1.49101024336098,0,0,0
78,-9.81685229968128,-0.217891621657427,-1.46496345778285,0,0,0
79,-9.82088821934978,-0.20191078603919,-1.40692402764241,0,0,0
80,-9.82147352522954,-0.199552562948632,-1.36228511399558,0,0,0
81,-9.82130613926823,-0.21467615371917,-1.36602387522868,0,0,0
82,-9.81809212520664,-0.232902559372059,-1.39654315743114,0,0,0
83,-9.81607318800814,-0.218611180807532,-1.41512042643293,0,0,0
84,-9.82267943788207,-0.18000271522837,-1.44483883055112,0,0,0
85,-9.82252283130726,-0.153632207217022,-1.46712484598873,0,0,0
86,-9.81127646652398,-0.171132199235761,-1.48423618660953,0,0,0
87,-9.79730832299871,-0.190248062549928,-1.49390896230035,0,0,0
88,-9.80322120383439,-0.156929912316318,-1.48495031740609,0,0,0
89,-9.78828347306066,-0.136005016890083,-1.47820470226593,0,0,0
90,-9.76120806362692,-0.135733141641375,-1.46923683734721,0,0,0
91,-9.74888706898811,-0.191794918028978,-1.45664032438784,0,0,0
92,-9.73090275392492,-0.256215215697916,-1.44553134114588,0,0,0
93,-9.75281251299891,-0.290685686451832,-1.45156387052275,0,0,0
94,-9.73911020250352,-0.280308697097771,-1.46268645394984,0,0,0
95,-9.76208277663124,-0.251949165037538,-1.46714864560185,0,0,0
96,-9.78288278515291,-0.195037824652023,-1.50356380425838,0,0,0
97,-9.77202292855561,-0.175671934001796,-1.55485488564361,0,0,0
98,-9.79291127749736,-0.19652492942455,-1.61517079091112,0,0,0
99,-9.76545976960151,-0.209810101775804,-1.59654702715154,0,0,0
100,-9.76654251170246,-0.193181036809542,-1.58611368786646,0,0,0
101,-9.82641889981393,-0.124381345128026,-1.6657245431637,0,0,0
102,-9.81528067412485,-0.103437468046444,-1.70436383865074,0,0,0
103,-9.79089434346723,-0.0947237206577636,-1.70208056084208,0,0,0
104,-9.83791576824503,-0.061524094759051,-1.70285890200774,0,0,0
105,-9.86030392108269,-0.0929179147261084,-1.72376408357389,0,0,0
106,-9.84074623568447,-0.130987163886339,-1.71039051442973,0,0,0
107,-9.84561996160275,-0.132335739932112,-1.71262746427248,0,0,0
108,-9.81491137381196,-0.120017558470543,-1.68504102865549,0,0,0
109,-9.80103540001128,-0.0885664498683851,-1.71696891089216,0,0,0
110,-9.82085194996858,-0.0429669624433509,-1.72735920868858,0,0,0
111,-9.86596452576098,-0.0355348594325696,-1.78991208269236,0,0,0
112,-9.82101118160924,-0.0853165471377917,-1.78023115437672,0,0,0
113,-9.83067595425151,-0.109338662173636,-1.75721667757541,0,0,0
114,-9.82191718380791,-0.117784794292772,-1.81374832624521,0,0,0
115,-9.80914431804801,-0.12184719094797,-1.85539473353902,0,0,0
116,-9.79024792118683,-0.111609339848484,-1.9014741875942,0,0,0
117,-9.74944402613491,-0.10476205592518,-1.92595161204145,0,0,0
118,-9.74690780664774,-0.118449715302047,-1.99291662217965,0,0,0
119,-9.75958753136626,-0.13415863772348,-2.04949394084642,0,0,0
120,-9.71955044644339,-0.141668033305836,-2.04572456615336,0,0,0
121,-9.70027687139996,-0.144945000967275,-2.03602457726934,0,0,0
122,-9.70534141802382,-0.154645255257437,-2.01967738795915,0,0,0
123,-9.71292903801212,-0.165901940310342,-2.03904721047815,0,0,0
124,-9.72053847111976,-0.171906063352555,-2.10825212385052,0,0,0
125,-9.71503660855312,-0.151678005863198,-2.13128269111342,0,0,0
126,-9.7320306079055,-0.134074535302673,-2.17369076866215,0,0,0
127,-9.73660209936918,-0.136262736520828,-2.15956694088152,0,0,0
128,-9.73937516129579,-0.149007589710438,-2.12164674906616,0,0,0
129,-9.72527918514508,-0.156677151625634,-2.06806849094487,0,0,0
130,-9.73732179985082,-0.169308126043651,-2.03611596617455,0,0,0
131,-9.73332562064344,-0.189016943594076,-2.0227451035823,0,0,0
132,-9.7494945592363,-0.209860689976777,-2.02576982163417,0,0,0
133,-9.73282951573853,-0.203288445128162,-1.98928275554355,0,0,0
134,-9.74876494554916,-0.200718550154464,-1.9513643432314,0,0,0
135,-9.73998958244112,-0.169817954732126,-1.89626045693615,0,0,0
136,-9.7752009477924,-0.202500442686737,-1.91718680377916,0,0,0
137,-9.76826973570825,-0.166390052274579,-1.92457099435547,0,0,0
138,-9.7497441759862,-0.140254100043528,-1.90814352270746,0,0,0
139,-9.74962794820294,-0.138037219216239,-1.99145743988347,0,0,0
140,-9.73177066460224,-0.11797791742745,-2.02413710699454,0,0,0
141,-9.7356040628319,-0.129331678133629,-2.07251435751556,0,0,0
142,-9.7110933831926,-0.137305684316238,-2.11711954375016,0,0,0
143,-9.70461454484708,-0.126140769153526,-2.14015895601966,0,0,0
144,-9.71801268120524,-0.13266873359292,-2.12158828225667,0,0,0
145,-9.7131812959199,-0.205307427081288,-2.16556371456899,0,0,0
146,-9.70557871703265,-0.194081733916841,-2.18190146787555,0,0,0
147,-9.7147335916204,-0.206837947749762,-2.20202058742607,0,0,0
148,-9.7071413168484,-0.211512612502687,-2.20796674341921,0,0,0
149,-9.70168712224822,-0.259157860689875,-2.21768666563638,0,0,0
150,-9.69812844800258,-0.231216215901759,-2.2288015268843,0,0,0
151,-9.70569904085953,-0.230306422346184,-2.20277490531148,0,0,0
152,-9.7044799617205,-0.22055690809159,-2.19309249926271,0,0,0
153,-9.69050432299121,-0.190599485159126,-2.22204541501132,0,0,0
154,-9.69930933465183,-0.201714302551093,-2.17892444706002,0,0,0
155,-9.69540238794004,-0.215382433589922,-2.16480243744808,0,0,0
156,-9.69898115847425,-0.230445745678167,-2.17970540454503,0,0,0
157,-9.69279019367925,-0.242651749024837,-2.1878949192359,0,0,0
158,-9.70374794781787,-0.207665211268529,-2.16406031600143,0,0,0
159,-9.7203107349453,-0.215687580227692,-2.15070578287121,0,0,0
160,-9.72422331852614,-0.257141529813395,-2.12547088888582,0,0,0
161,-9.72626400086094,-0.27748364009509,-2.09276832176185,0,0,0
162,-9.7389863638387,-0.328569012068727,-2.05714258651859,0,0,0
163,-9.75266991255616,-0.317711507755707,-2.05194067447558,0,0,0
164,-9.74674090428227,-0.406179602930877,-2.03344488370018,0,0,0
165,-9.73786816945421,-0.44865808832392,-2.05133967796398,0,0,0
166,-9.74137893448649,-0.403208128353034,-2.01557761040534,0,0,0
167,-9.74394153281197,-0.397151263719518,-2.0029298258727,0,0,0
168,-9.74562533149813,-0.378941681429462,-1.96571259069798,0,0,0
169,-9.73725142293484,-0.376048848141419,-1.97015851317078,0,0,0
170,-9.73798730330873,-0.326167268139106,-1.98125489202453,0,0,0
171,-9.73544027890227,-0.296006458841023,-1.98418904253942,0,0,0
172,-9.73498770733161,-0.283997033999225,-2.00054142955208,0,0,0
173,-9.73368164844233,-0.271950793423155,-2.01242722155452,0,0,0
174,-9.73272822091723,-0.281014064354536,-2.03772886614443,0,0,0
175,-9.74196214484183,-0.278638254475097,-2.03253468711771,0,0,0
176,-9.73938371457137,-0.301344599696572,-2.03032791904445,0,0,0
177,-9.73573155994538,-0.298418754052791,-2.04817362579535,0,0,0
178,-9.74016044149521,-0.302110320758349,-2.04892830597195,0,0,0
179,-9.7328262810964,-0.285613129177425,-2.04666439857713,0,0,0
180,-9.7381967445643,-0.280978034592119,-2.03253248300802,0,0,0
181,-9.7421057275856,-0.284740790127913,-2.05114323865814,0,0,0
182,-9.73719567051849,-0.288528113587685,-2.04220968276311,0,0,0
183,-9.73856394058691,-0.274252829486451,-2.06154044111983,0,0,0
184,-9.73616690503891,-0.265955649496749,-2.08160898819317,0,0,0
185,-9.72885143884013,-0.260817756701357,-2.07266645426765,0,0,0
186,-9.72583733710944,-0.262416471305538,-2.10465262059547,0,0,0
187,-9.72278625732866,-0.259439908159472,-2.11133858445879,0,0,0
188,-9.72589760965495,-0.260891158606737,-2.08233380864573,0,0,0
189,-9.72553523903611,-0.264603200186645,-2.07043158038485,0,0,0
190,-9.72645338838722,-0.263864247273566,-2.0734095303754,0,0,0
191,-9.72649796214064,-0.264621198557863,-2.06448424961453,0,0,0
192,-9.72964084794014,-0.260020988483661,-2.03844682141125,0,0,0
193,-9.73695344511622,-0.262862037456062,-2.02209297831863,0,0,0
194,-9.73646699737997,-0.248513015464447,-2.00347697116491,0,0,0
195,-9.73537257742601,-0.256797365286431,-2.00645878823376,0,0,0
196,-9.73919258530464,-0.209901960968859,-1.98111374452893,0,0,0
197,-9.74615082840875,-0.199941384839567,-1.95581879839497,0,0,0
198,-9.73940114623609,-0.29982850573004,-2.02586249044072,0,0,0
199,-9.73772342672114,-0.219016877048273,-1.9714541346228,0,0,0
200,-9.73839894047213,-0.264309160838443,-1.99010814929117,0,0,0
201,-9.74302112719651,-0.258165711311319,-1.96778996312712,0,0,0
202,-9.75623836494179,-0.248162094712894,-1.96705609714943,0,0,0
203,-9.75290739862262,-0.260306605427125,-1.99607752822205,0,0,0
204,-9.7424956540343,-0.255258986307659,-2.04143525208968,0,0,0
205,-9.74415807382216,-0.253730780551932,-2.02655907458494,0,0,0
206,-9.7412983421071,-0.283229101434441,-2.05039530870493,0,0,0
207,-9.74359059612079,-0.270285125590991,-2.01616045172832,0,0,0
