Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.6518507365773,-0.141370719880422,-0.576507694968142,0,0,0
1,-9.65453732212304,-0.146110727330249,-0.57453410910092,0,0,0
2,-9.6409343796122,-0.150834815217436,-0.567762194373739,0,0,0
3,-9.64179761930838,-0.160390367308201,-0.561559243845616,0,0,0
4,-9.64751383454215,-0.161958357554073,-0.574521889757863,0,0,0
5,-9.64585907632923,-0.155509338282374,-0.592890927307994,0,0,0
6,-9.64805389852472,-0.144104649181798,-0.581462438092094,0,0,0
7,-9.65449120340976,-0.164228014496763,-0.581436709177957,0,0,0
8,-9.64514750224047,-0.152853869454929,-0.583421782220431,0,0,0
9,-9.64547580171429,-0.164386962949466,-0.570149313936654,0,0,0
10,-9.65116993654248,-0.15361875770712,-0.579775384057044,0,0,0
11,-9.64194562736774,-0.151400150106494,-0.559310076593297,0,0,0
12,-9.64591326605097,-0.153289756506627,-0.56578949949566,0,0,0
13,-9.65257332635555,-0.159928759215584,-0.561260701247986,0,0,0
14,-9.64115494202872,-0.153231480982072,-0.558870855453977,0,0,0
15,-9.649287216414,-0.147069127517688,-0.561860329532915,0,0,0
16,-9.66002776055653,-0.148857927058329,-0.55930076009683,0,0,0
17,-9.65770026355333,-0.153393368538042,-0.557038823514062,0,0,0
18,-9.65909342276363,-0.145078977087312,-0.573587039926392,0,0,0
19,-9.646774316308,-0.146957388843065,-0.57075079624092,0,0,0
20,-9.64572494594794,-0.148637773151086,-0.581459155593147,0,0,0
21,-9.64762592436797,-0.13933265037916,-0.578917264559484,0,0,0
22,-9.65037992559717,-0.13956676024142,-0.585983016323589,0,0,0
23,-9.65252715664435,-0.146276931165287,-0.583715792152602,0,0,0
24,-9.64106996629871,-0.157708786060752,-0.576935294862705,0,0,0
25,-9.64744641147895,-0.166464274155816,-0.565482563137181,0,0,0
26,-9.64656035044485,-0.160455753245376,-0.56170194093111,0,0,0
27,-9.63209705246823,-0.155629081974115,-0.556615679917038,0,0,0
28,-9.64541130451456,-0.168897622825783,-0.556592683217546,0,0,0
29,-9.62971829826564,-0.162388946055015,-0.576937856453825,0,0,0
