Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-7.9972424332245,1.36504104969567,-5.88045622186607,0,0,0
1,-7.99785752978101,1.35131520756452,-5.88128492362442,0,0,0
2,-7.99878264854251,1.3580448856107,-5.89321389908922,0,0,0
3,-7.9910439857088,1.3496153376265,-5.88949261995603,0,0,0
4,-7.96996228612675,1.36599184326942,-5.86560051895294,0,0,0
5,-7.97275503222463,1.34936161678214,-5.85598819865664,0,0,0
6,-7.95758991256633,1.35835152549966,-5.82984958515275,0,0,0
7,-7.96730255494028,1.39009007488754,-5.83509949290568,0,0,0
8,-7.97628627937546,1.33743005121879,-5.83291415170326,0,0,0
9,-7.97318428406571,1.34217840266765,-5.84020899216108,0,0,0
10,-7.98021014377227,1.35438474720778,-5.8349975681402,0,0,0
11,-7.97975007703914,1.37165702605901,-5.8000784526282,0,0,0
12,-7.97244839247446,1.37875529868838,-5.79427350251907,0,0,0
13,-7.97618159157784,1.3797127247552,-5.79123591271675,0,0,0
14,-7.9753084505945,1.38610826855136,-5.77395007257236,0,0,0
15,-7.96859561278468,1.38803603385875,-5.73687502128965,0,0,0
16,-7.94492945418191,1.38939127448829,-5.721113964354,0,0,0
17,-7.93734145812997,1.39316540480084,-5.73590877212126,0,0,0
18,-7.94682123933939,1.35751661288635,-5.75395512281367,0,0,0
19,-7.97024476746381,1.34885839450053,-5.78670148416051,0,0,0
20,-7.94590557605616,1.34385392841644,-5.79488554367449,0,0,0
21,-7.96110360728635,1.34099879553775,-5.80312943252527,0,0,0
22,-7.97626050435489,1.33978498447295,-5.81651188279291,0,0,0
23,-7.98256241661478,1.34804625581275,-5.82624904723786,0,0,0
24,-7.97875851924296,1.35036283190099,-5.84700284114994,0,0,0
25,-7.97529760365902,1.36759525563434,-5.86039960850603,0,0,0
26,-7.97363188294563,1.36397793371931,-5.87666732213755,0,0,0
27,-7.97669759766832,1.35853195858879,-5.87752296025488,0,0,0
28,-7.97734346927603,1.3470775687214,-5.87462934435972,0,0,0
29,-7.98551426473289,1.33435237040099,-5.88730452446276,0,0,0
30,-7.9953102788722,1.33002488405943,-5.9051457952454,0,0,0
31,-7.99984199046664,1.33712425013642,-5.88793413469724,0,0,0
32,-7.99697660624979,1.34914164534172,-5.85075269176073,0,0,0
33,-7.99566519841323,1.36192182236658,-5.82770695753882,0,0,0
34,-7.99024643786318,1.35192782602679,-5.84187841597846,0,0,0
35,-7.98401618883425,1.34357113379013,-5.85449203045346,0,0,0
36,-7.98085638518512,1.33282561491661,-5.83968897627267,0,0,0
