Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.38307608943532,0.229643437331467,-2.13480818913274,0,0,0
1,-9.39501197073358,0.222125169879958,-2.13351298003475,0,0,0
2,-9.38170261319744,0.226216447218572,-2.13823908466113,0,0,0
3,-9.38334999849457,0.217832020220188,-2.13990000228999,0,0,0
4,-9.3856542368886,0.201748171231042,-2.142531559807,0,0,0
5,-9.38805395344172,0.219959035546883,-2.13557796463143,0,0,0
6,-9.39945169126125,0.226872673951297,-2.11976813787705,0,0,0
7,-9.40315622612719,0.225655171334294,-2.12330220281088,0,0,0
8,-9.39712727273979,0.222331081634489,-2.11298929406042,0,0,0
9,-9.39722843965791,0.229091909223692,-2.12654753106244,0,0,0
10,-9.39695541251668,0.231726804034912,-2.13067585752439,0,0,0
11,-9.39282882278109,0.235762547809461,-2.1242990503303,0,0,0
12,-9.39314287543326,0.235369314293447,-2.11339750436848,0,0,0
13,-9.37898758789304,0.235925722263306,-2.12617525828544,0,0,0
14,-9.37455223945905,0.231170980342982,-2.13314452724143,0,0,0
15,-9.37908381491734,0.233519553982811,-2.15798767413035,0,0,0
16,-9.38113908164194,0.231514775316969,-2.173597883015,0,0,0
17,-9.3929104406712,0.233380228829428,-2.17869674388152,0,0,0
18,-9.39257822085751,0.222319510200937,-2.17171373426166,0,0,0
19,-9.38115315896593,0.222316798170022,-2.16249138654575,0,0,0
20,-9.37940606115446,0.223938015129652,-2.14501374553787,0,0,0
21,-9.39038129730181,0.224495863162487,-2.13783976857319,0,0,0
22,-9.39705251478114,0.217835774994699,-2.11524306907959,0,0,0
23,-9.39032648144256,0.210793194911726,-2.11995290741999,0,0,0
24,-9.38573007713082,0.22459151900975,-2.11732048038715,0,0,0
25,-9.38323237221611,0.22944803575138,-2.13048670808916,0,0,0
26,-9.3935165296655,0.23032120645986,-2.13430611667668,0,0,0
27,-9.38620833691776,0.235473528810293,-2.1357915804184,0,0,0
28,-9.39233591969973,0.224904310716952,-2.12841314615601,0,0,0
29,-9.39284876639993,0.226555110259003,-2.10415839939565,0,0,0
30,-9.39259037560165,0.229166145517527,-2.08570159282843,0,0,0
31,-9.38853652680882,0.228525509645348,-2.09080806757654,0,0,0
32,-9.37931860781326,0.226329807637037,-2.09965012082074,0,0,0
33,-9.37009868781549,0.214962437675061,-2.12222932259152,0,0,0
34,-9.38644122783459,0.221420659531307,-2.14765663271728,0,0,0
35,-9.38348635110498,0.226844118050438,-2.15571911705403,0,0,0
36,-9.40420211852947,0.224366158685796,-2.16758291676356,0,0,0
37,-9.38795925759977,0.224671157510604,-2.15797234059935,0,0,0
38,-9.3902279301035,0.224686472604919,-2.13764421912501,0,0,0
39,-9.38149735617202,0.212699686929324,-2.11563960872547,0,0,0
40,-9.37679394927314,0.219746665966609,-2.10848302995192,0,0,0
41,-9.37203929333513,0.224568740359174,-2.12390926286338,0,0,0
42,-9.36786868322305,0.226367615509186,-2.12882267042203,0,0,0
43,-9.37939582245025,0.223954691614841,-2.16082341446065,0,0,0
44,-9.37422743508241,0.222406659613401,-2.17133426007498,0,0,0
45,-9.38136079592269,0.226654858973709,-2.19205246318658,0,0,0
46,-9.39014501528617,0.231688005865117,-2.19843571254699,0,0,0
47,-9.39737551827823,0.222045184483886,-2.20372131318904,0,0,0
48,-9.3927966440562,0.235814959522717,-2.17398648895391,0,0,0
49,-9.39238581303094,0.229440160656928,-2.16455414300885,0,0,0
50,-9.3881146248936,0.23365228481178,-2.14443072344024,0,0,0
51,-9.37707104106803,0.237763627784807,-2.1333457289368,0,0,0
52,-9.39538429609436,0.244603976893829,-2.12450261637309,0,0,0
53,-9.39955777332378,0.242800516823361,-2.11507217683859,0,0,0
54,-9.38853029191056,0.246885610724174,-2.07914343570514,0,0,0
55,-9.39756204643371,0.237841820523756,-2.07480655335244,0,0,0
56,-9.40170127091223,0.224610556368056,-2.07233538581781,0,0,0
57,-9.38575786782197,0.224546254390333,-2.07440864142255,0,0,0
58,-9.40158349329214,0.208701936985199,-2.09509948801274,0,0,0
59,-9.39422840311742,0.211621741275016,-2.11239231443143,0,0,0
60,-9.38531779832333,0.218218965529723,-2.11014676190045,0,0,0
61,-9.3895693417587,0.202555103125467,-2.11464425992057,0,0,0
62,-9.38968898730609,0.200110967556292,-2.11032038381964,0,0,0
63,-9.38602155369216,0.212751758462423,-2.09530996970404,0,0,0
64,-9.38769202183674,0.224988058765931,-2.09660133659717,0,0,0
65,-9.38348773265029,0.224533321644409,-2.09699528073714,0,0,0
66,-9.38806565479622,0.219939976742063,-2.11750980513194,0,0,0
67,-9.38366549386996,0.21743657393954,-2.12673997361411,0,0,0
68,-9.37677145745447,0.210608392287609,-2.1538395034338,0,0,0
69,-9.36747587872874,0.20392205286807,-2.16945230470454,0,0,0
70,-9.37166704401838,0.204398032593279,-2.18938486707348,0,0,0
71,-9.36782716515112,0.217260279699514,-2.20353994920163,0,0,0
72,-9.37468080242747,0.233329241245113,-2.22820028230481,0,0,0
73,-9.38132770318848,0.2358837830574,-2.23251967441677,0,0,0
74,-9.37889097056419,0.233774532256049,-2.21877203126839,0,0,0
75,-9.38579321522084,0.23141432020188,-2.18960016868666,0,0,0
76,-9.37742031999367,0.241929958764551,-2.18117057205447,0,0,0
77,-9.37968900077787,0.241945273933479,-2.16084239395054,0,0,0
78,-9.36139329503772,0.235076356355452,-2.14258321659527,0,0,0
79,-9.37198329261804,0.240701714041933,-2.13256884464287,0,0,0
80,-9.36992014091829,0.233544125399625,-2.13972982390324,0,0,0
81,-9.38135248742106,0.233534869077125,-2.137659552656,0,0,0
82,-9.3879231508737,0.231596455717972,-2.14649131136727,0,0,0
83,-9.38158297852631,0.228660662302419,-2.14256295101068,0,0,0
84,-9.38093437038366,0.227171931933733,-2.1395198510877,0,0,0
85,-9.37450681562979,0.228936419085445,-2.1466932618123,0,0,0
86,-9.37266501429504,0.235269667363658,-2.15161000015516,0,0,0
87,-9.38176951209028,0.221549649692993,-2.15875662640189,0,0,0
88,-9.38627523987498,0.230806664366788,-2.15630910075319,0,0,0
89,-9.38826798863247,0.23346163192047,-2.14462627913599,0,0,0
90,-9.39305349145903,0.230897874619084,-2.13823652494608,0,0,0
91,-9.38591039090254,0.235840560445928,-2.12184937842056,0,0,0
92,-9.38890046219902,0.232668068375038,-2.11604763729593,0,0,0
93,-9.38852536377498,0.237718618774345,-2.09739761736164,0,0,0
94,-9.39513560835896,0.238024325073241,-2.10171476250113,0,0,0
95,-9.39777502553577,0.232996210024886,-2.10681215882341,0,0,0
96,-9.39968860329955,0.231163046502198,-2.10415876154385,0,0,0
97,-9.39736418238795,0.226621475839338,-2.09737991146031,0,0,0
98,-9.39311739811165,0.223927449458397,-2.10680559096283,0,0,0
99,-9.38207084035235,0.228043520328756,-2.10023757694896,0,0,0
100,-9.39074369487757,0.226332502059904,-2.10887242727739,0,0,0
101,-9.38875679979957,0.223668099318282,-2.11152109099015,0,0,0
102,-9.38660390500574,0.230389657915196,-2.12282231078229,0,0,0
103,-9.39519906632211,0.224188162613765,-2.13822794671987,0,0,0
104,-9.38588235837871,0.206052937193471,-2.14047333503182,0,0,0
105,-9.3811798563804,0.203923492234776,-2.14253685408614,0,0,0
106,-9.38810468958102,0.213010036940479,-2.12447378485266,0,0,0
107,-9.39478969019451,0.217810930473103,-2.12653712968071,0,0,0
108,-9.39719565245663,0.217661876561507,-2.13124825218902,0,0,0
109,-9.38664879050177,0.223450272098999,-2.12075219969911,0,0,0
110,-9.38415160509235,0.237480641046703,-2.12243981700204,0,0,0
111,-9.37949069491853,0.24676717383297,-2.10625151861016,0,0,0
112,-9.3758103751612,0.241078037900595,-2.13226668089356,0,0,0
113,-9.37469827354739,0.230992249777622,-2.14463267216052,0,0,0
114,-9.38848440899618,0.237785324653157,-2.1606362343313,0,0,0
115,-9.37445554112872,0.226711387221469,-2.16927606774414,0,0,0
116,-9.37036644214636,0.223819577933293,-2.17212187878979,0,0,0
117,-9.36360078814315,0.214532986182333,-2.18134645877199,0,0,0
118,-9.37027761784354,0.228522145408951,-2.18548217424729,0,0,0
119,-9.37474761033972,0.226353971463661,-2.19225244607204,0,0,0
120,-9.37035620344215,0.223836254418481,-2.18793154771256,0,0,0
121,-9.36822176845317,0.221352934811675,-2.18135065420779,0,0,0
122,-9.37941491767685,0.226232102664993,-2.18792807647878,0,0,0
123,-9.38863084963424,0.219256262089601,-2.19282336590713,0,0,0
124,-9.38612079854115,0.212649355977461,-2.17907095092534,0,0,0
125,-9.38539209447507,0.215848606629303,-2.17583686956305,0,0,0
126,-9.38823280365711,0.231210405074672,-2.14236538673942,0,0,0
127,-9.39304378580537,0.240088612111932,-2.14256750867049,0,0,0
128,-9.38866063861805,0.228382531158896,-2.13617409862821,0,0,0
