Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.05243307151878,1.24343037506822,-3.04206189839114,0,0,0
1,-9.05239788404841,1.24117899631583,-3.039801035195,0,0,0
2,-9.05243493647985,1.23424601275363,-3.04902426678069,0,0,0
3,-9.05710313474721,1.23411685558277,-3.04244224818104,0,0,0
4,-9.05633591690144,1.23509924685266,-3.04597731435046,0,0,0
5,-9.05690297898518,1.24126203688971,-3.04883207572382,0,0,0
6,-9.05660644511691,1.23245680099329,-3.04410922150387,0,0,0
7,-9.05685714660387,1.24820938126107,-3.05315978383809,0,0,0
8,-9.0589245689914,1.24619032866894,-3.05070107339229,0,0,0
9,-9.06152241223488,1.24808491980297,-3.05109476238076,0,0,0
10,-9.05464271482717,1.25041448599136,-3.04638815191763,0,0,0
11,-9.05674825325739,1.25064208012625,-3.04167333403308,0,0,0
12,-9.05890149073337,1.23473779924678,-3.03959315628845,0,0,0
13,-9.05417463289543,1.23034510280333,-3.02358555007899,0,0,0
14,-9.06547838120232,1.23279457493848,-3.03939002297029,0,0,0
15,-9.05848142947288,1.22838891539357,-3.04596873550545,0,0,0
16,-9.06133916163151,1.23683993763917,-3.05108289928364,0,0,0
17,-9.07248963516173,1.24866702710137,-3.0574701398688,0,0,0
18,-9.07264647559236,1.25764642344743,-3.04167022576177,0,0,0
19,-9.05724599392394,1.26148156390787,-3.02852701410817,0,0,0
20,-9.04418231109932,1.25147546626917,-3.02253626695021,0,0,0
21,-9.03193298093122,1.26860938910767,-3.03002321512491,0,0,0
22,-9.0343474956617,1.25925868552158,-3.03040500154538,0,0,0
23,-9.05220505617952,1.24831240392627,-3.03489842401469,0,0,0
24,-9.05636338839609,1.24654474162386,-3.0503097584632,0,0,0
25,-9.05686234906446,1.2298382292313,-3.06482604850052,0,0,0
26,-9.05633339685845,1.22592193912851,-3.05971512602618,0,0,0
27,-9.0588560645422,1.23250308586586,-3.05314171453473,0,0,0
28,-9.05215564182941,1.23690274521516,-3.06444328485584,0,0,0
29,-9.04733023240482,1.23723460617208,-3.07760431053091,0,0,0
30,-9.05179241169564,1.24426030781579,-3.08644602256889,0,0,0
31,-9.05882932832889,1.2417280271208,-3.08457362384262,0,0,0
32,-9.05474575537583,1.24799132909737,-3.06690857908488,0,0,0
33,-9.05472519440844,1.24571612714866,-3.04206281012154,0,0,0
34,-9.05462361631693,1.24813689089688,-3.01928391753245,0,0,0
35,-9.05628268880909,1.23974997587771,-3.00513299670867,0,0,0
36,-9.0544905833182,1.22993741732485,-3.00816884313477,0,0,0
37,-9.05169846359839,1.23517838525362,-3.00513117314204,0,0,0
38,-9.05684723054742,1.2367354561886,-3.02172544356434,0,0,0
39,-9.05452877995239,1.23449258586154,-3.06237736221489,0,0,0
40,-9.05669405101201,1.24842164977061,-3.06877279797873,0,0,0
41,-9.06563823121295,1.24407778267244,-3.07553766829921,0,0,0
42,-9.05734066862673,1.24989064888726,-3.07181928838113,0,0,0
43,-9.056879170412,1.25048221172071,-3.07574704126422,0,0,0
44,-9.05674240266706,1.25065160938708,-3.0507072795624,0,0,0
45,-9.05697002279435,1.25495163848256,-3.04864992477166,0,0,0
46,-9.05667934025136,1.24613689690437,-3.03489312960144,0,0,0
47,-9.0570143919975,1.24800664386836,-3.04658070300538,0,0,0
48,-9.05472373175814,1.24571850946829,-3.04432130069826,0,0,0
49,-9.04754313179298,1.23924996720316,-3.04166731436333,0,0,0
50,-9.05494988690679,1.25002090286294,-3.04452242879788,0,0,0
51,-9.05871197938297,1.23268430826414,-3.03939440562669,0,0,0
52,-9.0566416327655,1.23470819059615,-3.04637008261427,0,0,0
53,-9.04826008256354,1.24522185324296,-3.04923543904734,0,0,0
54,-9.04802369671586,1.24093613436186,-3.06484375510362,0,0,0
55,-9.05460208019373,1.23899057872706,-3.06238210745374,0,0,0
56,-9.05877357915109,1.23720140306205,-3.05746704196999,0,0,0
57,-9.06833363773341,1.23206833580996,-3.05824203451934,0,0,0
58,-9.05699131336744,1.23655421578756,-3.03547276156357,0,0,0
59,-9.04352551875576,1.2500231948169,-3.03529938807537,0,0,0
60,-9.04627324872093,1.25172688562311,-3.04040641803067,0,0,0
61,-9.05686299719963,1.24819985199139,-3.04412582991999,0,0,0
62,-9.05893667838196,1.23698918884965,-3.04185401739885,0,0,0
63,-9.0569825374575,1.23656850971862,-3.04902371760705,0,0,0
64,-9.05946166194301,1.23173056870551,-3.0629612680818,0,0,0
65,-9.05208380388329,1.23240234832685,-3.06218005111457,0,0,0
66,-9.05433488595751,1.23244625088201,-3.0689540556659,0,0,0
67,-9.05018238626624,1.23420449241749,-3.04450874232367,0,0,0
68,-9.04798665032037,1.24786915055618,-3.05562050886836,0,0,0
69,-9.05269920221235,1.24079503293859,-3.04696927729801,0,0,0
70,-9.05945937528898,1.2500967965697,-3.04677799969018,0,0,0
71,-9.05716538043109,1.2569954826405,-3.03981472175292,0,0,0
72,-9.05684389868938,1.24592225689691,-3.01702159553481,0,0,0
73,-9.05687177309327,1.24818555808687,-3.03057489904283,0,0,0
74,-9.05671639600951,1.23920382284962,-3.04411633939649,0,0,0
75,-9.05927717801798,1.24803148791787,-3.03528678923275,0,0,0
76,-9.05870279602658,1.24188070702543,-3.04372448714295,0,0,0
77,-9.04750501867101,1.23700333138024,-3.04392342810334,0,0,0
78,-9.05694109175615,1.24350865100284,-3.04657595776653,0,0,0
79,-9.05648398215265,1.24409298050291,-3.04372832068041,0,0,0
80,-9.0569825374575,1.23656850971862,-3.04902371760705,0,0,0
81,-9.05730986947183,1.24763214486364,-3.06278293670017,0,0,0
82,-9.0568864836567,1.25047030013362,-3.06445459886659,0,0,0
83,-9.05636192575122,1.24654712393464,-3.05256824065114,0,0,0
84,-9.05949789881482,1.24316142184986,-3.0537427515301,0,0,0
85,-9.05456941423211,1.24591647142047,-3.04638340665589,0,0,0
86,-9.05697481657623,1.24576241207486,-3.05109531153939,0,0,0
87,-9.05927425271738,1.24803625255714,-3.03980377038619,0,0,0
88,-9.0455610908007,1.23656597186801,-3.03528369146979,0,0,0
89,-9.05232312115676,1.23668338576994,-3.04205478053287,0,0,0
90,-9.05255658752455,1.24097391091911,-3.0309634432133,0,0,0
91,-9.04800606124358,1.23865617859781,-3.03548097773477,0,0,0
92,-9.05739966746135,1.24292195601317,-3.04716511382343,0,0,0
93,-9.05644879414763,1.2418415691991,-3.0414674637415,0,0,0
94,-9.05946417435389,1.24090768247436,-3.04922338939136,0,0,0
95,-9.05465189416709,1.24121813428313,-3.04205806488269,0,0,0
96,-9.05441070915,1.24612158218313,-3.05522096792789,0,0,0
97,-9.06107008484135,1.23948002981267,-3.05069249457985,0,0,0
98,-9.05892310634382,1.24619271098415,-3.05295955977462,0,0,0
99,-9.0617563023857,1.24319341293899,-3.0492243010953,0,0,0
100,-9.05594586057341,1.24937343390201,-3.04294754246513,0,0,0
101,-9.05009951243436,1.24808482054787,-3.03961323562268,0,0,0
102,-9.05706420597086,1.25023419942443,-3.02625666043432,0,0,0
103,-9.05671891602091,1.24838115041208,-3.0303785294791,0,0,0
104,-9.05916430235536,1.24128926325885,-3.03979665252792,0,0,0
105,-9.05217026831881,1.23687892204096,-3.04185840006059,0,0,0
106,-9.05667535776515,1.23696196251643,-3.05088943220419,0,0,0
107,-9.05630072889642,1.23284783554886,-3.04371645741155,0,0,0
108,-9.05672265368241,1.23001229008664,-3.04430323147326,0,0,0
109,-9.06516825582618,1.23319275981554,-3.04577271456836,0,0,0
110,-9.05897958910169,1.23004666341468,-3.04204328000752,0,0,0
111,-9.05408005165994,1.24424465244711,-3.03675795355223,0,0,0
112,-9.05473250765993,1.2457042155505,-3.03077035723794,0,0,0
113,-9.06115947491353,1.24395186062164,-3.02585388965885,0,0,0
114,-9.05686299719963,1.24819985199139,-3.04412582991999,0,0,0
115,-9.05629739996421,1.24203475038295,-3.03901260219304,0,0,0
116,-9.05389533487455,1.23300183554043,-3.03900457241406,0,0,0
117,-9.05687071681541,1.23900589349805,-3.04205423137424,0,0,0
118,-9.06111404855364,1.24171713637476,-3.03940243531052,0,0,0
119,-9.05663830183422,1.24389502571187,-3.04166621610611,0,0,0
120,-9.05633258814745,1.24428617253723,-3.04127345704621,0,0,0
121,-9.05668307826114,1.22776805829314,-3.04881784000728,0,0,0
122,-9.05629593731934,1.24203713269374,-3.04127108438099,0,0,0
123,-9.05690444163548,1.24125965457007,-3.0465735851471,0,0,0
124,-9.05460752717858,1.2481630963885,-3.04412729080723,0,0,0
125,-9.06156491295674,1.25032438695721,-3.04206317269331,0,0,0
126,-9.05720682507537,1.25005527623356,-3.04226247523316,0,0,0
127,-9.05675743425386,1.2414456831828,-3.03734324658879,0,0,0
128,-9.05649901317457,1.23488704158332,-3.03036429362516,0,0,0
129,-9.05423915795871,1.23485743297083,-3.03714121365762,0,0,0
130,-9.04946688460327,1.22822998177526,-3.03468215761452,0,0,0
131,-9.06065984950768,1.24229667967089,-3.03203786325899,0,0,0
132,-9.07265902619829,1.23926318303178,-3.04204400515105,0,0,0
133,-9.06141831247405,1.24132840122616,-3.04205368221561,0,0,0
134,-9.05469359012721,1.26182182747628,-3.01458482154218,0,0,0
135,-9.04802836384553,1.26847290910756,-3.02814724041954,0,0,0
136,-9.04607380215382,1.27723411014833,-3.02609607072138,0,0,0
137,-9.045403076599,1.25513290707334,-3.02342112980147,0,0,0
138,-9.03623607853951,1.24598738674377,-3.021158998436,0,0,0
139,-9.0549630507717,1.24999946196635,-3.02419599473266,0,0,0
140,-9.05877024674418,1.24638829425904,-3.05276316959104,0,0,0
141,-9.05145555604616,1.21254021054389,-3.05047347815039,0,0,0
142,-9.05627472238549,1.22140007970018,-3.03712551691822,0,0,0
143,-9.05854928836201,1.22371444117891,-3.06422826526305,0,0,0
144,-9.05165750954215,1.23524508995555,-3.06836867440446,0,0,0
145,-9.0568946110533,1.23209436177691,-3.07160389913023,0,0,0
146,-9.05697814950253,1.23657565668416,-3.05579919562879,0,0,0
147,-9.05719699486492,1.24088998532957,-3.06729280845281,0,0,0
148,-9.05657377677094,1.23938269554437,-3.02811055252747,0,0,0
149,-9.05707923977164,1.24102836372927,-3.01289258004038,0,0,0
150,-9.05910229400832,1.24595424786497,-3.01250315768851,0,0,0
151,-9.06129511439613,1.23229429838101,-3.0059083425104,0,0,0
152,-9.05208225716033,1.23009616542333,-3.00797395497508,0,0,0
153,-9.04756546652246,1.23003218348722,-3.01701083066768,0,0,0
154,-9.05619329805936,1.23527810160934,-3.0299715554456,0,0,0
155,-9.05636525432157,1.23736018740845,-3.05727210842992,0,0,0
156,-9.0648493561492,1.23360524598127,-3.0657062504085,0,0,0
157,-9.05650015575676,1.24637536187566,-3.07534947332611,0,0,0
158,-9.0565958007695,1.24165553683457,-3.05069778899311,0,0,0
159,-9.05441802238791,1.24610967060709,-3.04392853601623,0,0,0
160,-9.05934609030843,1.25253662774229,-3.04206700620176,0,0,0
161,-9.05438868515143,1.24384874089292,-3.03263373146225,0,0,0
162,-9.04964389240652,1.24866683888621,-3.03450713845854,0,0,0
163,-9.05423915795871,1.23485743297083,-3.03714121365762,0,0,0
164,-9.05459029512814,1.23670108286056,-3.02398539503009,0,0,0
165,-9.05172048797784,1.23745124820495,-3.0277183676867,0,0,0
166,-9.05011746236114,1.23887418567833,-3.02173219885084,0,0,0
167,-9.05920428833392,1.23435151518732,-3.04450289876044,0,0,0
168,-9.05250969901914,1.23874160159194,-3.04677051932272,0,0,0
169,-9.05689859103429,1.2412691838486,-3.05560754745398,0,0,0
170,-9.05900559103021,1.2414943503728,-3.04863422809917,0,0,0
171,-9.05873985397187,1.23494762029351,-3.05294769656301,0,0,0
172,-9.06329662928712,1.22807381786592,-3.04861707053943,0,0,0
173,-9.06795855846616,1.23713621126123,-3.04184817384986,0,0,0
174,-9.04762374597967,1.24373609190337,-3.03037962773632,0,0,0
175,-9.04829965763653,1.24746606332224,-3.04472082210165,0,0,0
176,-9.05441802238791,1.24610967060709,-3.04392853601623,0,0,0
177,-9.05935088810918,1.24334745750763,-3.04451238919234,0,0,0
178,-9.05652103717314,1.23715988287352,-3.0529515300908,0,0,0
179,-9.05873546602912,1.23495476723913,-3.05972315571,0,0,0
180,-9.04056052950671,1.24631127645182,-3.07290480651599,0,0,0
181,-9.0515577955719,1.22848129424959,-3.05255218109319,0,0,0
182,-9.04773634777196,1.22293472043386,-3.05579080354417,0,0,0
183,-9.04306738507356,1.24142785654026,-3.04393109515892,0,0,0
