Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.42745473076186,1.62387800951123,-4.38091645104616,0,0,0
1,-8.42159132045685,1.64115021922681,-4.36769012956358,0,0,0
2,-8.41628531021334,1.64185201808996,-4.3559974258735,0,0,0
3,-8.40346007240965,1.64779094376866,-4.36083245113142,0,0,0
4,-8.41062066121029,1.64751945893165,-4.37232243107565,0,0,0
5,-8.42617732721016,1.64571808722308,-4.36543333927582,0,0,0
6,-8.41960802384313,1.64541575351604,-4.37005560084441,0,0,0
7,-8.42395664485832,1.63652205254938,-4.39488794850351,0,0,0
8,-8.42665436374318,1.63840644291029,-4.38831435900575,0,0,0
9,-8.42383525077345,1.64120603705528,-4.38575756628312,0,0,0
10,-8.42839631949641,1.64350647849091,-4.36542950632819,0,0,0
11,-8.41642455887659,1.65085757183688,-4.36729993300416,0,0,0
12,-8.42335969180464,1.6485154462053,-4.36061801160535,0,0,0
13,-8.42369507321751,1.65733122023045,-4.37879700889015,0,0,0
14,-8.42606478013059,1.65269578300752,-4.39921895714554,0,0,0
15,-8.41981908557699,1.65892018496366,-4.38362151837494,0,0,0
16,-8.42430834298947,1.6567215209172,-4.36103008133125,0,0,0
17,-8.43073839593312,1.6480185286587,-4.3451052793209,0,0,0
18,-8.43503859742835,1.6345875485982,-4.33153645232032,0,0,0
19,-8.43490256296203,1.63929537013192,-4.34499223857997,0,0,0
20,-8.43347840251858,1.64073169810326,-4.35669168885617,0,0,0
21,-8.42404455153479,1.64099494029678,-4.37230654927966,0,0,0
22,-8.4277493166349,1.64186282335141,-4.3786768210415,0,0,0
23,-8.42344297988005,1.64158535212239,-4.37200458098352,0,0,0
24,-8.42408850487303,1.64323138417048,-4.36101584966773,0,0,0
25,-8.42797471135569,1.641625514224,-4.3403811467319,0,0,0
26,-8.4253590626499,1.64422363635031,-4.33340791568212,0,0,0
27,-8.42295102831644,1.63520276648935,-4.3424343039634,0,0,0
28,-8.42628526520881,1.62733767944374,-4.36561566392599,0,0,0
29,-8.42359808685689,1.63915446315406,-4.38565452563442,0,0,0
30,-8.42600736409325,1.63676273848155,-4.40156164687795,0,0,0
