Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.45203999117288,-0.0710986986603854,-1.96311286036486,0,0,0
1,-9.45207810798034,-0.0688518348846632,-1.96085679090636,0,0,0
2,-9.44736270956249,-0.0710531227348853,-1.95164753566618,0,0,0
3,-9.44701631901586,-0.0777048425016752,-2.0011790275715,0,0,0
4,-9.43200284529382,-0.0717340593972091,-2.03352861643808,0,0,0
5,-9.45905457415587,-0.0735803436198134,-1.99737356878811,0,0,0
6,-9.46816080040561,-0.0781280940063847,-1.99078304868743,0,0,0
7,-9.44309092506975,-0.0553532464021763,-1.97876835054699,0,0,0
8,-9.44068109647779,-0.0531184238601135,-1.9582991872768,0,0,0
9,-9.44515963792595,-0.0553013293466299,-1.95151857824148,0,0,0
10,-9.45207246830627,-0.0461939947628081,-1.95152368733051,0,0,0
11,-9.45850681496126,-0.0550680216990697,-1.92200311627895,0,0,0
12,-9.44969238531234,-0.0552635542552364,-1.91763908434939,0,0,0
13,-9.4536256196283,-0.0528071111854203,-1.9194559778806,0,0,0
14,-9.45203330421994,-0.0620040263992452,-1.93132814335382,0,0,0
15,-9.45906179897449,-0.0759010361542088,-1.92961779985892,0,0,0
16,-9.44950743690886,-0.0891556265901641,-1.93825247239708,0,0,0
17,-9.46292554388542,-0.0956756902110397,-1.94501191568404,0,0,0
18,-9.46754486296454,-0.0888520605734353,-1.94727455497738,0,0,0
19,-9.44945908176798,-0.091385814484623,-1.95631763824437,0,0,0
20,-9.44434209430523,-0.0799464835308723,-1.96023215558702,0,0,0
21,-9.45557261470226,-0.0955608216203678,-1.95132153325958,0,0,0
22,-9.46499914512898,-0.106887548084447,-1.94274014808091,0,0,0
23,-9.47331572119443,-0.126814382061496,-1.9378730254004,0,0,0
24,-9.46673716954217,-0.115685453689737,-1.93111395802167,0,0,0
25,-9.48053096077533,-0.143034041986433,-1.90694754019022,0,0,0
26,-9.48691405248715,-0.124392232429286,-1.89269787030151,0,0,0
27,-9.44675119737203,-0.111618361679527,-1.87707629551642,0,0,0
28,-9.464654453819,-0.131724545323738,-1.85237635272033,0,0,0
29,-9.45871373534296,-0.109907038347866,-1.85524875425311,0,0,0
30,-9.45160635574703,-0.121067255253482,-1.86182132914737,0,0,0
31,-9.44455008525386,-0.10712563299313,-1.90644222532395,0,0,0
32,-9.4532296987298,-0.113637654994196,-1.94919260116945,0,0,0
33,-9.45601910192245,-0.123142914704632,-1.95667078908128,0,0,0
34,-9.45134310109198,-0.123008407071287,-1.97454588923785,0,0,0
35,-9.46486635701939,-0.131947530041607,-1.99956593841249,0,0,0
36,-9.45509859774003,-0.147316517749923,-2.01253890046761,0,0,0
37,-9.45065524236262,-0.142881984035318,-2.02158032892489,0,0,0
38,-9.44171967671043,-0.124986769397028,-2.02597493785735,0,0,0
39,-9.4311524939872,-0.123454307830805,-2.04476627333956,0,0,0
40,-9.43348169851495,-0.109745094175444,-2.03329136866437,0,0,0
41,-9.43320430812909,-0.107197439330434,-2.01259622102643,0,0,0
42,-9.431060327024,-0.100488805478437,-2.01034636031129,0,0,0
43,-9.43361019230608,-0.112202400979281,-2.01541687182382,0,0,0
44,-9.43526385383751,-0.0935661009805046,-2.02360700735102,0,0,0
45,-9.42684528653625,-0.0690075928194354,-2.03056136270418,0,0,0
46,-9.43138836137058,-0.0666776692203057,-2.03733612836138,0,0,0
47,-9.43198870734081,-0.0625359984555108,-2.04463488200395,0,0,0
48,-9.42748470206022,-0.0717956574458817,-2.0448237708196,0,0,0
49,-9.447603561827,-0.0735415676737414,-2.02880368062917,0,0,0
50,-9.44735575946872,-0.0893005076420621,-2.01523640389931,0,0,0
51,-9.44810835738075,-0.0925310126205409,-1.98233436790262,0,0,0
52,-9.43904608602879,-0.0857461177975598,-1.97763502273884,0,0,0
53,-9.43882126669158,-0.0808837065742227,-1.96369828333954,0,0,0
54,-9.43904071118936,-0.0765625515234191,-1.97519066652622,0,0,0
55,-9.44327884399561,-0.0646824575476,-1.96783809397598,0,0,0
56,-9.46088713421121,-0.0822122040244066,-1.94954449851118,0,0,0
57,-9.46752531719632,-0.100304035664223,-1.93164894767128,0,0,0
58,-9.46476958741955,-0.111283826564878,-1.91545809289499,0,0,0
59,-9.45797110045173,-0.113650493980457,-1.90868478180753,0,0,0
60,-9.45186302088008,-0.103013903711213,-1.91830147541735,0,0,0
61,-9.45848265072843,-0.111900536945813,-1.91828760142296,0,0,0
62,-9.45835705189245,-0.109447995081371,-1.93164529958553,0,0,0
63,-9.45313979024466,-0.10685349816482,-1.94227738531812,0,0,0
64,-9.46711740592145,-0.104470714101995,-1.94256503366004,0,0,0
65,-9.45552614519157,-0.111358779509185,-1.94241819878997,0,0,0
66,-9.45826518276072,-0.104741419086863,-1.9495222305317,0,0,0
67,-9.4470287101046,-0.111857180876001,-1.95423467534808,0,0,0
68,-9.44067056901952,-0.105583535622058,-1.96818761841929,0,0,0
69,-9.44688849940839,-0.109380803426852,-1.99017675114925,0,0,0
70,-9.44918887508967,-0.116283162532626,-1.98810513533235,0,0,0
71,-9.44294070114062,-0.103261833252749,-2.00206525990685,0,0,0
72,-9.43817328991524,-0.119079837161836,-2.00205157167484,0,0,0
73,-9.43314002294665,-0.132277944699742,-1.99487408449764,0,0,0
74,-9.43942656357671,-0.14083555813515,-2.00352248409816,0,0,0
75,-9.44264653819957,-0.139603182983647,-2.02500266258436,0,0,0
76,-9.44217638690961,-0.129845956793506,-2.02874728054622,0,0,0
77,-9.44898366572568,-0.127493604427119,-2.02196993755256,0,0,0
78,-9.4536479631592,-0.127609032168013,-2.0221624537469,0,0,0
79,-9.44668182656143,-0.120588917349192,-2.02629996419557,0,0,0
80,-9.44264454663174,-0.121250776593368,-2.00656317438525,0,0,0
81,-9.45140370639855,-0.109314440997678,-1.9833985024293,0,0,0
82,-9.46471099378876,-0.113497349463939,-1.94933232366172,0,0,0
83,-9.45136851482921,-0.111566069310904,-1.98113768720529,0,0,0
84,-9.44403221195198,-0.12273409881962,-1.99435771586232,0,0,0
85,-9.4421840822881,-0.122992669766661,-1.94951347340628,0,0,0
86,-9.44866585319474,-0.14089066788182,-1.93593945375242,0,0,0
87,-9.4669521050965,-0.134004447205661,-1.96774846561687,0,0,0
88,-9.46037991476175,-0.11140237495878,-1.99694094020172,0,0,0
89,-9.44973576002196,-0.0825398701138342,-1.99265761727886,0,0,0
90,-9.45666278210721,-0.082630671595755,-1.98155641245081,0,0,0
91,-9.44995074221614,-0.0805202986565933,-1.95446180943789,0,0,0
92,-9.45550076787931,-0.100061761087531,-1.9490583513757,0,0,0
93,-9.45560581946011,-0.118126205684212,-1.96514250296698,0,0,0
94,-9.45121604759938,-0.120553524413792,-1.99016196503929,0,0,0
95,-9.44660413032745,-0.125080262631885,-2.03307054545383,0,0,0
96,-9.442370455892,-0.107133598555251,-2.05793531596588,0,0,0
97,-9.44009228154485,-0.0980496494918274,-2.05099481421338,0,0,0
98,-9.44274383702884,-0.0938272242023184,-2.05814502418699,0,0,0
99,-9.4381939123118,-0.0869710401966708,-2.0511842665831,0,0,0
100,-9.43331679979486,-0.0868890889693714,-2.03279643507221,0,0,0
101,-9.43560593317491,-0.0845983021627226,-2.03731422342707,0,0,0
102,-9.42672839736007,-0.0893088833388997,-2.01713646720713,0,0,0
103,-9.43982886258169,-0.0912719005566204,-1.99650522598653,0,0,0
104,-9.43290473500002,-0.11392556498968,-1.98985763541385,0,0,0
105,-9.44435081355556,-0.116036898986329,-1.98773658253337,0,0,0
106,-9.44377325689063,-0.113654855980233,-1.98955620304095,0,0,0
107,-9.44632865841375,-0.120455223334609,-1.98758331348284,0,0,0
108,-9.45548854327583,-0.124862065042986,-1.97642758550468,0,0,0
109,-9.45091277563922,-0.115883178778621,-1.98758513760508,0,0,0
110,-9.45382821879879,-0.118666927094636,-1.97022767486651,0,0,0
111,-9.44678731255756,-0.116142835172786,-1.97661897845345,0,0,0
112,-9.45619460497112,-0.121058835385682,-1.97945302567061,0,0,0
113,-9.45165881667778,-0.12340061657933,-1.96138598546635,0,0,0
