Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.60277663074744,-0.140169737175399,-2.53875205827731,0,0,0
1,-9.61126277669174,-0.132508800218611,-2.51272058614397,0,0,0
2,-9.61341931562565,-0.141554218381658,-2.52761379163999,0,0,0
3,-9.61034632090666,-0.139247550732518,-2.52685901244703,0,0,0
4,-9.61118783423991,-0.135486327565968,-2.52536885070145,0,0,0
5,-9.61347973467966,-0.134694161646388,-2.52537148776377,0,0,0
6,-9.60812062995506,-0.137031908385831,-2.53801162844123,0,0,0
7,-9.60572011129667,-0.142305166941895,-2.54470763326585,0,0,0
8,-9.61190037560048,-0.138484879723897,-2.54099511562173,0,0,0
9,-9.6104279158461,-0.134710281750622,-2.54693844990843,0,0,0
10,-9.6119471261186,-0.140086212269605,-2.54248817804406,0,0,0
11,-9.60889124769592,-0.141652331484212,-2.54769278558647,0,0,0
12,-9.60730203250042,-0.144670474565624,-2.54918083270379,0,0,0
13,-9.61023651247235,-0.145257508268239,-2.54843807374073,0,0,0
14,-9.61185504793192,-0.147674637268836,-2.54696208749028,0,0,0
15,-9.61252957148312,-0.146784209613093,-2.54323821631356,0,0,0
16,-9.61266838785684,-0.144644639120601,-2.54993531186714,0,0,0
17,-9.61276219717945,-0.137822420972998,-2.55438948160548,0,0,0
18,-9.61208506929988,-0.134086710909015,-2.5536408879533,0,0,0
19,-9.60657144450357,-0.145482177086485,-2.56108457086194,0,0,0
20,-9.61265299672257,-0.141538122973731,-2.55290397446482,0,0,0
21,-9.61587965268991,-0.129397099911074,-2.54768648158974,0,0,0
22,-9.60976153026074,-0.13175951213609,-2.54619189759349,0,0,0
23,-9.60972204565013,-0.130940330944408,-2.5424690880347,0,0,0
24,-9.61050313175115,-0.134039295056998,-2.54322124943998,0,0,0
25,-9.61205081395206,-0.132506779479943,-2.54545356892333,0,0,0
26,-9.61280026755269,-0.132486347376978,-2.53875938779796,0,0,0
27,-9.61131851788572,-0.128704504268734,-2.53875129304688,0,0,0
28,-9.6104357653712,-0.134728126297724,-2.53726849505759,0,0,0
29,-9.61194627858544,-0.134696328649253,-2.531319434453,0,0,0
30,-9.60744409131659,-0.132531731736415,-2.52982281454594,0,0,0
31,-9.60816448372627,-0.135548109606106,-2.53577911811649,0,0,0
32,-9.61190995721276,-0.136950900546275,-2.5461996550816,0,0,0
33,-9.6136975253931,-0.129557073013988,-2.55140706962499,0,0,0
34,-9.60977983032998,-0.129467434462537,-2.5491637291694,0,0,0
35,-9.60979607541864,-0.1341162744765,-2.54768588788795,0,0,0
36,-9.61041628480208,-0.140867005247841,-2.5432306568655,0,0,0
37,-9.61034077149775,-0.145397242886995,-2.54174832097687,0,0,0
38,-9.61246393420749,-0.150557347629249,-2.54026710355588,0,0,0
39,-9.61253595483776,-0.152189860490267,-2.54324914601196,0,0,0
40,-9.6103271172735,-0.147692835227155,-2.54175220363275,0,0,0
41,-9.6119610584574,-0.14241504954143,-2.54546890439113,0,0,0
42,-9.61487898825972,-0.14453052577481,-2.53505802812212,0,0,0
43,-9.61645544020988,-0.141502409421029,-2.52538674537428,0,0,0
44,-9.60275398445459,-0.140916926541187,-2.53205761469817,0,0,0
45,-9.64521401244081,-0.137061411826796,-2.48450557313512,0,0,0
46,-9.58843695698496,-0.135902254508815,-2.54021298051104,0,0,0
47,-9.59588785699251,-0.143289220340679,-2.55287860041672,0,0,0
48,-9.60190320488013,-0.142352928209548,-2.53354277713356,0,0,0
49,-9.60349966575986,-0.140116980258293,-2.52982497611595,0,0,0
50,-9.60738628195349,-0.137852418524798,-2.53280609378483,0,0,0
51,-9.60730991156412,-0.138522553966774,-2.53577937854197,0,0,0
52,-9.60572070180215,-0.141540740120859,-2.53726742818924,0,0,0
53,-9.60890841001182,-0.135511650267829,-2.54024276013627,0,0,0
54,-9.61044475597248,-0.136276615293485,-2.54396681954652,0,0,0
55,-9.60971068561337,-0.139403641342886,-2.54769233260609,0,0,0
56,-9.60585515088744,-0.137856413878268,-2.54024189860707,0,0,0
57,-9.61127348033559,-0.136353211065454,-2.54397137030701,0,0,0
58,-9.60818275946496,-0.137103840435669,-2.54842888211951,0,0,0
59,-9.60975454251081,-0.135601857901034,-2.55140625597625,0,0,0
60,-9.61036168783271,-0.139247861392938,-2.551407546564,0,0,0
61,-9.61346255976988,-0.140046570048549,-2.55439230364609,0,0,0
62,-9.60802129876282,-0.139202196218783,-2.55660810952644,0,0,0
63,-9.60735895885639,-0.13933743889394,-2.56033107623657,0,0,0
64,-9.60954948882505,-0.14612656045061,-2.55885618982737,0,0,0
65,-9.61181264252879,-0.145300282396059,-2.55513805388567,0,0,0
66,-9.60883171183026,-0.143888771256013,-2.547694424513,0,0,0
67,-9.60661591355139,-0.139386261628917,-2.54173390529059,0,0,0
68,-9.6073526111293,-0.134719766102757,-2.53874937058222,0,0,0
69,-9.60518382352649,-0.134125200748927,-2.54321294801705,0,0,0
70,-9.61051387362899,-0.134824270657964,-2.54322329143725,0,0,0
71,-9.61123834071939,-0.134760897821185,-2.54991759899176,0,0,0
72,-9.61051009542765,-0.136362763370614,-2.54173839352243,0,0,0
73,-9.60802886380926,-0.141549519519626,-2.52611428772168,0,0,0
74,-9.61030071268466,-0.146130825071679,-2.52389492213763,0,0,0
75,-9.61179786599274,-0.14221754395861,-2.52909573879904,0,0,0
76,-9.60657324139735,-0.139341240330499,-2.52908598545431,0,0,0
77,-9.6058597860032,-0.140178043719712,-2.5372711808367,0,0,0
78,-9.60796407426936,-0.146076541091955,-2.54620477386675,0,0,0
79,-9.61243197729002,-0.150509120574597,-2.54919200482725,0,0,0
80,-9.60933691649553,-0.154350946375142,-2.53803405715224,0,0,0
81,-9.61010960603186,-0.155136772962362,-2.52464767329819,0,0,0
82,-9.60632956465251,-0.152907077770061,-2.52835751343471,0,0,0
83,-9.61007969826107,-0.15278391201143,-2.52612942762494,0,0,0
84,-9.60569139002834,-0.140741271333685,-2.52536253861642,0,0,0
85,-9.61026819158601,-0.140681237916016,-2.53652857602981,0,0,0
86,-9.61251128918531,-0.142910513407476,-2.53653489588515,0,0,0
87,-9.60884306998058,-0.13774355956829,-2.5365247584209,0,0,0
88,-9.61034456968968,-0.140011063510642,-2.53355529462954,0,0,0
89,-9.61027950388255,-0.142231533725257,-2.54471474874865,0,0,0
90,-9.60580404291193,-0.138557978193266,-2.54470415166477,0,0,0
91,-9.60660285273686,-0.138599490869962,-2.54024400521124,0,0,0
92,-9.60893367102744,-0.135543090581137,-2.54173173893683,0,0,0
93,-9.61120495206585,-0.13472310727948,-2.54322111340923,0,0,0
94,-9.61198808914148,-0.130881117715029,-2.54842295224781,0,0,0
95,-9.61199942304806,-0.128583562244711,-2.54693121037324,0,0,0
96,-9.61120438537697,-0.129321540643217,-2.54692982227486,0,0,0
97,-9.60748939163767,-0.128719237562247,-2.54915812691498,0,0,0
98,-9.60962739593919,-0.130054571963849,-2.53279262554539,0,0,0
99,-9.61270851938773,-0.128519868977218,-2.52907700569392,0,0,0
100,-9.6126998028822,-0.129277956647697,-2.53130970986585,0,0,0
101,-9.61122267925563,-0.133983788976514,-2.53206237359304,0,0,0
102,-9.60955884068113,-0.13690853014708,-2.52982743342726,0,0,0
103,-9.61249765350376,-0.141358400329594,-2.52686087430378,0,0,0
104,-9.61090960311428,-0.14437755141929,-2.52909285338423,0,0,0
105,-9.61025046195057,-0.146056606851185,-2.53579444732951,0,0,0
106,-9.61092032581035,-0.149010251236557,-2.53877279347174,0,0,0
107,-9.61008288547936,-0.152009884970172,-2.53505453035549,0,0,0
108,-9.60405222636466,-0.146780061761422,-2.52611034642277,0,0,0
109,-9.61036402805926,-0.140037948346933,-2.53132462381386,0,0,0
110,-9.61335540598628,-0.143775578697001,-2.53951719391072,0,0,0
111,-9.60800036976541,-0.147669611254957,-2.54100247496772,0,0,0
112,-9.61017174015615,-0.150572770846137,-2.54695778453641,0,0,0
113,-9.61176705362466,-0.146017899979797,-2.54844248967852,0,0,0
114,-9.6124520254842,-0.147453577341093,-2.54546755766768,0,0,0
115,-9.609388924653,-0.144389737637576,-2.5432239830356,0,0,0
116,-9.60937877095845,-0.145158373838516,-2.52983532978903,0,0,0
117,-9.6086731770309,-0.143694930906562,-2.53429698508061,0,0,0
118,-9.61187509322186,-0.142301211174992,-2.54918406242092,0,0,0
119,-9.61184780157865,-0.138408734446785,-2.5514067483204,0,0,0
120,-9.60885961925031,-0.136215008841808,-2.54619286818751,0,0,0
121,-9.61187338064251,-0.13536914536525,-2.5365245029164,0,0,0
122,-9.612639084295,-0.137679478555392,-2.53429890175653,0,0,0
123,-9.61186466419818,-0.136127229336891,-2.53875720800923,0,0,0
124,-9.60666325603944,-0.135587160484053,-2.54767961609069,0,0,0
125,-9.61052577798858,-0.133292109394559,-2.54991569579986,0,0,0
126,-9.61203424784364,-0.135565041146722,-2.55140981373176,0,0,0
127,-9.60810552468432,-0.136231814293317,-2.54991132446148,0,0,0
128,-9.6111509231965,-0.138505311800629,-2.5476892911965,0,0,0
129,-9.61272184196042,-0.137779205950385,-2.54322941060787,0,0,0
130,-9.61199098147806,-0.136284413749694,-2.54620210200997,0,0,0
131,-9.60884770943801,-0.140065212763501,-2.53355404006952,0,0,0
132,-9.60874374800218,-0.143020176131982,-2.52760405834461,0,0,0
133,-9.60944497693656,-0.144468516927946,-2.53504413738674,0,0,0
134,-9.60884306607357,-0.14006158616,-2.53057832261765,0,0,0
135,-9.60946065620037,-0.146033863664477,-2.53132857077575,0,0,0
136,-9.61017205662172,-0.145183841933918,-2.53653298178648,0,0,0
137,-9.61094620035846,-0.142111437148918,-2.5290900912404,0,0,0
138,-9.61020196208332,-0.14753683794978,-2.53505124181375,0,0,0
139,-9.61167093785734,-0.148990725835804,-2.53282255188512,0,0,0
140,-9.6125121559121,-0.144452638239896,-2.53802571265531,0,0,0
141,-9.61414666905097,-0.142258047922951,-2.54398011463003,0,0,0
142,-9.61037388531747,-0.140810523937228,-2.54546020239775,0,0,0
143,-9.61175660405749,-0.141373712956332,-2.55363996433741,0,0,0
144,-9.608043369334,-0.140007709261376,-2.54917199952933,0,0,0
145,-9.61023769508472,-0.14141062991244,-2.53950408951842,0,0,0
146,-9.61180831355406,-0.14222570380972,-2.53579109751326,0,0,0
147,-9.61251187822108,-0.139828031720354,-2.53504112101565,0,0,0
148,-9.6110876279212,-0.138432486757456,-2.53652811834396,0,0,0
149,-9.6126530333712,-0.133842518527671,-2.53354813490174,0,0,0
150,-9.61105394339961,-0.1399359542066,-2.5305785322457,0,0,0
151,-9.61184520580256,-0.1407364320868,-2.529095012826,0,0,0
152,-9.61255630816197,-0.141427570346661,-2.53504631610077,0,0,0
153,-9.61037071847191,-0.137736844885257,-2.52685717106291,0,0,0
154,-9.60576720582887,-0.134669633818937,-2.52609798688501,0,0,0
155,-9.60960035102456,-0.139270702760748,-2.53578497518529,0,0,0
156,-9.60878993325787,-0.136902061289107,-2.53875226561338,0,0,0
157,-9.60965378951757,-0.136252917668223,-2.53875700863502,0,0,0
158,-9.61262979757383,-0.137672225354405,-2.52834747178834,0,0,0
159,-9.61114020072538,-0.136190589782841,-2.53206290229584,0,0,0
160,-9.61037827611056,-0.134659797494696,-2.52982697298678,0,0,0
161,-9.60963230742223,-0.134682949494438,-2.53875292832362,0,0,0
162,-9.61187511196668,-0.138453453942357,-2.53950613776052,0,0,0
163,-9.61099788762797,-0.142175160523172,-2.53281196270844,0,0,0
164,-9.61111232052018,-0.137698583079663,-2.5298329574509,0,0,0
165,-9.6103776625952,-0.141590030340244,-2.54099866725608,0,0,0
166,-9.61316168646359,-0.145837313768726,-2.54174389961669,0,0,0
167,-9.61407492982826,-0.145249865971854,-2.54398267581529,0,0,0
168,-9.61098102533355,-0.146774649014418,-2.53951507950806,0,0,0
169,-9.61174615850202,-0.146001580277576,-2.53505177225008,0,0,0
170,-9.61090059110521,-0.146676865303621,-2.53207244219493,0,0,0
171,-9.61324939258299,-0.149035276210249,-2.54101037714194,0,0,0
172,-9.60868594260694,-0.146022906601388,-2.53653376761337,0,0,0
173,-9.61027313131094,-0.139143620092969,-2.53875739956751,0,0,0
174,-9.61348581281537,-0.134687197263264,-2.54396860021077,0,0,0
175,-9.61037623083375,-0.134646485572146,-2.54321656354683,0,0,0
176,-9.60655118126253,-0.136217667935028,-2.54246854726463,0,0,0
177,-9.60808112154958,-0.140060573284348,-2.54396674364543,0,0,0
178,-9.60956956156643,-0.139223271283532,-2.54545380846808,0,0,0
179,-9.60959684859061,-0.140797728316997,-2.54917753955031,0,0,0
180,-9.60647043188607,-0.1415088426972,-2.54545070472009,0,0,0
181,-9.60954980712082,-0.140737618529644,-2.54843136362045,0,0,0
182,-9.61108558111345,-0.14073723592639,-2.54397128641164,0,0,0
183,-9.6101999371811,-0.14367582643392,-2.53876292382811,0,0,0
184,-9.61107106090497,-0.143808768789415,-2.53653791870899,0,0,0
185,-9.61330516886381,-0.142171565117197,-2.53579235115321,0,0,0
186,-9.60891887321372,-0.136308116481478,-2.52536732753951,0,0,0
187,-9.61034691326831,-0.136165078243334,-2.52536524376362,0,0,0
188,-9.61110478633743,-0.134609733846077,-2.52313168997446,0,0,0
189,-9.61186293406388,-0.139997084167236,-2.51793626711373,0,0,0
190,-9.61104379152801,-0.13838655396371,-2.52313629350241,0,0,0
191,-9.60882479406035,-0.136187809349385,-2.52387501506092,0,0,0
192,-9.61181297695632,-0.140699577510431,-2.52314246743771,0,0,0
193,-9.61029839108047,-0.143811067861758,-2.52835350979975,0,0,0
194,-9.61260132940198,-0.142262646067638,-2.52761129681155,0,0,0
195,-9.61025396540991,-0.142211587430814,-2.52834832312248,0,0,0
196,-9.60883261850359,-0.140053426302123,-2.52388295835097,0,0,0
197,-9.60955535485987,-0.13922386760051,-2.5216492108083,0,0,0
198,-9.61181819222506,-0.143786523397816,-2.52835588163299,0,0,0
199,-9.61341580928886,-0.140763248311092,-2.54695280479017,0,0,0
200,-9.60954163785832,-0.148426705181533,-2.56257972795753,0,0,0
201,-9.61257921083991,-0.144516674123059,-2.56629612410469,0,0,0
202,-9.60431933853236,-0.144022482565694,-2.5484334855025,0,0,0
203,-9.60955879533637,-0.144604075541902,-2.54918326673371,0,0,0
204,-9.60661736609667,-0.14016395816502,-2.53578450679539,0,0,0
205,-9.60809625230187,-0.137012868725346,-2.52238911829684,0,0,0
206,-9.61197880372225,-0.137828042099743,-2.52463221007667,0,0,0
207,-9.61193030197784,-0.13467213757376,-2.53578189054755,0,0,0
208,-9.60897026304968,-0.135595090468301,-2.53578254047971,0,0,0
209,-9.61276949752058,-0.135545222207249,-2.52091098253216,0,0,0
210,-9.61044739053617,-0.137843520102052,-2.51719053535401,0,0,0
211,-9.61127147324567,-0.133280461771633,-2.52611224646083,0,0,0
212,-9.60955854084989,-0.14076780885052,-2.52462788075199,0,0,0
213,-9.61177315663075,-0.149117127791334,-2.53952238657874,0,0,0
214,-9.613975296619,-0.153597352786683,-2.55143321857294,0,0,0
215,-9.61244707691667,-0.155156686251741,-2.54697023467499,0,0,0
216,-9.61097317694168,-0.151392716650384,-2.53729217369599,0,0,0
217,-9.61251129497745,-0.147546464029795,-2.52464202417254,0,0,0
218,-9.60936629571871,-0.145925189019847,-2.51495880978692,0,0,0
219,-9.61176447759876,-0.144497783646466,-2.51645282235989,0,0,0
220,-9.61248836679414,-0.14135114713763,-2.52090945173889,0,0,0
221,-9.61251449776272,-0.142924691247572,-2.52388923093964,0,0,0
222,-9.61035212408021,-0.141570084012719,-2.52463221448448,0,0,0
223,-9.60650820191019,-0.140031939674622,-2.52462110283001,0,0,0
224,-9.6057906945322,-0.140100701928258,-2.52239035595855,0,0,0
225,-9.61116983131149,-0.136237143535257,-2.52165012457418,0,0,0
226,-9.61045406097746,-0.137072163096625,-2.5283474538747,0,0,0
227,-9.60719376036497,-0.139914843583995,-2.53577674715095,0,0,0
228,-9.60892961797478,-0.134775048245218,-2.53131580716777,0,0,0
229,-9.60739006274889,-0.136313917759993,-2.53429099416149,0,0,0
230,-9.60662321419466,-0.131684577144497,-2.54171909490201,0,0,0
231,-9.60742229436283,-0.134032742069039,-2.54618997935675,0,0,0
232,-9.61127552719978,-0.131730434417771,-2.54247462261191,0,0,0
233,-9.61196514722391,-0.133169584177678,-2.54247540786863,0,0,0
234,-9.61271749110909,-0.133916295189262,-2.54545322946403,0,0,0
235,-9.61118287618186,-0.13623562642774,-2.54471081290234,0,0,0
236,-9.61198633950205,-0.138598793307564,-2.53727994565311,0,0,0
237,-9.61278675383145,-0.140890480670245,-2.53133473058641,0,0,0
238,-9.61259029152022,-0.143018901942179,-2.52835614686206,0,0,0
