Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.27636987131578,1.51183157421926,-4.71732795393238,0,0,0
1,-8.27489849520785,1.50870086097919,-4.70984060708594,0,0,0
2,-8.27780252346515,1.52409879806389,-4.72360925003657,0,0,0
3,-8.2717320407508,1.5301688792351,-4.74650969345184,0,0,0
4,-8.26032544771504,1.53468064387658,-4.74867933613413,0,0,0
5,-8.2645454261967,1.52817413643385,-4.71920655164084,0,0,0
6,-8.26475746735042,1.52795879982032,-4.70123874986204,0,0,0
7,-8.25847188754983,1.53194090732362,-4.69015679216752,0,0,0
8,-8.23110647915043,1.53864964557738,-4.70127252473661,0,0,0
9,-8.20930455486705,1.53526503230809,-4.71749885261774,0,0,0
10,-8.23373145002279,1.52462601573451,-4.71962854848222,0,0,0
11,-8.25588553920176,1.52538850243333,-4.72167058033585,0,0,0
12,-8.2599437968299,1.53504229372873,-4.7191156114601,0,0,0
13,-8.2542039714608,1.54762778189726,-4.71050373377459,0,0,0
14,-8.23543841132322,1.55260423282541,-4.69882331861298,0,0,0
15,-8.23357555710707,1.53846863140593,-4.68104462894144,0,0,0
16,-8.24454047236645,1.53210818730146,-4.68544646001595,0,0,0
17,-8.25361083526719,1.52307472314783,-4.69456647372364,0,0,0
18,-8.25091697900824,1.53490240964506,-4.72589723538275,0,0,0
19,-8.22690354156277,1.53371760013307,-4.73083444905126,0,0,0
20,-8.23785531401933,1.52737860723628,-4.75556363467471,0,0,0
21,-8.24609215449959,1.5168745307433,-4.75750148761713,0,0,0
22,-8.25791545843517,1.51194419758886,-4.73068928573313,0,0,0
23,-8.26485137149605,1.49588270434497,-4.69247401277273,0,0,0
24,-8.25086908061573,1.50523476331249,-4.68315501511677,0,0,0
25,-8.23232295654938,1.51229131683431,-4.69868112318071,0,0,0
26,-8.22159599142715,1.50929191501405,-4.71931631246307,0,0,0
27,-8.22204791079593,1.51343211729475,-4.75340204018449,0,0,0
28,-8.24198595287884,1.51640141928967,-4.75093064522204,0,0,0
29,-8.27869924443117,1.53008286919458,-4.74660631450478,0,0,0
