Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.53880241350616,-0.205902822767473,-4.40287542185169,0,0,0
1,-8.53282995983545,-0.195042746345664,-4.39882276511105,0,0,0
2,-8.5437909593115,-0.201512371569875,-4.40317574261932,0,0,0
3,-8.52800857639687,-0.201776782454272,-4.3964109994422,0,0,0
4,-8.53672317648816,-0.194678232288038,-4.41418034342011,0,0,0
5,-8.53053072734586,-0.197317441526031,-4.4101134768275,0,0,0
6,-8.53226690760751,-0.203840302069556,-4.41658134931681,0,0,0
7,-8.53643278458203,-0.212682087386761,-4.4096447177404,0,0,0
8,-8.53629051370682,-0.22168877921259,-4.40286026768693,0,0,0
9,-8.53608231009744,-0.221587934069387,-4.41174428645441,0,0,0
10,-8.53632132817411,-0.219429364306874,-4.41189591567242,0,0,0
11,-8.53442093969709,-0.210567469392103,-4.40302284370751,0,0,0
12,-8.5297638663123,-0.194711334076492,-4.40048556896677,0,0,0
13,-8.52593664480906,-0.190564211282397,-4.39642432786566,0,0,0
14,-8.52204347662277,-0.177309678161937,-4.40803160896964,0,0,0
15,-8.52159473314609,-0.192983799535463,-4.39205746768189,0,0,0
16,-8.53299710625491,-0.197386414601964,-4.39671130862855,0,0,0
17,-8.52586615435332,-0.219997482633836,-4.39443362875891,0,0,0
18,-8.53210261242841,-0.226430350161519,-4.41670687427069,0,0,0
19,-8.5345177036152,-0.228725215418229,-4.42588560028459,0,0,0
20,-8.52772258519131,-0.231097236267264,-4.41459598451399,0,0,0
21,-8.52991922549111,-0.221964990789233,-4.41897140488925,0,0,0
22,-8.52515069723455,-0.212856318712037,-4.41868529588302,0,0,0
23,-8.52795728671116,-0.204002825675112,-4.41899185391879,0,0,0
24,-8.5210287836625,-0.201776568812016,-4.41433270588391,0,0,0
25,-8.52791623481694,-0.206245543894554,-4.42576444878701,0,0,0
26,-8.53941240641979,-0.206181758989373,-4.39880651524623,0,0,0
27,-8.5434726812211,-0.221780210537877,-4.38508779839149,0,0,0
28,-8.53670107225186,-0.221880938162857,-4.39412547183619,0,0,0
29,-8.53281963685451,-0.208645157900539,-4.3876661330839,0,0,0
30,-8.53031658155845,-0.199516369310888,-4.37157036141778,0,0,0
31,-8.53869979908582,-0.187735065119367,-4.38904602991908,0,0,0
32,-8.53961335694989,-0.181341858158856,-4.39868338032847,0,0,0
33,-8.53232998817509,-0.188013987872142,-4.40289879254701,0,0,0
34,-8.52426801652926,-0.205680654029999,-4.38858810429356,0,0,0
35,-8.51531296198527,-0.237555300717061,-4.4319163923647,0,0,0
36,-8.51537604629561,-0.244348591557174,-4.47722487620776,0,0,0
37,-8.52320622365499,-0.231161211907753,-4.42363220560438,0,0,0
38,-8.54614004683084,-0.208318974309282,-4.40105808437545,0,0,0
39,-8.5430108701889,-0.198884898166051,-4.41387269907084,0,0,0
40,-8.52290568756869,-0.212909745655312,-4.40287852637845,0,0,0
41,-8.51154430798008,-0.231193397659001,-4.39398280641878,0,0,0
42,-8.50899148423796,-0.224293147261309,-4.39820954272261,0,0,0
43,-8.50693415299009,-0.235723774172025,-4.43463075348689,0,0,0
44,-8.5022669039399,-0.219851201650496,-4.44790163529741,0,0,0
45,-8.51547008674043,-0.201333441594408,-4.47004709582837,0,0,0
46,-8.52667586458952,-0.194344174526651,-4.43602298217449,0,0,0
47,-8.53447379302538,-0.206034368425668,-4.43464408065715,0,0,0
48,-8.53449289336139,-0.192446040805031,-4.4322507265759,0,0,0
49,-8.53411159763879,-0.192301238606397,-4.39581914747305,0,0,0
50,-8.54776474451353,-0.185350060185943,-4.37775098848007,0,0,0
51,-8.54429099547848,-0.172302245435993,-4.36707343375992,0,0,0
52,-8.5486372640302,-0.169889694655361,-4.36466535111297,0,0,0
53,-8.53749588511474,-0.174674276992308,-4.3557838284585,0,0,0
