Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.23843768866456,1.2991472864477,-2.2867028040391,0,0,0
1,-9.23744554475395,1.30015976471163,-2.26019544833252,0,0,0
2,-9.24151043800726,1.30979277283612,-2.24183695678776,0,0,0
3,-9.24104363197767,1.29426385926583,-2.25527338411011,0,0,0
4,-9.23671708063402,1.28030797215014,-2.2532008380597,0,0,0
5,-9.24205872836749,1.2932766823786,-2.24447370560496,0,0,0
6,-9.24448223051026,1.29086535947804,-2.24005129391647,0,0,0
7,-9.24602035583831,1.2847470921945,-2.2442639298983,0,0,0
8,-9.25138042017275,1.28627931916981,-2.23562358017923,0,0,0
9,-9.24835367029035,1.2892733070466,-2.23749133827729,0,0,0
10,-9.24579531873434,1.28267234677237,-2.2238352708539,0,0,0
11,-9.23897192076386,1.29175274868329,-2.2260090982913,0,0,0
12,-9.24542444549884,1.28531783134778,-2.2304161708697,0,0,0
13,-9.2414686845857,1.29383801094422,-2.22159142964689,0,0,0
14,-9.25058145654869,1.28704746893194,-2.22393575660484,0,0,0
15,-9.2482693357592,1.29620136398256,-2.22610666394143,0,0,0
16,-9.2350880254204,1.27965051851294,-2.219618938535,0,0,0
17,-9.23454641458936,1.28474877943672,-2.23513806125754,0,0,0
18,-9.24418912434055,1.27287920505414,-2.24003231909786,0,0,0
19,-9.23909515282301,1.27566266889909,-2.26232782373753,0,0,0
20,-9.22781252142737,1.27548602371445,-2.26911100314364,0,0,0
21,-9.23739940356993,1.28421242701512,-2.24672576915438,0,0,0
22,-9.24206750480712,1.29326238758478,-2.23092193165579,0,0,0
23,-9.23684016219273,1.28703146816031,-2.23288034945456,0,0,0
24,-9.23871032472051,1.28973757941207,-2.26204595678234,0,0,0
25,-9.23671269242642,1.28031511952714,-2.25997670615954,0,0,0
26,-9.23931791110817,1.28914771514288,-2.2578248054633,0,0,0
27,-9.243906874197,1.29371068850863,-2.25105075283935,0,0,0
28,-9.25290306910295,1.29159274347373,-2.23523216336095,0,0,0
29,-9.242081390784,1.30695433021932,-2.23761337300542,0,0,0
30,-9.24195603787228,1.31164128519358,-2.23300219055856,0,0,0
31,-9.24958718203334,1.30177813535923,-2.22896441349909,0,0,0
32,-9.23939184538247,1.30504996342095,-2.22838061823849,0,0,0
33,-9.24392296430645,1.2936844814353,-2.22620588007082,0,0,0
34,-9.24368769149592,1.29162645669937,-2.22158759674761,0,0,0
35,-9.2507690387693,1.29828183085349,-2.21717174164679,0,0,0
36,-9.25016872687731,1.29885991252974,-2.21009991385062,0,0,0
37,-9.2435403244843,1.29404123470286,-2.1943878597636,0,0,0
38,-9.24553364259869,1.27834925798928,-2.20340427780822,0,0,0
39,-9.24072477354456,1.2854178876563,-2.2099928754675,0,0,0
40,-9.23854241491794,1.28987781986531,-2.20999908032826,0,0,0
41,-9.23889645251183,1.27354499592087,-2.20124393926543,0,0,0
42,-9.25284734434605,1.28706755021712,-2.20812392202193,0,0,0
43,-9.24136754406496,1.28707877804906,-2.20803257775285,0,0,0
44,-9.24797101878261,1.28963001670217,-2.20567329695945,0,0,0
45,-9.24828835132544,1.29617039201557,-2.19674456884214,0,0,0
46,-9.24605399879444,1.28469229558664,-2.19231555956409,0,0,0
47,-9.25015484634704,1.28516774553667,-2.20340847153818,0,0,0
48,-9.25222793500652,1.28536854512134,-2.17394632523798,0,0,0
49,-9.25675320733737,1.27401257840906,-2.18080602296467,0,0,0
