Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.73760305293389,-0.498475684931918,-1.19015775268859,0,0,0
1,-9.73032779185121,-0.532133273480691,-1.18556938280556,0,0,0
2,-9.69865834436638,-0.541533056666858,-1.07782198314149,0,0,0
3,-9.72961048445598,-0.42695433319639,-1.07325119630538,0,0,0
4,-9.71010526271292,-0.373462883958787,-1.12367822157746,0,0,0
5,-9.70556510147292,-0.536995532845177,-1.19702416547276,0,0,0
6,-9.71427079210571,-0.559273780095658,-1.23141033530402,0,0,0
7,-9.702716477479,-0.577310047423906,-1.25203659171459,0,0,0
8,-9.71162980049986,-0.5929488024356,-1.28413180127709,0,0,0
9,-9.70519671249177,-0.570636638427098,-1.32539220451887,0,0,0
10,-9.70459564773597,-0.617726146154974,-1.2864217374103,0,0,0
11,-9.72791904365213,-0.565971891022299,-1.24058520509734,0,0,0
12,-9.70228718003897,-0.608674903066753,-1.26120453265761,0,0,0
13,-9.73782003452887,-0.657585440893365,-1.33227577061878,0,0,0
14,-9.7869741747274,-0.511231395613212,-1.30249402080555,0,0,0
15,-9.728690850059,-0.494164020394456,-1.09387921512785,0,0,0
16,-9.74626845653168,-0.525280849975223,-1.0961753805249,0,0,0
17,-9.72343516346257,-0.5276262608821,-1.0892896756818,0,0,0
18,-9.73275943207028,-0.518660680055872,-1.16952446497386,0,0,0
19,-9.71696135574741,-0.534683016201273,-1.17639774702295,0,0,0
20,-9.71666954242729,-0.543520759723785,-1.19473429108834,0,0,0
21,-9.71331360762904,-0.619683591001808,-1.20160698824294,0,0,0
22,-9.7447103334739,-0.659903266436019,-1.10763384680662,0,0,0
23,-9.74384548381079,-0.709071117640265,-1.06407669997206,0,0,0
24,-9.75157312980334,-0.630484143847539,-1.10075768319389,0,0,0
25,-9.74965417956611,-0.617198560220967,-1.00677450719312,0,0,0
26,-9.73871398266893,-0.570059852515194,-1.05949349240014,0,0,0
27,-9.74720379406486,-0.43546060518296,-1.06408449519179,0,0,0
28,-9.7464272382011,-0.502799797580746,-0.976975773025224,0,0,0
29,-9.76373350715282,-0.549558262970967,-0.988440085670771,0,0,0
30,-9.75455754273057,-0.569928739999257,-0.954053050405645,0,0,0
31,-9.74593413878258,-0.556730109648751,-1.03199055997634,0,0,0
32,-9.73743033054386,-0.500637372652439,-1.09846471228087,0,0,0
33,-9.74033330930783,-0.458079358300685,-1.12597511877359,0,0,0
34,-9.72919302024557,-0.462838733958923,-1.13743468108683,0,0,0
35,-9.72886400235794,-0.482959603698046,-1.16035640550086,0,0,0
36,-9.72665091530874,-0.480749240751514,-1.18557117084629,0,0,0
37,-9.71953643259518,-0.503203842013508,-1.20390625481748,0,0,0
38,-9.71437611175359,-0.559357010176189,-1.19473453802901,0,0,0
39,-9.71149620821869,-0.579306936578359,-1.18097627799441,0,0,0
40,-9.72361115184965,-0.545833675122504,-1.15118437972217,0,0,0
41,-9.73931459657641,-0.532011761860509,-1.12367985578459,0,0,0
42,-9.74582169232841,-0.561168887270332,-1.0572052681382,0,0,0
43,-9.7524306277813,-0.56551921708041,-0.970099106095984,0,0,0
44,-9.74977013340483,-0.599196791015292,-0.954051415209318,0,0,0
45,-9.75180971658354,-0.610326777702971,-0.956343501525576,0,0,0
46,-9.75395040292267,-0.596651062417248,-0.935711974071518,0,0,0
47,-9.75014397476257,-0.563270202113008,-0.940298236613564,0,0,0
48,-9.73911721032258,-0.538698513548418,-0.958633611314499,0,0,0
49,-9.74597047461307,-0.54092573245652,-1.01135916932579,0,0,0
50,-9.73473114027538,-0.536557260358208,-1.05490940966477,0,0,0
51,-9.72986785983724,-0.563502447207846,-1.08699924532818,0,0,0
52,-9.74108766504137,-0.579151483823955,-1.10992622393757,0,0,0
53,-9.74763455773647,-0.585697743650058,-1.11680383570275,0,0,0
54,-9.74521165513524,-0.585606231319773,-1.12367866894403,0,0,0
55,-9.74355809415496,-0.529504249925799,-1.12367884583292,0,0,0
56,-9.7420888494367,-0.493894605169789,-1.11909742347323,0,0,0
57,-9.74003175355178,-0.471439044847454,-1.12368132843312,0,0,0
58,-9.74723209742611,-0.460350501228669,-1.13514758970262,0,0,0
59,-9.75149495885291,-0.46464567101585,-1.1213934510153,0,0,0
60,-9.73328571838681,-0.491902341077538,-1.10763486317948,0,0,0
61,-9.71931378932119,-0.509844689335552,-1.15347439826783,0,0,0
62,-9.71457521859857,-0.527828290478875,-1.19014917713128,0,0,0
63,-9.71670470111838,-0.527716039083367,-1.16951814018366,0,0,0
64,-9.71874674817069,-0.550173262046884,-1.11221140706925,0,0,0
65,-9.72089700773882,-0.56590674046101,-1.10992006070364,0,0,0
66,-9.74999407089361,-0.576707411558468,-1.06408192392786,0,0,0
67,-9.75633872819835,-0.592177481613406,-0.997605229222398,0,0,0
68,-9.74708845464636,-0.596661665661456,-0.960924499314538,0,0,0
69,-9.73602870378862,-0.603741405332065,-0.956338475509604,0,0,0
70,-9.72506870546911,-0.565646294709922,-0.965504355759702,0,0,0
71,-9.75728583522059,-0.518205176362708,-0.951761834299303,0,0,0
72,-9.74436295923322,-0.48034533848483,-0.956344520684742,0,0,0
73,-9.74387092084184,-0.48677698549888,-0.976972020570449,0,0,0
74,-9.75215611021423,-0.547227971918492,-0.970096108895933,0,0,0
75,-9.74794393818081,-0.538452123007982,-0.944881172895076,0,0,0
76,-9.75592595272779,-0.432891934498876,-0.981562376239529,0,0,0
77,-9.75428172047366,-0.397159278240884,-0.97239483250434,0,0,0
78,-9.78073037994002,-0.430308842288849,-1.02283076353521,0,0,0
79,-9.77565477171519,-0.463894338066944,-1.04116558803647,0,0,0
80,-9.74634832462053,-0.493669334203584,-1.08012777921643,0,0,0
81,-9.75945967838883,-0.511279749995732,-1.16952895204762,0,0,0
82,-9.75379191885374,-0.439763717146191,-1.10763893476072,0,0,0
83,-9.73407216457536,-0.39743118420293,-1.14889570029003,0,0,0
84,-9.73346621983044,-0.442238440725358,-1.18786290023036,0,0,0
85,-9.74168592512093,-0.511691753474792,-1.18098729393774,0,0,0
86,-9.72295775086757,-0.558949330878959,-1.13284157619785,0,0,0
87,-9.73089046339079,-0.623676263778543,-1.12137862838244,0,0,0
88,-9.72633821343993,-0.639543955989771,-1.09387059548353,0,0,0
89,-9.71391007866355,-0.556794306648029,-1.07553125499301,0,0,0
90,-9.74453328809144,-0.637179584466207,-1.02969283700276,0,0,0
91,-9.73897592123985,-0.699854315997847,-0.967795744327737,0,0,0
92,-9.74820078108535,-0.695372176222067,-0.915076852541991,0,0,0
93,-9.71410477236462,-0.554677970682884,-1.04114824857763,0,0,0
