Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.28187201794823,0.767217226295682,-3.04547504858191,0,0,0
1,-9.28178145136866,0.76275146960346,-3.04845516298718,0,0,0
2,-9.28248808499381,0.759748993008238,-3.04548405900182,0,0,0
3,-9.28175355521111,0.76282141845951,-3.04473382850301,0,0,0
4,-9.28498179271631,0.770220141908375,-3.04473349444462,0,0,0
5,-9.28413815902347,0.767264929712608,-3.03655069571651,0,0,0
6,-9.28121365641026,0.770801491521121,-3.02910552626235,0,0,0
7,-9.28032522270503,0.770318201854309,-3.01124397854467,0,0,0
8,-9.28115847574399,0.771656890727198,-3.00008750447106,0,0,0
9,-9.2773189208388,0.76852171780006,-2.99190267870533,0,0,0
10,-9.28324348625706,0.76277316768177,-2.99712342041319,0,0,0
11,-9.28465734583983,0.754475456627002,-3.01499173241275,0,0,0
12,-9.29060538073624,0.74077877834823,-3.02841374217678,0,0,0
13,-9.28669423282313,0.738703968255567,-3.03733301394288,0,0,0
14,-9.28305884383868,0.750835939945253,-3.04623752745944,0,0,0
15,-9.28609081290847,0.7493631389005,-3.05665999487584,0,0,0
16,-9.28549697962186,0.752037017852217,-3.06112597848923,0,0,0
17,-9.28556197115986,0.75657086493815,-3.05591250745025,0,0,0
18,-9.28501263227426,0.769335568959932,-3.04399316682031,0,0,0
19,-9.28119857135185,0.769285078426792,-3.03505931396043,0,0,0
20,-9.27969642712779,0.774691666469241,-3.02016790715876,0,0,0
21,-9.27878370162768,0.769546312809174,-3.00529058776722,0,0,0
22,-9.27950481223414,0.767344826799439,-3.01794104017692,0,0,0
23,-9.2856837842599,0.767221321848627,-3.03878641632553,0,0,0
24,-9.2854922032532,0.756769738151905,-3.05367639770697,0,0,0
25,-9.2825166073891,0.75733811183574,-3.05888143725932,0,0,0
26,-9.28195512880883,0.766243671725889,-3.06407992654123,0,0,0
27,-9.28132919162312,0.772955336730728,-3.06555983145822,0,0,0
28,-9.28290204925936,0.776759112023692,-3.06034964812615,0,0,0
29,-9.28067585887613,0.783653572036657,-3.05289512066101,0,0,0
30,-9.27862332711511,0.795567999288685,-3.04543966115508,0,0,0
31,-9.27468494235035,0.795807921094692,-3.01343655471509,0,0,0
32,-9.27627178651387,0.797975947207905,-3.00451096959998,0,0,0
33,-9.27619980292709,0.79349587778313,-3.01939498973594,0,0,0
34,-9.2806235857363,0.783742663966137,-3.03354992850986,0,0,0
35,-9.28140280795963,0.781399376104705,-3.0551310456836,0,0,0
36,-9.28437552029404,0.778541174460881,-3.07150455144629,0,0,0
37,-9.28358992189472,0.778597112712044,-3.06927000423386,0,0,0
38,-9.2844656266691,0.779041947972013,-3.06481322411769,0,0,0
39,-9.28282698604291,0.780879450524098,-3.04397032092867,0,0,0
40,-9.28057664718956,0.779862307416697,-3.01421343265836,0,0,0
41,-9.27897469268135,0.779234116266752,-2.99784141525894,0,0,0
42,-9.27977305193723,0.78069640949095,-2.99263416303615,0,0,0
43,-9.27751332466286,0.779831344972528,-2.99932881771166,0,0,0
44,-9.28206474436127,0.779195956979701,-3.01570335058696,0,0,0
45,-9.28057498667331,0.775946664906118,-3.02389267616412,0,0,0
46,-9.28422826158608,0.769294118472559,-3.01423360013435,0,0,0
47,-9.28405620444036,0.768237605140868,-3.01868986676489,0,0,0
48,-9.28552691877984,0.766008322039834,-3.01051108989312,0,0,0
49,-9.28404881556981,0.764230108765737,-2.99638012738606,0,0,0
50,-9.28176475598002,0.761807773576832,-2.9889420990248,0,0,0
51,-9.2854041419017,0.752061423115547,-2.9874719992798,0,0,0
52,-9.28462621388826,0.74814647450739,-2.98673411615539,0,0,0
53,-9.28382556865431,0.745109564198969,-2.99194456799597,0,0,0
54,-9.2853192943061,0.749215569746158,-3.00681543826919,0,0,0
55,-9.28922503325939,0.755307319632757,-3.01202195890839,0,0,0
56,-9.28927320207737,0.757562024545645,-3.01945912561403,0,0,0
57,-9.28402569617027,0.758039055945064,-3.01573402300494,0,0,0
58,-9.28322724667751,0.759729416376249,-3.01795889225057,0,0,0
59,-9.28189434015881,0.760749869192302,-3.02317217719851,0,0,0
60,-9.28106981659981,0.760120176170657,-3.01796122369376,0,0,0
61,-9.283249839929,0.762052252344957,-3.02316271707761,0,0,0
62,-9.28251655231773,0.761970940333993,-3.02613886544625,0,0,0
63,-9.28245790057193,0.759772567924997,-3.02614025943576,0,0,0
64,-9.28249446017132,0.762036351217218,-3.02613750013314,0,0,0
65,-9.28492561918347,0.764770776588183,-3.0209362492177,0,0,0
66,-9.27957227966745,0.765571193912332,-3.02018030712373,0,0,0
67,-9.27570637289023,0.769670895353483,-3.02388155733106,0,0,0
68,-9.28576042154813,0.771697893974159,-3.02687837692984,0,0,0
69,-9.28041173435151,0.772494760971463,-3.02909840083342,0,0,0
70,-9.28042461413157,0.76928368491925,-3.02613020554956,0,0,0
71,-9.27973418509002,0.77537805702722,-3.02240032997083,0,0,0
72,-9.27382298508291,0.778775391991384,-3.03503960340536,0,0,0
73,-9.27459462224315,0.778778598974989,-3.04248073402341,0,0,0
74,-9.27748425759521,0.77689412318624,-3.04024939806658,0,0,0
75,-9.27601538014441,0.775156719626175,-3.04620492976365,0,0,0
76,-9.28201195327305,0.772360277296023,-3.05216729597739,0,0,0
77,-9.28257431822202,0.772960820166475,-3.05290008696152,0,0,0
78,-9.28115671927704,0.767885942348082,-3.05217025224778,0,0,0
79,-9.28123227856548,0.767682372508807,-3.0581263313396,0,0,0
80,-9.2796210462268,0.764004903342827,-3.06705371926589,0,0,0
81,-9.28107544798799,0.761884734379425,-3.07672798999157,0,0,0
82,-9.28562515102396,0.760438317545758,-3.08566485736788,0,0,0
83,-9.2818976057787,0.764092639211464,-3.07895978183675,0,0,0
84,-9.27747437086916,0.774657752762198,-3.07149847527659,0,0,0
85,-9.27449114008224,0.779148894429254,-3.06107231586806,0,0,0
86,-9.27685886735418,0.784417745245886,-3.04842293635838,0,0,0
87,-9.27386638532815,0.785811387452668,-3.04916172031512,0,0,0
88,-9.27388433738418,0.789666171895251,-3.03576387417221,0,0,0
89,-9.27551303574535,0.790176762577142,-3.04097876355807,0,0,0
90,-9.27692556311649,0.791290904281281,-3.03502141700628,0,0,0
91,-9.27986468498032,0.785305995527717,-3.03280154174983,0,0,0
92,-9.27603045777227,0.778201318503803,-3.02462542961635,0,0,0
93,-9.28127234523622,0.771423345227884,-3.03059532799759,0,0,0
94,-9.28028805392281,0.76733896646334,-3.0328220659351,0,0,0
95,-9.28331616042183,0.760279639832444,-3.02465799994281,0,0,0
96,-9.28632198238682,0.759639555113405,-3.02466229945609,0,0,0
97,-9.28239112193084,0.757580521022442,-3.0209337095739,0,0,0
98,-9.28630970726679,0.762037751837659,-3.02168084039655,0,0,0
99,-9.28703723864781,0.75901896895055,-3.03210160195073,0,0,0
100,-9.28788029147639,0.762738782929448,-3.03209955703626,0,0,0
101,-9.28787207462333,0.765897963075899,-3.02390922718184,0,0,0
102,-9.28324988160896,0.760475846555531,-3.02465390588279,0,0,0
103,-9.28021964973255,0.76118315383339,-3.0231602564831,0,0,0
104,-9.28631100177118,0.757307698147312,-3.02689840396447,0,0,0
105,-9.28557597690957,0.756463674295871,-3.03657142302629,0,0,0
106,-9.2809669910002,0.756524421319016,-3.03358559428996,0,0,0
107,-9.28165153487066,0.753587358120902,-3.03061311943969,0,0,0
108,-9.28019826214569,0.755754843555418,-3.0358173075819,0,0,0
109,-9.27955716272423,0.76410296637328,-3.04026859229255,0,0,0
110,-9.27963376402677,0.768627768373178,-3.04249505246525,0,0,0
111,-9.28275862425336,0.773147082904835,-3.03579971157356,0,0,0
112,-9.28055460366135,0.776823134124538,-3.03132896272874,0,0,0
113,-9.27828605540999,0.781458401272659,-3.02015725711133,0,0,0
114,-9.27373518769251,0.78290571738083,-3.0104763931288,0,0,0
115,-9.27686939910802,0.784264707888402,-3.0127153564359,0,0,0
116,-9.28131733628786,0.785479730351842,-3.01792133786279,0,0,0
117,-9.27982819309875,0.78141744386006,-3.02016099228949,0,0,0
118,-9.28667841512716,0.777554910304759,-3.02315633145437,0,0,0
119,-9.28579689543616,0.777114572042125,-3.02389323682492,0,0,0
120,-9.28437325985423,0.779974668848808,-3.02612189419668,0,0,0
121,-9.28576614071495,0.774846266210082,-3.02761595911138,0,0,0
122,-9.28503173457749,0.773189346017008,-3.031339310609,0,0,0
123,-9.28412593073781,0.768086774367263,-3.03506042170181,0,0,0
124,-9.2862596750381,0.762221292006825,-3.0320926334303,0,0,0
125,-9.28403378688093,0.758080871509979,-3.03507648566,0,0,0
126,-9.28457991458268,0.757117040138448,-3.02688466114754,0,0,0
127,-9.2800749596596,0.759244554903127,-3.02464417758748,0,0,0
128,-9.28247878416117,0.762812707109582,-3.00828076538154,0,0,0
129,-9.28110903548698,0.772604233367242,-3.00305849014951,0,0,0
130,-9.28417818768552,0.772582427217833,-3.00752854599584,0,0,0
131,-9.28038321172927,0.776434040028242,-3.00007538143909,0,0,0
132,-9.27983754144913,0.781313635818225,-2.9978439032015,0,0,0
133,-9.27819833621644,0.783915762426585,-2.96881630381633,0,0,0
134,-9.27654887442031,0.777115278483637,-2.95617434056018,0,0,0
135,-9.28021262491082,0.76734969414757,-2.9703280816097,0,0,0
136,-9.28766131674625,0.759281836689094,-2.9874591843061,0,0,0
137,-9.29733154092979,0.744323069572053,-3.00906875777096,0,0,0
138,-9.29269834467306,0.736617265180641,-3.0261840125747,0,0,0
139,-9.29294335171902,0.74549916722441,-3.06114335794017,0,0,0
140,-9.29388439773652,0.754587474325342,-3.0975877493721,0,0,0
141,-9.28580605352475,0.774243845453385,-3.11763437008265,0,0,0
142,-9.2761532524527,0.78918908578876,-3.10718467596932,0,0,0
143,-9.27622768624849,0.788889470234471,-3.0841278912782,0,0,0
144,-9.27460840062949,0.783593693284771,-3.07520404247178,0,0,0
145,-9.27303083180103,0.784474723299359,-3.05883014850067,0,0,0
146,-9.26982472735072,0.778490633151587,-3.02907170393602,0,0,0
147,-9.26822984574951,0.773127497911832,-3.02163721381274,0,0,0
148,-9.26965300121389,0.767830739795802,-3.00007160250016,0,0,0
149,-9.27194409910015,0.768623059936123,-2.99933024846594,0,0,0
150,-9.27414976306897,0.768910782701544,-3.0082562862234,0,0,0
151,-9.28473202634305,0.767599705342803,-2.98669898166275,0,0,0
152,-9.2850485576464,0.775468510397364,-3.01868866666791,0,0,0
153,-9.28300008326399,0.783607650576217,-3.06703593251448,0,0,0
154,-9.28555748072154,0.800334711788469,-3.10124016510751,0,0,0
155,-9.28564224845157,0.803276566009053,-3.1101658013885,0,0,0
156,-9.28419008817171,0.808547701762061,-3.09899709264158,0,0,0
157,-9.27880193840084,0.80937576023738,-3.07592130788342,0,0,0
158,-9.28096652100545,0.804154022730093,-3.05658749696661,0,0,0
159,-9.27911740175679,0.785332045107683,-3.05511875614602,0,0,0
160,-9.28344371782068,0.769493759479141,-3.05514656530482,0,0,0
161,-9.28228893755352,0.754651985236368,-3.00084825035231,0,0,0
162,-9.28133167728654,0.742471719640514,-2.97110479844654,0,0,0
163,-9.28231517339177,0.752194809767834,-2.99862309618515,0,0,0
164,-9.27646059617811,0.768159450857443,-3.03578844484831,0,0,0
165,-9.27739127334427,0.775631446232027,-3.05289361104663,0,0,0
166,-9.27671256020298,0.778515660036997,-3.04545157594539,0,0,0
167,-9.27293268639232,0.783883809532233,-3.03204460999111,0,0,0
168,-9.2760448692891,0.782155310841318,-3.03726461590442,0,0,0
169,-9.28268778727248,0.770194199937408,-3.03580202121819,0,0,0
170,-9.2848522870129,0.768125343684194,-3.01348583137123,0,0,0
171,-9.28535169253521,0.756927609899799,-2.9777878387893,0,0,0
172,-9.28978067656918,0.74946252765669,-2.97185221729483,0,0,0
173,-9.28442922785297,0.744768278706388,-2.98449864481591,0,0,0
174,-9.28919030673541,0.750653600161242,-3.00831023018835,0,0,0
175,-9.28708358031199,0.763663749498746,-3.04325322751872,0,0,0
176,-9.28874920517628,0.773604527705936,-3.0633286645983,0,0,0
177,-9.2868216085575,0.786041147971667,-3.08563616167333,0,0,0
178,-9.28767498680666,0.792954068515335,-3.10348210457913,0,0,0
179,-9.2860064280955,0.780771464519216,-3.11911969074234,0,0,0
180,-9.28130819776758,0.773116368049534,-3.09457140969094,0,0,0
181,-9.27930647572847,0.747488450770677,-3.05144872059918,0,0,0
182,-9.28045796379695,0.731802658678116,-2.99343760937182,0,0,0
183,-9.28323690312538,0.719829987387309,-2.95104949184806,0,0,0
184,-9.28164769405836,0.722247697776469,-2.91161011742813,0,0,0
185,-9.28257774553684,0.733588917943896,-2.90341359514707,0,0,0
186,-9.28145817305686,0.753070497318447,-2.94282021464287,0,0,0
187,-9.28032347130742,0.772611907156263,-2.98668947363897,0,0,0
188,-9.27905184828565,0.783042643299402,-3.02238721853687,0,0,0
189,-9.28675821472252,0.790056062775361,-3.04842779326711,0,0,0
190,-9.28457676048859,0.797631714191214,-3.04766967076739,0,0,0
191,-9.2867209473009,0.793286562817528,-3.03577214193095,0,0,0
192,-9.28580148370229,0.781743892571745,-2.99412666209791,0,0,0
193,-9.28769156520942,0.762218383861669,-2.94728262004629,0,0,0
194,-9.28659191974235,0.74656923044771,-2.9361368809896,0,0,0
195,-9.28665522670745,0.747235829180253,-2.95473708096578,0,0,0
196,-9.29118751724434,0.742746501038428,-2.98376539155316,0,0,0
197,-9.29591779864522,0.74793994095407,-3.00980849526714,0,0,0
198,-9.29544329960789,0.762986913158969,-3.03657263628392,0,0,0
199,-9.29176974557319,0.76736319033014,-3.05665035699657,0,0,0
200,-9.29257247901856,0.776752524486418,-3.06109756199358,0,0,0
201,-9.28649644886072,0.775790524056663,-3.04323595256311,0,0,0
202,-9.28710213574467,0.768233954460991,-3.00828008570742,0,0,0
203,-9.28168787936802,0.766789655974009,-2.99190309658029,0,0,0
204,-9.2793644421301,0.758188785800834,-2.99340304544687,0,0,0
205,-9.28147834915387,0.754011320249716,-3.00456522975377,0,0,0
206,-9.28063701294476,0.749573984962446,-3.02763055342239,0,0,0
207,-9.28085248049491,0.754562152509626,-3.05441327867149,0,0,0
208,-9.28100577182094,0.758930860857151,-3.0774742750655,0,0,0
209,-9.28340410873956,0.769717472215233,-3.08638869309729,0,0,0
210,-9.28195127117585,0.777426375898435,-3.09381285630086,0,0,0
211,-9.28363055477034,0.778565377247176,-3.09530973441895,0,0,0
212,-9.28059226802246,0.777654284205446,-3.07596488233085,0,0,0
213,-9.27819310595704,0.778619302346333,-3.03429269499676,0,0,0
214,-9.28207983659099,0.779184169506659,-3.02537526240035,0,0,0
215,-9.281183245524,0.778755654158697,-3.01644027044443,0,0,0
216,-9.28271369941238,0.780348560656135,-3.02164738125029,0,0,0
217,-9.28505710161876,0.781003538607176,-3.02611669884068,0,0,0
218,-9.27978500152119,0.787901991131061,-3.02907198597341,0,0,0
219,-9.28836319085791,0.789772823684402,-3.03206918163459,0,0,0
220,-9.28735039672368,0.784995415281257,-3.03801541884842,0,0,0
221,-9.28581012373622,0.781069529941513,-3.03578841127997,0,0,0
222,-9.2910984494978,0.777263256224171,-3.02613215197567,0,0,0
223,-9.28572377659589,0.772587027657476,-3.0238987554031,0,0,0
224,-9.28624271475798,0.766199663819921,-3.02464402362808,0,0,0
225,-9.28699018577711,0.758339744551029,-3.02391723874876,0,0,0
226,-9.28857469419097,0.760558139234164,-3.02763817904668,0,0,0
227,-9.28483430910147,0.764318822610489,-3.04101814497603,0,0,0
228,-9.28484230916943,0.769041818647527,-3.04175250315428,0,0,0
229,-9.28488541959212,0.765758955198823,-3.04399364734674,0,0,0
230,-9.28104057336361,0.765016579591727,-3.03729133321103,0,0,0
231,-9.28082341714558,0.756161220949763,-3.03432229524826,0,0,0
232,-9.28228733120311,0.747631902993384,-3.02764432614279,0,0,0
233,-9.2806993437768,0.745416165671404,-3.02169140905605,0,0,0
234,-9.28581322552886,0.742130965551552,-3.01351223572493,0,0,0
235,-9.28286210638913,0.741056038131454,-3.02169775931072,0,0,0
236,-9.28518811040588,0.74019676923022,-3.0306328715718,0,0,0
237,-9.2805714749955,0.744228156200481,-3.0261503763115,0,0,0
238,-9.28831462419417,0.747103460128148,-3.02988397903337,0,0,0
239,-9.28688104545873,0.752360191900423,-3.03061916039645,0,0,0
240,-9.28989323353326,0.752479186285827,-3.02690257934019,0,0,0
241,-9.28706285571134,0.7589026864014,-3.02020044602293,0,0,0
242,-9.2885043821909,0.759945229258017,-3.01870846317052,0,0,0
243,-9.28614173729209,0.760165480552451,-3.02241940970285,0,0,0
244,-9.28553977512821,0.762845482883237,-3.02167737105353,0,0,0
245,-9.28780770443471,0.760551305374625,-3.02317303734042,0,0,0
246,-9.28631140803614,0.762848689825028,-3.02911848007204,0,0,0
247,-9.28785337882086,0.767585331245092,-3.03878312167673,0,0,0
248,-9.28413057449502,0.768083147456993,-3.03803639086582,0,0,0
249,-9.28273947930295,0.77086973198187,-3.04696236908182,0,0,0
250,-9.27962023452424,0.774228164053253,-3.04992166696862,0,0,0
251,-9.2856685276579,0.772010681066201,-3.03877541529495,0,0,0
252,-9.28564124880683,0.771267866684135,-3.02910444330871,0,0,0
253,-9.28725596762741,0.774942635482448,-3.02240901928085,0,0,0
254,-9.28425065421263,0.777971058422236,-3.0276071757864,0,0,0
255,-9.28120305825234,0.775587248715063,-3.03207051042844,0,0,0
256,-9.28348139071762,0.774861316388618,-3.03877091914047,0,0,0
257,-9.28347965263822,0.774098561409769,-3.04546776952703,0,0,0
258,-9.28049998364881,0.775434046072356,-3.0402559820251,0,0,0
259,-9.27976657887508,0.780082106316459,-3.03875855022524,0,0,0
260,-9.28114955290042,0.777301963251292,-3.0246246536256,0,0,0
261,-9.27897583049027,0.777753254360429,-3.02834559767387,0,0,0
262,-9.28108289194072,0.770380513920198,-3.02389166916406,0,0,0
263,-9.28256753892535,0.768140361216361,-3.02464079267784,0,0,0
264,-9.28024510571589,0.765844277836997,-3.02092003375869,0,0,0
265,-9.2840527982208,0.766615668063625,-3.00381458501479,0,0,0
266,-9.28644856363336,0.767085348067163,-2.99936004104177,0,0,0
267,-9.28708004054188,0.768299396108299,-3.00827872775446,0,0,0
268,-9.28936765676976,0.767566202515767,-3.02093106430988,0,0,0
269,-9.28716070975687,0.772056990905785,-3.0209219873307,0,0,0
270,-9.28790099611466,0.772084679459656,-3.00827531497827,0,0,0
271,-9.28417756922994,0.773395230481907,-3.01347820688995,0,0,0
272,-9.28499106640177,0.773269318794478,-3.01943405654044,0,0,0
273,-9.28790381395916,0.774471268739355,-3.01496575918057,0,0,0
274,-9.28789594687414,0.766547080487958,-3.00307923483384,0,0,0
275,-9.28626211552434,0.760546704934982,-3.00680282793315,0,0,0
276,-9.28468154749208,0.762290264835155,-3.00902516109795,0,0,0
277,-9.28085482296287,0.757568666787656,-3.01051544960336,0,0,0
278,-9.27941667763169,0.759676205791737,-3.01125702830817,0,0,0
279,-9.28094667101314,0.757304393053334,-3.01275286447633,0,0,0
280,-9.28164328561149,0.758322844945413,-3.0209316036943,0,0,0
281,-9.28463517156779,0.756165369326348,-3.0276336693852,0,0,0
282,-9.28482680231607,0.763512410837427,-3.02986054724584,0,0,0
283,-9.28263501577954,0.766366713671583,-3.02688007076269,0,0,0
284,-9.2825129878597,0.765126502329497,-3.02092451185339,0,0,0
285,-9.27861348631962,0.76609959027408,-3.00603239387401,0,0,0
286,-9.27946755576571,0.770574994061273,-3.00528542721394,0,0,0
287,-9.28261992354983,0.766378501144625,-3.0172081589493,0,0,0
288,-9.28558330036342,0.765103825810051,-3.02613856549692,0,0,0
289,-9.28652344802725,0.766262767427695,-3.05516049828849,0,0,0
290,-9.28711434845552,0.762875602461947,-3.07078185064444,0,0,0
291,-9.2871568018682,0.761982021469089,-3.07748147146647,0,0,0
292,-9.28560864689313,0.768381410564845,-3.08192736579996,0,0,0
293,-9.283382091568,0.768158233158497,-3.0737440645388,0,0,0
294,-9.28728554449008,0.772675404162009,-3.07895380541563,0,0,0
295,-9.28879983056069,0.771128020651243,-3.07672742757871,0,0,0
296,-9.28654359929544,0.770260271273032,-3.08565408655791,0,0,0
297,-9.28644333471612,0.760260732177683,-3.08046225875822,0,0,0
298,-9.28161151356399,0.746741671144443,-3.07526097174302,0,0,0
299,-9.28468067334057,0.746719992072253,-3.07973106106637,0,0,0
300,-9.28149478592911,0.743108439487456,-3.06782287650932,0,0,0
301,-9.28537506408751,0.747595711949343,-3.04401828040269,0,0,0
302,-9.28303566081299,0.750805945689787,-3.01722321371724,0,0,0
303,-9.280900007693,0.763742638587278,-3.00529743417953,0,0,0
304,-9.28725141149622,0.771793340530382,-3.02241542602036,0,0,0
305,-9.28722110259122,0.775018083819806,-3.01422374361922,0,0,0
306,-9.28584277081131,0.780851038275816,-3.00008222945905,0,0,0
307,-9.28664465394457,0.78226232298153,-2.98297243426266,0,0,0
308,-9.2857986550812,0.780885493951959,-2.97181049895718,0,0,0
309,-9.2826411703421,0.781121079826056,-2.95320059103278,0,0,0
310,-9.28712233039835,0.779776407427899,-2.93237645379454,0,0,0
311,-9.2841242213404,0.776396894275604,-2.91973414173149,0,0,0
312,-9.28176924422804,0.774174474086338,-2.90931612501102,0,0,0
313,-9.28469734734699,0.765905845125689,-2.92346684623207,0,0,0
314,-9.28926678635931,0.764444013916981,-2.94505158779942,0,0,0
315,-9.28772071824844,0.758994752773272,-2.95473022908973,0,0,0
316,-9.28822862173539,0.750323283608317,-2.97184623984391,0,0,0
317,-9.28976273327055,0.74713611607224,-2.96962434245265,0,0,0
318,-9.28888873983683,0.74592498800836,-2.98301012045133,0,0,0
319,-9.28507815105933,0.745919883029814,-2.99044274700357,0,0,0
320,-9.28677952523685,0.747042589551551,-3.00607522027782,0,0,0
321,-9.28366270561539,0.745669415161372,-3.01499614110056,0,0,0
322,-9.28229375528638,0.746814696178787,-3.02541463302114,0,0,0
323,-9.28617905642862,0.755359056397976,-3.03656623106095,0,0,0
324,-9.28642238614159,0.763381642991979,-3.04995347004414,0,0,0
325,-9.28478610402245,0.762112290250979,-3.04771546063537,0,0,0
326,-9.2809738028684,0.761296321081597,-3.04771044986969,0,0,0
327,-9.28402562443783,0.758135381906809,-3.04400303156265,0,0,0
328,-9.28699292012092,0.762350791280766,-3.04325094981567,0,0,0
329,-9.28245028238338,0.760638929906866,-3.04176043421318,0,0,0
330,-9.28246482522231,0.761343537676861,-3.02911302252149,0,0,0
331,-9.27943513731972,0.764390950799499,-3.01868734900806,0,0,0
332,-9.28099754658849,0.766674771053438,-3.02240692026189,0,0,0
333,-9.27807413911049,0.771835172987517,-3.02834903708496,0,0,0
334,-9.27729370287143,0.774275855362177,-3.03429292119952,0,0,0
335,-9.27660619088629,0.779604091136224,-3.04023585377887,0,0,0
336,-9.28051434727435,0.780964569292364,-3.05140393368901,0,0,0
337,-9.27910815725956,0.782234555619953,-3.06628370166882,0,0,0
338,-9.28057764612874,0.781630994587158,-3.07000418939271,0,0,0
339,-9.2776096540377,0.779804356534905,-3.07521477147828,0,0,0
340,-9.27836685399057,0.775901875153668,-3.0841512538594,0,0,0
341,-9.28498861009384,0.771935842717909,-3.09010965469854,0,0,0
342,-9.28567957257183,0.768181454850268,-3.08490749796953,0,0,0
343,-9.28113638035488,0.765657688033299,-3.07672339117642,0,0,0
344,-9.28626081127726,0.759212065530244,-3.07822240943345,0,0,0
345,-9.28095508950199,0.763031822117869,-3.07671875246735,0,0,0
346,-9.28718925690166,0.76506127640498,-3.08119636724808,0,0,0
347,-9.27904559869588,0.772969470254915,-3.07745878779465,0,0,0
348,-9.27592933787933,0.773936829949678,-3.07744757695526,0,0,0
349,-9.27753414908499,0.77690339039565,-3.08637556797696,0,0,0
350,-9.2767856302345,0.781611557065418,-3.08934065875652,0,0,0
351,-9.27532600121576,0.782971528352983,-3.0841312842553,0,0,0
352,-9.27315392701826,0.787338453051673,-3.07817304309021,0,0,0
353,-9.27161226201025,0.792921110464157,-3.08038927126872,0,0,0
354,-9.27387155573503,0.786668019862703,-3.07296581371989,0,0,0
355,-9.27224402829987,0.786156442499739,-3.06849487355458,0,0,0
356,-9.27369091371991,0.784758158998444,-3.05138590799151,0,0,0
357,-9.27590542670616,0.780977284142867,-3.03428363973326,0,0,0
358,-9.27659874476115,0.775644560384867,-3.03206065806632,0,0,0
359,-9.28344130772418,0.774176726289056,-3.03505050836442,0,0,0
360,-9.28023045052611,0.769869094768195,-3.02909388033924,0,0,0
361,-9.28266043453707,0.771076070017449,-3.03877433186968,0,0,0
362,-9.27891950488976,0.775553146245362,-3.02983497522997,0,0,0
363,-9.28274933672738,0.773154336734399,-3.02984776584224,0,0,0
364,-9.28187030638661,0.767934485717798,-3.02241172204039,0,0,0
365,-9.28181451483194,0.768074433359186,-3.01496907151928,0,0,0
366,-9.2839052789254,0.760762432500534,-3.01423375411356,0,0,0
367,-9.28453803665969,0.760302568373744,-2.9971186454879,0,0,0
368,-9.28157537395515,0.75761176971991,-2.98522090830483,0,0,0
369,-9.28597579744227,0.751077409111298,-2.99564813283901,0,0,0
370,-9.28439183591923,0.749670718044971,-2.99862085676968,0,0,0
371,-9.2859264345915,0.747343407812632,-3.01722711089385,0,0,0
372,-9.28287939297478,0.745771484390963,-3.02838406728862,0,0,0
373,-9.28521641622714,0.745667668471155,-3.03657426291401,0,0,0
374,-9.28445917023132,0.749618127976874,-3.04177230229999,0,0,0
375,-9.28451144334989,0.751057468551715,-3.04549178818448,0,0,0
376,-9.28466763504855,0.757716388602906,-3.04697423942948,0,0,0
377,-9.27929667379096,0.763240320508314,-3.0462006074349,0,0,0
378,-9.28176280272041,0.764390597594059,-3.04919456596438,0,0,0
379,-9.27438893790424,0.776268748554171,-3.05512129928606,0,0,0
380,-9.27059056148656,0.776970136190926,-3.04841852113349,0,0,0
381,-9.28261675601498,0.773595377942503,-3.04397402746073,0,0,0
382,-9.28121648348656,0.773187999586779,-3.03579596996337,0,0,0
383,-9.27964692355448,0.777263813978155,-3.03578215189812,0,0,0
384,-9.27733272049779,0.771760159294563,-3.02611724039569,0,0,0
385,-9.28103526748475,0.768937669818634,-3.02314815260627,0,0,0
386,-9.28409230529634,0.766536634092198,-3.01497583009482,0,0,0
387,-9.28630020268137,0.769927225533248,-3.00827298617053,0,0,0
388,-9.28098187072095,0.767451134327687,-3.00455020030787,0,0,0
389,-9.28627014768445,0.765221422274268,-2.99340273903745,0,0,0
390,-9.28855182609869,0.769222133003151,-2.99786158947061,0,0,0
391,-9.28636241946759,0.770498168826056,-2.99786025252828,0,0,0
392,-9.28781854441482,0.769140785354797,-3.00083772246949,0,0,0
393,-9.29311093762871,0.764567318014071,-3.00159824558527,0,0,0
394,-9.29297035520796,0.760236840402899,-3.00085570775441,0,0,0
395,-9.29297741922888,0.757078562232257,-3.00830201325573,0,0,0
396,-9.29220226226376,0.757126234371199,-3.01276341745006,0,0,0
397,-9.28450558416227,0.755694956934859,-3.00902936457537,0,0,0
398,-9.28671774378232,0.751964136611284,-3.00457357921583,0,0,0
399,-9.2875249480904,0.749454785080874,-3.00160698320854,0,0,0
