Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.56818235293307,0.204923328126244,-2.51605592402406,0,0,0
1,-9.56970296509592,0.202637150646357,-2.51531825154613,0,0,0
2,-9.56895345046586,0.202616717205527,-2.52201271575172,0,0,0
3,-9.56726630481701,0.203537303596461,-2.51902891733368,0,0,0
4,-9.56498038635017,0.205802842557057,-2.52646101265288,0,0,0
5,-9.56449083872256,0.203198262664037,-2.52721472854397,0,0,0
6,-9.56588958946732,0.206442279565882,-2.51679333008172,0,0,0
7,-9.57048313508756,0.204943827394418,-2.52945077694744,0,0,0
8,-9.5712216173815,0.204208382305706,-2.52350119657167,0,0,0
9,-9.57342053762988,0.204337656595222,-2.52424638850103,0,0,0
10,-9.57055650703647,0.204853095458268,-2.52722121564861,0,0,0
11,-9.5713451771081,0.214067067076325,-2.52571995606462,0,0,0
12,-9.57137257247835,0.213264417475253,-2.52646599714905,0,0,0
13,-9.57150574596545,0.216949332988674,-2.523487870947,0,0,0
14,-9.57130686105589,0.212567996288135,-2.51679427030657,0,0,0
15,-9.56811661400996,0.21342174870064,-2.51008944318398,0,0,0
16,-9.56895135606576,0.211838290223709,-2.50414314440019,0,0,0
17,-9.57211803323687,0.215581500507325,-2.49373014609167,0,0,0
18,-9.57359615871495,0.214109703640681,-2.48257494616711,0,0,0
19,-9.56912337072798,0.221629870589548,-2.48478936719099,0,0,0
20,-9.57371866872091,0.222423460632126,-2.47512521539427,0,0,0
21,-9.57193500762762,0.218055648714698,-2.47512375087869,0,0,0
22,-9.57432989064682,0.216452714936572,-2.46694905845236,0,0,0
23,-9.57581915466395,0.212661966958636,-2.46174944150432,0,0,0
24,-9.57583773546892,0.214176444059148,-2.45802779691431,0,0,0
25,-9.5750853224925,0.214922769418517,-2.45504984736627,0,0,0
26,-9.57670474972382,0.215600572111215,-2.46174921363928,0,0,0
27,-9.57133939273333,0.218658575080828,-2.47512511941339,0,0,0
28,-9.57369090050708,0.216312423728023,-2.49522066694167,0,0,0
29,-9.56992845630943,0.213130399058678,-2.50117240653552,0,0,0
30,-9.57523774907276,0.2116955100973,-2.51011009009993,0,0,0
31,-9.57889021631778,0.211174430561749,-2.52201569451641,0,0,0
32,-9.57440324090692,0.210245964291888,-2.52721954356401,0,0,0
33,-9.57432159899803,0.200337972055747,-2.52723382759992,0,0,0
34,-9.57107842457134,0.189761546707144,-2.53096061325319,0,0,0
35,-9.56948824209926,0.184440462258215,-2.54063618152504,0,0,0
36,-9.57557026987289,0.184536834831752,-2.54213359252837,0,0,0
37,-9.5754761633782,0.198445853615603,-2.54731649428886,0,0,0
38,-9.57027385836187,0.196726984552767,-2.53392232955454,0,0,0
39,-9.57028853139265,0.196703050380309,-2.5153244881311,0,0,0
40,-9.56718699558396,0.195950113158704,-2.51159969944714,0,0,0
41,-9.56705497440865,0.192999276700356,-2.49300320415373,0,0,0
42,-9.56504101797378,0.199585346452172,-2.48109260412639,0,0,0
43,-9.56270355042298,0.198845695464321,-2.4766250599264,0,0,0
44,-9.56517708904074,0.204032591731109,-2.47216182466801,0,0,0
45,-9.56583038409134,0.206488520697003,-2.47885134363755,0,0,0
46,-9.56544808792654,0.195344316130152,-2.48332425870899,0,0,0
47,-9.57136995315097,0.174147488572752,-2.49675429817074,0,0,0
48,-9.57505901343096,0.163580013267124,-2.50718971471921,0,0,0
49,-9.5704905280755,0.161219686863406,-2.52504041179001,0,0,0
50,-9.56769021599084,0.168578889906624,-2.52651786665064,0,0,0
51,-9.57018260554346,0.182210509469918,-2.52204109209692,0,0,0
52,-9.57167418116271,0.19072892422713,-2.51979681947761,0,0,0
53,-9.56784511080157,0.191458969701279,-2.52797234601948,0,0,0
54,-9.56800932779896,0.192826551795793,-2.53020590337749,0,0,0
55,-9.56937490230253,0.192240312395608,-2.52648587799473,0,0,0
56,-9.56926934868768,0.193095376662255,-2.52053091373004,0,0,0
57,-9.56798669372078,0.193608724299639,-2.50788615834043,0,0,0
58,-9.56650857480436,0.196609505294339,-2.50341634044323,0,0,0
59,-9.56724738228733,0.20048996209467,-2.50341061571728,0,0,0
60,-9.56357487176148,0.204903669066194,-2.51009596784437,0,0,0
61,-9.56429520312439,0.20419491157452,-2.52051235532274,0,0,0
62,-9.56504993655062,0.203446765421824,-2.52497822283023,0,0,0
63,-9.56597651086278,0.200956113609254,-2.52870778472156,0,0,0
64,-9.56365238627785,0.199441564850174,-2.54060828903903,0,0,0
65,-9.56366177404008,0.196359608702133,-2.55326048578861,0,0,0
66,-9.56217145833326,0.198605384518312,-2.54879158260143,0,0,0
67,-9.56059443215435,0.20018779317772,-2.54580918660694,0,0,0
68,-9.5629649944831,0.203195046842616,-2.54804211637122,0,0,0
69,-9.56066564282003,0.208575052511356,-2.55472425374843,0,0,0
70,-9.55997695080374,0.214635673526219,-2.56587392875937,0,0,0
71,-9.55865350738706,0.221308781468625,-2.56884147957071,0,0,0
72,-9.55797599479479,0.227348069821406,-2.559161440987,0,0,0
73,-9.5633277604676,0.226627643473647,-2.56289164295662,0,0,0
74,-9.5633372494954,0.221999679750358,-2.56661932403981,0,0,0
75,-9.55697891310522,0.217611937744554,-2.56140174251016,0,0,0
76,-9.56005858929961,0.222221143211694,-2.57479104382734,0,0,0
77,-9.56015997645044,0.222125138120029,-2.57702531911521,0,0,0
78,-9.55781318449689,0.220624180712011,-2.5777663721955,0,0,0
79,-9.55796979330051,0.220438861741589,-2.57628318411324,0,0,0
80,-9.55795170266535,0.222763263437903,-2.56586378651916,0,0,0
81,-9.55764937717598,0.222293760795714,-2.56139380850535,0,0,0
