Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.71313611827457,-0.546433698122889,-1.94430294123623,0,0,0
1,-9.71080498029414,-0.558579162717057,-1.94580383279503,0,0,0
2,-9.71070478503909,-0.57370868845789,-1.94731196673248,0,0,0
3,-9.71422901356912,-0.572844433713455,-1.94433753479429,0,0,0
4,-9.71164113978015,-0.566141963307523,-1.93688977549392,0,0,0
5,-9.7093677951778,-0.565418972071078,-1.93316561942837,0,0,0
6,-9.70935239225087,-0.558612054605353,-1.94357058190781,0,0,0
7,-9.71031546136361,-0.5495366221101,-1.93463442273189,0,0,0
8,-9.70628851954985,-0.554097506067181,-1.92644889375289,0,0,0
9,-9.70608014831183,-0.562391886912123,-1.92422629989932,0,0,0
10,-9.70754377324968,-0.561602812839487,-1.92571470236851,0,0,0
11,-9.71157347742376,-0.560823858761533,-1.92944213813423,0,0,0
12,-9.70869923478754,-0.554074707329473,-1.91975886999589,0,0,0
13,-9.70482140817273,-0.554883889512897,-1.92272868564234,0,0,0
14,-9.70866713751027,-0.560888713250823,-1.92423168352025,0,0,0
15,-9.70601783071698,-0.572241604337357,-1.94060574594649,0,0,0
16,-9.70527096187056,-0.582118076730031,-1.95996069061802,0,0,0
17,-9.71381090681379,-0.582035810397295,-1.98526941738841,0,0,0
18,-9.71699984000123,-0.572160937564575,-1.97931070670011,0,0,0
19,-9.71263857530722,-0.554843175460034,-1.97184212249095,0,0,0
20,-9.708476536423,-0.526208752239714,-1.97477482836179,0,0,0
21,-9.71550322268771,-0.517787898944227,-1.96361728017072,0,0,0
22,-9.71612839067712,-0.525318405518854,-1.9554443812235,0,0,0
23,-9.71332328811419,-0.548741991687841,-1.95174782776253,0,0,0
24,-9.71079684380955,-0.577516097986805,-1.95475778061094,0,0,0
25,-9.7080926535181,-0.582031596625043,-1.95624296852995,0,0,0
26,-9.70800025806259,-0.572312979877322,-1.96516356181019,0,0,0
27,-9.70949003285798,-0.569250017354617,-1.95995376462488,0,0,0
28,-9.70768052470985,-0.564680516130742,-1.95398973462831,0,0,0
29,-9.7087169070187,-0.565472197540669,-1.95771523667973,0,0,0
30,-9.70624361493588,-0.56396081581102,-1.95398737123437,0,0,0
31,-9.7073174714379,-0.552633337046348,-1.9472811865823,0,0,0
32,-9.70962698493083,-0.545780659827537,-1.94132405080327,0,0,0
33,-9.71085305643554,-0.54192307071912,-1.94057326610828,0,0,0
34,-9.71013699562936,-0.547999960965044,-1.94058129243214,0,0,0
35,-9.71015805357568,-0.559356154784333,-1.93539032578002,0,0,0
36,-9.70692788748456,-0.571493333873175,-1.93837605256752,0,0,0
37,-9.70503618920525,-0.581302729729351,-1.93763894672543,0,0,0
38,-9.70670862705414,-0.575999416960339,-1.93540399268473,0,0,0
39,-9.70116309911627,-0.561041532947434,-1.93984339357852,0,0,0
40,-9.70888450298158,-0.544276934447675,-1.93685741232159,0,0,0
41,-9.70859626221247,-0.549537805759548,-1.94281256469509,0,0,0
42,-9.70935688806942,-0.563160235009158,-1.94804064166132,0,0,0
43,-9.70491225854111,-0.561749776869632,-1.96067951552711,0,0,0
44,-9.70381904094363,-0.544428892012962,-1.96363357845797,0,0,0
45,-9.7144103439071,-0.52532014129178,-1.96436643482082,0,0,0
46,-9.71591868600619,-0.522271366360184,-1.97105959926887,0,0,0
47,-9.7144157094927,-0.538958757553635,-1.97256909734976,0,0,0
48,-9.71150823760635,-0.572965616883161,-1.96739848311068,0,0,0
49,-9.71045733341753,-0.59034114463735,-1.96072305400386,0,0,0
50,-9.70625423716216,-0.593368230462133,-1.95997221463987,0,0,0
51,-9.70802689191561,-0.588819272964144,-1.93914168796981,0,0,0
52,-9.70927180205304,-0.576771771453582,-1.94359545053258,0,0,0
53,-9.70599299610802,-0.569971986861036,-1.94655353500818,0,0,0
54,-9.70798923932567,-0.554125966041148,-1.95174689868953,0,0,0
55,-9.70350875696529,-0.549672460286664,-1.95545393559095,0,0,0
56,-9.71098619583661,-0.548013314092884,-1.95248635570538,0,0,0
57,-9.7097858284575,-0.545816518858684,-1.9524849363162,0,0,0
58,-9.71011245147253,-0.554055183882625,-1.94207745016228,0,0,0
59,-9.71006714319217,-0.557079049151444,-1.94431293642671,0,0,0
60,-9.70968824871314,-0.551858691053833,-1.95249230105895,0,0,0
61,-9.70553976248242,-0.551868178550131,-1.95545746588905,0,0,0
62,-9.71086362955187,-0.556330530232351,-1.95993582849478,0,0,0
63,-9.70840441404133,-0.567699362260262,-1.9621778836811,0,0,0
64,-9.70791082131433,-0.559418358459527,-1.95621695424603,0,0,0
65,-9.71031196149309,-0.551063499803075,-1.94802709796599,0,0,0
66,-9.70956236660214,-0.554098910289635,-1.94059116579187,0,0,0
67,-9.70975669087355,-0.566867558279124,-1.93762764834045,0,0,0
