Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.63018973477184,-0.0135994401751965,-2.44408116768138,0,0,0
1,-9.63099429217393,-0.0128885540878785,-2.44039393511027,0,0,0
2,-9.63611544909828,-0.0179088211423432,-2.44180027275642,0,0,0
3,-9.63304575295415,-0.0194644213184984,-2.43807779674159,0,0,0
4,-9.6355368026025,-0.00891354982497539,-2.43958837101907,0,0,0
5,-9.63408682789319,-0.00284061382445743,-2.44624178633794,0,0,0
6,-9.63170623534116,-0.00426552049534151,-2.44617590594998,0,0,0
7,-9.63185758114509,-0.00683671927870513,-2.4441073328489,0,0,0
8,-9.63249323546397,-0.00972450281916362,-2.44479195463382,0,0,0
9,-9.63026822689513,-0.00674377365157671,-2.44850428930028,0,0,0
10,-9.63261861602028,-0.00682535410931187,-2.44485243451439,0,0,0
11,-9.63029507289493,-0.000581160734087056,-2.45215232841024,0,0,0
12,-9.63178389685625,-0.00748109594019692,-2.45371498815517,0,0,0
13,-9.62651694936127,-0.00920094421755059,-2.45377269965346,0,0,0
14,-9.63478154728367,-0.0104595262929228,-2.45818690626847,0,0,0
15,-9.63323735431838,-0.0135566994369244,-2.44929331955103,0,0,0
16,-9.63699096509399,-0.00957128889413171,-2.42988869089676,0,0,0
17,-9.63855898930839,-0.0041975130792693,-2.4305964553819,0,0,0
18,-9.63638844048672,-0.00441422457695799,-2.42696954790887,0,0,0
19,-9.62818718930867,0.000651602118051354,-2.44855568935438,0,0,0
20,-9.63126445040573,0.0029663187650437,-2.44930158598763,0,0,0
21,-9.63491287429554,-0.00138150699151865,-2.4485049582754,0,0,0
22,-9.63639938769217,-0.00827955230662433,-2.4485797846138,0,0,0
23,-9.63539907821392,-0.0187516217163587,-2.4529908157737,0,0,0
24,-9.62629152092507,-0.0227956274443907,-2.45006969664991,0,0,0
25,-9.63083680993194,-0.0242411803753111,-2.45677389578557,0,0,0
26,-9.62948672414792,-0.0159961953756408,-2.46420344989947,0,0,0
27,-9.63104141054607,-0.00903704537754452,-2.48049659031098,0,0,0
28,-9.62959675060855,0.000888608894560133,-2.4759545665345,0,0,0
29,-9.62889603392792,0.000766931061800323,-2.46485884241635,0,0,0
30,-9.62649847640149,-0.00606321265454093,-2.45965616663815,0,0,0
31,-9.6310066585083,-0.00591813984315404,-2.4514481305002,0,0,0
32,-9.62940636979859,-0.00195974857950697,-2.43423488032385,0,0,0
33,-9.63103459577509,-0.0013496424159121,-2.42242992537439,0,0,0
34,-9.62786276906546,-0.0042924272374034,-2.4179012351772,0,0,0
35,-9.62865388432746,-0.00742792281616258,-2.42020199035873,0,0,0
36,-9.63312957730342,-0.00722592714246533,-2.41568147716138,0,0,0
37,-9.63698987224796,-0.00647866411373314,-2.42241378623097,0,0,0
38,-9.63854562689935,-0.00495213326844002,-2.42985346172955,0,0,0
39,-9.63781828416285,-0.00345969781904403,-2.43505783594461,0,0,0
40,-9.63547358540875,-0.00803602047524465,-2.4402672056489,0,0,0
41,-9.63688710681412,-0.0101606004165439,-2.44467166421525,0,0,0
42,-9.63539053894812,-0.0117649067344111,-2.45065452987538,0,0,0
43,-9.63384587069974,-0.0109733813084979,-2.45136306710475,0,0,0
44,-9.63464698953887,-0.00869813342568621,-2.45433714599293,0,0,0
45,-9.63237377584631,-0.00797488127935463,-2.45061309777397,0,0,0
46,-9.63084131340235,-0.00642779505671628,-2.45132071378089,0,0,0
47,-9.63087308149188,-0.0119026979321312,-2.45291124239843,0,0,0
48,-9.62775702710887,-0.0118289027572254,-2.4528423289399,0,0,0
49,-9.62787891882357,-0.00892695780482137,-2.45067107162733,0,0,0
50,-9.63024794707951,-0.00593131825088844,-2.45219085949262,0,0,0
51,-9.62639977971794,-0.00901476961167229,-2.4521886137286,0,0,0
52,-9.62853322429743,-0.00873757045111253,-2.45652731434428,0,0,0
53,-9.62717237141356,-0.0105740844332995,-2.45147981097512,0,0,0
54,-9.63311616256789,-0.0110407516829096,-2.44618656586785,0,0,0
55,-9.63462201884085,-0.00944369469475877,-2.44615501357227,0,0,0
56,-9.63552295917994,-0.00577941297037217,-2.44844750305689,0,0,0
57,-9.63316089324295,-0.00878050654418972,-2.45139120287754,0,0,0
58,-9.6317425778389,-0.0128357002763436,-2.45747309721153,0,0,0
59,-9.63011609889028,-0.0126822827457169,-2.46258186666377,0,0,0
60,-9.63016194301404,-0.0119845695592301,-2.45963737533713,0,0,0
61,-9.63396080702754,-0.0080660038018157,-2.44472832124416,0,0,0
62,-9.63338564166539,0.000926543277602566,-2.44474816623827,0,0,0
63,-9.63338391337484,0.00169294599810864,-2.43582026696069,0,0,0
64,-9.63167482059664,-0.00733278614892284,-2.43282120982382,0,0,0
65,-9.62944213587453,-0.00976452362039054,-2.43734805940729,0,0,0
66,-9.63156040900714,-0.0125672899124271,-2.43874689346487,0,0,0
67,-9.6316051396822,-0.0103070447737073,-2.44395153047456,0,0,0
68,-9.63337557528295,-0.00757584740239406,-2.45080586759762,0,0,0
69,-9.63168007774647,-0.00654027175332551,-2.45287389690666,0,0,0
70,-9.63261750049265,-0.00526283145755584,-2.4530015812902,0,0,0
71,-9.63702979797661,-0.0119283099827877,-2.45372881463869,0,0,0
72,-9.63164503739347,-0.0157881830486397,-2.45074945730697,0,0,0
73,-9.62944431177417,-0.0159496519332296,-2.45229789954776,0,0,0
74,-9.63240218301851,-0.00879368493170658,-2.4521339312549,0,0,0
75,-9.63025725950177,-0.00440848577514115,-2.44251812445069,0,0,0
76,-9.63104902023125,-0.00521774312242984,-2.4462718878637,0,0,0
77,-9.63029367090617,-0.0098869375120515,-2.44708430780336,0,0,0
78,-9.62479426432932,-0.00581739658568997,-2.43943976724749,0,0,0
79,-9.63247470776867,-0.00814837942852638,-2.44178237170066,0,0,0
80,-9.63022814002362,-0.00900761201704126,-2.44627530646537,0,0,0
81,-9.63256236855443,-0.0059532521438864,-2.44999475637197,0,0,0
82,-9.63317297901306,-0.0126783127182689,-2.44922823161855,0,0,0
83,-9.63101293692225,-0.00981140303859452,-2.44556558006676,0,0,0
84,-9.6271909702618,-0.00905851242125025,-2.44775839331856,0,0,0
85,-9.62804781240201,-0.0053283025159007,-2.44629922670839,0,0,0
86,-9.63114187385513,-0.00613191086626505,-2.44931552821821,0,0,0
87,-9.63323514748801,-0.00890160374129806,-2.44996754198583,0,0,0
88,-9.63320662406569,-0.012736121990346,-2.44628465443381,0,0,0
89,-9.63330935757587,-0.0105842959759457,-2.43965081428778,0,0,0
90,-9.63411234703698,-0.00289212474977426,-2.43809080176571,0,0,0
91,-9.6357249918938,0.0000884652825204082,-2.44184114632722,0,0,0
92,-9.62799448756516,-0.00369340450951487,-2.44548930539328,0,0,0
93,-9.62870846867068,-0.00594044903544519,-2.43954193504553,0,0,0
94,-9.63168462836637,-0.00966716428109608,-2.43806345330308,0,0,0
95,-9.63242886214725,-0.0088460741534077,-2.44472687040524,0,0,0
96,-9.63176764539071,-0.00746840307005118,-2.44330017572883,0,0,0
97,-9.63026415115637,-0.0075056395087196,-2.45371261640846,0,0,0
98,-9.62645142461616,-0.00832161121851442,-2.45296369276337,0,0,0
99,-9.62873040170826,-0.0106109872143439,-2.45151426718861,0,0,0
100,-9.63697989850681,-0.0118578041907674,-2.44625758062176,0,0,0
101,-9.63862159168675,-0.00736974324826316,-2.45298174584207,0,0,0
102,-9.6333338047932,-0.00751166702612907,-2.4485420369453,0,0,0
103,-9.62937376581755,-0.00655623447207186,-2.43576031159341,0,0,0
104,-9.63321316297795,-0.00579265581118044,-2.42910216697688,0,0,0
105,-9.6346893806587,-0.00646761228926991,-2.43353686994346,0,0,0
106,-9.63410988581422,-0.00907369300861214,-2.45006497945457,0,0,0
107,-9.63251640674003,-0.0113042373325201,-2.45077720196881,0,0,0
108,-9.62623955742032,-0.0134168824119191,-2.44543474151074,0,0,0
109,-9.62541104334101,-0.0210576420481986,-2.45514573581549,0,0,0
110,-9.63079620075119,-0.0241779880000349,-2.4552539782493,0,0,0
111,-9.62565363490459,-0.0167828423920109,-2.46568337528208,0,0,0
112,-9.63018395166858,-0.0135633943890073,-2.46487871116814,0,0,0
113,-9.63256926244766,-0.00905038304161493,-2.46118925604226,0,0,0
114,-9.63038777377709,-0.00537018479722228,-2.46046926671199,0,0,0
115,-9.62888210410031,0.000777810664782388,-2.45593186033663,0,0,0
116,-9.63024866232875,-0.000513318028091363,-2.44691284391414,0,0,0
117,-9.63039943685929,-0.00462772622711873,-2.44484900398675,0,0,0
118,-9.62882455615933,-0.00303407077831016,-2.43365108672094,0,0,0
119,-9.62813092626074,0.00149219156407057,-2.42918088261299,0,0,0
120,-9.63043035422678,0.0046053370839466,-2.43510000275565,0,0,0
121,-9.6311205007044,0.0000817724350423173,-2.43733845951896,0,0,0
122,-9.63180076734842,-0.00519912490309562,-2.44106566752389,0,0,0
123,-9.63175252899937,-0.00898669498284593,-2.44925333890532,0,0,0
124,-9.63475889844142,-0.0112068860127562,-2.45149259060369,0,0,0
125,-9.6354961652597,-0.0103803678278127,-2.4536925157263,0,0,0
126,-9.63250484365364,-0.00973356915498201,-2.45223110636692,0,0,0
127,-9.63091020707646,-0.0119632314526426,-2.45219941256115,0,0,0
128,-9.6353224970402,-0.018628808741363,-2.4529266457635,0,0,0
129,-9.63165316312624,-0.0157945294837126,-2.45595686352014,0,0,0
130,-9.63024503209611,-0.00669409443857095,-2.45814309931085,0,0,0
131,-9.63252988545832,-0.0058963161937147,-2.45368224683955,0,0,0
