Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.85781921884622,-0.0109705189975973,-1.07496265021239,0,0,0
1,-9.85789987893527,-0.0102272193557029,-1.07347441698898,0,0,0
2,-9.85813255748377,-0.00951956038966652,-1.07868278910595,0,0,0
3,-9.85727222438481,-0.0117891622102244,-1.08314744142236,0,0,0
4,-9.85860578349524,-0.013996466884374,-1.07794384837292,0,0,0
5,-9.8602747559204,-0.0132405157361436,-1.07497067433075,0,0,0
6,-9.8587624619883,-0.0125062256541537,-1.07199161757043,0,0,0
7,-9.85843110394107,-0.0162374271868885,-1.08017729061966,0,0,0
8,-9.85783946894765,-0.014768488813687,-1.0816632852872,0,0,0
9,-9.85926304429381,-0.0116929074112769,-1.07942901351199,0,0,0
10,-9.85857855245967,-0.0117225327901886,-1.08240415828606,0,0,0
11,-9.8577245403162,-0.0177792831539418,-1.0846421570525,0,0,0
12,-9.85930943743024,-0.0132170730111936,-1.07943142465724,0,0,0
13,-9.85702735071817,-0.0132520774009881,-1.07793998648974,0,0,0
14,-9.85761607674997,-0.0154834884891118,-1.08240643239443,0,0,0
15,-9.85770545123714,-0.013982216147928,-1.07868546336647,0,0,0
16,-9.85707606410429,-0.0147780414028126,-1.07943027793299,0,0,0
17,-9.85631382011937,-0.0147885006563474,-1.07794121104668,0,0,0
18,-9.862958822379,-0.00933930611595954,-1.08017498067813,0,0,0
19,-9.86351751858794,-0.0147547608063608,-1.08465020997059,0,0,0
20,-9.85695481703422,-0.0140017420200739,-1.08463579622564,0,0,0
21,-9.8576597061835,-0.00867632973547536,-1.08537333314608,0,0,0
22,-9.85724035073656,-0.00951161285018374,-1.08463198978779,0,0,0
23,-9.86023713090651,-0.00794107349326743,-1.08686614168727,0,0,0
24,-9.8618329260844,-0.0117164332644725,-1.08389849822137,0,0,0
25,-9.85700360379921,-0.0109808483206961,-1.08463211408878,0,0,0
26,-9.85941035074078,-0.0162717059984624,-1.08464383232822,0,0,0
27,-9.85774021952156,-0.0170267834211624,-1.08687305700112,0,0,0
28,-9.85954328093087,-0.0125102730252343,-1.08538374305018,0,0,0
29,-9.85726931480778,-0.0125516241564962,-1.08909989061737,0,0,0
