Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.86969501421772,0.285459071886172,-4.16496734663024,0,0,0
1,-8.87097686497991,0.282699781883867,-4.16496420028502,0,0,0
2,-8.86952975412416,0.281818673383104,-4.17091813198198,0,0,0
3,-8.86643158875302,0.283379282188737,-4.16644408871516,0,0,0
4,-8.86893342700571,0.282372626532385,-4.17092339491888,0,0,0
5,-8.87012504065501,0.278954465259186,-4.1694295478562,0,0,0
6,-8.87168063849901,0.27662255661566,-4.16720647576529,0,0,0
7,-8.86864960993223,0.275020046969923,-4.16422956085012,0,0,0
8,-8.87252865988689,0.276513324391986,-4.15084598465763,0,0,0
9,-8.87643964367072,0.277217188810602,-4.16573394685231,0,0,0
10,-8.86956297285748,0.281775123296754,-4.16794412108814,0,0,0
11,-8.86717716231672,0.280327291819922,-4.16421890794244,0,0,0
12,-8.86951594836105,0.279518456844375,-4.16125121200979,0,0,0
13,-8.87478185092484,0.273513163059378,-4.16498853192971,0,0,0
14,-8.87406136466188,0.276527897397962,-4.1590319563351,0,0,0
15,-8.87254014098839,0.278815327903911,-4.15902498639732,0,0,0
16,-8.87328688331505,0.275762498943342,-4.15754376329459,0,0,0
17,-8.8748120449731,0.276547424251117,-4.15308143353035,0,0,0
18,-8.87718858640426,0.278002527137103,-4.15085492829402,0,0,0
19,-8.87847085658026,0.278318182004281,-4.14415063534611,0,0,0
20,-8.87557537039639,0.280396972874926,-4.14042880772595,0,0,0
21,-8.8794153968113,0.280409357151657,-4.14192449467336,0,0,0
22,-8.88154148933246,0.280636668535451,-4.14043280695346,0,0,0
23,-8.88312743133927,0.2774990302986,-4.14118831198735,0,0,0
24,-8.87938869084179,0.278901293481837,-4.14043840784084,0,0,0
25,-8.87793319904143,0.282648719416966,-4.14266332567367,0,0,0
26,-8.88097132487219,0.281934713905267,-4.14936466237369,0,0,0
27,-8.87798558183787,0.283354661349516,-4.14415216389177,0,0,0
28,-8.87104911468333,0.284137071890438,-4.14711092787139,0,0,0
29,-8.87036707027076,0.286339717269943,-4.14934070359066,0,0,0
