Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.61727072210932,0.145936246432585,-2.42777597438031,0,0,0
1,-9.62063890295621,0.16869765207652,-2.41808012422306,0,0,0
2,-9.62625241551712,0.182892694784837,-2.40021956719606,0,0,0
3,-9.62561467769649,0.19510082245232,-2.38234565273244,0,0,0
4,-9.63036943211612,0.208821709335696,-2.38084713516562,0,0,0
5,-9.63140865179825,0.229382920929466,-2.39198006511209,0,0,0
6,-9.6277520354149,0.235231960977611,-2.3927129659041,0,0,0
7,-9.62366076094438,0.211619822345048,-2.41952145855126,0,0,0
8,-9.61331144358142,0.18364435264555,-2.43664965168474,0,0,0
9,-9.61128062773059,0.148734441390053,-2.42553305635734,0,0,0
10,-9.61830192343264,0.114968983848878,-2.42037725081859,0,0,0
11,-9.62684034721865,0.080465886477602,-2.42117667536705,0,0,0
12,-9.62479551345754,0.0526675323386267,-2.402606338316,0,0,0
13,-9.62310192421384,0.0381271834489364,-2.39667281298716,0,0,0
14,-9.62402368950982,0.0487994785703848,-2.41972265488415,0,0,0
15,-9.62837858839543,0.0820489852366851,-2.43159197689481,0,0,0
16,-9.63205761162303,0.120569363155608,-2.44270968296672,0,0,0
17,-9.63176515711951,0.153138973189929,-2.43522679954041,0,0,0
18,-9.63580219962351,0.165915646454971,-2.42554743911657,0,0,0
19,-9.63580179224181,0.162769631381583,-2.42778531937072,0,0,0
20,-9.63945142385792,0.156925377934445,-2.42258844155538,0,0,0
21,-9.64177035021705,0.156033081061659,-2.41218036155093,0,0,0
22,-9.63637769859118,0.161622034565377,-2.39727916942738,0,0,0
23,-9.63293557253858,0.175529727295612,-2.39205442243594,0,0,0
24,-9.63087644026605,0.192220955810336,-2.39054044811936,0,0,0
25,-9.62427678580501,0.200911587126511,-2.39349910069913,0,0,0
26,-9.61680465255849,0.21147660027657,-2.39496014837125,0,0,0
27,-9.61309542268091,0.214355502108327,-2.40759951317378,0,0,0
