Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-7.94697591047369,2.12360284587545,-5.56083285555535,0,0,0
1,-7.94847219839903,2.11971370544789,-5.55786869875045,0,0,0
2,-7.94997192260028,2.12057410574872,-5.55042778973732,0,0,0
3,-7.94994229543287,2.12147311536708,-5.55042202981588,0,0,0
4,-7.95296904942974,2.12076853575159,-5.54968370079872,0,0,0
5,-7.94847042161772,2.12364734242782,-5.54446737023237,0,0,0
6,-7.95225141806041,2.12137547850196,-5.54224649616498,0,0,0
7,-7.95304916423341,2.12365057383138,-5.54298891687655,0,0,0
8,-7.95308109844578,2.12433382581506,-5.54224642001398,0,0,0
9,-7.95320528207627,2.1318777346649,-5.54372521089281,0,0,0
10,-7.95554399292221,2.13410508932325,-5.54447242185751,0,0,0
11,-7.95243129495137,2.1335164354531,-5.54594933109987,0,0,0
12,-7.95331149323842,2.13708744732058,-5.54372119011811,0,0,0
13,-7.95237498929808,2.13132405505153,-5.54669366526559,0,0,0
14,-7.95230598650324,2.12280515323871,-5.54819902651543,0,0,0
15,-7.95150876961261,2.12451781064118,-5.54893273658962,0,0,0
16,-7.95138743608938,2.12095972452161,-5.5504180615304,0,0,0
17,-7.95072671086548,2.12141045228459,-5.55265761659137,0,0,0
18,-7.94839494228894,2.12234578033856,-5.55190188285366,0,0,0
19,-7.95079987385561,2.12271382237511,-5.54373510675637,0,0,0
20,-7.95151977747869,2.12685743119408,-5.54595158619002,0,0,0
21,-7.95088285477426,2.12799761555239,-5.54224067970397,0,0,0
22,-7.95233670336271,2.12824163186952,-5.54000382114729,0,0,0
23,-7.95170551585949,2.13571374786489,-5.53106792739659,0,0,0
24,-7.95100297072562,2.1363087501556,-5.5333026292047,0,0,0
25,-7.95169737943713,2.13577606065098,-5.53924944401514,0,0,0
26,-7.95168404939863,2.13343823258934,-5.5407426064652,0,0,0
27,-7.94646020541111,2.13780565748935,-5.54221918965812,0,0,0
28,-7.94724927601406,2.13615514193726,-5.54966699639959,0,0,0
29,-7.94641087087976,2.13560787995412,-5.5474274889381,0,0,0
30,-7.95095420004771,2.13493057653779,-5.54445955002881,0,0,0
31,-7.95096177617677,2.1325204930873,-5.54595513353962,0,0,0
32,-7.94841293346125,2.12309583742962,-5.55562092608799,0,0,0
33,-7.9498668624761,2.11541922087511,-5.56456525895986,0,0,0
34,-7.94618458916003,2.11733462195947,-5.56307828392549,0,0,0
35,-7.94771158707868,2.12046597743103,-5.54968265733574,0,0,0
36,-7.95069072886496,2.11991036031355,-5.54521952084151,0,0,0
37,-7.95438822684857,2.10836714671809,-5.5430169347949,0,0,0
38,-7.955982456132,2.11931027953396,-5.54820229831915,0,0,0
39,-7.95152559972947,2.12526876705724,-5.55190778970127,0,0,0
40,-7.95480369364772,2.13560557902041,-5.5414934184693,0,0,0
41,-7.95025334411506,2.1410408233869,-5.53328868534504,0,0,0
42,-7.95246846635245,2.13337551158075,-5.54297819115589,0,0,0
43,-7.94796929337815,2.1307382184362,-5.55191144642697,0,0,0
44,-7.94550057059132,2.12266748286123,-5.57050817574306,0,0,0
45,-7.94308231871291,2.1215457536402,-5.57793180933659,0,0,0
46,-7.9478775721204,2.12792131650402,-5.56455576875262,0,0,0
47,-7.94707570897142,2.13122181420834,-5.56007724038189,0,0,0
48,-7.95160162372854,2.12902989623842,-5.56157510274461,0,0,0
49,-7.95386193265661,2.13072222396011,-5.56008398682051,0,0,0
50,-7.95398156239781,2.13187731472324,-5.55414231499252,0,0,0
51,-7.95620077094019,2.12491716890787,-5.54523347516685,0,0,0
52,-7.95459475070023,2.12518336749603,-5.5437334434463,0,0,0
53,-7.95832812388446,2.12306048869178,-5.53778776771715,0,0,0
54,-7.95673547160569,2.12249621121282,-5.53926705586632,0,0,0
55,-7.96892622065549,2.11622091537142,-5.54079587334063,0,0,0
56,-7.96576714714635,2.10938795529177,-5.53484745090172,0,0,0
57,-7.93650035227193,2.13230360280452,-5.53254069724791,0,0,0
58,-7.93285399042424,2.14844810681733,-5.53399137390658,0,0,0
59,-7.95193073930832,2.14295480368464,-5.5437162948838,0,0,0
60,-7.95700425678834,2.13194001277405,-5.54298714732163,0,0,0
61,-7.95157205140593,2.12664886267001,-5.53926289650342,0,0,0
62,-7.94486587315955,2.13325458228175,-5.54147834173093,0,0,0
63,-7.94502782364107,2.13672467389438,-5.55264333955157,0,0,0
64,-7.94486872881443,2.13888087163989,-5.55559568051719,0,0,0
65,-7.94640738243035,2.13566656590032,-5.55858497287642,0,0,0
66,-7.95008450471743,2.12659892571322,-5.56009235161101,0,0,0
67,-7.94700260494438,2.12511019167906,-5.56231900310612,0,0,0
68,-7.94852499425727,2.12354881962172,-5.56604560903145,0,0,0
69,-7.94926008070568,2.12123240399618,-5.5601000278091,0,0,0
70,-7.94851454578188,2.12355698018675,-5.55934966453124,0,0,0
71,-7.94990630347936,2.12002890524646,-5.55637339250719,0,0,0
72,-7.95156048584366,2.12196155409754,-5.55192115156069,0,0,0
73,-7.94848846033574,2.1196451244414,-5.55489514410951,0,0,0
74,-7.95076968648766,2.12126511311632,-5.55340645276092,0,0,0
75,-7.95226596440439,2.1189600879102,-5.54820604436816,0,0,0
76,-7.94923046383227,2.12207551699166,-5.54670479496736,0,0,0
77,-7.95834957446486,2.12539192947898,-5.54150255967325,0,0,0
78,-7.95981275310989,2.1224044917498,-5.53630065839701,0,0,0
79,-7.95286869260136,2.11233012140878,-5.54449070071814,0,0,0
80,-7.94899483103894,2.11014571807253,-5.54745866714909,0,0,0
81,-7.94692717272067,2.12052863560199,-5.54744706995113,0,0,0
82,-7.95156973682969,2.12512248294868,-5.55340061882717,0,0,0
83,-7.95013210529241,2.12803401489094,-5.56158092454255,0,0,0
84,-7.9515476682616,2.12519562469539,-5.55265420395611,0,0,0
85,-7.95914792751693,2.12531836725938,-5.5526660650786,0,0,0
86,-7.95380679819992,2.12847295941489,-5.54818286451804,0,0,0
87,-7.95380807021578,2.12049558700376,-5.54671858822576,0,0,0
88,-7.95221132747822,2.12233855633288,-5.54893426248329,0,0,0
89,-7.95285989792594,2.11796498850602,-5.55116810510855,0,0,0
90,-7.9523193526345,2.12197473511333,-5.55117834322546,0,0,0
91,-7.95237616818692,2.12973900365335,-5.5496738974718,0,0,0
92,-7.94774109968842,2.13071170794416,-5.54742420484592,0,0,0
93,-7.95155978563263,2.13228680153082,-5.54370833439826,0,0,0
94,-7.94709891369047,2.13426009556302,-5.54370571060472,0,0,0
95,-7.9501378384199,2.13589427418817,-5.54073022651141,0,0,0
96,-7.94934534483706,2.13121085336744,-5.53999539770029,0,0,0
97,-7.94869852286178,2.13323461184069,-5.54892663325963,0,0,0
98,-7.94706006035697,2.12882987757148,-5.54669295892286,0,0,0
99,-7.94487285102183,2.13166501008093,-5.54817854770592,0,0,0
100,-7.94628728451897,2.12571527392753,-5.55636979420055,0,0,0
101,-7.94790255135907,2.1270258868644,-5.56158556017879,0,0,0
102,-7.95008394478346,2.12425117970814,-5.56976945880505,0,0,0
103,-7.94846290214373,2.1197768466966,-5.56530621392305,0,0,0
104,-7.9507249907854,2.11906362721132,-5.56159072284083,0,0,0
105,-7.95231184927332,2.11804842604596,-5.55862773333498,0,0,0
106,-7.95227757383111,2.11895102060821,-5.55564598887114,0,0,0
107,-7.95150709761355,2.1189469068944,-5.54894885270339,0,0,0
108,-7.94627513358488,2.12173663822498,-5.547453719756,0,0,0
109,-7.95003921864525,2.12669020946413,-5.54446606345886,0,0,0
110,-7.95163532217394,2.1288358039192,-5.54298252348465,0,0,0
111,-7.95086428725791,2.12648394483943,-5.5459624914274,0,0,0
112,-7.95476547229236,2.12777090570639,-5.54151228154602,0,0,0
113,-7.95619840513816,2.12808716247238,-5.53927300470827,0,0,0
114,-7.95157492209135,2.12905075099841,-5.54446325876707,0,0,0
115,-7.95019710467256,2.1325118457225,-5.54297796962336,0,0,0
116,-7.95309843710671,2.13065672827864,-5.54446137380226,0,0,0
117,-7.94863934553329,2.12864038933177,-5.54447060263486,0,0,0
118,-7.95078069406593,2.12360468373851,-5.55042529687054,0,0,0
119,-7.95463487535304,2.12110802714011,-5.55490763744182,0,0,0
