Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.35456225689289,1.11344090259636,-2.10572966283143,0,0,0
1,-9.36349908985215,1.10910888136767,-2.12378691468358,0,0,0
2,-9.36349323927812,1.10911841060195,-2.13282083504657,0,0,0
3,-9.3594947782185,1.11068302345075,-2.10856938948338,0,0,0
4,-9.35883347078008,1.1092326528987,-2.12585278680308,0,0,0
5,-9.36130815697171,1.11358452118767,-2.13734400146154,0,0,0
6,-9.34815438299762,1.12665377834393,-2.12852861454711,0,0,0
7,-9.34348799555506,1.11528980428447,-2.08560851141389,0,0,0
8,-9.34586511097555,1.12205462079724,-2.0675463110241,0,0,0
9,-9.35894558529726,1.10448724064778,-2.07635700918475,0,0,0
10,-9.36353498368814,1.09987017766464,-2.07880330825634,0,0,0
11,-9.3722958870658,1.08428106756674,-2.08555630263599,0,0,0
12,-9.37187941948155,1.07792344197414,-2.08515820001532,0,0,0
13,-9.37689035079056,1.08883598201535,-2.06974875088702,0,0,0
14,-9.37885764458507,1.08005227640949,-2.05147448082198,0,0,0
15,-9.37665134673222,1.0730641153815,-2.04263035597515,0,0,0
16,-9.36090561569906,1.07504633770199,-2.03360902606195,0,0,0
17,-9.3493270096788,1.06606347556341,-2.03566987556838,0,0,0
18,-9.34047380215129,1.07718553043491,-2.05827238337974,0,0,0
19,-9.34972294732286,1.07245453225231,-2.06768666674372,0,0,0
20,-9.35396776209219,1.06598041120568,-2.07199811524182,0,0,0
21,-9.36099295671764,1.07265022138395,-2.07897178375097,0,0,0
22,-9.36778491882624,1.10487678670422,-2.12132524192633,0,0,0
23,-9.37977204396281,1.1110495582019,-2.14243353724915,0,0,0
24,-9.37465100272079,1.11175091363229,-2.13713732331054,0,0,0
25,-9.37288531031166,1.12256953805415,-2.13754172826745,0,0,0
26,-9.38395506364036,1.11841920680632,-2.10797389683386,0,0,0
27,-9.38143931119716,1.11182544517387,-2.10325577077216,0,0,0
28,-9.38365372837027,1.10962028592308,-2.11002737118636,0,0,0
29,-9.36378209190306,1.10644861720239,-2.10384923981038,0,0,0
30,-9.34796450280667,1.10393038805327,-2.09256467191673,0,0,0
31,-9.3433062040594,1.10404222275622,-2.08333816589984,0,0,0
32,-9.35175031880976,1.10722022808917,-2.08481120995371,0,0,0
33,-9.37089975927429,1.09922486750907,-2.1021657793519,0,0,0
34,-9.37959821835323,1.10896922866451,-2.11739229198916,0,0,0
35,-9.3818653840482,1.10898692567388,-2.09932295682437,0,0,0
36,-9.36569365678487,1.09313837280566,-2.05846838968728,0,0,0
37,-9.36570535794379,1.0931193143194,-2.04040053218373,0,0,0
38,-9.36791393037887,1.09092370611994,-2.05620607395221,0,0,0
