Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.78084213788325,0.236250958757764,-1.18620401632159,0,0,0
1,-9.7870046218473,0.240060311433285,-1.18546551417136,0,0,0
2,-9.79701132929548,0.246953033101484,-1.18175329619417,0,0,0
3,-9.80542953627043,0.247761687402097,-1.1966458607618,0,0,0
4,-9.81617657311586,0.25162553549312,-1.21153831695256,0,0,0
5,-9.82134049711983,0.252914176815853,-1.20484551940341,0,0,0
6,-9.82289754815535,0.252819364347651,-1.19964117063743,0,0,0
7,-9.83291681975256,0.25340838404917,-1.2085866026402,0,0,0
8,-9.83523651737328,0.258898781707548,-1.22271773236212,0,0,0
9,-9.83540860583627,0.26159456933106,-1.22941306242897,0,0,0
10,-9.83378083893373,0.260306954849902,-1.23387401029401,0,0,0
11,-9.82630293800983,0.265346945339472,-1.22864900324022,0,0,0
12,-9.81643011019153,0.263608032308191,-1.23458798122175,0,0,0
13,-9.81094086170543,0.258531714062391,-1.25318279576478,0,0,0
14,-9.80400035298826,0.253960078641903,-1.25020104937073,0,0,0
15,-9.7935137400308,0.251778017903637,-1.24870330435993,0,0,0
16,-9.79792599366,0.253857351663031,-1.2539115142837,0,0,0
17,-9.8063850759494,0.252160721077308,-1.26062546898085,0,0,0
18,-9.81847072566825,0.250213564564869,-1.26510989556773,0,0,0
19,-9.82076994487966,0.250999548628652,-1.26957648415536,0,0,0
20,-9.82910285761541,0.248054235304294,-1.26884985240133,0,0,0
21,-9.82906461326841,0.247365182560589,-1.26661816351459,0,0,0
22,-9.82370801972837,0.248162244978139,-1.26437570240003,0,0,0
23,-9.82290453180982,0.248229122691781,-1.25098205103473,0,0,0
24,-9.82288073560895,0.247483577018094,-1.24354306333833,0,0,0
25,-9.82369111842897,0.248130243472921,-1.23908062775511,0,0,0
26,-9.82376392974962,0.245555060846858,-1.23685451478183,0,0,0
27,-9.81600075407291,0.237244718385808,-1.24726742250396,0,0,0
28,-9.81068987032398,0.238679775183391,-1.23758538042644,0,0,0
29,-9.80386540088869,0.241658644490163,-1.23087447791958,0,0,0
30,-9.81066969863883,0.241078216777136,-1.23014146313953,0,0,0
31,-9.82365159483389,0.244295311470888,-1.23834185626027,0,0,0
32,-9.82444011436135,0.247387005404115,-1.23982672500743,0,0,0
33,-9.83351236958817,0.249235636769157,-1.23686129208342,0,0,0
34,-9.83605484517257,0.251717139486993,-1.24356269383234,0,0,0
35,-9.83971937587608,0.249008780886238,-1.24580178667646,0,0,0
36,-9.83586998590435,0.247502852147085,-1.24430908825222,0,0,0
37,-9.82976891693751,0.245892734721276,-1.24653341397467,0,0,0
38,-9.82378192086457,0.24630511423607,-1.24057355956303,0,0,0
39,-9.81839179466084,0.247218732139396,-1.24576979114839,0,0,0
40,-9.813235656251,0.252981970977328,-1.2450120098591,0,0,0
41,-9.81778477542273,0.252300118881816,-1.24576403887817,0,0,0
42,-9.81614364393667,0.249449341944664,-1.24278750680265,0,0,0
43,-9.8154706013031,0.253144501750132,-1.24501432062012,0,0,0
44,-9.82153014931547,0.258024516434108,-1.24278382332084,0,0,0
45,-9.82301692186573,0.251826335399146,-1.24056344741024,0,0,0
46,-9.82612595136847,0.25249526510013,-1.24800843885448,0,0,0
47,-9.8337066216633,0.255061309714475,-1.25545557914211,0,0,0
48,-9.83745682241043,0.252105165259719,-1.25472119742913,0,0,0
49,-9.84046436424291,0.248313871356271,-1.25845112692245,0,0,0
50,-9.84277625517514,0.247471349410868,-1.25771287139703,0,0,0
51,-9.84737581596272,0.248233134799132,-1.26069566771351,0,0,0
52,-9.84724487781432,0.247797202542819,-1.25697348086091,0,0,0
53,-9.84287906161989,0.257414983186486,-1.25100373118293,0,0,0
54,-9.84070093014805,0.258645819756607,-1.24281691657863,0,0,0
55,-9.83453522219191,0.264280054730878,-1.23461273052933,0,0,0
56,-9.83155607434504,0.268004022708496,-1.23460338716374,0,0,0
57,-9.82777603954515,0.263925210901992,-1.22865259791646,0,0,0
58,-9.82395509381166,0.264689508888947,-1.22194920546379,0,0,0
59,-9.82081912091844,0.256219493561828,-1.21749185332626,0,0,0
60,-9.81545710453889,0.252300472045901,-1.21525678397148,0,0,0
61,-9.8070134922462,0.253130371057751,-1.19738518252285,0,0,0
62,-9.80768537973701,0.249436100166921,-1.19441439803857,0,0,0
63,-9.80537339823052,0.247131834104444,-1.19738956452715,0,0,0
64,-9.80392457612116,0.249253589065572,-1.19068971314235,0,0,0
65,-9.80761233040482,0.247245990961038,-1.18548866193173,0,0,0
66,-9.81378941601766,0.252617381742903,-1.19293162284166,0,0,0
67,-9.823687681832,0.253527021664164,-1.19666607770311,0,0,0
68,-9.82821130951909,0.252146136970272,-1.20337034689725,0,0,0
69,-9.83137071364126,0.253449409926544,-1.20635164578695,0,0,0
