Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.60958122407387,-0.903882077489602,-0.268140437644456,0,0,0
1,-9.61108365836685,-0.912285195635634,-0.267838904756015,0,0,0
2,-9.60429913560872,-0.900972023821632,-0.265499659095679,0,0,0
3,-9.60776218877944,-0.906467162916784,-0.268401134197406,0,0,0
4,-9.60499954897397,-0.908456855104506,-0.263621345443057,0,0,0
5,-9.59540838300225,-0.905804812788041,-0.261080360418244,0,0,0
6,-9.59595788355327,-0.897178206481997,-0.26354219119831,0,0,0
7,-9.60063038765899,-0.899530234772322,-0.27040966063377,0,0,0
8,-9.60063477589103,-0.899537382189139,-0.263633754784441,0,0,0
9,-9.60415591866748,-0.897960985999588,-0.262073658411929,0,0,0
10,-9.60736219961491,-0.90167058862954,-0.268144270485721,0,0,0
11,-9.60703250021462,-0.896807583318528,-0.265696659988084,0,0,0
12,-9.60039592662162,-0.90160120599705,-0.263534525496441,0,0,0
13,-9.58703191402928,-0.904261577226549,-0.256861871347283,0,0,0
14,-9.59576006677683,-0.897000906429904,-0.256669440674587,0,0,0
15,-9.61150571296331,-0.898979952857674,-0.267949997207924,0,0,0
16,-9.6006684883205,-0.897284369646973,-0.268153397180088,0,0,0
17,-9.59374178750441,-0.894971471664591,-0.259028757677413,0,0,0
18,-9.60728159624622,-0.894760449388166,-0.249985458873404,0,0,0
19,-9.60128682292597,-0.888589249783411,-0.270683131173326,0,0,0
20,-9.60543394343499,-0.895120277387621,-0.275045016186882,0,0,0
21,-9.60505233551345,-0.892532272340218,-0.265799724025747,0,0,0
22,-9.602272096085,-0.898928254320659,-0.281410753913822,0,0,0
23,-9.60935411993116,-0.892262373725317,-0.276993098128065,0,0,0
24,-9.61012923208985,-0.899688108889597,-0.266148149124098,0,0,0
25,-9.60494095848773,-0.89927466522107,-0.268051241689033,0,0,0
26,-9.60754744583294,-0.904083613008487,-0.268258155760442,0,0,0
27,-9.59590801186515,-0.913107532666799,-0.256846539982224,0,0,0
28,-9.60282214012179,-0.91765608094073,-0.259212297358594,0,0,0
29,-9.6046888800552,-0.91501962178338,-0.261258739245151,0,0,0
30,-9.60464199217955,-0.905856478921259,-0.247619584877287,0,0,0
31,-9.59821939415242,-0.89715097766946,-0.25450619744459,0,0,0
32,-9.59620696618119,-0.895131081774921,-0.247830973485204,0,0,0
33,-9.60526479086054,-0.892733416754794,-0.25008613655039,0,0,0
34,-9.61028748431883,-0.890714265134153,-0.248088520530231,0,0,0
35,-9.59863616130264,-0.897488320377515,-0.266012477888542,0,0,0
36,-9.60511092547048,-0.901714494783916,-0.261369825648229,0,0,0
37,-9.60558272152813,-0.902012234912789,-0.263890059870866,0,0,0
38,-9.60372497865603,-0.893191467137117,-0.264046354378931,0,0,0
39,-9.59659376210911,-0.899906279375622,-0.268415554693979,0,0,0
40,-9.5963101461877,-0.902026317598699,-0.261491920505596,0,0,0
41,-9.59100699008114,-0.899133489527461,-0.261090398022565,0,0,0
42,-9.60991448692464,-0.897304526465819,-0.266005172820455,0,0,0
43,-9.5986434750295,-0.897500232749939,-0.254719290987023,0,0,0
44,-9.59684512913827,-0.900041623913716,-0.268560905194607,0,0,0
45,-9.60510799998245,-0.901709729839371,-0.265887096214449,0,0,0
46,-9.60483104420466,-0.906019440571983,-0.268044126166404,0,0,0
47,-9.59379305018263,-0.904141771124784,-0.265892029444209,0,0,0
48,-9.60765735905487,-0.897338902773674,-0.268265271214376,0,0,0
49,-9.60583263698051,-0.902145185944592,-0.266294047756127,0,0,0
50,-9.59884942998145,-0.899869520548501,-0.268414093678582,0,0,0
51,-9.60300035202,-0.892755880658718,-0.263639409260886,0,0,0
52,-9.60043110197332,-0.899350565076686,-0.265795530523233,0,0,0
53,-9.60046481458237,-0.897097541686261,-0.270315168735941,0,0,0
54,-9.61424116572486,-0.908469810151344,-0.268249029083633,0,0,0
55,-9.6123482623984,-0.901899575954731,-0.266144316302172,0,0,0
56,-9.59830144944753,-0.904063488705122,-0.270406377986753,0,0,0
57,-9.60571903255615,-0.893002654006893,-0.279710023439465,0,0,0
58,-9.60521352550291,-0.894957839629691,-0.272670117552059,0,0,0
59,-9.59796592071453,-0.899190974874262,-0.276993287612477,0,0,0
60,-9.60246547029306,-0.912800974615673,-0.268038471653832,0,0,0
