Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.45891189210448,-0.643131374669706,-3.0479660250145,0,0,0
1,-9.45883632856988,-0.643044450280718,-3.04349851700759,0,0,0
2,-9.45884002947757,-0.643821617677647,-3.03903723517268,0,0,0
3,-9.45891561603935,-0.642378621905251,-3.02788053024996,0,0,0
4,-9.46339449682669,-0.641439974124205,-3.02713752798272,0,0,0
5,-9.4634063270204,-0.642223495342102,-3.02788368877519,0,0,0
6,-9.45959702388544,-0.643042113941657,-3.02936652280462,0,0,0
7,-9.45958751830054,-0.642260409655758,-3.03010820347292,0,0,0
8,-9.45962722858134,-0.641535756301633,-3.03308428790863,0,0,0
9,-9.45737545691065,-0.640064401316161,-3.03531065265069,0,0,0
10,-9.45798636066159,-0.643723442015354,-3.03754291481937,0,0,0
11,-9.45879894039296,-0.643770927693792,-3.04201027095288,0,0,0
12,-9.45889246895819,-0.638489104417373,-3.04721127033658,0,0,0
13,-9.45898778844857,-0.637061586322066,-3.04870125299653,0,0,0
14,-9.45894532173295,-0.636235438914174,-3.05762339805608,0,0,0
15,-9.45892963885408,-0.636988171815822,-3.05539255669255,0,0,0
16,-9.45899420211028,-0.642449305030522,-3.06359013286908,0,0,0
17,-9.45895756084694,-0.640097859476885,-3.06060768261685,0,0,0
18,-9.45889884180432,-0.639259063485649,-3.05911492276295,0,0,0
19,-9.45888685951589,-0.640788982601228,-3.0524228069907,0,0,0
20,-9.45963866023073,-0.645388136665379,-3.05020173917491,0,0,0
21,-9.45881948492121,-0.643796272840548,-3.04052375367989,0,0,0
22,-9.46040183192294,-0.643074229636814,-3.04350353962675,0,0,0
23,-9.45804956603124,-0.646879187801991,-3.03606536943695,0,0,0
24,-9.45949688057947,-0.648309442481938,-3.03457909615298,0,0,0
25,-9.46024281166052,-0.649816228524734,-3.04127741297113,0,0,0
26,-9.45804647472301,-0.651485118339093,-3.0516959064307,0,0,0
27,-9.45943412601517,-0.652850296984835,-3.04127991031717,0,0,0
28,-9.45947944487571,-0.649825780571745,-3.03904446397714,0,0,0
29,-9.45874669769845,-0.65140772592342,-3.0427673749926,0,0,0
30,-9.45871099729421,-0.648282854573211,-3.04722191398823,0,0,0
31,-9.45958346359373,-0.649169859988807,-3.05392595295218,0,0,0
32,-9.45882780604865,-0.646106993409053,-3.05466234578434,0,0,0
33,-9.45806343407541,-0.643802239100569,-3.05763142030405,0,0,0
34,-9.45959386793206,-0.644560302730761,-3.05763604416829,0,0,0
35,-9.4648996433427,-0.640611099736107,-3.05391614691816,0,0,0
36,-9.45964442216014,-0.640774897350593,-3.05093615081342,0,0,0
37,-9.46035625052324,-0.640706465367095,-3.0494468388355,0,0,0
38,-9.45955669815038,-0.646061227928247,-3.04945475441012,0,0,0
39,-9.45810473994658,-0.644627368897223,-3.04796535345519,0,0,0
40,-9.45877723506566,-0.643744675597417,-3.04275286657434,0,0,0
41,-9.46040126301982,-0.642308814857773,-3.03531948066329,0,0,0
42,-9.45808939387771,-0.639223301771206,-3.04200223535766,0,0,0
43,-9.45892273597467,-0.640070660232586,-3.03829003308097,0,0,0
44,-9.45887430864977,-0.641553468127155,-3.03754663007281,0,0,0
45,-9.45886596460985,-0.640772663068182,-3.03903222837412,0,0,0
46,-9.45887214276879,-0.639238210757626,-3.04200474606992,0,0,0
47,-9.45799423406485,-0.638337357225693,-3.04645820365161,0,0,0
48,-9.46033629732983,-0.639916578199045,-3.04349322924109,0,0,0
49,-9.4602501057994,-0.643664906699793,-3.04200866833923,0,0,0
50,-9.45812060230182,-0.640031299196088,-3.04051796374208,0,0,0
51,-9.45958285170602,-0.643786720793537,-3.04275670267388,0,0,0
52,-9.46267778448931,-0.642260246630739,-3.04796837913661,0,0,0
53,-9.45804021752277,-0.643784106293593,-3.04275300578838,0,0,0
54,-9.45877664288144,-0.644509198519805,-3.0501929915658,0,0,0
55,-9.45957503562284,-0.639153461486715,-3.04944115549134,0,0,0
56,-9.45889483003118,-0.643108746670359,-3.05168430600369,0,0,0
57,-9.4617921458353,-0.644432048771597,-3.04945248682572,0,0,0
58,-9.45883266811855,-0.646885048642874,-3.05094498835398,0,0,0
59,-9.45881074378726,-0.646084379586129,-3.05838062092995,0,0,0
60,-9.45967852404445,-0.642350099373676,-3.05912378760846,0,0,0
61,-9.4618913753329,-0.646085958814332,-3.05541234103329,0,0,0
62,-9.45965276681042,-0.641555702405848,-3.04945055744859,0,0,0
63,-9.45887487748785,-0.642318886602026,-3.0457306856476,0,0,0
64,-9.45885260344552,-0.641527205550186,-3.03828922814918,0,0,0
65,-9.45723560684362,-0.646056390238686,-3.03754713725908,0,0,0
66,-9.45802939580773,-0.645314909851567,-3.03680480423603,0,0,0
67,-9.45880687146994,-0.641472866189601,-3.03828658161545,0,0,0
68,-9.45892389680374,-0.640071566874062,-3.03903395473217,0,0,0
69,-9.45896498546138,-0.640122292001162,-3.03606091282564,0,0,0
70,-9.45814616380237,-0.638521307591355,-3.0412600431577,0,0,0
71,-9.45893898758173,-0.640083353213259,-3.04870493619772,0,0,0
72,-9.45655974888597,-0.64000511547325,-3.04348862523193,0,0,0
73,-9.45890836975908,-0.638510848903619,-3.04274907111744,0,0,0
74,-9.45582678042769,-0.640812710486404,-3.05390457574897,0,0,0
