Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-8.7273296813177,0.0836623851292194,-4.44732021371492,0,0,0
1,-8.71856860334345,0.0856022607959815,-4.4839988613879,0,0,0
2,-8.71170585485855,0.0855969225575192,-4.45648702498308,0,0,0
3,-8.71600277429153,0.0790262362078778,-4.41522412488375,0,0,0
4,-8.72073297997673,0.0743402294569453,-4.36479928615438,0,0,0
5,-8.73164856584268,0.0725205893959067,-4.34416591111317,0,0,0
6,-8.74063331206122,0.0635964843182136,-4.35104693576464,0,0,0
7,-8.74558448009604,0.0587360662293689,-4.36481115905877,0,0,0
8,-8.74170050668848,0.0513346464355054,-4.37169939361673,0,0,0
9,-8.73280747949942,0.0669774368080515,-4.36252624817929,0,0,0
10,-8.74165052757403,0.069519962462092,-4.39691044712636,0,0,0
11,-8.75070231525847,0.0650766824727814,-4.42213047483092,0,0,0
12,-8.73542826910075,0.0848410875253779,-4.43817692821761,0,0,0
13,-8.73575877177841,0.0936232774451837,-4.45422744042286,0,0,0
14,-8.73775779168846,0.105208324004988,-4.44963640991874,0,0,0
15,-8.72633661977742,0.100662266371727,-4.44275413753282,0,0,0
16,-8.72753945918588,0.106150940852583,-4.4564885993093,0,0,0
17,-8.74367620952709,0.103773130604818,-4.47025445560859,0,0,0
18,-8.75261487005057,0.099416690247611,-4.45421046278629,0,0,0
19,-8.74538424364637,0.102007620246065,-4.44961468038826,0,0,0
20,-8.74732766234042,0.0796391642183169,-4.45190675714502,0,0,0
21,-8.73137693686591,0.0659814279274958,-4.42668605850595,0,0,0
22,-8.72898155010084,0.0479424003259712,-4.43127121603645,0,0,0
23,-8.72738680716718,0.0881416062744754,-4.43127403909834,0,0,0
24,-8.73387357178067,0.061267055603981,-4.43815374112666,0,0,0
25,-8.7267712255991,0.0433431472805718,-4.4358569160467,0,0,0
26,-8.73637210954202,0.0655981864545096,-4.37855744313957,0,0,0
27,-8.74106382707433,0.0722905442401471,-4.36251443771318,0,0,0
28,-8.75006453847059,0.0792235745800652,-4.37856182292395,0,0,0
29,-8.76093101734626,0.0661162295033503,-4.37168382246109,0,0,0
30,-8.75865773745953,0.057036930761281,-4.37168464577614,0,0,0
31,-8.75177742859,0.0479838340013552,-4.36022067511368,0,0,0
32,-8.75164366779012,0.0526418510205186,-4.38543291828704,0,0,0
33,-8.73824546876284,0.0523683610864097,-4.41293895254959,0,0,0
34,-8.73831461250662,0.0500396743503235,-4.40835602596404,0,0,0
35,-8.73825749419257,0.0682249711061837,-4.40835123111569,0,0,0
36,-8.72530103381715,0.0788825767531253,-4.37855478092593,0,0,0
37,-8.74512930421508,0.0772770087838898,-4.39001482783387,0,0,0
38,-8.74530692295299,0.0748604766785028,-4.41064943366779,0,0,0
39,-8.74496276788919,0.0796951516609296,-4.4083499251638,0,0,0
40,-8.73832728783309,0.0658962726585453,-4.40606064272357,0,0,0
41,-8.73334053223999,0.0753262662048383,-4.40604870095561,0,0,0
42,-8.74683572508506,0.059655180374691,-4.41064025210599,0,0,0
43,-8.74697533587463,0.0549978244601392,-4.40605908098701,0,0,0
44,-8.73806301138129,0.0389292036030152,-4.42210776286909,0,0,0
45,-8.75105180335292,0.0237012840320218,-4.42669011419291,0,0,0
46,-8.74617956997337,0.0262337333335803,-4.44272785717469,0,0,0
47,-8.73707347680002,0.0261982007292269,-4.44272344462464,0,0,0
48,-8.75312701915148,0.0329582337221123,-4.44273189891509,0,0,0
49,-8.75351080156109,0.0462204859113667,-4.42898214044381,0,0,0
50,-8.75111315189393,0.0576556399617831,-4.44043806387863,0,0,0
51,-8.75630909080105,0.0933796657333559,-4.43127515245802,0,0,0
52,-8.75918823233998,0.124591511551075,-4.40835739962545,0,0,0
53,-8.75467312403017,0.131337817908281,-4.39460055002722,0,0,0
54,-8.74773507601945,0.140471251413812,-4.38083950860354,0,0,0
55,-8.73642873593854,0.129027637577817,-4.39000701156843,0,0,0
56,-8.75205474037378,0.111237669360062,-4.43585925547279,0,0,0
57,-8.75422805197887,0.0977408077061096,-4.45649220730376,0,0,0
58,-8.75402252158047,0.0684428873143642,-4.43127906605481,0,0,0
59,-8.75578112329554,0.0484897977613764,-4.38772086770297,0,0,0
60,-8.74629414808018,0.00571845246295085,-4.39688776801853,0,0,0
61,-8.72372451310075,-0.00588026285308661,-4.38083640273659,0,0,0
62,-8.7216044968636,0.00304961379175028,-4.40834414612539,0,0,0
63,-8.72365458331133,0.0168766061921583,-4.47481559050956,0,0,0
64,-8.72196550450973,0.0299276488559556,-4.37625252836784,0,0,0
65,-8.75361132459259,0.0415577778312528,-4.28686086038619,0,0,0
66,-8.73160929198089,0.09294454065613,-4.29831461560919,0,0,0
67,-8.73928604159067,0.0900044741734837,-4.44733480632947,0,0,0
68,-8.78114020227835,0.0664908709462402,-4.54590532115901,0,0,0
69,-8.74213789143198,0.059771458473465,-4.43585093165967,0,0,0
70,-8.7478500208635,0.0814332998775852,-4.39919232478988,0,0,0
71,-8.74074279143673,0.0703186355779929,-4.41064797374129,0,0,0
72,-8.73365701124457,0.0455875179113613,-4.43586077538848,0,0,0
73,-8.74014415600048,0.0481870745646392,-4.45878058290628,0,0,0
74,-8.73125129213593,0.0411664088815468,-4.46565847867731,0,0,0
75,-8.73296551708998,0.0325904655894817,-4.43585099157189,0,0,0
76,-8.74654772062092,0.0168295354450346,-4.39001304383766,0,0,0
77,-8.74635192636553,0.0101978107093071,-4.38313394102999,0,0,0
78,-8.75515283855841,0.0104983901929407,-4.37854818195667,0,0,0
79,-8.76694083795528,0.0192600504565396,-4.39002072540774,0,0,0
80,-8.76677097340726,0.0216771320616371,-4.39689415810745,0,0,0
81,-8.76665367494446,0.0285729310213426,-4.37167510349771,0,0,0
82,-8.75341140261302,0.0326899894883509,-4.37396742170364,0,0,0
83,-8.75378159351618,0.0369049945477889,-4.390019432777,0,0,0
84,-8.75616205787695,0.0458965044718448,-4.41065146738408,0,0,0
85,-8.73620297459933,0.0453515553691175,-4.40377420146613,0,0,0
86,-8.74544199607692,0.0475383984959054,-4.40607286559766,0,0,0
87,-8.73872919599244,0.0428773102087961,-4.4106572880734,0,0,0
88,-8.74347033219022,0.0450027911323365,-4.42900109391292,0,0,0
89,-8.75437908004104,0.0499912082085705,-4.41524304344956,0,0,0
90,-8.7502974512728,0.0359586302274496,-4.40837522760629,0,0,0
91,-8.76339834861139,0.0364984752579923,-4.40378703203145,0,0,0
92,-8.75421313003395,0.0387901764144384,-4.37398045606906,0,0,0
93,-8.75441933050044,0.0318043540817937,-4.35564690661073,0,0,0
94,-8.75441737506431,0.0318040784540628,-4.34876987504626,0,0,0
95,-8.75414166590343,0.0343090470655693,-4.33959516111194,0,0,0
96,-8.75444626264205,0.0340436445135101,-4.34189293326195,0,0,0
97,-8.75701090565418,0.0270013674259116,-4.34419289324231,0,0,0
98,-8.75938683372672,0.0359917372033983,-4.34877858779752,0,0,0
99,-8.75515059653654,0.040232553180857,-4.35565816191617,0,0,0
100,-8.75738632748366,0.0312168973332362,-4.37858376357909,0,0,0
101,-8.75457266108188,0.0271494924812506,-4.39920492818699,0,0,0
102,-8.75716001503893,0.0291550826709032,-4.40379585713644,0,0,0
103,-8.74567222917612,0.0269374907594555,-4.41066593479745,0,0,0
104,-8.74580372440355,0.0290887355337436,-4.40837551560811,0,0,0
105,-8.75020883450946,0.0292397581783941,-4.42212903837014,0,0,0
106,-8.75488443303487,0.0268852160576151,-4.42671861285907,0,0,0
107,-8.74815889430931,0.0290316330538952,-4.41754738778998,0,0,0
108,-8.73216732526068,0.026751857452287,-4.41983148039989,0,0,0
109,-8.74596736543754,0.0334799275189561,-4.41066988144832,0,0,0
110,-8.75247497394134,0.0383174958849439,-4.39691239115508,0,0,0
111,-8.75935045574113,0.040560316908593,-4.36023868756706,0,0,0
112,-8.74121713093349,0.0449715154524721,-4.42212341933311,0,0,0
113,-8.7484699239172,0.0514298521170901,-4.42671767984521,0,0,0
114,-8.77950234446603,0.0386912426520599,-4.44047464247684,0,0,0
115,-8.73911807609913,0.0425208478320264,-4.35335597559915,0,0,0
116,-8.74810592906674,0.0404069700009665,-4.40149772692525,0,0,0
117,-8.76368061355258,0.0339944200954629,-4.43588529012373,0,0,0
118,-8.75464532120341,0.0406753743521572,-4.36023377135725,0,0,0
119,-8.76145531662241,0.0293933807140916,-4.38774703906207,0,0,0
120,-8.76776767831335,0.027599685083812,-4.36940280959955,0,0,0
121,-8.77034920941602,0.0296044746914992,-4.35336258446931,0,0,0
122,-8.76747280372541,0.0278663660122407,-4.40149010568188,0,0,0
123,-8.75812493983605,0.0325761958230694,-4.40377272126633,0,0,0
124,-8.75527069597145,0.0262671540514981,-4.39000864298301,0,0,0
125,-8.74421206550856,0.025934496308173,-4.37167043458482,0,0,0
126,-8.73966873759616,0.0304407304973301,-4.36708284609457,0,0,0
127,-8.73554650231043,0.0277856916426661,-4.38771978572401,0,0,0
128,-8.75154632045637,0.0300667628198685,-4.41523607359598,0,0,0
129,-8.74408093105509,0.0305927771681024,-4.40605194286567,0,0,0
130,-8.7487437270795,0.0350458776479899,-4.39688590939632,0,0,0
131,-8.75398943534709,0.0367287024182807,-4.40836180624859,0,0,0
132,-8.75998323201244,0.0193437191507801,-4.38543047565913,0,0,0
133,-8.7576001676152,0.0103517061752839,-4.35562912880086,0,0,0
134,-8.758529233,0.0254127387983787,-4.36939651569412,0,0,0
135,-8.7593933518579,0.0359926559640129,-4.37170206405976,0,0,0
136,-8.75947056686413,0.0495190886020714,-4.34877731326538,0,0,0
137,-8.75514759161553,0.0697044930080099,-4.36023675640387,0,0,0
138,-8.75980538376552,0.0651115718648713,-4.41067314082408,0,0,0
139,-8.75494830141349,0.0472188424556536,-4.38774583672693,0,0,0
140,-8.76602700600444,0.0271269300261794,-4.38316536364561,0,0,0
141,-8.74805106840665,0.0291191844541805,-4.39462207004013,0,0,0
142,-8.739049307945,0.028995643127265,-4.40608124741378,0,0,0
143,-8.7546109888371,0.0225812326313334,-4.39462188921026,0,0,0
144,-8.72739694335793,0.015577477224713,-4.37627333963368,0,0,0
145,-8.73433864126839,0.0223006695220362,-4.35564623389631,0,0,0
146,-8.76159921757682,0.0179282748453296,-4.36712093227466,0,0,0
147,-8.75048830991043,0.0221619062174264,-4.30522626934249,0,0,0
148,-8.75475117720183,0.0269691728603069,-4.31439173391202,0,0,0
149,-8.75345328964385,0.0213124226424785,-4.3510472568128,0,0,0
150,-8.75564120546069,0.0236728130664338,-4.37626186168816,0,0,0
151,-8.76233088917335,0.026095134247774,-4.39918539174847,0,0,0
152,-8.75358318478043,0.0302730699475824,-4.37397097906815,0,0,0
153,-8.75989614443829,0.0284793812347532,-4.35791918772712,0,0,0
154,-8.77569294031365,0.0241277889884727,-4.35334063940268,0,0,0
155,-8.7644722998451,0.0262134004085803,-4.3693838626897,0,0,0
156,-8.76039592196087,0.0348455657526529,-4.36480373392481,0,0,0
157,-8.75395368682925,0.0276787131843104,-4.3602241430853,0,0,0
158,-8.75340038349885,0.0100243826898553,-4.35104862204421,0,0,0
159,-8.75559571158897,0.0282403445790139,-4.35562920690104,0,0,0
160,-8.74703569785961,0.023194200558481,-4.35563554677597,0,0,0
161,-8.75111410090122,0.014562269682303,-4.36709270146653,0,0,0
162,-8.75116831503035,0.0258505734866724,-4.37167600037765,0,0,0
163,-8.75154110597287,0.0300660278143999,-4.3968973680142,0,0,0
164,-8.74294466452858,0.0295885760469236,-4.40836384913405,0,0,0
165,-8.7513108990358,0.0280035162667828,-4.40835529378562,0,0,0
166,-8.74882266224975,0.0327185985939055,-4.42668798789651,0,0,0
167,-8.75386444751099,0.0345783166356641,-4.43357559892429,0,0,0
168,-8.75615042699673,0.036849777175356,-4.44733035807428,0,0,0
169,-8.75780056666482,0.0306031820023501,-4.44044445971812,0,0,0
170,-8.75371901113391,0.016570629084924,-4.43357672875306,0,0,0
171,-8.75605885934243,0.0233207722884754,-4.41982360343854,0,0,0
172,-8.75154467135819,0.0232571189205928,-4.37856021854497,0,0,0
173,-8.7489950351723,0.0166827888738472,-4.36709397181846,0,0,0
174,-8.7537449512935,0.012000515432141,-4.38543925552915,0,0,0
175,-8.75459633384598,0.0293883009200648,-4.37398921482048,0,0,0
176,-8.7553825482383,0.0264417417492571,-4.3969272464876,0,0,0
177,-8.75470873098034,0.0293013909447205,-4.41296093201366,0,0,0
178,-8.74363400984294,0.0267310418505039,-4.44734654902961,0,0,0
179,-8.74551610699971,0.0293564485330959,-4.46567862240456,0,0,0
180,-8.75511694036419,0.0357569561555097,-4.45422901137408,0,0,0
181,-8.75494937657268,0.0313652457498709,-4.43818053526023,0,0,0
182,-8.75461815877845,0.0225822432675939,-4.41983770272738,0,0,0
183,-8.75248928613556,0.0247012243792671,-4.38545378035728,0,0,0
184,-8.75221258881936,0.0203967382640114,-4.34189537514848,0,0,0
185,-8.74581566421425,0.0313258675901006,-4.34189752422594,0,0,0
186,-8.75469796599012,0.0224907743248269,-4.34419207349625,0,0,0
187,-8.75460251527005,0.0225800382430256,-4.3648213823264,0,0,0
188,-8.75724960250193,0.0290649598211638,-4.36253540175583,0,0,0
189,-8.75456679476864,0.0271486655973776,-4.37857381652227,0,0,0
190,-8.7568567080626,0.0294205872774825,-4.40608269537547,0,0,0
191,-8.75497435248763,0.0336042040208574,-4.41754948791645,0,0,0
192,-8.74581250244698,0.0222809098634579,-4.40837708398978,0,0,0
193,-8.74356515542482,0.0222504609016525,-4.422130535214,0,0,0
194,-8.73694126879297,0.0311175196309616,-4.44505245944564,0,0,0
195,-8.7390529245984,0.0358052833198232,-4.44963426696448,0,0,0
196,-8.73698897372799,0.0424042486078495,-4.42671227453051,0,0,0
197,-8.73712531059926,0.0377469822785574,-4.41066933889625,0,0,0
198,-8.74799168425939,0.0314490251917012,-4.4335902213773,0,0,0
199,-8.74601220048213,0.0289126229291577,-4.42901033664624,0,0,0
200,-8.75057510286063,0.0334539873961159,-4.42442709755944,0,0,0
201,-8.74571154528998,0.0291784929161624,-4.44046653146011,0,0,0
202,-8.74617097357644,0.0401121353102174,-4.44505723211691,0,0,0
203,-8.74799624694934,0.0314496683238669,-4.44963664816092,0,0,0
204,-8.7482404410894,0.0267049518531782,-4.45651908120299,0,0,0
205,-8.74152754038769,0.0447067804320921,-4.44505242569739,0,0,0
206,-8.74387683684609,0.0446487718409467,-4.4335931758383,0,0,0
207,-8.72807257049541,0.0489990860306763,-4.41295589735073,0,0,0
208,-8.71677606554305,0.0534121822225091,-4.41065868969241,0,0,0
209,-8.71930771375001,0.0441295699804452,-4.40608162443525,0,0,0
210,-8.7149531971302,0.0394120067048986,-4.43129971375977,0,0,0
211,-8.71451313361906,0.044334870186485,-4.4473370910512,0,0,0
212,-8.72127499018188,0.0376198735697947,-4.44504824744773,0,0,0
213,-8.71890036333766,0.0286297327278746,-4.44504724814593,0,0,0
214,-8.71868837856994,0.0129517878933116,-4.45880071111513,0,0,0
215,-8.72754441350979,0.00187759799631026,-4.47714161153917,0,0,0
216,-8.74345808181774,0.0132936171806147,-4.4794388903293,0,0,0
217,-8.74571942321239,0.00651708946024582,-4.48402582715805,0,0,0
218,-8.75895906842408,-0.00440922443130472,-4.44047272776348,0,0,0
219,-8.75934665877738,0.0315151761891476,-4.42442587990624,0,0,0
220,-8.74691243928464,0.0802483117833356,-4.38775376875176,0,0,0
221,-8.75566581275108,0.0919261184202577,-4.38545711389702,0,0,0
222,-8.74046154960031,0.109361410823693,-4.39921293833104,0,0,0
223,-8.73364162406837,0.141071458740518,-4.42900359967917,0,0,0
224,-8.72029765126281,0.122611856502345,-4.44734522110106,0,0,0
225,-8.73971132820879,0.0986971795500835,-4.44046369224064,0,0,0
226,-8.73490749518087,0.0626191387497191,-4.40378713026556,0,0,0
227,-8.7189302270738,0.0467231159203562,-4.3946126337609,0,0,0
228,-8.71905484268184,0.0330196162516227,-4.41524873683653,0,0,0
229,-8.71654262544494,0.0286864682437611,-4.42670597415612,0,0,0
230,-8.70955876508641,0.0265310525007037,-4.43816200202289,0,0,0
231,-8.70955485421091,0.0265305012447884,-4.42440792757975,0,0,0
232,-8.70951398049487,0.03109844056273,-4.41982157324212,0,0,0
233,-8.71690132250715,0.0397086725495832,-4.43358716207316,0,0,0
234,-8.71908672037704,0.0420686274153519,-4.44963248395143,0,0,0
235,-8.719113385061,0.0511169949350067,-4.46567742177477,0,0,0
236,-8.71915407168267,0.0760216209157297,-4.48401158391826,0,0,0
237,-8.73085436524926,0.0712534374031187,-4.48173159985427,0,0,0
238,-8.73761205890065,0.0713469894399292,-4.49548761749908,0,0,0
239,-8.73635439017458,0.0769794305287752,-4.4862940921422,0,0,0
240,-8.72915076379781,0.0591442306816644,-4.48399537844857,0,0,0
241,-8.71572326604031,0.0498213830834915,-4.48628725312295,0,0,0
242,-8.71973097524303,0.0367085800921009,-4.46565137566571,0,0,0
243,-8.71344627019154,0.033932185891541,-4.44273528030527,0,0,0
244,-8.71548493998085,0.0409483086306062,-4.43814596167963,0,0,0
245,-8.69801157247161,0.0424974111318847,-4.43585783875757,0,0,0
246,-8.7091703985849,0.0427415078435523,-4.44961323116264,0,0,0
247,-8.71552295414915,0.0431892513995501,-4.46336175089565,0,0,0
248,-8.71737263217113,0.0367652719696409,-4.44501787286378,0,0,0
249,-8.72636416642105,0.0436970782407368,-4.42897252235115,0,0,0
250,-8.72429052690384,0.0412498456518711,-4.44960649460553,0,0,0
251,-8.74684291921676,0.0369915070770714,-4.45190690686341,0,0,0
252,-8.73523267116834,0.0484788278166416,-4.44501788482511,0,0,0
253,-8.73769325234239,0.0415239244311291,-4.43814681357201,0,0,0
