Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.58344668631689,-0.153869013667469,-0.901784569711804,0,0,0
1,-9.58133772073575,-0.14491095688297,-0.901795519890067,0,0,0
2,-9.58080762883113,-0.139853895674514,-0.896990858396218,0,0,0
3,-9.58565840714168,-0.144668386141474,-0.883626795552869,0,0,0
4,-9.57208995901323,-0.147140023653498,-0.881374643739181,0,0,0
5,-9.57383137619662,-0.153473258261023,-0.881171220757953,0,0,0
6,-9.58124401272566,-0.140282589273817,-0.847497740406723,0,0,0
7,-9.58085868154308,-0.151338075088038,-0.847388487641517,0,0,0
8,-9.59091356669405,-0.138458435001492,-0.841010789133278,0,0,0
9,-9.59892515153491,-0.137370665244916,-0.840518020552484,0,0,0
10,-9.59661846432672,-0.128231427742644,-0.833655970051653,0,0,0
11,-9.59014321804411,-0.135459501709222,-0.838365078213493,0,0,0
12,-9.59468802130954,-0.13313249830927,-0.842881614692781,0,0,0
13,-9.59526065896199,-0.135950466190968,-0.838654304922127,0,0,0
14,-9.59534553086987,-0.142872754983604,-0.850037328258587,0,0,0
15,-9.58092758488879,-0.146833477731866,-0.854168861327617,0,0,0
16,-9.59884015831956,-0.14184907819985,-0.858581603138215,0,0,0
17,-9.579691542106,-0.134116267717784,-0.868125455155455,0,0,0
18,-9.58789068053817,-0.133192738737199,-0.890315400631345,0,0,0
19,-9.58571999670154,-0.140151898598289,-0.901699901026479,0,0,0
20,-9.57926832587406,-0.133708961446878,-0.897291747976708,0,0,0
21,-9.58305000340449,-0.139795697597577,-0.917316265648867,0,0,0
22,-9.58854084356078,-0.142921083844154,-0.908764047359547,0,0,0
23,-9.58372500949775,-0.149564464123565,-0.897369657575353,0,0,0
24,-9.5836942150824,-0.151822686207489,-0.888333088083894,0,0,0
25,-9.58348040628847,-0.151615545498432,-0.906304036424017,0,0,0
26,-9.57940152398374,-0.138401662283209,-0.890608793052849,0,0,0
27,-9.57666409968926,-0.142552404863502,-0.897186282238418,0,0,0
28,-9.58622516532526,-0.147476645654441,-0.888433801167271,0,0,0
29,-9.58514425298688,-0.151038356307846,-0.883424829353254,0,0,0
30,-9.573736294513,-0.146534174565613,-0.885597993182765,0,0,0
31,-9.57672853623826,-0.140348955766329,-0.854276297588625,0,0,0
32,-9.58346291141856,-0.142494546724835,-0.847493907149675,0,0,0
33,-9.57968290586593,-0.12270131486653,-0.852230061076165,0,0,0
34,-9.5999887040196,-0.12238003227895,-0.843182715433782,0,0,0
35,-9.59294811086416,-0.126801869559393,-0.840826419261113,0,0,0
36,-9.59252771150446,-0.128707540469154,-0.809009675194126,0,0,0
37,-9.59500572605881,-0.140293068854935,-0.806932516447871,0,0,0
38,-9.59731681529777,-0.149439217977239,-0.807018920016043,0,0,0
39,-9.58336613902194,-0.149262130908167,-0.827159884250555,0,0,0
40,-9.58596306058837,-0.140406742970924,-0.838558021009633,0,0,0
41,-9.58176073266271,-0.159026878824681,-0.84560977492032,0,0,0
42,-9.58136112372727,-0.144949074952744,-0.86565876467472,0,0,0
43,-9.58121622169904,-0.140237324107991,-0.89041009737826,0,0,0
44,-9.57242693160641,-0.138314256458428,-0.899549933368327,0,0,0
45,-9.58375322860843,-0.122191794174839,-0.908495975847033,0,0,0
46,-9.57682684970258,-0.131275480268431,-0.928817775299852,0,0,0
47,-9.58665746128746,-0.131881166333388,-0.929201799570873,0,0,0
48,-9.57754732391905,-0.136501712142356,-0.951788433714084,0,0,0
49,-9.57513509380756,-0.134115927713086,-0.938143470292508,0,0,0
50,-9.58353321936193,-0.14708478536675,-0.937928441858036,0,0,0
51,-9.57479373121087,-0.142934443096386,-0.926743759103336,0,0,0
52,-9.57219389535057,-0.151785035506069,-0.919862624315189,0,0,0
53,-9.57929730108393,-0.156557819475348,-0.911014208793087,0,0,0
54,-9.57894875657319,-0.153963968795237,-0.881460566777338,0,0,0
55,-9.58801197783248,-0.151575385095964,-0.874681453736421,0,0,0
56,-9.58284321349029,-0.155617850048755,-0.840509268317549,0,0,0
57,-9.5871084725604,-0.148421240370961,-0.840221730443533,0,0,0
58,-9.585618757866,-0.14922060934189,-0.831675513522782,0,0,0
59,-9.58179019802042,-0.145365802204338,-0.827458207661577,0,0,0
60,-9.5866162733217,-0.138739151032062,-0.823042668593586,0,0,0
61,-9.5811312909645,-0.135623205402572,-0.82256112090159,0,0,0
62,-9.58570981456065,-0.131042712137066,-0.831597115727214,0,0,0
63,-9.58581243823708,-0.12428462491534,-0.84289694775965,0,0,0
64,-9.58781292249405,-0.139991326332846,-0.8406203374872,0,0,0
65,-9.58397267158794,-0.136117574027664,-0.854471454703516,0,0,0
66,-9.58153243334516,-0.14739541133579,-0.856719603446303,0,0,0
67,-9.58140361982066,-0.142709901059873,-0.856626948181179,0,0,0
68,-9.58184154765873,-0.140832703037663,-0.86134122316658,0,0,0
69,-9.58095252911399,-0.144565693616693,-0.872239577713379,0,0,0
70,-9.58190606150422,-0.136321045325054,-0.874897276113457,0,0,0
71,-9.58135381029242,-0.14493716305594,-0.876951500679516,0,0,0
72,-9.58169079348689,-0.13611144806089,-0.895126803009138,0,0,0
73,-9.58412079291138,-0.124816934081753,-0.908688499353424,0,0,0
74,-9.57739078894659,-0.122678512228745,-0.908695254468859,0,0,0
75,-9.58130714335321,-0.133460210416064,-0.91977830069244,0,0,0
76,-9.57403077389263,-0.139947489232696,-0.912805027557089,0,0,0
77,-9.5730273598199,-0.138869162310779,-0.908876466964697,0,0,0
78,-9.57670367058286,-0.140308455354802,-0.892671564352632,0,0,0
79,-9.58124701647897,-0.137979080336399,-0.899446650115065,0,0,0
80,-9.58126589273168,-0.14941074608296,-0.899532228068518,0,0,0
81,-9.57731289046433,-0.140877628324884,-0.888446761792034,0,0,0
82,-9.58327551124279,-0.140021957118386,-0.881277033472527,0,0,0
83,-9.58075627732238,-0.144387103202107,-0.863108000066277,0,0,0
84,-9.58079877393005,-0.14214789672464,-0.854076208773412,0,0,0
85,-9.58119252386937,-0.156216415797927,-0.843061431113653,0,0,0
86,-9.59008735003174,-0.151386280472334,-0.840704399745491,0,0,0
87,-9.58053361873971,-0.146473934313458,-0.838164295337031,0,0,0
88,-9.58128358361925,-0.138038639765116,-0.842983022520936,0,0,0
89,-9.58029378734178,-0.141589267228292,-0.846814486015176,0,0,0
90,-9.58147983588564,-0.138217258997965,-0.85211459839985,0,0,0
91,-9.5814344144183,-0.140451668132115,-0.865663509295311,0,0,0
92,-9.58114745908419,-0.133341127037779,-0.854183095326778,0,0,0
93,-9.57709169888353,-0.142966775260463,-0.861244368518028,0,0,0
94,-9.58350088390605,-0.151648898809484,-0.874684375610588,0,0,0
95,-9.58555139594578,-0.151419293684766,-0.879102588380106,0,0,0
96,-9.58100073662161,-0.153736756817425,-0.883620228136499,0,0,0
97,-9.58138460489006,-0.142678930128181,-0.885988061793648,0,0,0
98,-9.58187952079265,-0.149986930081669,-0.888531780382395,0,0,0
99,-9.58365903260207,-0.154073761146693,-0.886072166486895,0,0,0
100,-9.58598640996221,-0.149537236748316,-0.888333999443876,0,0,0
101,-9.58189143460736,-0.136297221487202,-0.89748279006693,0,0,0
102,-9.58180330578067,-0.154479507014205,-0.893044142815583,0,0,0
103,-9.58046918173756,-0.148677416094774,-0.881074160412415,0,0,0
104,-9.57876589099235,-0.14009785302772,-0.879021412333003,0,0,0
105,-9.57671976012459,-0.140334661503437,-0.867827568211216,0,0,0
106,-9.58115463213918,-0.144753811651177,-0.87233699190465,0,0,0
107,-9.57855369901338,-0.128492127976568,-0.865287200861927,0,0,0
108,-9.57916292000858,-0.129061480507914,-0.861062333573339,0,0,0
109,-9.58316132491195,-0.135360167351681,-0.85859894669435,0,0,0
110,-9.57663198809673,-0.133407493447367,-0.860961646213539,0,0,0
111,-9.58055856334036,-0.144206128528313,-0.856234978190587,0,0,0
112,-9.5832298741138,-0.155965390908484,-0.867806579153095,0,0,0
113,-9.580647802377,-0.151135693479925,-0.860842342122971,0,0,0
114,-9.58360935725563,-0.144900406199179,-0.876950039742433,0,0,0
115,-9.58505500846795,-0.144108791467918,-0.878817444452488,0,0,0
116,-9.58119566571839,-0.142512244519625,-0.865563728915099,0,0,0
117,-9.58241268145595,-0.143648125762729,-0.859372506998957,0,0,0
118,-9.58115002777597,-0.158455589690798,-0.852093247607194,0,0,0
119,-9.58136989984908,-0.144963369228909,-0.852107481468965,0,0,0
120,-9.58398716514241,-0.147541991206186,-0.861332645363747,0,0,0
121,-9.58877513584212,-0.14316161756953,-0.859173318979931,0,0,0
122,-9.57924777008521,-0.135983871030163,-0.872445356455862,0,0,0
123,-9.58046918173756,-0.148677416094774,-0.881074160412415,0,0,0
124,-9.57264365098025,-0.138526227277271,-0.87706188008052,0,0,0
125,-9.58170249499351,-0.136130507113475,-0.877058408623912,0,0,0
126,-9.57526382250451,-0.14110966480391,-0.88176999183583,0,0,0
127,-9.57894290582531,-0.153954439277794,-0.890494755581175,0,0,0
128,-9.58330776888927,-0.137766084877895,-0.888055034825434,0,0,0
129,-9.5808530508046,-0.137619453942495,-0.883441985284599,0,0,0
130,-9.5812366992976,-0.140270677388073,-0.858790465925548,0,0,0
131,-9.5809554544825,-0.144570458366566,-0.867722491700237,0,0,0
132,-9.58640379542609,-0.149934857573439,-0.868201877064677,0,0,0
133,-9.58365770409691,-0.142670761823751,-0.858884034445054,0,0,0
134,-9.58129222109714,-0.149453628911456,-0.858878378451252,0,0,0
135,-9.5833223957318,-0.13778990862726,-0.865469604759723,0,0,0
136,-9.58566864594096,-0.144685062781515,-0.867816979826513,0,0,0
137,-9.58087206568223,-0.137650424787912,-0.854080953462697,0,0,0
138,-9.5859894671251,-0.138141362905083,-0.854370223726643,0,0,0
139,-9.58330462784416,-0.151470344759637,-0.865552778692818,0,0,0
140,-9.58124387425586,-0.151683273286884,-0.876944383748631,0,0,0
141,-9.58356978653618,-0.147144344850772,-0.881464761834056,0,0,0
142,-9.58576834370881,-0.13792224335248,-0.883633912518102,0,0,0
143,-9.58057619453333,-0.141926410890607,-0.885598355105057,0,0,0
144,-9.58075503675346,-0.130675529673833,-0.892385833322066,0,0,0
145,-9.58132177020933,-0.133484034187551,-0.897192849654789,0,0,0
146,-9.58190313612485,-0.136316280557484,-0.879414378904152,0,0,0
