Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.85141697842514,0.0877829240956251,-1.21842198824358,0,0,0
1,-9.84827502691643,0.0816964417196191,-1.2154488162022,0,0,0
2,-9.84873221268704,0.0743084612195309,-1.20429808019918,0,0,0
3,-9.84876506967034,0.0704529803179018,-1.194632636043,0,0,0
4,-9.84794822666493,0.0674265305202389,-1.18942749881758,0,0,0
5,-9.85000740686423,0.0714752188308155,-1.18347173725773,0,0,0
6,-9.84826086174045,0.0771130254787476,-1.18346583505113,0,0,0
7,-9.84737148098495,0.0863942356977438,-1.18121862605111,0,0,0
8,-9.84916623800133,0.0938406171862495,-1.17451814258726,0,0,0
9,-9.84745137916858,0.0863251710868297,-1.16262119005006,0,0,0
10,-9.84796174285536,0.0758304647279517,-1.14701175082353,0,0,0
11,-9.84563174435875,0.0666504661203517,-1.13883703588744,0,0,0
12,-9.84690066834937,0.0645899436521471,-1.14107157371594,0,0,0
13,-9.85479650685354,0.0744152372093173,-1.15967136873862,0,0,0
14,-9.84794514058624,0.0796733234238235,-1.16709248329175,0,0,0
15,-9.85257140641457,0.0804562653735807,-1.16709929931645,0,0,0
16,-9.85187115327311,0.0796294215861547,-1.17825886322883,0,0,0
17,-9.84955090026597,0.0666152881549621,-1.18050467265027,0,0,0
18,-9.84984223087701,0.0547750414870302,-1.17977350838917,0,0,0
19,-9.84771528746704,0.0676214119574364,-1.17975367728021,0,0,0
20,-9.848646857863,0.0705518097097044,-1.18867979648984,0,0,0
21,-9.85044277113873,0.0764682230761512,-1.1983480160022,0,0,0
22,-9.85046217587396,0.0833415621963503,-1.21024162109021,0,0,0
23,-9.85433792108993,0.0871668125622718,-1.21991426312167,0,0,0
24,-9.85180192682297,0.0842847176518328,-1.22660733082668,0,0,0
25,-9.84836397570575,0.0869828673789867,-1.25263911069235,0,0,0
26,-9.84608370734185,0.0892437219899563,-1.26379134416279,0,0,0
27,-9.85076341432847,0.0945728084008378,-1.25114556926851,0,0,0
28,-9.8478751279587,0.102813224449661,-1.22732502449366,0,0,0
29,-9.85165300231038,0.109015718848318,-1.22062677413786,0,0,0
30,-9.8460159422054,0.094652638226418,-1.20054874996605,0,0,0
31,-9.84587818446503,0.083286965543777,-1.19461161292351,0,0,0
32,-9.85059898618825,0.086286690357715,-1.19684815483931,0,0,0
33,-9.84810780161029,0.074180529725999,-1.18644405339454,0,0,0
34,-9.84895180880917,0.0748885206152986,-1.19760417027202,0,0,0
35,-9.85255674412293,0.0735824839236168,-1.19314635769324,0,0,0
36,-9.84195120790681,0.0733811822259918,-1.1797393293533,0,0,0
37,-9.84965174867709,0.0841333843502689,-1.17006636296247,0,0,0
38,-9.8438639776993,0.0922085322284677,-1.16632887542107,0,0,0
39,-9.84754927706492,0.0870066985215654,-1.14774254368612,0,0,0
40,-9.84938033773308,0.0652224292374966,-1.12173400554875,0,0,0
41,-9.85053888249294,0.0395279207828218,-1.12102432507186,0,0,0
42,-9.85125073116069,0.0388161946827267,-1.13292899612967,0,0,0
43,-9.85071423331362,0.0470374490454724,-1.15523673721275,0,0,0
44,-9.84926810360923,0.0507785476111434,-1.16341319317902,0,0,0
45,-9.85012017116557,0.0675508288354536,-1.15520885321979,0,0,0
46,-9.85491879688522,0.0750778458653285,-1.16041563124264,0,0,0
47,-9.85320913745659,0.0652642741746237,-1.1753035581947,0,0,0
48,-9.856179652275,0.0569530445497796,-1.18201458146092,0,0,0
49,-9.85086241689181,0.0568653214913287,-1.18349417539198,0,0,0
50,-9.85161517315712,0.0668333692792,-1.18199362001101,0,0,0
51,-9.85190136039732,0.0826644668517411,-1.16635202545659,0,0,0
52,-9.8519980191943,0.0963595986073004,-1.15740685728295,0,0,0
53,-9.85154408498402,0.0991500390624281,-1.14773374695689,0,0,0
54,-9.8511312349152,0.0903134430008557,-1.15146146169502,0,0,0
55,-9.85334692356795,0.0812177301185759,-1.13436650631728,0,0,0
56,-9.85409802718234,0.0774103221564013,-1.13288500634707,0,0,0
57,-9.84817914940306,0.0810033700076103,-1.12692054392861,0,0,0
58,-9.85175285382628,0.0812544379230245,-1.12171642922198,0,0,0
59,-9.8555853829594,0.075930952628786,-1.12768158619505,0,0,0
60,-9.85185712612592,0.0796370831687994,-1.13436658229181,0,0,0
61,-9.85257919588234,0.0743230738024644,-1.12991113102077,0,0,0
62,-9.85860758744679,0.0714025607738716,-1.1284364047306,0,0,0
63,-9.8547490299655,0.077514237357224,-1.13288497944233,0,0,0
64,-9.85934870806529,0.0798505690376936,-1.13512117480965,0,0,0
65,-9.85277418589763,0.0818139970112787,-1.14180570295376,0,0,0
66,-9.85585783770918,0.0787636341732804,-1.1314000656433,0,0,0
67,-9.84493141438209,0.0788359542671272,-1.15667402323393,0,0,0
68,-9.86019238031818,0.0713731559713554,-1.13513491485084,0,0,0
69,-9.82153742381537,0.158916217828304,-1.22498274484972,0,0,0
70,-9.85271289256431,0.0304685468476692,-1.11211214730523,0,0,0
71,-9.88175555452533,0.00924590849287761,-1.06233881318065,0,0,0
