Time,AccV,AccML,AccAP,StartHesitation,Turn,Walking
0,-9.78862223434249,0.0975244368936898,-0.491893529279576,0,0,0
1,-9.77417291931676,0.0933784395601952,-0.497801870253357,0,0,0
2,-9.77973801911083,0.101609049093169,-0.505641520824598,0,0,0
3,-9.77728003207904,0.103958953038509,-0.500874185332257,0,0,0
4,-9.77932796433476,0.101962385420957,-0.507335156015169,0,0,0
5,-9.77697295160026,0.104223235606103,-0.509442327103744,0,0,0
6,-9.77456150166697,0.0975391888600986,-0.51842491754286,0,0,0
7,-9.78142158640644,0.0909332457541366,-0.514072978198913,0,0,0
8,-9.77906754345142,0.0931924203089123,-0.531898727897258,0,0,0
9,-9.78162807975058,0.0907542413953725,-0.536804051594769,0,0,0
10,-9.78641769974537,0.0906607849157566,-0.530343746657944,0,0,0
11,-9.7738113471788,0.0846942696130389,-0.544682535396348,0,0,0
12,-9.77460732705882,0.0885064851304301,-0.520947290083982,0,0,0
13,-9.78375319848118,0.0931896111432612,-0.502845331295065,0,0,0
14,-9.78160286510257,0.0952743904190916,-0.498491903978912,0,0,0
15,-9.77685826790199,0.086336602461908,-0.494001510384539,0,0,0
16,-9.78600608296644,0.0910164691996426,-0.507336726090948,0,0,0
17,-9.77194385712563,0.0910336877135515,-0.509167476271687,0,0,0
18,-9.77941462297902,0.0951419800184188,-0.525575886551784,0,0,0
19,-9.77886175170227,0.0933702898614657,-0.520395225164544,0,0,0
20,-9.77901013459785,0.0842492296121363,-0.523055570795354,0,0,0
21,-9.79513703296315,0.0889659577356906,-0.523056106733359,0,0,0
22,-9.79081352533983,0.0976517517388848,-0.51421083071062,0,0,0
23,-9.7861667355605,0.0998701461980102,-0.527545418712009,0,0,0
24,-9.7887427574397,0.104164575327734,-0.50761143431418,0,0,0
25,-9.78434580710174,0.0971754060915277,-0.505780231771914,0,0,0
26,-9.78629006170921,0.0952690201389561,-0.494139129257764,0,0,0
27,-9.78633088482615,0.0974813166115271,-0.509857491981628,0,0,0
28,-9.78162571644264,0.0907581866294888,-0.498630329214139,0,0,0
29,-9.7770802260559,0.0928902764252064,-0.491893277230555,0,0,0
30,-9.7797778687332,0.103822949641962,-0.505641291982079,0,0,0
31,-9.78878260742984,0.10637849630847,-0.507611205469549,0,0,0
32,-9.78860607766395,0.0907929410902831,-0.505505263531756,0,0,0
33,-9.78937551424314,0.110363488600748,-0.515037144692121,0,0,0
34,-9.7777077749414,0.110334492445544,-0.510269462282209,0,0,0
35,-9.78211018487102,0.106078113979532,-0.505641205087518,0,0,0
36,-9.77996025542726,0.108162098017948,-0.508024318370083,0,0,0
37,-9.78860579962766,0.0907934052355849,-0.501014236289008,0,0,0
